Technology,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1 Nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 Oil,0.0,0.0,0.0,3.8421,3.8421,3.8421,3.8421,3.8421,3.8421,11.3263,13.4786,14.2247,14.8877,15.6168,16.3332,17.1077,17.9067,18.7371,19.6082,20.5021,21.4466,22.1455,22.7852,23.4387,24.106,24.8003,25.4998,26.2225,26.966,27.7267,28.5022,29.3089,30.1401,30.9929,31.8531,32.7426,33.6626,34.5798,35.5549,36.5346,37.5543,36.8012,36.0626,35.3368,34.6237,33.9229,33.2326,32.5557,31.8895,31.2379,30.5975
3 Coal,0.0,0.0,0.0,5.1016,5.1016,5.1016,5.1016,5.1016,5.1016,15.0394,17.8973,18.888,19.7684,20.7364,21.6877,22.7161,23.777,24.8797,26.0364,27.2233,28.4775,29.4055,30.2548,31.1225,32.0086,32.9306,33.8594,34.819,35.8062,36.8163,37.8461,38.9172,40.0209,41.1533,42.2955,43.4766,44.6981,45.9161,47.2108,48.5116,49.8657,48.8657,47.8849,46.9212,45.9744,45.0437,44.1272,43.2284,42.3438,41.4786,40.6283
4 Coal + CCS,0.0,0.0,0.0,0.5102,0.5102,0.5102,0.5102,0.5102,0.5102,1.5039,1.7897,1.8888,1.9768,2.0736,2.1688,2.2716,2.3777,2.488,2.6036,2.7223,2.8477,2.9405,3.0255,3.1123,3.2009,3.2931,3.3859,3.4819,3.5806,3.6816,3.7846,3.8917,4.0021,4.1153,4.2295,4.3477,4.4698,4.5916,4.7211,4.8512,4.9866,4.8866,4.7885,4.6921,4.5974,4.5044,4.4127,4.3228,4.2344,4.1479,4.0628
5 IGCC,0.0,0.0,0.0,5.1016,5.1016,5.1016,5.1016,5.1016,5.1016,15.0394,17.8973,18.888,19.7684,20.7364,21.6877,22.7161,23.777,24.8797,26.0364,27.2233,28.4775,29.4055,30.2548,31.1225,32.0086,32.9306,33.8594,34.819,35.8062,36.8163,37.8461,38.9172,40.0209,41.1533,42.2955,43.4766,44.6981,45.9161,47.2108,48.5116,49.8657,48.8657,47.8849,46.9212,45.9744,45.0437,44.1272,43.2284,42.3438,41.4786,40.6283
6 IGCC + CCS,0.0,0.0,0.0,0.5102,0.5102,0.5102,0.5102,0.5102,0.5102,1.5039,1.7897,1.8888,1.9768,2.0736,2.1688,2.2716,2.3777,2.488,2.6036,2.7223,2.8477,2.9405,3.0255,3.1123,3.2009,3.2931,3.3859,3.4819,3.5806,3.6816,3.7846,3.8917,4.0021,4.1153,4.2295,4.3477,4.4698,4.5916,4.7211,4.8512,4.9866,4.8866,4.7885,4.6921,4.5974,4.5044,4.4127,4.3228,4.2344,4.1479,4.0628
7 CCGT,0.0,0.0,0.0,2.5769,2.5769,2.5769,2.5769,2.5769,2.5769,7.5967,9.0403,9.5407,9.9854,10.4743,10.9549,11.4743,12.0102,12.5672,13.1515,13.751,14.3845,14.8533,15.2823,15.7206,16.1681,16.6339,17.103,17.5877,18.0864,18.5966,19.1168,19.6578,20.2153,20.7873,21.3643,21.9608,22.5779,23.1931,23.8471,24.5041,25.1881,24.683,24.1876,23.7008,23.2225,22.7524,22.2895,21.8355,21.3887,20.9516,20.5221
8 CCGT + CCS,0.0,0.0,0.0,0.2577,0.2577,0.2577,0.2577,0.2577,0.2577,0.7597,0.904,0.9541,0.9985,1.0474,1.0955,1.1474,1.201,1.2567,1.3151,1.3751,1.4385,1.4853,1.5282,1.5721,1.6168,1.6634,1.7103,1.7588,1.8086,1.8597,1.9117,1.9658,2.0215,2.0787,2.1364,2.1961,2.2578,2.3193,2.3847,2.4504,2.5188,2.4683,2.4188,2.3701,2.3223,2.2752,2.2289,2.1836,2.1389,2.0952,2.0522
9 Solid Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10 S Biomass CCS,0.0,0.0,0.0,-5.0118,-5.0118,-5.0118,-5.0118,-5.0118,-5.0118,-14.7747,-17.5823,-18.5556,-19.4204,-20.3714,-21.306,-22.3163,-23.3585,-24.4418,-25.5781,-26.7441,-27.9763,-28.8879,-29.7223,-30.5748,-31.4452,-32.351,-33.2634,-34.2062,-35.176,-36.1683,-37.18,-38.2323,-39.3165,-40.429,-41.5511,-42.7114,-43.9114,-45.108,-46.3799,-47.6578,-48.988,-48.0057,-47.0422,-46.0954,-45.1652,-44.251,-43.3505,-42.4676,-41.5985,-40.7486,-39.9132
