,1 Inv cost mean (EUR/Kw),2 Inv Cost SD,3 O&M mean (EUR/kW),4 O&M SD,5 Lifetime,6 Leadtime,7 Investment LR,8 Discount rate,9 Conversion efficiency,10 Fuel cost  (EUR/kWh),11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Emission factor,"16 Payback time, mean","17 Payback time, SD",18 UD/FD,19 RES calc,20 Efficiency LR
1 Oil,281.614924890108,93.871641630036,9.538570036600431,3.179523345533477,20,20,0,0.1,0.75,0.10224926936619719,0.15,0,2.07,0,266.76,5,1,0.75,1,0
2 Oil condensing,281.614924890108,93.871641630036,9.538570036600431,3.179523345533477,20,20,-0.0840642647884745,0.1,0.92,0.10224926936619719,0.15,0,2.07,0,266.76,5,1,0.86,1,-0.02856915219677092
3 Gas,246.57527985769826,82.19175995256609,12.328763992884914,4.109587997628305,20,20,0,0.1,0.75,0.09528934,0.15,0,2.07,0,201.96,5,1,0.75,1,0
4 Gas condensing,246.57527985769826,82.19175995256609,12.328763992884914,4.109587997628305,20,20,-0.0840642647884745,0.1,0.97,0.09528934,0.15,0,2.07,0,201.96,5,1,0.9,1,-0.02856915219677092
5 Wood stove,635.9046691066955,211.96822303556516,27.25305724742981,9.084352415809937,20,20,0,0.1,0.7,0.046,0.3,0,2.07,0,0,5,1,0.7,1,0
6 Wood boiler,764.599661664003,254.866553888001,13.475122750118071,4.4917075833726905,20,20,-0.0976107966264223,0.1,0.82,0.046,0.3,0.07,2.07,0,0,5,1,0.85,1,0
7 Coal,235.7313557973635,78.57711859912116,5.893283894934088,1.9644279649780294,20,20,0,0.1,0.75,0.0234058469475494,0.15,0,2.07,0,353.88,5,1,0.75,1,0
8 District heating,187.08900683529694,62.36300227843231,3.8806666158004,1.2935555386001334,20,20,0,0.1,0.98,0.0845063999323948,0.15,0,2.07,0,0,5,1,0.98,1,0
9 Electric,879.0738842365121,293.02462807883734,7.843038080807614,2.614346026935871,20,20,0,0.1,1,0.142,0.1,0,2.07,0,0,5,1,1,0,0
10 Heatpump Ground,2206.1998724109844,735.3999574703281,27.253057247429805,9.084352415809935,20,20,-0.22650852980867975,0.1,3.9,0.142,0.1,0,2.07,0,0,5,1,1,0.714285714285714,-0.09761079662642234
11 Heatpump AirWater,1427.54109391299,475.84703130432996,24.65752798576983,8.21917599525661,20,20,-0.22650852980867975,0.1,3.2,0.142,0.1,0,2.07,0,0,5,1,1,0.6,-0.09761079662642234
12 Heatpump AirAir,1118.0741434842998,372.6913811614333,24.45787188871906,8.152623962906352,20,20,-0.22650852980867975,0.1,5.3,0.142,0.1,0,2.07,0,0,5,1,1,0.6,-0.09761079662642234
13 Solar Thermal,1319.394041343824,439.7980137812747,8.65176420553327,2.8839214018444235,20,20,-0.2630344058337938,0.1,1,0,0,0,0.618571,0,0,5,1,1,1,0
