,1 Investment cost mean,2 Investment cost SD,3 O&M cost mean,4 O&M cost SD,5 Lifetime,6 Leadtime,7 Learning rate,8 Discount rate,9 Conversion efficiency,10 Fuel cost mean,11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Empty,16 Empty,17 Empty,18 Empty,19 Empty,20 Empty
1 Oil,284.664125615185,94.8880418717284,11.3865650246074,3.79552167486913,20,20,0,0.1,0.75,0.0307102321582115,0.15,0,2.47,0,266.76,5,1,0.75,1,0
2 Oil condensing,284.664125615185,94.8880418717284,11.3865650246074,3.79552167486913,20,20,-0.0840642647884745,0.1,0.86,0.0307102321582115,0.15,0,2.47,0,266.76,5,1,0.86,1,0
3 Gas,241.297325228496,80.4324417428323,4.82594650456993,1.60864883485664,20,20,0,0.1,0.75,0.00363370593293207,0.15,0,2.47,0,201.96,5,1,0.75,1,0
4 Gas condensing,241.297325228496,80.4324417428323,4.82594650456993,1.60864883485664,20,20,-0.0840642647884745,0.1,0.9,0.00363370593293207,0.15,0,2.47,0,201.96,5,1,0.9,1,0
5 Wood stove,244.633232950549,81.5444109835166,0.0611583082376374,0.0203861027458791,20,20,0,0.1,0.7,0.000297506448839208,0.3,0,2.47,0,0,5,1,0.7,1,0
6 Wood boiler,290.779956438949,96.9266521463163,1.16311982575579,0.387706608585265,20,20,-0.0976107966264223,0.1,0.85,0.000297506448839208,0.3,0,2.47,0,0,5,1,0.85,1,0
7 Coal,137.328201224513,45.7760670748377,2.74656402449026,8.31541202350447,20,20,0,0.1,0.75,0.000297506448839208,0.15,0,2.47,0,353.88,5,1,0.75,1,0
8 District heating,147.335924390672,49.1119747968906,8.84015546344032,0.339177401376642,20,20,0,0.1,0.98,0.00363370593293207,0.15,0,2.47,0,0,5,1,0.98,1,0
9 Electric,299.119725744081,99.7065752480271,0.299119725744081,0.0997065752480271,20,20,0,0.1,1,0.008335339638865,0.1,0,2.47,0,0,5,1,1,0,0
10 Heatpump Ground,778.378468479022,259.459489493007,7.78378468479022,2.59459489493007,20,20,-0.432959407276106,0.1,3.5,0.008335339638865,0.1,0,2.47,0,0,5,1,1,0.714285714285714,0
11 Heatpump AirWater,416.988465256619,138.996155085539,8.33976930513238,2.77992310171079,20,20,-0.432959407276106,0.1,2.5,0.008335339638865,0.1,0,1.71,0,0,5,1,1,0.6,0
12 Heatpump AirAir,283.5521563745,94.5173854581669,28.35521563745,9.4517385458167,20,20,-0.432959407276106,0.1,2.5,0.008335339638865,0.1,0,1.97,0,0,5,1,1,0.6,0
13 Solar Thermal,429.776111524488,143.258703841496,4.29776111524488,1.43258703841496,20,20,-0.263034405833793,0.1,1,0,0,0,0.615,0,0,5,1,1,1,0
14 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,5,1,1,0,0
15 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
16 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
17 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
18 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
19 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
20 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
