,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
1 Oil,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1698.862894437558,1656.868695556351,1653.50170481446,1702.691788829113,1530.442213550475,1353.174320372778,1622.536784255936,1555.319234937873,1767.190487436321,1774.249651343272,1742.697843227991,1847.837573869012,1832.704603510153,1861.973786110307,1838.938631951634,1805.152627272422,1970.92437708784,1726.586651356312,1745.126589076153,1803.606962860392,1751.813068409318,1715.6928378240216,1714.18272305088,1699.2025373421884,1674.558617702704,1657.4586975131979,1641.8494589162156,1623.2084221063835,1604.7386831805736,1587.3496687354661,1569.6167854063556,1551.5843753672918,1533.7473762420518,1515.97258551753,1498.1102279575123,1480.2477374827674,1462.4166950774086,1444.5780740410037,1426.729818457688,1408.8867702135467,1391.0458890977304,1373.202597519049,1355.3591092786623,1337.5165501734075,1319.6738281834728,1301.830811266057,1283.9879259059396,1266.1451153406601,1248.3022381463575,1230.4593505463947,1212.616489626504,1194.7736258911905,1176.9307531493112,1159.0878836843815,1141.2450166642595,1123.4021478511297,1105.5592785946124,1087.7164101003475,1069.873541576576,1052.0306727839609,1034.1878040687234,1016.344935431907,998.5020667474336,980.6591980463998,962.8163293667585,944.9734606878148,927.1305920009289,909.2877233157695,891.4448546330606,873.6019859491164,855.7591172645899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 Oil condensing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.93630556244254,16.04110444364919,17.63029518554011,19.99641117088748,19.79938644952492,19.28727962722221,25.48381574406394,26.92276506212698,33.72091256367892,37.32854865672768,40.43555677200914,47.29722613098856,51.76339648984636,58.05021388969285,63.30736804836637,68.64857272757747,94.87922291216034,100.9917486436881,107.3410109238469,116.4170371396087,118.4325315906817,124.68572217597804,130.53366894911952,135.99906905781097,141.1255891772952,146.7955353828012,152.27669004698342,157.70494089905523,163.16122535427291,168.65929314129386,174.12049822372134,179.5846950832928,185.05657320708514,190.52818297184749,195.9955684362946,201.46493126766472,206.93487802746006,212.40421382111677,217.87335095008717,223.34283570819088,228.81226388855882,234.28160324948598,239.750972429007,245.22037347892046,250.68975188711119,256.1591265097651,261.6285091076313,267.09789174644067,272.5672711219967,278.0366514926414,283.5060326906532,288.9754133818777,294.4447938658307,299.91417460352113,305.3835553432148,310.85293599589147,316.32231666643264,321.79169736579007,327.26107805056563,332.73045872902566,338.19983941406576,343.66922009991595,349.13860078309114,354.60798146668526,360.0773621511197,365.5467428352074,371.0161235190685,376.4855042031162,381.95488488719724,387.42426557120365,392.8936462552158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3 Gas,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26947.16067429464,27583.55520860953,28194.02771999897,28073.54182619142,28001.42815374136,28542.97029999033,29249.40721550999,29530.26440890371,29874.90891726009,30546.39147157463,30915.71711750548,31461.91296105173,31678.8901610608,32082.3086704156,32440.77522234989,32545.19235118008,32605.98400496417,31904.29996371319,31211.6301557465,31120.49922691705,31557.76923150386,31269.74620313218,31177.449358591715,31185.537896782273,31160.513643464103,31072.641695221162,31031.5272221262,30991.053174676985,30939.25758812214,30886.847524999328,30840.461727554553,30791.82806367246,30742.103455414795,30693.17068274064,30644.599487074927,30595.56130088582,30546.557551494505,30497.687432524966,30448.786588923787,30399.836622457475,30350.914590514734,30302.00091731203,30253.07641442854,30204.150809014944,30155.229828717816,30106.307865528725,30057.38459660099,30008.461938686858,29959.53964140956,29910.617011263723,29861.69434489158,29812.771801807387,29763.849244779696,29714.92664450809,29666.004061145773,29617.08148866668,29568.158907675148,29519.2363246701,29470.313745355437,29421.39116579771,29372.468584991948,29323.54600456807,29274.623424511316,29225.700844219526,29176.778263855824,29127.855683593745,29078.93310333333,29030.010523035155,28981.08794274603,28932.165362468215,28883.242782184378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4 Gas condensing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,930.61933370537,1052.558193390474,1189.307964001028,1309.793857808584,1445.796424258639,1632.032114009671,1853.373050490018,2075.293675096293,2330.649214739907,2648.055628425373,2981.507816494533,3379.756492948274,3796.112676939201,4295.472017584399,4862.005539650112,5471.47735681993,6232.907991035831,6870.703138286814,7499.484052253508,8293.392815082949,9281.122924496143,10033.034878867818,10843.665114208283,11686.465532977725,12521.334295527895,13334.719635145237,14162.823504532682,14991.480592814312,15816.63252568211,16641.36826747986,17468.078896061725,18294.11874183409,19119.791008676006,19945.697752710206,20771.734861017703,21597.62395509651,22423.519382983166,23249.45767808323,24075.38811535438,24901.302138520387,25727.224648442283,26553.15014757782,27379.07229478553,28204.9939315775,29030.917054823247,29856.839914499407,30682.762343887498,31508.684952000083,32334.607684991024,33160.530314774645,33986.452928940045,34812.37558222801,35638.298232668494,36464.22086894933,37290.14351015711,38116.06615507266,38941.98879739045,39767.91143894717,40593.83408167007,41419.756724360115,42245.67936664557,43071.60200903789,43897.524651553584,44723.44729399806,45549.36993641645,46375.29257886664,47201.21522131868,48027.13786375856,48853.06050620088,49678.98314864696,50504.905791091245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5 Wood stove,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13703.14406266822,13516.12844890972,12978.88359483985,12445.0390246565,12003.00211940914,11526.96237529659,11149.53086389308,10744.89708139741,10336.86301501523,9894.826109767871,9452.78920452051,8976.749460407966,8976.749460407966,8976.749460407966,8801.63484025228,8466.70687743024,8368.098644721214,8296.692683104331,8194.684166508789,8092.675649913242,8007.668552750289,7915.180831036994,7820.176899247677,7727.52596390783,7635.746861356487,7542.59703636481,7449.637273641254,7357.036455765668,7264.327595365712,7171.487684107643,7078.734845828655,6985.999483100333,6893.23281361356,6800.465037162399,6707.710304551842,6614.951951702686,6522.190194516984,6429.430362151697,6336.671416146071,6243.9114795098185,6151.1515072341535,6058.391881513399,5965.632194494548,5872.8723903646005,5780.112641261596,5687.352918952204,5594.59317111667,5501.833419299855,5409.073678072414,5316.313935469342,5223.554189468344,5130.794444755627,5038.034700986374,4945.274956497795,4852.515211855289,4759.755467506894,4666.9957231440385,4574.235978676481,4481.476234241093,4388.716489835213,4295.956745410582,4203.197000979763,4110.4372565573685,4017.677512135079,3924.9177677097305,3832.158023285092,3739.398278861394,3646.6385344372,3553.878790012791,3461.119045588614,3368.359301164458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6 Wood boiler,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625.7627373317791,617.2225510902784,592.6889251601491,568.3105753435017,548.1246805908636,526.3860247034072,509.1503761069241,490.6725186025862,472.0393849847664,451.8534902321284,431.6675954794903,409.9289395920339,409.9289395920339,409.9289395920339,401.9322197477197,386.6375225697593,382.1345152787862,378.8737168956678,374.2154334912129,369.5571500867579,365.6752472497122,361.4517369630064,357.113322352324,352.8823588121711,348.69120806751494,344.43746241599194,340.1923960781081,335.963721183647,331.73011245900153,327.49051921406436,323.2549022117682,319.02008324154195,314.7838346283976,310.54753546502457,306.31183195687953,302.07596312825007,297.8399388384399,293.6040024467709,289.36810653127617,285.1321653780076,280.89622259724274,276.660295642127,272.42436588779486,268.18843078551055,263.95249819606636,259.7165668301694,255.48063429860505,251.24470158523297,247.00876935543133,242.77283706281068,238.53690461502157,234.30097222606264,230.0650398801876,225.82910750146408,221.59317511571138,217.3572427433895,213.12131037040723,208.8853779926437,204.6494456163492,200.41351324140217,196.1775808655989,191.94164848951308,187.70571611381195,183.46978373811558,179.23385136227955,174.99791898647592,170.76198661071524,166.52605423493193,162.29012185913876,158.0541894833562,153.8182571075746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7 Coal,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8 District heating,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9 Electric,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16346.33311290826,15983.72618354702,15346.96692214562,14188.07820154533,14051.3842732585,13791.77649866953,13643.51547381,13152.11455832769,12081.69502838723,11831.36766342416,11283.10385183281,10678.946837947018,10104.454176215442,9593.763923233371,9028.378207633477,8468.914787322246,7919.300780339096,7369.785187572714,6814.081697711144,6261.309435751725,5709.2664571748255,5156.412017359873,4603.255859263673,4050.600949734994,3497.858192740533,2944.995433091187,2392.1723495851356,1839.3950959850474,1286.5853409195183,733.7707368447014,180.96709672884265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10 Heatpump Ground,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.45572848405892,54.22145320676822,53.4205417532064,55.29952573891934,71.04059637259951,74.30410592436654,72.27884978731568,78.54439372991708,92.07027899664475,101.0701585456962,108.40251199089504,117.87982091318882,127.3801296492682,136.12306601654214,145.03140927654863,154.18151324401467,163.2069796729079,172.1781944003831,181.2067771167872,190.24151880047177,199.25349965615112,208.26913609280862,217.29199668523012,226.3118023281524,235.32970873659642,244.34921717621984,253.3690045980387,262.3881476654072,271.4073463190024,280.4267668844023,289.44611099813517,298.465394200054,307.4847199748966,316.50405743764065,325.52337644596446,334.542695859289,343.56202183824274,352.5813460530768,361.6006683153919,370.61999170865613,379.63931552624445,388.6586388294027,397.6779621057532,406.6972855759001,415.7166090072997,424.7359323781605,433.7552557780667,442.7745791927555,451.79390259320326,460.81322599184347,469.8325493960937,478.8518727996079,487.8711962012675,496.8905196036568,505.90984300653685,514.9291664090304,523.9484898114417,532.967813214014,541.9871366165759,551.006460019082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
