,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
1 Oil,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.3078770714165,74.960469080138,82.94308433483349,102.6231322040245,102.4710039244978,109.6109429591331,109.4134321965916,99.732335558991,107.5038238395096,108.6929597573425,23.848584089162,18.73437385306302,17.95512446131092,10.01865876978844,17.10644772289721,12.77330719318237,9.87664461261372,14.72752337679917,9.113303383271406,9.810304033965162,13.30852357820376,13.503177437038367,13.677830268579442,14.960022985948369,16.026897445382577,16.71625677370934,17.593779358723847,18.552592555528825,19.427794660779043,20.291607682040283,21.19007939391199,22.083240913600765,22.965599058528447,23.852323261234375,24.742018343534838,25.62931436822277,26.516170987647808,27.40398448417052,28.291731993169044,29.17914173469066,30.066663308536363,30.95427749776609,31.841829232021936,32.72936225610006,33.6169229527305,34.50448335740272,35.3920339014009,36.27958694540696,37.16714297813538,38.05469734201678,38.94225104661304,39.829805515316444,40.717360036146104,41.604914265078214,42.49246854864381,43.380022924026136,44.26757725701785,45.15513156708699,46.04268589832615,46.9302402325687,47.81779455840804,48.70534888523425,49.592903214871896,50.4804575434476,51.368011871269765,52.25556619966345,53.14312052818907,54.03067485647409,54.91822918477132,55.8057835131527,56.69333784150877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 Oil condensing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8209094933434987,0.912166960402011,1.111894694826512,1.515780004995551,1.667908284522247,1.966462941006857,2.163973703548422,2.175028400468988,2.585883286850408,2.884446142797498,0.6984452337579983,0.6057098505169816,0.6411097664890836,0.3952324688915624,0.745937206902786,0.615981593057631,0.5372466260662807,0.8933134812208345,0.5567383796285936,0.6035872047148377,0.8246145060362431,0.8531154543796359,0.8718634616521611,0.9598413030233545,1.0358170182466495,1.0887301055531027,1.1522483914472448,1.2212142576592364,1.2851319859064723,1.3482433946490502,1.4134344119141624,1.4783745297065274,1.5426368267167545,1.6071509083845588,1.6718526526119197,1.7364139386192743,1.8009434029913403,1.865531021269729,1.930116118884705,1.9946805204043074,2.0592511083506504,2.12382759933597,2.188400413895813,2.2529719807912008,2.3175452034230957,2.382118460583108,2.4466911117852637,2.5112638993423446,2.57583687388879,2.6404097518578524,2.704982586323154,2.7695554664822826,2.8341283511537068,2.898701218069133,2.9632740877944443,3.0278469632473874,3.092419836264482,3.156992707804463,3.221565580598533,3.286138453615058,3.3507113261219974,3.41528419867456,3.479857071400926,3.544429944067355,3.6090028166857073,3.6735756893377287,3.7381485619988406,3.802721434645461,3.8672943072923953,3.931867179944506,3.996440052595217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3 Gas,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.123058863726445,7.833680202094141,12.26203131814558,29.96771392451669,54.12567973674924,131.8498644289715,240.3030537777965,213.7753603715998,224.0740672487577,224.4020497734306,489.2441987536468,548.2845457487952,519.3333318209333,430.9305705244097,427.8949374643505,484.6946867362179,524.4383915827665,577.5967611343716,616.5858945240116,587.0971506226873,666.3765634604238,695.7142367847867,724.316798808511,756.7246882816207,796.4442193482162,828.558795675458,862.3404495075628,897.1285903867569,931.7989938237188,965.7269281899491,1000.106409124463,1034.5194348281623,1068.8283452465178,1103.1134661948988,1137.4629674080943,1171.7936822014942,1206.1119938923182,1240.436745222138,1274.7663036760082,1309.0912772316553,1343.4162272160565,1377.742527081756,1412.0686758076845,1446.3942752190299,1480.7201196756675,1515.0460729813171,1549.3719265480277,1583.697756472325,1618.02363341022,1652.3495045062314,1686.6753614974334,1721.0012232907052,1755.3270894631025,1789.6529525521264,1823.9788149578724,1858.3046785761023,1892.6305421826587,1926.9564053289675,1961.2822686068143,1995.6081320118892,2029.9339953414622,2064.259858641515,2098.5857219774894,2132.911585314587,2167.237448638729,2201.5633119654894,2235.889175296408,2270.2150386252824,2304.5409019531894,2338.866765282061,2373.1926286110534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4 Gas condensing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0391912292535546,0.3020712820992602,0.522721093523417,1.413041641499114,2.82458065260456,7.620160617518554,15.39199223336115,15.18793072323979,17.67397625775092,19.67049419681576,47.71539781422867,59.57231371308304,62.95402309538476,58.37676750906307,64.8991511258402,82.48341530469341,120.6104744655832,172.0546238377345,233.0190084443753,276.4547548503485,386.6221260572426,450.26446947683587,521.2667503659429,596.2972702129052,673.7302357162866,745.7551377217023,820.09961990571,894.8119805645432,969.1518610538131,1043.1418704056025,1117.524441057193,1191.8423942715954,1266.0857350133438,1340.342562191849,1414.6388299447135,1488.911724514243,1563.1809000559094,1637.4568492966619,1711.733913728744,1786.007442963792,1860.2818880209854,1934.5571449807137,2008.8320015467482,2083.1065893120413,2157.3814299342675,2231.6562827500566,2305.9310531426772,2380.2058328056646,2454.4806438252303,2528.755441608984,2603.0302324490244,2677.3050291906256,2751.5798273299974,2825.854622789115,2900.1294185132388,2974.4042150859304,3048.6790113833154,3122.9538074236607,3197.2286036375776,3271.5033998962185,3345.7781960837024,3420.0529922710357,3494.327788485123,3568.602584692114,3642.8773808914348,3717.152177095089,3791.426973300531,3865.70176950391,3939.9765657071785,4014.251361911209,4088.526158115098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5 Wood stove,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4935.756930990864,5185.925432972593,5267.061163345045,5204.519037849613,5091.267080871398,4912.092342965565,5201.138382417427,5211.280348713984,5067.602492846099,4873.214805495431,5814.7273433591,5903.638581225579,6116.822712779199,6429.709134338834,6771.217537049524,7015.122631098935,7302.858923500638,7598.607515320937,7885.551330162469,8166.766577207258,8455.364607095105,8742.68165000263,9028.477804632234,9314.654606805723,9601.543532479129,9887.976613236242,10174.342178667654,10460.847254117789,10747.365648199055,11033.817135431194,11320.287586823324,11606.7736565858,11893.251130941828,12179.723879605843,12466.201582852624,12752.679404360488,13039.155599106505,13325.632045214905,13612.109079962105,13898.585843469444,14185.062479376795,14471.539235256307,14758.016013206056,15044.492739033532,15330.969471529275,15617.446220337493,15903.922963186053,16190.399701312448,16476.87644293391,16763.35318531233,17049.829926282084,17336.30666730128,17622.783408833864,17909.26015021275,18195.736891448014,18482.213632772346,18768.690374127975,19055.167115442757,19341.643856756753,19628.12059808554,19914.59733941106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6 Wood boiler,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.3606690091357,268.3036070274069,272.5013166549544,269.2655821503865,263.4062791286016,254.1363370344343,269.0906775825721,269.6153912860155,262.1819471539002,252.1249345045678,300.8358566408996,305.4358467744203,316.46532882080123,332.6530963811667,350.32167597447665,362.9405648018667,377.8271431227235,393.1282528251779,407.97383082880486,422.52303060200165,437.4541925326368,452.31908019230184,467.10528183610984,481.91117699660083,496.753915205868,511.57306942094414,526.3887306036484,541.2116095995904,556.0351776599663,570.8552841686505,585.6763718238236,600.4982675247647,615.3197185261854,630.1409250350406,644.9623878785548,659.7838568405285,674.6052416389182,689.4266394420135,704.2480676994445,719.0694819237709,733.8908895464721,748.7123033761586,763.5337183476904,778.3551306225784,793.1765432424617,807.9979567063016,822.8193698618073,837.640782773003,852.4621958650225,867.2836089962049,882.105022054507,896.9264351153671,911.7478482027884,926.5692612822578,941.3906743542965,956.2120874309435,971.0335005092096,985.8549135853624,1000.6763266614746,1015.4977397383522,1030.3191528150603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7 Coal,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2055.0781244,1293.6371726,2299.9495416,2573.869884,1874.935677,1942.669095,1979.8958082,1801.2644738,1947.8957682,1969.4780174,1369.5483786,1706.7221334,1654.6331794,1353.1750248,942.312289,980.267892,1106.0636048,1165.601457,842.5788309999999,751.7698286,725.7075737999999,608.2532047599999,485.0964285919999,399.2482857263999,304.68286263087987,199.57742849369586,99.80091664432305,2.774728531517283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8 District heating,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3777.22461841376,3640.3578748861,3269.92505451232,3534.73245218782,3153.14201608926,3220.831547812179,3116.6938069735,2813.95051832264,3001.39845218782,3034.87129758438,2636.17251832264,2673.3645683682,2558.06921358252,2367.64591599814,2311.8578409298,2474.75902055602,2414.50789990888,2527.57173190516,2408.5571706927,2287.31108846862,2453.93147274384,2437.790122967178,2424.3712313846954,2442.5819469729504,2470.680094537902,2474.5090012972914,2486.4836632786346,2502.0988550898564,2515.582593587311,2527.322078776449,2540.794587303148,2554.17909447671,2567.1163417256644,2580.1087929233613,2593.298311194995,2606.3920258180297,2619.452809033227,2632.5484257842063,2645.6518021401985,2658.738140325857,2671.8272625381196,2684.921124693263,2698.013210514867,2711.103790626541,2724.1955154843527,2737.287432666927,2750.3789247586083,2763.470431811395,2776.5621009757915,2789.6537179885263,2802.7452926745646,2815.8368948754687,2828.9285066581606,2842.0201054833287,2855.111704380649,2868.203307782652,2881.2949101363374,2894.386511061905,2907.478112753189,2920.5697147556225,2933.6613164119017,2946.7529180363863,2959.8445197971537,2972.936121534023,2986.0277232282288,2999.1193249412577,3012.2109266653397,3025.3025283797006,3038.394130092547,3051.485731809255,3064.5773335255753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9 Electric,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3237.792,3244.77,3136.610999999999,3088.928,2764.451,2973.324192207734,3157.233271820111,3112.168327740097,3335.507774117647,3494.955181865705,3330.676130073235,3401.527881619416,3372.303942732974,3254.250473504885,3215.026893612316,3311.594766305408,3260.215276434681,3332.800337404495,3147.24917726944,2868.030021653195,2844.248236202715,2714.5777965811917,2560.6331943098585,2427.9647752107417,2311.5902217329653,2176.3973167019703,2043.8569234684367,1915.3449234492753,1786.0476232705291,1654.8338642527724,1524.740243743142,1394.8658018784326,1264.6392396115255,1134.3607566422907,1004.2560347070327,874.1086883761966,743.9189451853001,613.7496794734457,483.5937550875034,353.42539827332246,223.25622124296794,93.09124833448917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10 Heatpump Ground,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3003570299234582,7.881496916888979,49.11609717297937,84.57622776637427,117.1374877999124,119.5946586670698,138.0646313260369,135.5669840865344,136.0144971335808,156.4247847693947,214.8449021618357,234.4413230043176,238.8441298278884,259.3817417749794,307.2834694921335,310.1796724737745,332.17127633409035,355.91649870521024,377.7122307754521,396.3716656552594,418.1641597356926,439.4082531110179,460.15179688820353,480.9433688563297,502.05647321179487,522.9884474815465,543.8949539880114,564.8480932704946,585.8128862309492,606.7501334136748,627.6942638243943,648.644329805989,669.5917148724324,690.5369002399605,711.4839987100214,732.431202730544,753.3778056992139,774.3244541136286,795.2713455872814,816.2181401010419,837.1648815639481,858.1116653356363,879.0584611777045,900.0052368192486,920.9520141242656,941.8987977846903,962.8455795691572,983.7923593439918,1004.7391403934297,1025.6859218031927,1046.6327026893205,1067.5794835592733,1088.5262646319186,1109.4730456552245,1130.4198266198907,1151.3666076155998,1172.3133886256624,1193.2601696204486,1214.2069506140706,1235.1537316133915,1256.1005126117907,1277.0472936083106,1297.994074605655,1318.9408556034637,1339.8876366008644,1360.8344175981945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
