,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
1 Oil,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70199.66670815332,73853.14350069546,66648.66630615944,69718.99306372995,70567.3126148491,67709.69351243509,62256.40238056745,56700.45298239886,54135.0464018396,50786.1621211559,52098.57034946458,41614.17964517923,44159.75289745214,44327.62922343636,35933.44830639858,36040.26167830925,33486.7773345621,32647.07217122334,28935.65192652542,26857.6834388001,26159.20872364703,24114.756128221692,22130.648599333523,20495.3552028373,18820.03354321339,16990.258414588225,15234.297366249519,13504.517440807811,11747.776270705526,9984.750718825911,8234.99707011905,6483.160338694766,4727.610998213509,2973.4189057019917,1220.4139358866537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 Oil condensing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,638.552091846679,739.7888993045332,735.2870938405517,847.2223362700428,944.6923851509,998.7208875649178,1011.944019432546,1015.824017601135,1069.199198160403,1106.042078844101,1251.429850535418,1102.798754820769,1291.481902547859,1431.164976563638,1281.239093601426,1419.762121690753,1850.553265437908,2341.809628776659,2326.961073474576,2397.793361199902,2571.817076352978,2721.668211778316,2822.1255286664878,2953.5459047627114,3089.7272587066245,3216.497064475793,3342.223008019302,3472.537619861173,3601.585537812133,3729.561249171773,3858.110339090252,3986.990168235502,4115.53315803818,4244.065573989762,4372.708720848153,4501.3359377751585,4629.922647964087,4758.527582327809,4887.141376707012,5015.747072334048,5144.3511721201185,5272.958825951949,5401.566054218088,5530.172165082093,5658.778671841498,5787.385505698789,5915.992103410497,6044.598647310649,6173.205286913259,6301.811924088797,6430.418526117075,6559.025138336206,6687.631760461699,6816.238376596128,6944.844990532056,7073.451607241044,7202.058224029048,7330.664839807009,7459.271455798885,7587.878072108847,7716.484688259391,7845.091304335643,7973.697920487421,8102.304536647807,8230.911152778403,8359.517768913422,8488.124385058076,8616.731001198768,8745.337617336929,8873.944233477168,9002.550849617803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3 Gas,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128514.0730568082,138762.2507172563,134304.4069550929,145848.6445116485,150340.9610319671,149495.0855909181,140964.35910331,132762.9316863694,139521.787770807,132171.2203015994,135277.3995522804,120240.5013100072,132774.7462366167,135676.6270878671,97970.84386406162,103853.3891168254,108442.8331895612,100744.577111935,89474.13102569226,82838.92908339413,73067.93480187914,64202.39032148864,55253.33334101805,46545.51992789266,37505.37795070626,28627.179541112084,19737.341846005595,10842.309508325045,1924.863813941456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4 Gas condensing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5719.271015191871,6832.205374743682,7320.604374907119,8806.923416351457,10064.60735603289,11104.92725708186,11630.09754869003,12178.74657563062,14247.66897519295,15045.45814240058,17192.05708971967,17090.0652319928,21147.48829938332,24270.6079301329,19734.72110793839,23627.17663717461,30109.95567243883,33558.21141006507,36586.99017030775,41077.74749660588,43595.96342012087,47045.118578311354,50443.397336941925,53811.41587843931,57042.8929464881,60408.90858177434,63741.616143421554,67061.00917505099,70380.80015406667,73713.59165491005,77038.44667060171,80363.07102402365,83689.24804547169,87015.88556066404,90341.42447930184,93667.30149470591,96993.36523222538,100319.33026298031,103645.21327873592,106971.17391545017,110297.13320425007,113623.071163902,116949.01133663775,120274.9606730633,123600.90583782468,126926.84931545574,130252.79439588518,133578.73987197393,136904.6845675621,140230.6293691614,143556.57439707025,146882.519347026,150208.46422498726,153534.40915425876,156860.35409406992,160186.29901419312,163512.2439345348,166838.18886243776,170164.13378812006,173490.07871175456,176816.02363662538,180141.96856197517,183467.9134867332,186793.85841147788,190119.8033364333,193445.74826134517,196771.6931861892,200097.63811106712,203423.58303596056,206749.5279608382,210075.47288571394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5 Wood stove,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48673.35867308069,48078.52602757589,44598.49339478386,48239.00873545402,49205.39373724188,47740.11683922419,46215.53111438196,43745.49291486642,44404.86751897438,46084.70281991609,52802.29964642341,42908.19183028488,49714.75189702898,54581.56445115918,44305.43801518032,46834.7850415204,50074.09361249523,48132.60172262178,46614.99350681774,47068.53159429941,43586.75458424784,42182.87976576613,40690.111482138,39016.56989434873,37116.51324414761,35505.833988985825,33813.06500983072,32086.582124832978,30370.239747498137,28679.059861752958,26969.422510073127,25259.941783813607,23554.531991867232,21849.478632947117,20142.07333536536,18435.55718533716,16729.434399991682,15023.022736855575,13316.467664099899,11610.093084998649,9903.70359134177,8197.264464426094,6490.836402664385,4784.4272883200265,3078.0074101165637,1371.5844562609159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6 Wood boiler,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,932.0366669193046,920.6463324241076,854.0078652161367,923.719384545979,942.2245027581172,914.1662007758138,884.9722056180359,837.6739251335814,850.300161025618,882.4670000839017,1011.100953576581,821.6406097151222,951.9781029710132,1045.171748840807,848.396204819676,896.8301784796047,958.8590675047684,921.6818173782164,892.6214331822592,901.3061457005912,834.6342757521652,807.751750233882,779.1670210620058,747.1206990912842,710.7368843004069,679.8943008957955,647.4797973520183,614.419712790472,581.5538068354707,549.1697325319511,516.4322198075275,483.6977062727773,451.041146266444,418.3914115267213,385.696639971567,353.0188945297693,320.34868155168,287.672936909032,254.99444614350543,222.31941161581938,189.64409149221194,156.96782095099707,124.29176229426074,91.61606645792956,58.94016450655648,26.264203660118632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7 Coal,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6874.67526,6067.56314,4608.00576,4483.561159999999,4080.0051,3632.00454,3205.33734,2824.89242,2641.78108,1676.44654,1681.77988,300.44482,336.00042,353.77822,261.33366,270.22256,280.88924,264.88922,197.33358,181.33356,154.66686,121.06681800000001,88.03566560000002,60.14940852000002,29.249458784000026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8 District heating,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12755.5715,13041.79408,11608.9034,12039.12616,11680.0146,11537.7922,11180.45842,10608.01326,10821.34686,11107.56944,9688.901,7996.454439999999,8760.89984,9379.56728,7671.120699999999,8711.122,9395.5673,9290.67828,9413.3451,9587.56754,9224.90042,9220.455969999999,9187.567039999998,9105.700270999998,9005.593479199997,8950.256521139996,8878.019275287996,8800.565347359596,8726.780942240315,8656.049317470339,8582.08404343164,8508.445394071443,8435.551713532945,8362.545475451581,8289.19147405796,8216.022968321238,8142.902459223699,8069.7203576488155,7996.526432604836,7923.36316324697,7850.19359957023,7777.016108199351,7703.8419750059975,7630.670377981468,7557.496658471944,7484.322697230498,7411.149483383322,7337.97621698369,7264.802667275273,7191.629221011258,7118.455844156605,7045.282416714019,6972.108974348218,6898.935555333083,6825.76213521661,6752.588707290517,6679.415281492656,6606.241858117286,6533.068433301731,6459.895008001432,6386.721583324523,6313.54815867931,6240.374733793994,6167.201308960234,6094.027884198942,6020.854459401919,5947.681034586935,5874.507609789692,5801.334184994383,5728.160760192248,5654.987335391059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9 Electric,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57545.24000000001,60072.43900000001,56903.264,61425.008,61957.66199999999,61627.37604195803,61427.0243006993,59546.87141491842,65731.34076689977,67625.9221251999,78963.33438285641,61392.9270284838,71683.61227054981,77738.98536316621,60992.71304474046,64824.33645704814,69131.1305374211,65225.00401564953,62068.00532101085,60606.58049117401,55411.62739336516,52205.884412106425,48936.422698633236,45470.03656625096,41795.20731179316,38398.33851089321,34922.70779196656,31412.79500509745,27914.096740884088,24439.320276122697,20946.655524060345,17454.097597581625,13965.613994396086,10477.39517724438,6986.906004502291,3497.285858556955,8.052711762641593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10 Heatpump Ground,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.76923076923077,188.2461538461539,321.7846153846154,461.2820512820512,543.0547455447922,594.6296731149923,641.373620341658,681.5338116629664,712.4359209929364,734.8179062730535,756.9235472986945,776.3081626833099,794.1779062730535,812.105085760233,830.642521657669,848.3471370422843,866.4013934525408,884.4702960166434,902.5192252474126,920.5068818627972,938.5506140063869,956.5841167017716,974.6100197146947,992.6359020920485,1010.6676467087295,1028.6962317882258,1046.72441750492,1064.7533300325829,1082.782492700309,1100.8111717230604,1118.8399672295661,1136.8688613435431,1154.8977150586609,1172.9265284923795,1190.9553746291529,1208.9842228239538,1227.0130610770852,1245.0418997139275,1263.0707426030303,1281.0995838868032,1299.1284242519675,1317.1572653042315,1335.186106587186,1353.21494752576,1371.243788487073,1389.272629556247,1407.3014705966389,1425.3303116015782,1443.3591526276984,1461.3879936603566,1479.4168346842846,1497.4456757076916,1515.474516734573,1533.5033577606814,1551.532198785775,1569.5610398113722,1587.5898808372285,1605.6187218628288,1623.6475628884036,1641.676403914075,1659.7052449397331,1677.7340859653586,1695.7629269909976,1713.7917680166447,1731.820609042285,1749.849450067924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
