,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
Indirect Heating Coal,1.0634433813036344,1.4611810976551167,1.3600962073372915,1.1247693693101593,1.0341554533841204,1.0,1.1899083415331064,0.9920962109965736,1.5297456896900214,1.4166515914106568,1.220051024327499,1.5499816383506173,3.018093440001488,2.812126631848094,2.469702565741954,2.1979350379746454,1.9749459825356712,1.8041707826584619,1.6734153891555128,1.5680478790408838,1.4811299192365333,1.498746281049795,1.5068171142407294,1.5135492007957263,1.5192730285738807,1.523895330886934,1.5275679251129433,1.5303562752335518,1.5321723779135734,1.5321705907159027,1.532341285950936,1.5537171613336596,1.5726726904551664,1.589821204690497,1.6059857258611332,1.61986934423171,1.6320295161981122,1.6436581410744178,1.6529267117590212,1.6610861593763415,1.667896850235368,1.6680710412000856,1.6687047894723714,1.6683111853718262,1.6690126977106179,1.6693473712990872,1.6699956319341107,1.6702503688032826,1.6708121312646742,1.6714623154939305,1.6722433526919314,1.672627502036699,1.673619402062386,1.6747689096154268,1.675758619653878,1.6764302710021768,1.677900203999666,1.6787611913775171,1.6801355283356936,1.6813275284073623,1.682350737022132
Indirect Heating Oil,0.9992571371271016,1.1171960636124902,1.1209300331696452,1.105948221025555,1.0470829227982135,1.0,0.9140839331080343,0.9065216757472737,0.9587779412451088,1.150186496734432,0.9066098415476898,1.017460662741692,1.2676557038687635,1.2890078619628997,1.2154851502731143,1.1485298229785545,1.1154001362445605,1.0896220889279642,1.0706329761275688,1.0529375912594443,1.0354797153610418,1.038000768754181,1.034648218110345,1.0311301911992377,1.0276433390504682,1.0240937428498655,1.0205566837992397,1.0170484369373847,1.013484776003104,1.0097678883735695,1.006206507492033,1.0062154228146525,1.0059975991636276,1.005564698495937,1.0050982464976879,1.0043550085555133,1.0034374525959684,1.0024999225234352,1.001297851615769,1.0000231718236103,0.9985907906159243,0.9961629757602466,0.9938780838611523,0.9915420074430623,0.9894520773448593,0.987415922107875,0.9854900359570601,0.9836076627823134,0.9818530246233279,0.9801780362490855,0.9786193962516423,0.9770567170797166,0.9756708970900186,0.9743938760259719,0.9731627182040594,0.9719415839507971,0.9709132641438066,0.9698480746116782,0.9689456764196813,0.9680653346414473,0.9672190402850166
Indirect Heating Gas,0.7442250661749057,0.9152044626566471,1.0345881016651295,0.989918158350673,0.9186106752203711,1.0,0.8971359123739778,0.7703263090829877,0.8327451300238237,0.7690428977603158,0.6696321517872953,0.7527477371332603,1.5235991904862862,1.1357877585847866,0.8254167931443744,0.9185775751186116,0.9008397173935526,0.8887102989800122,0.881750420192673,0.8758361071770665,0.870006579916685,0.8762590632601904,0.877292353995604,0.8779116708236646,0.8782934613877864,0.8783683298921812,0.8782096101862962,0.8778401756969068,0.8771965722331752,0.8760640910268105,0.8749983039591797,0.8799349189648735,0.8842308866206021,0.8880095683652695,0.891532112051723,0.8944146790502614,0.8968233278562152,0.8990720524435456,0.9006770177855214,0.9019859638498249,0.9029044662426676,0.9019549151059627,0.9011316515447125,0.9000443952830369,0.8992649413045944,0.8984086440125522,0.8976362581132891,0.8967777446592969,0.8960142037133505,0.8952774510797282,0.8945981018923148,0.8938072549385337,0.893199995468515,0.8926530247614265,0.8920707091925497,0.8914034355470319,0.8909676147704932,0.8903662532133926,0.8899271741531252,0.8894381990347443,0.8889097344516006
Indirect Heating Biomass,1.020150760060228,1.0854358193502456,1.1219360204271405,1.1144978596696187,1.0530921040805736,1.0,0.9200516526179388,0.9087202018723669,0.9398995460447013,1.1138083302683115,0.8818608649815493,0.9305795253247101,0.8929180721855746,0.8776761302617485,0.8653060357109436,0.8544723000186293,0.8426412156441963,0.8360539988561594,0.8346416820463542,0.8340379964857804,0.8335175420042039,0.8334771758837535,0.8289386722176973,0.8244889399500345,0.8202772784171546,0.8162208598925762,0.8123716737004487,0.8087348175226303,0.8052361122956789,0.8019243152081338,0.7987684966594049,0.7955966229261401,0.7926418238811409,0.7898050624398235,0.7871304742391693,0.7845931685122366,0.7822021371270408,0.7799045745939318,0.7777719390801651,0.7757816667989899,0.7738855003765945,0.7721495502605636,0.7705002600030301,0.769001041798417,0.767583115949417,0.7663070628933631,0.7651084945529127,0.7640455194541901,0.7630802394574285,0.7622005556023361,0.7614386048555188,0.7607607708498054,0.7601777411820974,0.7596992000409603,0.7593146773874425,0.7590149295477646,0.7587915478742397,0.7586553921297893,0.7586161177795406,0.7586487696607408,0.7587639577323861
Indirect Heating Electric,1.2414036190092737,1.1993555858173046,1.1502917248733973,1.1167134877084,1.0503404368162497,1.0,0.9629972772511788,0.8950688123772449,0.9010265724010458,0.931434014049791,0.9674072288216957,0.9222279609874984,0.8878526129388151,0.8928965399025508,0.8964859343681055,0.8971284548442009,0.8920277884653373,0.8877269012997783,0.8841623862411936,0.880705688021525,0.8772410220393853,0.8735506151287641,0.8691345590627181,0.8647219375054165,0.8604711534502483,0.8562969365736759,0.8522557783793756,0.8483546914473831,0.8445175390943961,0.8407969424315542,0.8371620372175682,0.8334342545683459,0.8298592588802602,0.8263349090944261,0.8229087862689193,0.819556192195775,0.8162880698930618,0.8130505203947265,0.8099193942715461,0.8068721574574834,0.8038602448278569,0.8009532581131964,0.7980760955394668,0.7952955612833076,0.7925414779140336,0.7898776610146062,0.7872385498900184,0.7846853372147876,0.782179520852311,0.779709957122349,0.7773104370360965,0.774947295513777,0.7726326066231428,0.7703770168835051,0.7681703517875719,0.7660043775881596,0.7638713298682925,0.7617827798463657,0.7597493734989178,0.7577464353321661,0.7557854951322446
Indirect Heating Steam Distributed,0.7442250661749057,0.9152044626566471,1.0345881016651295,0.989918158350673,0.9186106752203711,1.0,0.8971359123739778,0.7703263090829877,0.8327451300238237,0.7690428977603158,0.6696321517872953,0.7527477371332603,1.5235991904862862,1.1357877585847866,0.8254167931443744,0.9185775751186116,0.9008397173935526,0.8887102989800122,0.881750420192673,0.8758361071770665,0.870006579916685,0.8762590632601904,0.877292353995604,0.8779116708236646,0.8782934613877864,0.8783683298921812,0.8782096101862962,0.8778401756969068,0.8771965722331752,0.8760640910268105,0.8749983039591797,0.8799349189648735,0.8842308866206021,0.8880095683652695,0.891532112051723,0.8944146790502614,0.8968233278562152,0.8990720524435456,0.9006770177855214,0.9019859638498249,0.9029044662426676,0.9019549151059627,0.9011316515447125,0.9000443952830369,0.8992649413045944,0.8984086440125522,0.8976362581132891,0.8967777446592969,0.8960142037133505,0.8952774510797282,0.8945981018923148,0.8938072549385337,0.893199995468515,0.8926530247614265,0.8920707091925497,0.8914034355470319,0.8909676147704932,0.8903662532133926,0.8899271741531252,0.8894381990347443,0.8889097344516006
Heat Pumps (Electricity),1.2414036190092737,1.1993555858173046,1.1502917248733973,1.1167134877084,1.0503404368162497,1.0,0.9629972772511788,0.8950688123772449,0.9010265724010458,0.931434014049791,0.9674072288216957,0.9222279609874984,0.8878526129388151,0.8928965399025508,0.8964859343681055,0.8971284548442009,0.8920277884653373,0.8877269012997783,0.8841623862411936,0.880705688021525,0.8772410220393853,0.8735506151287641,0.8691345590627181,0.8647219375054165,0.8604711534502483,0.8562969365736759,0.8522557783793756,0.8483546914473831,0.8445175390943961,0.8407969424315542,0.8371620372175682,0.8334342545683459,0.8298592588802602,0.8263349090944261,0.8229087862689193,0.819556192195775,0.8162880698930618,0.8130505203947265,0.8099193942715461,0.8068721574574834,0.8038602448278569,0.8009532581131964,0.7980760955394668,0.7952955612833076,0.7925414779140336,0.7898776610146062,0.7872385498900184,0.7846853372147876,0.782179520852311,0.779709957122349,0.7773104370360965,0.774947295513777,0.7726326066231428,0.7703770168835051,0.7681703517875719,0.7660043775881596,0.7638713298682925,0.7617827798463657,0.7597493734989178,0.7577464353321661,0.7557854951322446
Direct Heating Coal,1.0634433813036344,1.4611810976551167,1.3600962073372915,1.1247693693101593,1.0341554533841204,1.0,1.1899083415331064,0.9920962109965736,1.5297456896900214,1.4166515914106568,1.220051024327499,1.5499816383506173,3.018093440001488,2.812126631848094,2.469702565741954,2.1979350379746454,1.9749459825356712,1.8041707826584619,1.6734153891555128,1.5680478790408838,1.4811299192365333,1.498746281049795,1.5068171142407294,1.5135492007957263,1.5192730285738807,1.523895330886934,1.5275679251129433,1.5303562752335518,1.5321723779135734,1.5321705907159027,1.532341285950936,1.5537171613336596,1.5726726904551664,1.589821204690497,1.6059857258611332,1.61986934423171,1.6320295161981122,1.6436581410744178,1.6529267117590212,1.6610861593763415,1.667896850235368,1.6680710412000856,1.6687047894723714,1.6683111853718262,1.6690126977106179,1.6693473712990872,1.6699956319341107,1.6702503688032826,1.6708121312646742,1.6714623154939305,1.6722433526919314,1.672627502036699,1.673619402062386,1.6747689096154268,1.675758619653878,1.6764302710021768,1.677900203999666,1.6787611913775171,1.6801355283356936,1.6813275284073623,1.682350737022132
Direct Heating Oil,0.9992571371271016,1.1171960636124902,1.1209300331696452,1.105948221025555,1.0470829227982135,1.0,0.9140839331080343,0.9065216757472737,0.9587779412451088,1.150186496734432,0.9066098415476898,1.017460662741692,1.2676557038687635,1.2890078619628997,1.2154851502731143,1.1485298229785545,1.1154001362445605,1.0896220889279642,1.0706329761275688,1.0529375912594443,1.0354797153610418,1.038000768754181,1.034648218110345,1.0311301911992377,1.0276433390504682,1.0240937428498655,1.0205566837992397,1.0170484369373847,1.013484776003104,1.0097678883735695,1.006206507492033,1.0062154228146525,1.0059975991636276,1.005564698495937,1.0050982464976879,1.0043550085555133,1.0034374525959684,1.0024999225234352,1.001297851615769,1.0000231718236103,0.9985907906159243,0.9961629757602466,0.9938780838611523,0.9915420074430623,0.9894520773448593,0.987415922107875,0.9854900359570601,0.9836076627823134,0.9818530246233279,0.9801780362490855,0.9786193962516423,0.9770567170797166,0.9756708970900186,0.9743938760259719,0.9731627182040594,0.9719415839507971,0.9709132641438066,0.9698480746116782,0.9689456764196813,0.9680653346414473,0.9672190402850166
Direct Heating Gas,0.7442250661749057,0.9152044626566471,1.0345881016651295,0.989918158350673,0.9186106752203711,1.0,0.8971359123739778,0.7703263090829877,0.8327451300238237,0.7690428977603158,0.6696321517872953,0.7527477371332603,1.5235991904862862,1.1357877585847866,0.8254167931443744,0.9185775751186116,0.9008397173935526,0.8887102989800122,0.881750420192673,0.8758361071770665,0.870006579916685,0.8762590632601904,0.877292353995604,0.8779116708236646,0.8782934613877864,0.8783683298921812,0.8782096101862962,0.8778401756969068,0.8771965722331752,0.8760640910268105,0.8749983039591797,0.8799349189648735,0.8842308866206021,0.8880095683652695,0.891532112051723,0.8944146790502614,0.8968233278562152,0.8990720524435456,0.9006770177855214,0.9019859638498249,0.9029044662426676,0.9019549151059627,0.9011316515447125,0.9000443952830369,0.8992649413045944,0.8984086440125522,0.8976362581132891,0.8967777446592969,0.8960142037133505,0.8952774510797282,0.8945981018923148,0.8938072549385337,0.893199995468515,0.8926530247614265,0.8920707091925497,0.8914034355470319,0.8909676147704932,0.8903662532133926,0.8899271741531252,0.8894381990347443,0.8889097344516006
