,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
Indirect Heating Coal,0.9376800296796727,1.218431056588429,0.9954215800198635,0.9598344665599694,0.9653798778583099,1.0,0.9553414714455591,0.958739527000658,1.0750388156618824,1.191134503467697,1.0577120519436924,1.3758171461326543,2.7515834160311177,2.645946275018683,2.3543351506999706,2.115453099198569,1.9026799412501745,1.734098557222084,1.5999967910884718,1.4921833286810333,1.4035853737665307,1.4236184159535554,1.4344227437425676,1.4440218110692966,1.4524865790708616,1.459795065488564,1.4661069384531746,1.4713979393187289,1.475733998078617,1.4781109426331631,1.4805853045426245,1.5045420374820895,1.525955637296226,1.545483506867863,1.5640324284742255,1.5801388504344822,1.5945127084041426,1.6083950143303962,1.6197513799854786,1.6299705151203578,1.6387903693518207,1.6406534311974141,1.6430590385342418,1.6441977951126885,1.6465048652495085,1.6482741500140676,1.650477593178665,1.652112643128077,1.6540505996469803,1.6560617838075764,1.6581406566478651,1.6597971950237198,1.6620933080612024,1.6644698117662555,1.6666534019002903,1.6684784937476034,1.6711574350690384,1.6731750269870922,1.6756156462623875,1.6779508406830377,1.680055059301796
Indirect Heating Oil,1.0044482590715353,1.182555826935939,1.1896429310827359,1.2017132820783232,1.1366577100097446,1.0,0.9265540700019574,0.9826692267888916,1.0876527916280503,1.1022341039322432,0.931496169392359,1.004544868813297,1.22194080753024,1.2869143519422186,1.2374327006558983,1.1879545644217269,1.1624843525280408,1.139983172084423,1.1205733027097993,1.1023746874215108,1.0843024221108781,1.0872354238468345,1.0839716507795234,1.0806741416481287,1.0773625178252402,1.0739889712332134,1.0706408010829878,1.0672705656261934,1.0638980271570844,1.0603266685118156,1.0568915957249012,1.0570097866523285,1.0568653293260704,1.0564863485066787,1.056110444149593,1.0553960496990047,1.0545453943944252,1.0537248724163997,1.0525881072807743,1.0514001594751268,1.0500594363637457,1.0476380679344286,1.045428868940916,1.0430610492729322,1.0409925559730926,1.0389040760039703,1.037018177710366,1.0350992477980003,1.0333243394723624,1.031639543840911,1.0300544385579593,1.0284763867432838,1.0271071892199084,1.0258189990287514,1.0245794237884827,1.0233494271199268,1.022352428129148,1.0213151735098405,1.020397854687779,1.0195690894863325,1.0187570678372848
Indirect Heating Gas,0.9666200807082665,1.184938380276845,1.099009616426368,1.1620703475530683,0.9694960306594297,1.0,0.8299695543725072,0.8672472332105102,1.0050888494153474,0.8909135380016929,0.7315113414722443,0.8093031318134979,1.5061532734046439,1.1825482330585748,0.8995150198355837,1.0987312144352928,1.0853521053838495,1.07449673362343,1.066210054231256,1.0590348595259604,1.051852325461133,1.0577504578525703,1.0573814576903866,1.056732706525431,1.0558318936327125,1.0546410694993475,1.0532533528798318,1.051630529073736,1.0497990829546417,1.0474400933367596,1.0451595888150842,1.0492046666443,1.0525759933086012,1.0554091157580787,1.0580388589693188,1.0599581367111104,1.061441729145579,1.0628289263435509,1.0635099453343693,1.0639237636748629,1.0639497943607095,1.0619362525545297,1.0601444273829015,1.0579857146451759,1.056223500868285,1.0543251398021087,1.05262496469159,1.0507755193698807,1.0490591548498567,1.047397049847754,1.0457958355636572,1.0441025005293108,1.0426511014494748,1.041250595308349,1.0398301592786736,1.0383325849854685,1.037134005412144,1.0357698003281146,1.0345477230859939,1.033352142294073,1.0321094175540104
Indirect Heating Biomass,1.022783085937282,1.1553869051383312,1.19444385906651,1.2116004169667431,1.1441757541773339,1.0,0.9328904623701169,0.987764286401713,1.0744353438281524,1.070393789178713,0.9117642821660785,0.9306616855997699,0.879690119294808,0.8946255186860772,0.9000314368294053,0.9036132027176649,0.8979286910151604,0.8943655693907714,0.8932356434185401,0.8928840567988479,0.8925362656079057,0.8931204567984656,0.8888198394604406,0.884699713407195,0.8807690590428388,0.8769814438422348,0.8734013271866107,0.8699835516144393,0.8667371609604567,0.8636223324395246,0.8606503906177886,0.8578778019533101,0.8552652180868182,0.8527342022615187,0.8503838967044519,0.8480973849753097,0.8459702387290634,0.8439713715567856,0.8420728804134544,0.8403241248889103,0.8386610745079722,0.8370263878763438,0.835540091303941,0.8341103177775842,0.8328169691120214,0.8316054019604955,0.830550117291161,0.8295678386484587,0.8287011116172248,0.8279311910964755,0.8272691400524598,0.8266981273962766,0.8262556891250336,0.8258988398885798,0.825639060533995,0.8254624177974104,0.8254040644535185,0.8254264648358624,0.8255182325007244,0.8257358830811727,0.8260225960029591
Indirect Heating Electric,1.117804223412657,1.0932206856969153,1.0879477359654668,1.1178109930913354,1.053136195211802,1.0,1.0316437420367177,0.9344182170499882,0.8929297649636915,0.8098501312437745,0.7337684149142156,0.7086646580350585,0.6690727465545834,0.689716952123119,0.7013087068168253,0.7095188559316222,0.7083355463417642,0.7066321372146303,0.7046496509517709,0.7025891497687332,0.7004223370316818,0.699531058628051,0.6984480470285293,0.6973880601841347,0.6963606012691526,0.6953311655272595,0.6943532478321903,0.6933930681264588,0.6924603929958527,0.6915252159435751,0.6905990062878828,0.6897285880387534,0.688885081077865,0.6880069733862283,0.6871761509817979,0.6862999909404222,0.6854576180823325,0.684625864693545,0.6837838807089041,0.6829732537823087,0.682143856389111,0.6812509002370005,0.6803935024081187,0.6794985043813263,0.6786326714274796,0.6777531899050465,0.6769222967558207,0.6760737319459413,0.675243549812628,0.6744181705971637,0.6736078780725865,0.672800572801097,0.672028020266661,0.6712566557087616,0.6704973515458141,0.669739722587624,0.6690139090393141,0.6682904852788043,0.6675613764256023,0.6668735708888801,0.6661822454823345
Indirect Heating Steam Distributed,0.9666200807082665,1.184938380276845,1.099009616426368,1.1620703475530683,0.9694960306594297,1.0,0.8299695543725072,0.8672472332105102,1.0050888494153474,0.8909135380016929,0.7315113414722443,0.8093031318134979,1.5061532734046439,1.1825482330585748,0.8995150198355837,1.0987312144352928,1.0853521053838495,1.07449673362343,1.066210054231256,1.0590348595259604,1.051852325461133,1.0577504578525703,1.0573814576903866,1.056732706525431,1.0558318936327125,1.0546410694993475,1.0532533528798318,1.051630529073736,1.0497990829546417,1.0474400933367596,1.0451595888150842,1.0492046666443,1.0525759933086012,1.0554091157580787,1.0580388589693188,1.0599581367111104,1.061441729145579,1.0628289263435509,1.0635099453343693,1.0639237636748629,1.0639497943607095,1.0619362525545297,1.0601444273829015,1.0579857146451759,1.056223500868285,1.0543251398021087,1.05262496469159,1.0507755193698807,1.0490591548498567,1.047397049847754,1.0457958355636572,1.0441025005293108,1.0426511014494748,1.041250595308349,1.0398301592786736,1.0383325849854685,1.037134005412144,1.0357698003281146,1.0345477230859939,1.033352142294073,1.0321094175540104
Heat Pumps (Electricity),1.117804223412657,1.0932206856969153,1.0879477359654668,1.1178109930913354,1.053136195211802,1.0,1.0316437420367177,0.9344182170499882,0.8929297649636915,0.8098501312437745,0.7337684149142156,0.7086646580350585,0.6690727465545834,0.689716952123119,0.7013087068168253,0.7095188559316222,0.7083355463417642,0.7066321372146303,0.7046496509517709,0.7025891497687332,0.7004223370316818,0.699531058628051,0.6984480470285293,0.6973880601841347,0.6963606012691526,0.6953311655272595,0.6943532478321903,0.6933930681264588,0.6924603929958527,0.6915252159435751,0.6905990062878828,0.6897285880387534,0.688885081077865,0.6880069733862283,0.6871761509817979,0.6862999909404222,0.6854576180823325,0.684625864693545,0.6837838807089041,0.6829732537823087,0.682143856389111,0.6812509002370005,0.6803935024081187,0.6794985043813263,0.6786326714274796,0.6777531899050465,0.6769222967558207,0.6760737319459413,0.675243549812628,0.6744181705971637,0.6736078780725865,0.672800572801097,0.672028020266661,0.6712566557087616,0.6704973515458141,0.669739722587624,0.6690139090393141,0.6682904852788043,0.6675613764256023,0.6668735708888801,0.6661822454823345
Direct Heating Coal,0.9376800296796727,1.218431056588429,0.9954215800198635,0.9598344665599694,0.9653798778583099,1.0,0.9553414714455591,0.958739527000658,1.0750388156618824,1.191134503467697,1.0577120519436924,1.3758171461326543,2.7515834160311177,2.645946275018683,2.3543351506999706,2.115453099198569,1.9026799412501745,1.734098557222084,1.5999967910884718,1.4921833286810333,1.4035853737665307,1.4236184159535554,1.4344227437425676,1.4440218110692966,1.4524865790708616,1.459795065488564,1.4661069384531746,1.4713979393187289,1.475733998078617,1.4781109426331631,1.4805853045426245,1.5045420374820895,1.525955637296226,1.545483506867863,1.5640324284742255,1.5801388504344822,1.5945127084041426,1.6083950143303962,1.6197513799854786,1.6299705151203578,1.6387903693518207,1.6406534311974141,1.6430590385342418,1.6441977951126885,1.6465048652495085,1.6482741500140676,1.650477593178665,1.652112643128077,1.6540505996469803,1.6560617838075764,1.6581406566478651,1.6597971950237198,1.6620933080612024,1.6644698117662555,1.6666534019002903,1.6684784937476034,1.6711574350690384,1.6731750269870922,1.6756156462623875,1.6779508406830377,1.680055059301796
Direct Heating Oil,1.0044482590715353,1.182555826935939,1.1896429310827359,1.2017132820783232,1.1366577100097446,1.0,0.9265540700019574,0.9826692267888916,1.0876527916280503,1.1022341039322432,0.931496169392359,1.004544868813297,1.22194080753024,1.2869143519422186,1.2374327006558983,1.1879545644217269,1.1624843525280408,1.139983172084423,1.1205733027097993,1.1023746874215108,1.0843024221108781,1.0872354238468345,1.0839716507795234,1.0806741416481287,1.0773625178252402,1.0739889712332134,1.0706408010829878,1.0672705656261934,1.0638980271570844,1.0603266685118156,1.0568915957249012,1.0570097866523285,1.0568653293260704,1.0564863485066787,1.056110444149593,1.0553960496990047,1.0545453943944252,1.0537248724163997,1.0525881072807743,1.0514001594751268,1.0500594363637457,1.0476380679344286,1.045428868940916,1.0430610492729322,1.0409925559730926,1.0389040760039703,1.037018177710366,1.0350992477980003,1.0333243394723624,1.031639543840911,1.0300544385579593,1.0284763867432838,1.0271071892199084,1.0258189990287514,1.0245794237884827,1.0233494271199268,1.022352428129148,1.0213151735098405,1.020397854687779,1.0195690894863325,1.0187570678372848
Direct Heating Gas,0.9666200807082665,1.184938380276845,1.099009616426368,1.1620703475530683,0.9694960306594297,1.0,0.8299695543725072,0.8672472332105102,1.0050888494153474,0.8909135380016929,0.7315113414722443,0.8093031318134979,1.5061532734046439,1.1825482330585748,0.8995150198355837,1.0987312144352928,1.0853521053838495,1.07449673362343,1.066210054231256,1.0590348595259604,1.051852325461133,1.0577504578525703,1.0573814576903866,1.056732706525431,1.0558318936327125,1.0546410694993475,1.0532533528798318,1.051630529073736,1.0497990829546417,1.0474400933367596,1.0451595888150842,1.0492046666443,1.0525759933086012,1.0554091157580787,1.0580388589693188,1.0599581367111104,1.061441729145579,1.0628289263435509,1.0635099453343693,1.0639237636748629,1.0639497943607095,1.0619362525545297,1.0601444273829015,1.0579857146451759,1.056223500868285,1.0543251398021087,1.05262496469159,1.0507755193698807,1.0490591548498567,1.047397049847754,1.0457958355636572,1.0441025005293108,1.0426511014494748,1.041250595308349,1.0398301592786736,1.0383325849854685,1.037134005412144,1.0357698003281146,1.0345477230859939,1.033352142294073,1.0321094175540104
