,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
Indirect Heating Coal,0.8019401674117649,1.6250688882552864,1.1586484722697035,0.9182126098784925,1.00319777887951,1.0,0.8357542979629997,1.104241366438348,1.3896670357805965,1.5084767801558214,1.3423112356266989,1.927957283236981,4.354487807779059,4.055531221566436,3.5374462500551354,3.123376916696319,2.776721500021363,2.5098475909864755,2.3039798675800394,2.138966442171224,2.0042125288003207,2.0443304194316387,2.0704033252317826,2.094340984363271,2.116012047603571,2.1355402845654066,2.153286012265236,2.168998989514215,2.1831460479971985,2.193806413618749,2.2044779120541427,2.2509533408466718,2.2929488681824393,2.331634144378574,2.3683941972809723,2.4011416927465903,2.4308148793390356,2.4595451251056266,2.483898582663745,2.506110291326784,2.5259782102273705,2.5342022691901662,2.5430490832813977,2.5498899622632125,2.55852775180405,2.5662850614188275,2.5745039264417113,2.5817995032642567,2.5894542405084735,2.5971789698598657,2.604878768452961,2.611896221585072,2.6197017671399605,2.6276849620150426,2.6353005591997287,2.6422013388371366,2.650363525623399,2.65738227133158,2.6651032285188387,2.6724714690753237,2.6793736769319043
Indirect Heating Oil,1.0184506636177186,1.2003998792517514,1.2290520748328204,1.164084105122978,1.1405802231262352,1.0,0.9150803197412005,0.9653633705860853,1.049737188089978,1.080276962586453,0.9634925626490808,1.061897102909942,1.3034820632505633,1.32891068274719,1.2600101427240427,1.1954595036998903,1.161257983159444,1.133846179624293,1.1128984792156824,1.0931838849956592,1.0738316079183838,1.076276173670119,1.0724136865565546,1.0685776671815694,1.0646585629880947,1.0606767039268856,1.0567867009958138,1.0528200370929963,1.0489685219626754,1.0449198899643888,1.041010308982926,1.0404766382207802,1.039691165057796,1.038694459226878,1.037667735162652,1.0364206543695167,1.0350524659372564,1.03373499733581,1.0321185036879799,1.0304251493301597,1.0286446433729735,1.0258765968626995,1.0232600531281564,1.0205869255733304,1.018196258250508,1.0158447286259291,1.0136408286482383,1.0114630407273522,1.009416366592716,1.0074833487442283,1.0056404536219554,1.0038580567051059,1.0022151671414061,1.0007089758212875,0.9992741419984178,0.9978449843485755,0.9966187114569436,0.9953776033724588,0.994285497907085,0.993252561743672,0.9922403080850325
Indirect Heating Gas,0.9340616669679601,1.1031027462837242,1.0933156208538601,1.1015586297784903,1.0737739657915324,1.0,0.8477640036950089,0.8252480522193748,0.9038146910776558,0.8794850791832872,0.8105477702345735,0.9265295947678956,1.829680969737428,1.394899662531917,1.0467544503929935,1.149492419726989,1.1267858875422236,1.1102793619728817,1.0995781597446643,1.0901091329434511,1.0808607448587475,1.0895446617261413,1.0914585473051963,1.0929923544483364,1.0940495055093764,1.0946680824941049,1.0950074939859331,1.0949150676745434,1.0946027765915438,1.0935336148804853,1.0925303190803874,1.0998210773943218,1.1061535322196923,1.11175183445967,1.1169743708629742,1.1213419152610613,1.1250783416198646,1.128661691060515,1.1312755461487178,1.1334483495810204,1.1351403751248343,1.134170958126267,1.1333838445374897,1.132195064539128,1.1314768500351278,1.1306126881798362,1.129903272921148,1.129033007516636,1.1282904124133222,1.1276148783231934,1.1269749023508238,1.1262401531118762,1.1257126798677493,1.1252885932210337,1.1248314029762316,1.1242384624736885,1.1239774039554842,1.1234954886098703,1.1232155384624734,1.1228986828741157,1.1225007192196217
Indirect Heating Biomass,1.0366709336448094,1.1685023011203268,1.2301098123359462,1.171722054676455,1.146590964715995,1.0,0.9197793926270408,0.9679025852233525,1.03340086920099,1.0445959238456715,0.9405576992636592,0.9807486968640303,0.9398281551077011,0.9263919257918999,0.9173340525941185,0.908534535991576,0.8956443562785094,0.8876703422007524,0.8846828046535311,0.8824504156284834,0.8803741933346239,0.8803450295883789,0.8753679327597641,0.8706266308521913,0.8660241989484431,0.8615736031194917,0.8573821704816673,0.8533122040520497,0.8495127127782502,0.8458523992861395,0.8423425124436215,0.8388271483878238,0.8354904086282771,0.8322614440081176,0.8291914853761257,0.8262891811659516,0.8235622719527896,0.8209826709355043,0.8185250788570265,0.8162002981758223,0.8140180742824165,0.811955535357662,0.8099928717419961,0.8081712422379924,0.8064702035962512,0.8048995163158913,0.8034406853502192,0.8021038123719275,0.8008721488435547,0.799755951532284,0.7987402106959967,0.7978591317149365,0.7970503252563265,0.7963717030028659,0.7958090228037573,0.7953274495189092,0.7949383238479781,0.7946520308261815,0.7944579251457679,0.7943660284497074,0.7943475945179681
Indirect Heating Electric,1.1644307312632165,1.107083864820628,1.093183951075549,1.0690386502103177,1.10656576389443,1.0,0.9466457773070763,0.9261298655426412,0.9302101608189857,1.0135219749436768,1.1362634108102114,1.0897552658461036,1.045941839130891,1.0479764285410997,1.0509390416309294,1.0500007117932593,1.039939716440725,1.0311166467269262,1.0236010030462044,1.016177531774572,1.008846042903523,1.0037234944583275,0.9970701233172936,0.9906188235320417,0.984260488435428,0.9780107173877483,0.9719926633153072,0.9660510972897448,0.9603556511787114,0.9547587129399399,0.9492739804672381,0.9437270247506584,0.9383267295279689,0.932994207096311,0.9277878047284038,0.922718283289023,0.9177949273148746,0.9129868657460208,0.9082670057313292,0.9036480770743062,0.899141526168802,0.8947232392185871,0.8903713357173709,0.886132541072631,0.8819847120587027,0.8779391870408734,0.8739762662565608,0.8701076733442739,0.8663156508556406,0.8626117824646944,0.8589802815196135,0.8554587882220097,0.8519805590505897,0.8486081057930831,0.8453263020251331,0.842098586692487,0.8389375214675272,0.8358542717996277,0.8328382201939737,0.8299000066583385,0.8270096852726652
Indirect Heating Steam Distributed,0.9340616669679601,1.1031027462837242,1.0933156208538601,1.1015586297784903,1.0737739657915324,1.0,0.8477640036950089,0.8252480522193748,0.9038146910776558,0.8794850791832872,0.8105477702345735,0.9265295947678956,1.829680969737428,1.394899662531917,1.0467544503929935,1.149492419726989,1.1267858875422236,1.1102793619728817,1.0995781597446643,1.0901091329434511,1.0808607448587475,1.0895446617261413,1.0914585473051963,1.0929923544483364,1.0940495055093764,1.0946680824941049,1.0950074939859331,1.0949150676745434,1.0946027765915438,1.0935336148804853,1.0925303190803874,1.0998210773943218,1.1061535322196923,1.11175183445967,1.1169743708629742,1.1213419152610613,1.1250783416198646,1.128661691060515,1.1312755461487178,1.1334483495810204,1.1351403751248343,1.134170958126267,1.1333838445374897,1.132195064539128,1.1314768500351278,1.1306126881798362,1.129903272921148,1.129033007516636,1.1282904124133222,1.1276148783231934,1.1269749023508238,1.1262401531118762,1.1257126798677493,1.1252885932210337,1.1248314029762316,1.1242384624736885,1.1239774039554842,1.1234954886098703,1.1232155384624734,1.1228986828741157,1.1225007192196217
Heat Pumps (Electricity),1.1644307312632165,1.107083864820628,1.093183951075549,1.0690386502103177,1.10656576389443,1.0,0.9466457773070763,0.9261298655426412,0.9302101608189857,1.0135219749436768,1.1362634108102114,1.0897552658461036,1.045941839130891,1.0479764285410997,1.0509390416309294,1.0500007117932593,1.039939716440725,1.0311166467269262,1.0236010030462044,1.016177531774572,1.008846042903523,1.0037234944583275,0.9970701233172936,0.9906188235320417,0.984260488435428,0.9780107173877483,0.9719926633153072,0.9660510972897448,0.9603556511787114,0.9547587129399399,0.9492739804672381,0.9437270247506584,0.9383267295279689,0.932994207096311,0.9277878047284038,0.922718283289023,0.9177949273148746,0.9129868657460208,0.9082670057313292,0.9036480770743062,0.899141526168802,0.8947232392185871,0.8903713357173709,0.886132541072631,0.8819847120587027,0.8779391870408734,0.8739762662565608,0.8701076733442739,0.8663156508556406,0.8626117824646944,0.8589802815196135,0.8554587882220097,0.8519805590505897,0.8486081057930831,0.8453263020251331,0.842098586692487,0.8389375214675272,0.8358542717996277,0.8328382201939737,0.8299000066583385,0.8270096852726652
Direct Heating Coal,0.8019401674117649,1.6250688882552864,1.1586484722697035,0.9182126098784925,1.00319777887951,1.0,0.8357542979629997,1.104241366438348,1.3896670357805965,1.5084767801558214,1.3423112356266989,1.927957283236981,4.354487807779059,4.055531221566436,3.5374462500551354,3.123376916696319,2.776721500021363,2.5098475909864755,2.3039798675800394,2.138966442171224,2.0042125288003207,2.0443304194316387,2.0704033252317826,2.094340984363271,2.116012047603571,2.1355402845654066,2.153286012265236,2.168998989514215,2.1831460479971985,2.193806413618749,2.2044779120541427,2.2509533408466718,2.2929488681824393,2.331634144378574,2.3683941972809723,2.4011416927465903,2.4308148793390356,2.4595451251056266,2.483898582663745,2.506110291326784,2.5259782102273705,2.5342022691901662,2.5430490832813977,2.5498899622632125,2.55852775180405,2.5662850614188275,2.5745039264417113,2.5817995032642567,2.5894542405084735,2.5971789698598657,2.604878768452961,2.611896221585072,2.6197017671399605,2.6276849620150426,2.6353005591997287,2.6422013388371366,2.650363525623399,2.65738227133158,2.6651032285188387,2.6724714690753237,2.6793736769319043
Direct Heating Oil,1.0184506636177186,1.2003998792517514,1.2290520748328204,1.164084105122978,1.1405802231262352,1.0,0.9150803197412005,0.9653633705860853,1.049737188089978,1.080276962586453,0.9634925626490808,1.061897102909942,1.3034820632505633,1.32891068274719,1.2600101427240427,1.1954595036998903,1.161257983159444,1.133846179624293,1.1128984792156824,1.0931838849956592,1.0738316079183838,1.076276173670119,1.0724136865565546,1.0685776671815694,1.0646585629880947,1.0606767039268856,1.0567867009958138,1.0528200370929963,1.0489685219626754,1.0449198899643888,1.041010308982926,1.0404766382207802,1.039691165057796,1.038694459226878,1.037667735162652,1.0364206543695167,1.0350524659372564,1.03373499733581,1.0321185036879799,1.0304251493301597,1.0286446433729735,1.0258765968626995,1.0232600531281564,1.0205869255733304,1.018196258250508,1.0158447286259291,1.0136408286482383,1.0114630407273522,1.009416366592716,1.0074833487442283,1.0056404536219554,1.0038580567051059,1.0022151671414061,1.0007089758212875,0.9992741419984178,0.9978449843485755,0.9966187114569436,0.9953776033724588,0.994285497907085,0.993252561743672,0.9922403080850325
Direct Heating Gas,0.9340616669679601,1.1031027462837242,1.0933156208538601,1.1015586297784903,1.0737739657915324,1.0,0.8477640036950089,0.8252480522193748,0.9038146910776558,0.8794850791832872,0.8105477702345735,0.9265295947678956,1.829680969737428,1.394899662531917,1.0467544503929935,1.149492419726989,1.1267858875422236,1.1102793619728817,1.0995781597446643,1.0901091329434511,1.0808607448587475,1.0895446617261413,1.0914585473051963,1.0929923544483364,1.0940495055093764,1.0946680824941049,1.0950074939859331,1.0949150676745434,1.0946027765915438,1.0935336148804853,1.0925303190803874,1.0998210773943218,1.1061535322196923,1.11175183445967,1.1169743708629742,1.1213419152610613,1.1250783416198646,1.128661691060515,1.1312755461487178,1.1334483495810204,1.1351403751248343,1.134170958126267,1.1333838445374897,1.132195064539128,1.1314768500351278,1.1306126881798362,1.129903272921148,1.129033007516636,1.1282904124133222,1.1276148783231934,1.1269749023508238,1.1262401531118762,1.1257126798677493,1.1252885932210337,1.1248314029762316,1.1242384624736885,1.1239774039554842,1.1234954886098703,1.1232155384624734,1.1228986828741157,1.1225007192196217
