,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
Indirect Heating Coal,0.9773405838447334,0.9384571335389367,1.0827828529032346,1.127115942102223,0.9492933324079189,1.0,0.907161621017532,0.804985427365944,0.8128393402236707,0.7934906936730486,0.6531356119738917,0.5157192733679279,1.1112516716866996,1.0025896995569505,0.8089525946833266,0.653682825338637,0.5274063178103813,0.42853043265616736,0.3505634577088143,0.28893949427586424,0.23996725472501396,0.23883526863685015,0.23621957616117012,0.23306346655216656,0.22784771953976002,0.22298379214169523,0.21871630731899577,0.2147583182547508,0.21110023834960487,0.2076940825287858,0.20458531408426,0.20154912977695488,0.19871386809929234,0.1960658021966387,0.19361013365403817,0.19131065744387593,0.18918543213266956,0.1872122126085674,0.18534543128153236,0.1835908721458235,0.18191422985009775,0.18046856743979336,0.17910420376556677,0.17780935785719934,0.1765822202379872,0.17538881524827907,0.17423837248865262,0.17315364090952967,0.17213628187281915,0.17117680522876286,0.17026744832711055,0.16935424210445787,0.16848929859134332,0.16766268235790044,0.16687421142670442,0.166121198196435,0.16539796194611986,0.1647024786638321,0.16403542030821253,0.16339484660287887,0.16277896188754074
Indirect Heating Oil,0.6216496084942832,0.7264780433838932,0.6071989296473911,0.552977557081876,0.4748540416093465,1.0,0.8869843740564413,0.8140619582751879,0.35516864862184694,0.34196985574766714,0.5307405273502271,0.48928785056169316,1.1334062192473633,1.3067903980491267,1.1690374067308924,1.0388624052555726,1.0192777490083917,1.0019650976174679,0.9857367546657603,0.9703600337443787,0.9550230426824671,0.9864376779108515,1.0109747122752382,1.032146353199945,1.04276395858591,1.0533162437858457,1.06515913982152,1.0771252638145064,1.0893072125086998,1.1015883124393606,1.1143342594723655,1.1264218732533176,1.1386238594641047,1.1509515692002938,1.163522288077182,1.1761992390307143,1.1891666381742871,1.202357902403168,1.2155447785471796,1.2288098019084426,1.2419726450811286,1.2561347826601215,1.270327803999858,1.284504752092799,1.2986837301293521,1.3126411413367016,1.3264631913415583,1.3403456652267862,1.3543311886948703,1.3683756912776615,1.382437338731938,1.3960949895493866,1.409786712753804,1.4234483636824375,1.4370977274411967,1.450726829564544,1.4643029964227219,1.4778203989884762,1.4912987647567568,1.5047325186882785,1.5181175916606675
Indirect Heating Gas,1.0179940902628004,0.8997990659981713,1.1569155998267249,1.1567772227753652,1.0109990144794285,1.0,1.502855805493322,1.4979630047444694,1.339754143122865,1.3493871286256776,1.2540435173904914,1.1560983673099487,7.012513967709502,3.6397480481334363,0.9616531113480696,1.7583344153266782,1.7990173683181963,1.8415158383614258,1.8841880336947534,1.9267952690178358,1.9678360731200817,2.026741125434692,2.071297650317496,2.1087992683262193,2.124644178696345,2.140321209085302,2.1585668276589387,2.1769985007475916,2.1957937454266294,2.214710299868874,2.234475268748864,2.2528312149206675,2.271326992198979,2.289979836525017,2.3090188240773903,2.328166554103507,2.3477828041215414,2.36772915524858,2.387553600543777,2.407415970309705,2.4269602585507437,2.448334882172946,2.4696394098280106,2.490782292027283,2.5117976267360884,2.5322525245004943,2.5523154312500997,2.5723630314889916,2.592475954621721,2.6125673551472675,2.632557041148551,2.651643211984854,2.670661627877755,2.6894897990092934,2.7081614334369055,2.726661131361239,2.744927905808541,2.7629512692862996,2.780768259466496,2.798371030339457,2.815748458002089
Indirect Heating Biomass,0.6216496084942832,0.7264780433838932,0.6071989296473911,0.552977557081876,0.4748540416093465,1.0,0.8869843740564413,0.8140619582751879,0.35516864862184694,0.34196985574766714,0.5307405273502271,0.48928785056169316,0.5139490152480278,0.5467092691591622,0.5868108226995972,0.6254116569580515,0.6598231686403097,0.6948620746142208,0.7299439317666367,0.7650197544558103,0.799515315662409,0.8344054551908753,0.8634146563288364,0.8894221250027654,0.9061260035587322,0.9225163098173075,0.9398182000818056,0.9570427067870279,0.9742962212355664,0.9914967650861242,1.0089926740931254,1.0257839770247457,1.0425809368232706,1.059407494417397,1.07638491546113,1.0933986798604844,1.1106309594503243,1.1280313251519154,1.1453934426791355,1.1628028429192216,1.1800940021907997,1.1983225084984521,1.2165767768530682,1.2348168741943581,1.2530634253353368,1.2711045598987014,1.2890242260693152,1.3070163130273853,1.3251260532892384,1.3433135847694755,1.3615419718560553,1.3793969898059337,1.3973119446208615,1.4152255362337423,1.4331577245753566,1.4511023034736308,1.4690280679558818,1.486930967447379,1.5048323867359754,1.5227279636751099,1.5406147447172
Indirect Heating Electric,0.9711272453756888,0.8861448569039472,0.9255081185278003,0.867235294969182,0.8528522631525776,1.0,1.4193300078846138,1.400037415210458,1.2521727261027058,1.261176170450301,1.1538036459326615,1.063687577632647,1.0602400535041883,1.0673615728272345,1.088119458562662,1.1046340960567558,1.1126595272504836,1.1207994389607039,1.1278835262374847,1.1337648176424087,1.1391828468293623,1.1454889951428255,1.153924786837269,1.1590354755776389,1.1529951314317495,1.1476882606313026,1.1444963043254037,1.1420551335639808,1.1403987278706489,1.1393478445595726,1.1392273853761146,1.1388461067422575,1.138964029284664,1.1395561343544423,1.1407058169272883,1.1422470441565842,1.1443320483200885,1.1468688722419327,1.1496178035981919,1.152640392183138,1.1557515379011183,1.1599567831146964,1.164335321199883,1.1688335714621212,1.1734569770151515,1.1779969985154513,1.182524937855711,1.1872091130561344,1.1920785581912363,1.1970854331793876,1.2021871226301577,1.2070127332597753,1.2119393234993951,1.2169063033451333,1.221924448684644,1.226982375389017,1.2320485915425725,1.2371145974796924,1.2421936758256187,1.2472787808428691,1.252363123970912
Indirect Heating Steam Distributed,1.0179940902628004,0.8997990659981713,1.1569155998267249,1.1567772227753652,1.0109990144794285,1.0,1.502855805493322,1.4979630047444694,1.339754143122865,1.3493871286256776,1.2540435173904914,1.1560983673099487,7.012513967709502,3.6397480481334363,0.9616531113480696,1.7583344153266782,1.7990173683181963,1.8415158383614258,1.8841880336947534,1.9267952690178358,1.9678360731200817,2.026741125434692,2.071297650317496,2.1087992683262193,2.124644178696345,2.140321209085302,2.1585668276589387,2.1769985007475916,2.1957937454266294,2.214710299868874,2.234475268748864,2.2528312149206675,2.271326992198979,2.289979836525017,2.3090188240773903,2.328166554103507,2.3477828041215414,2.36772915524858,2.387553600543777,2.407415970309705,2.4269602585507437,2.448334882172946,2.4696394098280106,2.490782292027283,2.5117976267360884,2.5322525245004943,2.5523154312500997,2.5723630314889916,2.592475954621721,2.6125673551472675,2.632557041148551,2.651643211984854,2.670661627877755,2.6894897990092934,2.7081614334369055,2.726661131361239,2.744927905808541,2.7629512692862996,2.780768259466496,2.798371030339457,2.815748458002089
Heat Pumps (Electricity),0.9711272453756888,0.8861448569039472,0.9255081185278003,0.867235294969182,0.8528522631525776,1.0,1.4193300078846138,1.400037415210458,1.2521727261027058,1.261176170450301,1.1538036459326615,1.063687577632647,1.0602400535041883,1.0673615728272345,1.088119458562662,1.1046340960567558,1.1126595272504836,1.1207994389607039,1.1278835262374847,1.1337648176424087,1.1391828468293623,1.1454889951428255,1.153924786837269,1.1590354755776389,1.1529951314317495,1.1476882606313026,1.1444963043254037,1.1420551335639808,1.1403987278706489,1.1393478445595726,1.1392273853761146,1.1388461067422575,1.138964029284664,1.1395561343544423,1.1407058169272883,1.1422470441565842,1.1443320483200885,1.1468688722419327,1.1496178035981919,1.152640392183138,1.1557515379011183,1.1599567831146964,1.164335321199883,1.1688335714621212,1.1734569770151515,1.1779969985154513,1.182524937855711,1.1872091130561344,1.1920785581912363,1.1970854331793876,1.2021871226301577,1.2070127332597753,1.2119393234993951,1.2169063033451333,1.221924448684644,1.226982375389017,1.2320485915425725,1.2371145974796924,1.2421936758256187,1.2472787808428691,1.252363123970912
Direct Heating Coal,0.9773405838447334,0.9384571335389367,1.0827828529032346,1.127115942102223,0.9492933324079189,1.0,0.907161621017532,0.804985427365944,0.8128393402236707,0.7934906936730486,0.6531356119738917,0.5157192733679279,1.1112516716866996,1.0025896995569505,0.8089525946833266,0.653682825338637,0.5274063178103813,0.42853043265616736,0.3505634577088143,0.28893949427586424,0.23996725472501396,0.23883526863685015,0.23621957616117012,0.23306346655216656,0.22784771953976002,0.22298379214169523,0.21871630731899577,0.2147583182547508,0.21110023834960487,0.2076940825287858,0.20458531408426,0.20154912977695488,0.19871386809929234,0.1960658021966387,0.19361013365403817,0.19131065744387593,0.18918543213266956,0.1872122126085674,0.18534543128153236,0.1835908721458235,0.18191422985009775,0.18046856743979336,0.17910420376556677,0.17780935785719934,0.1765822202379872,0.17538881524827907,0.17423837248865262,0.17315364090952967,0.17213628187281915,0.17117680522876286,0.17026744832711055,0.16935424210445787,0.16848929859134332,0.16766268235790044,0.16687421142670442,0.166121198196435,0.16539796194611986,0.1647024786638321,0.16403542030821253,0.16339484660287887,0.16277896188754074
Direct Heating Oil,0.6216496084942832,0.7264780433838932,0.6071989296473911,0.552977557081876,0.4748540416093465,1.0,0.8869843740564413,0.8140619582751879,0.35516864862184694,0.34196985574766714,0.5307405273502271,0.48928785056169316,1.1334062192473633,1.3067903980491267,1.1690374067308924,1.0388624052555726,1.0192777490083917,1.0019650976174679,0.9857367546657603,0.9703600337443787,0.9550230426824671,0.9864376779108515,1.0109747122752382,1.032146353199945,1.04276395858591,1.0533162437858457,1.06515913982152,1.0771252638145064,1.0893072125086998,1.1015883124393606,1.1143342594723655,1.1264218732533176,1.1386238594641047,1.1509515692002938,1.163522288077182,1.1761992390307143,1.1891666381742871,1.202357902403168,1.2155447785471796,1.2288098019084426,1.2419726450811286,1.2561347826601215,1.270327803999858,1.284504752092799,1.2986837301293521,1.3126411413367016,1.3264631913415583,1.3403456652267862,1.3543311886948703,1.3683756912776615,1.382437338731938,1.3960949895493866,1.409786712753804,1.4234483636824375,1.4370977274411967,1.450726829564544,1.4643029964227219,1.4778203989884762,1.4912987647567568,1.5047325186882785,1.5181175916606675
Direct Heating Gas,1.0179940902628004,0.8997990659981713,1.1569155998267249,1.1567772227753652,1.0109990144794285,1.0,1.502855805493322,1.4979630047444694,1.339754143122865,1.3493871286256776,1.2540435173904914,1.1560983673099487,7.012513967709502,3.6397480481334363,0.9616531113480696,1.7583344153266782,1.7990173683181963,1.8415158383614258,1.8841880336947534,1.9267952690178358,1.9678360731200817,2.026741125434692,2.071297650317496,2.1087992683262193,2.124644178696345,2.140321209085302,2.1585668276589387,2.1769985007475916,2.1957937454266294,2.214710299868874,2.234475268748864,2.2528312149206675,2.271326992198979,2.289979836525017,2.3090188240773903,2.328166554103507,2.3477828041215414,2.36772915524858,2.387553600543777,2.407415970309705,2.4269602585507437,2.448334882172946,2.4696394098280106,2.490782292027283,2.5117976267360884,2.5322525245004943,2.5523154312500997,2.5723630314889916,2.592475954621721,2.6125673551472675,2.632557041148551,2.651643211984854,2.670661627877755,2.6894897990092934,2.7081614334369055,2.726661131361239,2.744927905808541,2.7629512692862996,2.780768259466496,2.798371030339457,2.815748458002089
