,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
Indirect Heating Coal,0.00025797614030776344,0.00029544078867848114,0.00035561677918103036,0.0003927472857515355,0.00041449543713193733,0.0003762336102375341,0.0004023928389342757,0.00037274472701090216,0.00035141987130845665,0.00034063435380219103,0.0003932937424547325,0.0003997010585904608,0.00044030055182694435,0.00047547146048290066,0.0004872575690452427,0.0005001126687692514,0.0005042321783383976,0.0005480886635856659,0.0006276442776688953,0.0006673111593486447,0.000748241786796453,0.000796097705097636,0.0008400359496123454,0.0009741380017688924,0.0010940608697098107,0.0010969666882794467,0.0011330998169746395,0.001257934772201434,0.0013850803881727005,0.0015319924721132454,0.001645728506163166,0.005426042070146797,0.004324081363771481,0.0065233781074496965,0.005723401088781951,0.003937414878115714,0.004980091966126148,0.0036529181566271603,0.004472430200304737,0.0051514380381504025,0.004489032842067175,0.004953385646953847,0.0036331002334099383,0.0043591568471656895,0.003044577792809807,0.00197367705464527,0.0022999575281337087,0.0023422132165420964,0.002339248483296261,0.002365838927146493,0.00220760881395636,0.002226234338255218,0.00235191360802259,0.0024018599095771602,0.0024464599391861093,0.0024883611446826857,0.002529826403000308,0.0025697932982947863,0.0026103575400868795,0.00265153616437515,0.0026932306708938947,0.0027393657244583268,0.0027867499727992164,0.002834570718300115,0.002883514887299897,0.0029330925674052643,0.002982266776042323,0.0030322552651681376,0.0030825033855948715,0.0031338267458143197,0.003185774696714909,0.0032322210127286627,0.003279534783009359,0.003327427576028585,0.0033760497512413702,0.003426103741769529,0.0034724832417920705,0.0035189269286280906,0.003566412051543143,0.003614331297309743,0.003663278618639968,0.003712704866156543,0.0037628686248549633,0.003813909817964369,0.003865738033964829,0.003918071387443916,0.003971208531529176,0.004024396515326682,0.004078585571959381,0.00413286030490926,0.0041880371006900894
Indirect Heating Oil,0.0074924095338349565,0.008580496549555349,0.010328189822318428,0.011406572346737495,0.0120382046230845,0.010926965125262844,0.011686708465291944,0.010825637374880698,0.010206298888840679,0.009893054748917959,0.011422443106754205,0.011608531000170836,0.012787663418506123,0.013809133276195887,0.014151437615093116,0.014524788699482762,0.014644431751486615,0.015918157095989864,0.018228693414256297,0.019380739964453927,0.0217312108411242,0.023121091851447315,0.02439719173304583,0.02829192204758535,0.031774845848264927,0.0318592396326233,0.032908655278582555,0.03653424099197943,0.04022693530142976,0.04449370779069384,0.047796947171047335,0.043248594390746735,0.04450964562497695,0.07838205399286237,0.09308223193319784,0.059574435590291415,0.04944390740642083,0.055917579810423945,0.04156938234116618,0.031450328667270565,0.03344054728268154,0.05262049897867538,0.033770936341708316,0.02891950606827373,0.03184228587040035,0.038602758679528566,0.04498441384964468,0.045810884491651285,0.045752897861179566,0.046272975086942635,0.043178183636164456,0.043542476577654685,0.046000612527723375,0.04697750234934242,0.04784982549665874,0.048669362877588745,0.04948037365397292,0.05026207824469687,0.05105546621727968,0.051860870775443726,0.052676365371997394,0.05357871174888983,0.05450549087904643,0.055440807370719436,0.056398096680144075,0.057367776707833475,0.05832956531697061,0.059307280276941536,0.06029007331411437,0.0612938967534713,0.062309936438277765,0.0632183707357795,0.06414377139951302,0.06508049705432999,0.06603148855103674,0.0670104846399654,0.06791761209672613,0.06882599497066125,0.0697547470866385,0.07069199012550309,0.07164934109073462,0.07261605927840688,0.07359720230124114,0.07459550688996816,0.07560920470357316,0.07663278240109404,0.07767208127991257,0.07871237452259547,0.07977224755062709,0.08083379630478056,0.08191298832721597
Indirect Heating Gas,0.007009277895529575,0.0080272020003533,0.009662199095696784,0.010671044482111092,0.011261947332884116,0.010222363683118784,0.01093311663588965,0.010127569831054242,0.009548168032414298,0.009255122755597898,0.010685891850887185,0.010859980273584927,0.01196307891740793,0.012918681525904144,0.013238913118336613,0.013588189474796659,0.013700117606324606,0.014891709558404232,0.017053255996743896,0.01813101534538274,0.020329921249488903,0.021630178823381512,0.022823992195726384,0.02646757934609105,0.029725914424769243,0.0298048662605641,0.03078661263430778,0.03417841038435057,0.03763298937943786,0.04162462837877386,0.04471486559389092,0.043022559124043035,0.0453594482931443,0.0359484154259738,0.03408154037439393,0.06451698507774623,0.0769424788667776,0.07243030550142134,0.06235272143827918,0.060130216206691275,0.06853772826931474,0.05322280754740098,0.07034765200312303,0.06583953996759419,0.0889099592900938,0.08908352989257938,0.10381046621935157,0.10571771131428773,0.10558389565173676,0.1067840771069622,0.09964223139056007,0.100482909680221,0.10615554642636356,0.10840991364266586,0.1104229724972174,0.11231421771568104,0.11418578610127254,0.11598972464496665,0.11782062491193318,0.11967925583591625,0.12156117152677202,0.12364351494441972,0.1257822417911336,0.1279406702945649,0.13014980543746854,0.13238753462283678,0.13460705279312354,0.13686332417999678,0.13913131423822114,0.14144783612488734,0.14379254942335692,0.14588894192651394,0.14802448768827406,0.1501861681154371,0.15238076980511872,0.1546399976514188,0.15673337436010412,0.15882964819317144,0.1609729280963854,0.1631358024899604,0.16534507991587982,0.167575974067361,0.16984015638990313,0.17214394243302145,0.17448325139873566,0.17684536015815025,0.1792437486647119,0.18164443186331272,0.18409029930400075,0.18654003381541565,0.18903048367130745
Indirect Heating Biomass,0.0015697094567548606,0.0017976708983492376,0.002163824222640212,0.0023897525089859486,0.0025220836573162787,0.0022892716172678816,0.002448442882555057,0.0022680427819661967,0.0021382872641879736,0.0020726605407034573,0.002393077538400266,0.0024320641854548033,0.002679100242342601,0.002893104947793474,0.002964819975573084,0.0030430395023100533,0.003068105514694636,0.003334959416573077,0.0038190320894001283,0.004060393477388942,0.004552832704886394,0.0048440219886296005,0.005111373371767847,0.005927345186793993,0.006657040807727968,0.006674721864909963,0.006894581398226956,0.0076541656354331454,0.00842780956830585,0.009321726684818723,0.010013777228752616,0.0121697781920503,0.013752410417721584,0.0116887254134614,0.01321066340296042,0.013398088525305418,0.008936029058304028,0.007511852915018717,0.005420084154884045,0.005451630120666737,0.0064922186172688325,0.006627718628171139,0.0057992187271898345,0.004937452939199063,0.006629067414133928,0.010257320076971705,0.011953019605706564,0.012172624996597391,0.012157217097025464,0.012295409256132064,0.011473077703466594,0.011569875689684823,0.012223038522991262,0.012482612499645844,0.012714401574796051,0.012932164696365395,0.013147662173846386,0.01335537256727342,0.013566187406895679,0.013780195229837144,0.013996884124206957,0.014236650812513353,0.014482909642292657,0.014731436974445424,0.014985802807067612,0.015243461035559241,0.015499022398212232,0.015758815626248642,0.01601995817399736,0.016286688808554592,0.01655666547899116,0.016798049817238356,0.017043942368238627,0.017292844135740133,0.01754553654700482,0.01780567018982579,0.0180467072812899,0.01828807795554,0.01853486103663611,0.018783900280679718,0.019038282496155568,0.01929515372024357,0.019555857834942902,0.0198211220298128,0.020090476430667758,0.020362456061820126,0.02063861304179608,0.02091503423885856,0.021196658072526044,0.021478727171241437,0.02176548434552869
Indirect Heating Electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indirect Heating Steam Distributed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heat Pumps (Electricity),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Direct Heating Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Direct Heating Oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007793132900254086,0.005834659220523001,0.011162942529570152,0.0032141683510294662,0.0037198569071207298,0.0034509230130738123,0.0,0.0021721313253175623,0.0003785716025083032,0.020287998787357608,0.013635895387901293,0.016078857366113898,0.027544198109039082,0.03989206325480536,0.046486861150729614,0.047340935322031055,0.047281011979507404,0.047818459413245515,0.04462030413787281,0.044996764203482406,0.047537000139031074,0.04854651738313594,0.04944797550068302,0.050294884844938666,0.051132982802145115,0.05194079576801658,0.05276068233235842,0.05359298682765935,0.054435718361427236,0.05536820246297998,0.05632593535430951,0.05729249074893391,0.05828175283773297,0.05928381948593915,0.06027773114784836,0.061288101089336834,0.06230371871217971,0.06334106913762275,0.06439104382239016,0.06532981917675346,0.06628612756186568,0.06725413918467682,0.06823689311831024,0.06924858697754882,0.07018601184362347,0.07112473405690974,0.07208450583037747,0.07305305211749402,0.07404237792135993,0.07504138380620726,0.07605529630541091,0.07708694355455371,0.07813449815129381,0.07919226261301779,0.08026627333226886,0.0813413116264274,0.08243658365678412,0.08353358738131866,0.08464882364669743
Direct Heating Gas,0.0002586896790988348,0.00029625795131582925,0.00035660038319339677,0.0003938335894040258,0.00041564189421421956,0.00037727423854947415,0.00040350582131895037,0.00037377570538577146,0.00035239186705129065,0.0003415765177740971,0.000394381557557293,0.0004008065957529143,0.00044151838353449616,0.0004767865717590719,0.0004886052796371684,0.0005014959354102956,0.0005056268391722315,0.0005496046275114314,0.0006293802852647,0.0006691568819698996,0.0007503113562509879,0.0007982996397160559,0.0008423594134614741,0.0009768323798276138,0.0010970869436304448,0.0011000007994327757,0.0011362338691106345,0.0012614141065907787,0.001388911395895098,0.0015362298254404866,0.0016502804431264774,0.0,0.004559454813643229,0.008741795792345856,0.031935840089024475,0.022909247863462996,0.023749205835987244,0.030154082539432792,0.0,0.01012337485705422,0.002587712552198966,0.007476125523924604,0.0005095505060800044,0.002102157023196138,0.02148497030553808,0.02976527685080609,0.034685954527803736,0.03532321798538755,0.035278506462981495,0.035679520357795334,0.033293231722502266,0.03357412564379605,0.035469510833702575,0.036222757414720766,0.03689537618268996,0.037527293638006505,0.038152636517992534,0.038755382393011656,0.039367136927190856,0.0399881570426099,0.04061695724412577,0.04131272590528543,0.042027333833119615,0.04274852463061915,0.043486657922021776,0.04423434527567659,0.04497594782435922,0.04572983064155129,0.046487628991698934,0.047261643171095706,0.04804507688267933,0.048745539732766935,0.04945908477193419,0.05018136212730015,0.05091463938909465,0.05166951004133824,0.05236896523089104,0.053069388430012014,0.05378551766023965,0.05450819395288218,0.055246374784984606,0.05599177836434156,0.0567483044444423,0.057518063225455225,0.058299691199649985,0.05908893721696059,0.05989030530351577,0.06069244011029321,0.06150967222491908,0.06232819643507514,0.06316032477050433
