,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
Indirect Heating Coal,15.030868726588821,32.461436767791106,31.592131347003374,21.925587784853374,33.4270520883697,25.539286419621092,15.54015111827694,10.872242423651302,3.100932295760229,8.84920258792887,12.044850221082964,12.04393530965303,11.98689281880024,9.666663815830075,9.078429165662273,6.015329080611376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indirect Heating Oil,170.80424898573358,191.53614545655518,140.0608332039608,57.48729889881348,164.43759539993582,103.38942852748173,57.85311079891589,23.779506223224807,11.499604490217367,24.30585401338591,9.171123120360237,23.09629828588919,10.286665549826381,12.820005553674099,13.093164503321118,9.208079842864699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indirect Heating Gas,431.4420108572802,602.2486026078401,646.0615497108897,578.7756453949416,503.5534009154515,439.5804933022986,485.87050247542237,428.8333822333377,506.2732046645514,362.35032944966935,396.9168565663749,398.12700133775803,308.695207158511,424.73700163463633,469.88026908891317,481.69152210390166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indirect Heating Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indirect Heating Electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indirect Heating Steam Distributed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat Pumps (Electricity),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Direct Heating Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Direct Heating Oil,11.61119523277184,14.5283079969,29.06300932113585,8.714659951836,14.873943953664,11.85994343237562,8.949786453036001,8.975703205584,8.900647656156,8.994883187592,8.896723607134891,2.965511514377964,5.932043268516827,14.82868467339052,23.724791791108128,23.72486477814152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Direct Heating Gas,122.99693005059609,153.21531340427651,142.032897408817,148.8210034237899,135.0222355518062,118.4813641198992,124.3341220723561,109.2157564448881,120.1853348054365,104.7648618837409,108.5114258440624,111.72272140711408,125.41769743186359,137.76528362518079,129.5912708375295,139.06447623376508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Direct Heating Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Direct Heating Electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Direct Heating Steam Distributed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
