,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
Indirect Heating Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indirect Heating Oil,0.000780673521009592,0.0008245171084739887,0.0008295392526751572,0.000838881906910283,0.0007980620003020769,0.005780141517061267,0.006342209522191701,0.006512145199373943,0.006577275671066097,0.007090961246538452,0.007198394588135026,0.0065862266406491255,0.006695601908180435,0.006866036161165474,0.007508522467154549,0.00805197831362757,0.008278902500788252,0.007941082130861511,0.008268016955122644,0.008670629001717027,0.008674587819827129,0.008612512621437134,0.008347189492453456,0.00818780260756127,0.009226728433508469,0.010723141181785266,0.010676677755821151,0.011136075834111948,0.011484795710070331,0.011746245494107622,0.013263168138587193,0.015448744599278598,0.011539849285251777,0.014904696338711916,0.014653931442081656,0.009969844056444872,0.010655686498696918,0.010096441918632851,0.016131763315107614,0.011662449450611907,0.014639762824268534,0.007142805949465644,0.0068198310410989465,0.0042340684289004565,0.003112464415178218,0.003540800232771865,0.003676692661978333,0.0037914992443779352,0.003710140780438002,0.003767159041061319,0.0035030771613469647,0.0035496825996798776,0.003763046993063834,0.00383660398101564,0.0039098830734644215,0.003958055736729766,0.004013390305217162,0.004082230733214593,0.004156613899463592,0.004232061359796467,0.0043084823329026176,0.004351384269175864,0.004402095119802285,0.004455846566498245,0.00451167065660171,0.00456471436835494,0.004616679981113129,0.004669793041158766,0.004728356167285217,0.004786537004954568,0.004846112969023319,0.004905392489564425,0.0049641432382797595,0.005021531466992125,0.0050805543822699676,0.005139561118585251,0.00522155284706414,0.005302837103524363,0.00538503480235849,0.005467468279609424,0.005550422116641592,0.005634750093375446,0.00572024420009746,0.005807727833375862,0.005895708650215025,0.005984915331202068,0.0060753742386397535,0.006168408728780532,0.006263043749442583,0.006359796942254032,0.006460805353084182
Indirect Heating Gas,0.002097401376906748,0.002215194024206268,0.002228686799200011,0.002253787299382693,0.0021441182430855933,0.007473489315456514,0.008184010837306849,0.008403885083757685,0.008495904870534846,0.009141713412603636,0.009214715784993709,0.008561700090373294,0.00870643198604331,0.008822393658894015,0.009545720022802415,0.010176518839637532,0.010493249251619057,0.010208663579546034,0.010659117884079413,0.011170314108335851,0.011182188351375529,0.01116276653858428,0.010903845132777028,0.010752643752536236,0.012064867515810236,0.013783289343289757,0.013811471611928729,0.014421102743110632,0.01484818395732202,0.015232553796465018,0.01731210570702208,0.019633500746467837,0.013412265498745309,0.019150273517388752,0.01734665575674116,0.00921668877472018,0.008777112818642203,0.009312369247106041,0.020141756029725292,0.01563340182767494,0.018761467194193162,0.008662303516427066,0.007444290267427953,0.006267400010266613,0.007120228913275677,0.007887615436122139,0.008186521056880449,0.00843811310112512,0.008344703715569925,0.008488707041073667,0.0079256762162788,0.008100698649307226,0.00855368000996423,0.008731245102401097,0.008900147209569794,0.009018315130501872,0.00915013223802032,0.009319166160656651,0.009499226722723252,0.00968230500393192,0.009868338437719287,0.009977571408724531,0.010101485491953673,0.010231199723006068,0.010365346983076184,0.010495093137734552,0.010623200696490106,0.010753746586446398,0.010894823668762769,0.011035736481983341,0.011179746689744077,0.011327100834906048,0.011474088525667529,0.011619238384098332,0.011768165706005598,0.011917750759502457,0.012108944439229491,0.012299521685689737,0.012492472571908554,0.012686508201664528,0.012882353102155712,0.013081656652671069,0.013284319475596648,0.013491719434410914,0.01370124691217028,0.013914170413184232,0.01413065081753588,0.014353166903763237,0.014580048345574163,0.014812012273180531,0.015053196859961943
Indirect Heating Biomass,0.00018657716268014794,0.00019705556617492404,0.0001982558341363797,0.00020048868291654216,0.0001907329243941084,0.0034607508205596552,0.003801462434678647,0.0039031683957084133,0.0039401484793469225,0.004252448641647436,0.004333783390947356,0.003931512119098821,0.003996143076834565,0.0041251354873915284,0.0045375292358378755,0.004881463399741719,0.005011308998740224,0.004769759471581553,0.0049583451821431255,0.005201818787398178,0.005202445310407716,0.0051495754315722606,0.004969002696298963,0.0048594075213713225,0.0054894632565005005,0.006441263266763444,0.006390663427293655,0.006661680367417571,0.006876612861828401,0.007021193532743292,0.007898904693421513,0.011176077077967464,0.010631691403860036,0.01100141836361153,0.011375832755985296,0.016934515346527037,0.0225427033490763,0.023240321157068918,0.01895290016401568,0.017896830257596082,0.018324180440081876,0.01657909884620604,0.009008490079768014,0.014974613313809837,0.014416472620251884,0.018053011374571624,0.018749670730150797,0.01933916347042748,0.01883677188776656,0.01911054392836022,0.017738928110819323,0.017905547530466918,0.01901565440055084,0.019377021518753926,0.01974499300920883,0.01997977850281666,0.020253377889805472,0.02058872726839841,0.02095365351620569,0.021323361105972813,0.021697247915826487,0.021902361852466856,0.022149996723158927,0.02241410472922029,0.02268896379655365,0.02294785940597691,0.023200497390167826,0.023459103144468824,0.023747101464421456,0.024032465269143457,0.024324952631261137,0.024611935547083325,0.02489541331604397,0.025170750195112508,0.02545428604249331,0.02573704758518028,0.026146566190432124,0.026551520851343973,0.026960794894074464,0.027370713132695186,0.027782636196853557,0.028201168961158624,0.028624887908415376,0.02905844625933269,0.029493522437348537,0.02993418540041881,0.030380467692283367,0.030839584389360505,0.03130606380170819,0.03178297991755502,0.03228184924282052
Indirect Heating Electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indirect Heating Steam Distributed,0.001390036121645751,0.0014681022640700909,0.001477044493644767,0.0014936796509920748,0.0014209973540515648,0.01326572919455697,0.014561688783573229,0.014951643156838576,0.015098238377635053,0.016283953812168586,0.016554848117198744,0.015098764913510582,0.015348563491655415,0.015778260126170666,0.01729244099695831,0.0185662312060904,0.019078422989886015,0.018246920898289668,0.018987012836196773,0.019914485794317486,0.01992107759591695,0.01975615265064596,0.01911616468768915,0.018730104283331182,0.021125961746513745,0.024640185721230813,0.024500968820312302,0.025549535043701117,0.026358651266842868,0.026941590793550983,0.030379361913882918,0.031233470253090083,0.03307078647723192,0.03392049701771482,0.032484605860341804,0.030457800511340883,0.0313319224142089,0.029789684954018063,0.02803836459782713,0.02779900219346261,0.02717643984991524,0.024977685646573062,0.02619467403450064,0.02202446084633704,0.017113612872461475,0.0177647551355554,0.01845012877345406,0.019030032418847542,0.018539394053428176,0.018809516439363943,0.017460874163037376,0.017627858225048757,0.01871929163343622,0.01907547107325387,0.01943780767933192,0.019669305560305488,0.019938899658196015,0.02026956072443568,0.0206292702945516,0.02099371234421589,0.021362300299371945,0.02156471962369931,0.02180886562189304,0.02206918037853071,0.02234006671176061,0.022595320637507143,0.02284444927217447,0.023099445385011387,0.02338329636229037,0.02366458409195158,0.023952881192123257,0.024235931862573844,0.024515567828936328,0.024787243763734392,0.02506699352923939,0.025346010828976525,0.0257493536441856,0.02614824615601761,0.026551403476305874,0.026955218477883264,0.027361033913439883,0.027773370401573558,0.02819084261917695,0.028618010099008825,0.029046714504862563,0.02948094475376972,0.029920737209945838,0.0303731718117852,0.03083288555357677,0.03130288481729311,0.03179447577976708
Heat Pumps (Electricity),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Direct Heating Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Direct Heating Oil,0.0005391210884753513,0.0005693987935086943,0.0005728670088065729,0.0005793189016720773,0.0005511293039851743,0.01621875194671944,0.017820486288142357,0.018297082063509176,0.01846798239251278,0.019937231433939287,0.020338713644100885,0.01841079994257649,0.01871267063998066,0.01934936280714466,0.021315128825704216,0.02294911636803374,0.02355044763399247,0.022371529163563803,0.023246784785970226,0.024390705592552398,0.024391560054986945,0.024125038964490256,0.023252863266533644,0.02272233640010588,0.025684654926092843,0.03021192650957265,0.02994759495956908,0.031212889537615283,0.032227500865384874,0.03289080068305875,0.036967746834557384,0.038162675234624466,0.03724703906050382,0.03854516719434173,0.0408763621068775,0.039163330664828806,0.042087766627440695,0.0413553242068122,0.041763577997719334,0.03685606273290398,0.03672743297284898,0.02799228471274477,0.02792594004722215,0.02019975010391795,0.010221891894789382,0.01209358617876528,0.012561108089287345,0.012956914686814366,0.01260114186699974,0.012780821554098137,0.011856459372329223,0.011952491369621569,0.012701029057043836,0.0129401061293574,0.013185368125378231,0.013340272903170938,0.01352168335362012,0.013742898891380528,0.01398421681993068,0.014228596148004738,0.014475602948556078,0.01461001669632699,0.014773509043752738,0.01494824964766523,0.015130232601971296,0.015301129380507915,0.015467667206333522,0.015638228576519406,0.01582883213330947,0.016017520400046458,0.01621098297322772,0.01639988167176265,0.0165862546807323,0.016766912078196236,0.01695303214402314,0.017138481651809315,0.017410944725526067,0.01768014041165945,0.01795215545820128,0.018224479577349524,0.01849800441800472,0.01877587002907302,0.01905704313366979,0.019344740783451976,0.019633231957302898,0.01992532006722151,0.0202210045539006,0.02052522144288771,0.020834195464705583,0.02115008129385375,0.02148072998884376
Direct Heating Gas,0.0016627612760710063,0.0017561439994219306,0.0017668406948724805,0.0017867396708974364,0.0016997971037751602,0.021389059338089333,0.023487223949367187,0.024115886643252503,0.024348098449870646,0.026269656917039773,0.0267414741584169,0.02432011915618325,0.024721121030798,0.025469452385095414,0.027967941004119458,0.030059952427680905,0.030873385116376263,0.02945178728794815,0.03063032894318968,0.032130723256591345,0.032137759793918426,0.03183949601458253,0.030762878641649005,0.03011123457885007,0.033990722890234734,0.03977194068510267,0.03950054966479548,0.04118289064456235,0.04250012639863062,0.043415401512443406,0.048895446885826525,0.05168747620719325,0.05035707215308001,0.05216908807256174,0.05105927042123841,0.0492546833017879,0.05155332493169206,0.058019827395117185,0.05979667897630265,0.055538869338662464,0.05811503757475649,0.055510909981862214,0.04359579326925235,0.040988548047284384,0.03817725854245332,0.037585471768473135,0.039035405345445015,0.040262180622425335,0.0392272022346455,0.03979930493262827,0.036946824232452526,0.03730261580808189,0.03961101413273473,0.04036507545822877,0.04113188150098146,0.041622049997287004,0.042192739039566766,0.042892879618978766,0.04365443273678043,0.04442602120922825,0.04520640890210519,0.045635153399911116,0.04615208515799751,0.04670319154364533,0.04727665810114132,0.04781711355179207,0.048344636292775175,0.048884568917223606,0.049485494251743777,0.05008102055286438,0.05069137644150476,0.051290772768170886,0.05188297296186194,0.05245837386363447,0.05305086160269559,0.05364182397921617,0.05449548933787722,0.05533977270807884,0.056193091159295334,0.057047820717365486,0.05790680546582321,0.058779600965443476,0.059663289012661574,0.06056750034927892,0.06147499919351826,0.0623942125824245,0.06332522103677328,0.06428298735324058,0.06525618244781058,0.06625115172540921,0.0672917941982401
