,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
Indirect Heating Coal,49.43566565707357,44.43208191869746,41.583017499600686,34.37467770701013,39.39964233767071,28.77527264657082,35.35421944724757,31.529762529883236,39.459753370468135,26.897540142532357,46.573764851038895,57.9498076140509,73.2588833229036,69.70066905149426,83.76055130622905,77.55830040796063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indirect Heating Oil,17.12005514889314,16.6670065883849,15.523265568972649,32.435108522002764,30.563330194221212,21.07304315057717,23.971892551185107,19.72091881837467,28.17797705596428,23.001407068384214,14.3590444083786,24.14452182091907,14.52425523279922,12.20888047322237,5.2640775743001935,4.396156506754926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indirect Heating Gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indirect Heating Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indirect Heating Electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indirect Heating Steam Distributed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat Pumps (Electricity),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Direct Heating Coal,1291.560212553316,956.1470251308988,878.4995268228353,619.4047317569173,698.4741986555493,674.85405190196,888.6350175719244,899.256104881193,976.2791329390042,735.5288130051916,1067.687618867323,1041.404901995913,1017.714853169409,874.56554979886,1282.8255315597999,1325.328987968191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Direct Heating Oil,1039.958826688909,905.9916783550667,970.1060456747928,1193.412104089431,961.8209693577644,991.4785016356856,1021.290892530973,929.6687677358573,898.0702111934853,889.0965853001518,556.6764834168652,679.4564231776819,485.29015930534484,401.0650090398178,370.79812305594436,175.1935252929221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Direct Heating Gas,1023.87059803002,984.5520181114528,904.924998828988,1283.4629077484622,1435.269937973085,865.4913720296854,982.8633944911436,951.2858809192288,1178.164755419981,675.2831693517851,1034.7935338112532,1114.617072894643,1124.479269686474,1118.424779131615,1149.7486830798339,1149.462389732721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Direct Heating Biomass,744.4584010746919,870.5289671535602,839.3936472464403,907.6459627778399,803.4899423007599,706.7059526236142,744.1739481805201,516.6877235176802,664.5722607810002,666.9672301234802,681.6836538856103,810.8095354706317,763.7638000324948,781.3551070033441,782.2138780031987,712.1371428331528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Direct Heating Electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Direct Heating Steam Distributed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
