,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
Indirect Heating Coal,12.88122730020017,22.70927931037393,9.914943751423797,4.116725982774346,6.361941494508582,7.20345409565299,7.4045265202017925,12.86318969111273,16.76488180512492,18.73019180607462,11.7652858257935,22.77320352550134,14.24229486755929,28.913176193602144,18.480737331553627,4.4123084740037175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indirect Heating Oil,0.3773742756614487,1.166772543901127,0.2750357871861855,0.221903246773284,0.1442510452854846,0.1228750182553602,0.0,0.0,0.0856276109019385,0.0,0.1250448043583656,0.1545360871885342,0.1271844508467815,0.2999262232539069,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indirect Heating Gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indirect Heating Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indirect Heating Electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indirect Heating Steam Distributed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat Pumps (Electricity),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Direct Heating Coal,312.7087985889034,410.8679991032021,217.5000667928548,171.11728586744908,271.5808174030194,365.65741169363486,357.09658515591013,638.4200968817593,629.0302920619864,358.56124711926134,287.5125877982244,446.01458038224746,342.00243545268387,277.8364473158438,301.1511825458475,122.0362187507804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Direct Heating Oil,18.228199754088713,29.83082593391556,15.30494449197657,18.307298629860288,18.532352438569927,15.381250683869679,9.406962319548088,15.501375349626803,15.52098778127477,2.8599684860750063,9.035411705067851,8.946643157487664,5.840285141610187,5.573156253891409,2.865166934616662,2.965999870738416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Direct Heating Gas,38.87741712483569,57.85687073535422,36.886938917163796,45.40224459274172,46.22505208323223,43.15405498644714,46.48452151771111,50.02019853481368,43.24206263027127,36.764162506971296,42.17077724718406,42.57167921049925,48.51661793355255,48.09756863982868,39.06614300620585,36.19474557987723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Direct Heating Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.3725000000001,64.83190000000015,47.04253240006226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Direct Heating Electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Direct Heating Steam Distributed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
