,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
Indirect Heating Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011870057189751564,0.0011938690421708087,0.0012138443019057096,0.0011449570134510784,0.0011376753376251007,0.0011425305519214288,0.0011449684427884625,0.0012076573275844995,0.0013495548903272613,0.0013417677993780759,0.0013575103191152418,0.001460066289875749,0.001717469170745396,0.0018036377492906333,0.0018009068687677733,0.0016753346607225775,0.001057772001402557,0.0011392653897431642,0.0007595670007856702,0.0,0.0,0.0005400817855986985,0.0005840000812411452,0.0007113162445533447,0.0007344048278537218,0.0008296683551812277,0.0008435127775790759,0.0007660175465104433,0.0007578340620608794,0.0007920444158780781,0.0008031469228121733,0.0008143327742266349,0.0008242155818666884,0.0008317380109212702,0.0008382601096442844,0.0008447772941880316,0.0008513390994795223,0.0008580858744786184,0.0008716120546271429,0.0008853520998573623,0.0008990072280698502,0.0009133414958570217,0.0009282967193363574,0.0009463913170985517,0.0009640345966368754,0.0009823169160470652,0.0010013318413023622,0.0010208208865733293,0.001040435145132016,0.0010602687726531774,0.001080284814508725,0.0011007612166779948,0.0011215566473652713,0.0011409116338258374,0.0011607330741824162,0.0011809785099261426,0.0012014954049325715,0.0012226328624968233,0.001244415060380891,0.0012667570815670425,0.0012894419158988519,0.0013122676888920356,0.001335383398461966,0.0013586703180375546,0.0013822611304590074,0.001405758376907219,0.0014296090511283052,0.0014546756898671902
Indirect Heating Oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024754608237931557,0.002489774055330521,0.002531431793055266,0.0023877696513311232,0.002372583959341085,0.002382709346767236,0.00238779348683291,0.0025185290645299203,0.002051851825863559,0.002102268639497092,0.002320559048684528,0.002403852340185445,0.0016422344745601605,0.001490843156736622,0.002007883727316688,0.0022121940111497467,0.002075335271344115,0.0016163974708035859,0.0015480284049140516,0.0018862132321516508,0.0018946967144164168,0.0015302046175250106,0.001088775774525133,0.0013261366221901006,0.0013691816336088164,0.0015467854115561914,0.0015725961472106038,0.0014281185470543898,0.0014128617347591722,0.0014766415280683418,0.0014973403960559114,0.0015181946466437206,0.0015366195782291995,0.001550643957306008,0.0015628033787115445,0.001574953638407162,0.0015871870864288507,0.0015997653812119205,0.0016249828045319286,0.0016505989454676428,0.0016760567720559454,0.0017027807469551619,0.001730662395519841,0.0017643969108496762,0.0017972900147404786,0.0018313745073892484,0.0018668248277528606,0.0019031590698895325,0.0019397267523949605,0.0019767034136312102,0.0020140201575396797,0.002052195170433434,0.0020909649615351816,0.002127049272225242,0.0021640032124208898,0.0022017476249484146,0.0022399981303319106,0.0022794055764440747,0.002320015038897716,0.0023616682033454173,0.0024039604886771236,0.0024465155318493296,0.0024896111159068025,0.0025330258939378807,0.0025770072321103987,0.0026208141313260433,0.0026652799407191194,0.002712012723614746
Indirect Heating Gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indirect Heating Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indirect Heating Electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indirect Heating Steam Distributed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heat Pumps (Electricity),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Direct Heating Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03197592029295376,0.0321608065760952,0.032698906184971316,0.03084319950250916,0.030647043509249395,0.03077783474543538,0.030843507389468207,0.03253223959306949,0.03407563845112665,0.03352125366707286,0.035206968844623744,0.040008038149737885,0.0328680912587936,0.03673201112024724,0.034443529102431834,0.029109520143324605,0.012827409994631509,0.016125223906478223,0.0072099284516900205,0.0,0.0,0.0015734754569357804,0.0017608304842526477,0.0021447040293072405,0.0022143188848858715,0.002501549877387126,0.0025432924760237434,0.002309635033785297,0.0022849608439194746,0.002388109175252529,0.002421584568988148,0.002455311256356145,0.0024851091100236106,0.0025077901383665944,0.0025274550504473968,0.0025471051456866663,0.0025668897778470447,0.0025872321159226747,0.0026280151759017017,0.0026694430648241873,0.0027106149187250067,0.0027538344601255,0.00279892625762193,0.0028534836461624386,0.0029066802559766817,0.0029618036478636983,0.0030191359344862554,0.0030778977499797845,0.003137037098595539,0.003196837871017267,0.00325718864459665,0.0033189274598907172,0.00338162818453702,0.0034399857965935663,0.0034997498232482954,0.003560792246990374,0.0036226531530586643,0.003686385129875568,0.003752061076301425,0.003819424957314567,0.003887822461192958,0.003956644912086475,0.00402634155663036,0.004096554419933206,0.00416768355671637,0.004238530580836773,0.0043104432322001295,0.004386022162832078
Direct Heating Oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1372689885577515,0.13806268434046895,0.14037268475256104,0.1324063470513261,0.1315642716849998,0.13212574358444734,0.13240766877501914,0.13965720403184592,0.1225677797597066,0.12668985193583515,0.13206220791671186,0.1413668196827643,0.12608571232861848,0.11953932625893947,0.12452861360271662,0.13113795299067524,0.11884449068620463,0.0957455984855284,0.08067663374382597,0.0752589902143767,0.09301589385207414,0.1142727817350486,0.0907869039059252,0.1105790934202327,0.1141683754438935,0.12897775814610332,0.1311299705964771,0.11908279402546852,0.11781061403748085,0.1231288532027717,0.12485481568551385,0.1265937346516079,0.12813008633435327,0.12929950063009454,0.13031340656786913,0.13132654856204984,0.13234662716406287,0.13339546060294885,0.13549820006618407,0.13763418635462418,0.13975697169776238,0.14198533404557234,0.14431022830590287,0.14712316029173658,0.14986593169790996,0.15270804632902926,0.15566404967112168,0.1586937582911499,0.16174293219394967,0.16482620853877958,0.16793784246981372,0.1711210426367208,0.17435383802174145,0.17736270626052913,0.18044408802524628,0.1835913828432418,0.18678087790536246,0.19006684376451585,0.1934530390231843,0.19692626273606534,0.2004527791540544,0.20400120547431536,0.2075947044666144,0.2112148192537234,0.21488217631267706,0.2185349878856033,0.2222427422818004,0.2261395268808628
Direct Heating Gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
