,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
Indirect Heating Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4664761254022374,0.4431437064850687,0.4108381068836375,0.3901544181422916,0.3917940466070095,0.4032337931815824,2.151130495086124,89.16897266951455,2.8886546757850646,0.0,0.0,0.7940584984474717,0.0,0.0,0.8055357103379488,0.0,1.443626980244279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indirect Heating Oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.39983645392147,264.10161174866107,235.4299622519597,219.6532384917212,236.33928046626247,266.555098615746,392.3705269453926,413.05880012773315,274.9780018903781,645.0663967036413,223.8504854414682,228.70135627785442,474.1316627301828,356.35496027988944,76.25629184522373,97.96341066857536,79.65954971760473,83.4366555214837,45.13137858078032,42.94970982733214,88.37099097352736,69.49154065180673,59.16499100698258,59.159549571142335,56.31808359856458,53.644006557072466,54.51230424758022,55.55783727688455,56.60155649424213,57.66056355515088,58.742113707397785,57.34962436427969,56.00248031983033,54.70767770584427,53.43904580708988,52.219645946890076,47.26301612841115,42.869445361401425,38.91585354947443,35.38539815312461,32.20423111452009,26.21165555845535,21.438220746598017,17.607190799072733,14.580716007926618,12.147616839359669,10.444447421362803,9.036670234693553,7.873757660835354,6.915028488982562,6.123947364207813,5.771808730546205,5.45413252387282,5.1667728883093735,4.905324851985195,4.668233718945923,4.534270750878924,4.410154190522846,4.293292877953762,4.182909465194495,4.0787448362526515,3.999973574565287,3.9248299367714186,3.8527956908862637,3.7843890688946047,3.7209056507584064
Indirect Heating Gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1119.7010566054912,1244.0270889961619,1074.5907390276366,1009.615757704846,1097.7249737899397,1280.6944951785222,1162.0447373387422,1343.6609143246476,1463.3148212863282,1173.8750742869724,1260.8387740384046,1136.4265130965655,1109.5678526566403,1290.7473165346585,705.9988394736159,1171.8632431702185,593.3898899647893,675.0326868663577,760.2288271356758,837.9225933350584,987.9853713108588,1019.1264843813403,1045.6986636629056,846.4088747733431,880.992134284273,918.8410768915327,903.329193306981,890.6313888952703,878.6189912257046,866.6337075712304,855.1969271072924,803.2629203981575,755.0590909783097,709.7835751883266,667.3963687436477,627.7161188875963,605.9306744997792,592.6563638983395,584.5670530680558,582.6272897588982,586.0738811198532,577.5463011276008,571.2033995644297,562.4691307686122,557.3294691866257,551.1879225224116,552.279594998876,553.125018879265,554.4833865861362,555.642177362253,557.3752518678456,559.042097057887,561.2556674702621,563.7506013507162,566.2882064680354,568.8080319033274,564.6778117684299,560.6600481223538,556.9307598171678,553.3157059690058,550.2122624711739,549.1548158826116,548.248052099229,547.4364096146916,546.7167769846443,546.346070614379
Indirect Heating Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.4305912106708,545.404211665096,478.7467547626754,440.4794370419883,506.16026569940345,556.8177135087753,475.1868493796543,644.2634166001486,1100.6561717928978,541.2824288934377,583.5381371393634,844.9670470807102,1111.1889231420048,617.0561361153043,553.8004117741078,694.359699730367,527.7386379901318,656.1393345715046,679.123605059502,723.076620714246,702.1399515139592,937.542977322409,834.8285046089354,851.9863594179936,779.6337273208133,713.6900649385511,758.3373353760157,806.8622081613883,857.0529503311441,911.2883959444632,969.8299082535257,1040.290013326318,1115.7275887279116,1196.7052081470129,1284.017244484509,1378.9130997786872,1365.8509356705852,1357.1621071608365,1353.4190426181488,1357.1252592269225,1369.2036691923952,1432.7410757972152,1499.2366002594893,1568.9618889757444,1643.077651864266,1718.9539747580425,1723.784053351188,1727.5712497217028,1732.1592459583214,1736.6032781740676,1740.9689014141597,1696.6759709923547,1653.8963766471034,1611.98013796274,1571.3201567462288,1532.2909108375786,1516.4887172250708,1500.4877161551678,1484.901468573969,1469.43004943799,1454.3708130046286,1442.6244629087284,1431.0640663397885,1419.7149026943316,1408.4411487740933,1397.0084345808084
Indirect Heating Electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indirect Heating Steam Distributed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.3419128122977,415.1826295287362,382.4576713764666,352.8474216359162,376.4387691147844,419.3457667725963,321.80995617474184,408.6714181367922,432.48109323877037,460.0407014933471,387.287585306532,329.7272405175181,245.4091603500872,256.63849563392023,199.55122367492407,227.16240954914025,198.6478778571934,123.73038479273441,87.71639412696581,102.80116242514458,87.61519645765793,106.05052346592473,290.29238882809,339.224911947889,326.7525072171358,321.0234733031085,347.98957062169103,399.5773421627528,506.36892244351304,734.7953771467055,1235.217380200733,1310.2647700951632,1390.2373565280598,1475.7420182531007,1566.8298414128365,1664.5225488582869,1701.006056083681,1745.0380024927492,1791.7553566120553,1843.6268716677678,1898.9543950418365,1965.412542535079,2040.5922640035874,2113.2392206938157,2187.9782472458596,2265.88030616621,2253.4171338708575,2242.194800893369,2229.1592176031686,2218.252633916387,2207.494384691711,1596.489963381365,1189.2484688445827,918.5645418163513,737.426005740233,616.3099941873242,604.0991751262598,592.3813681155966,581.1602661294951,570.5041891899209,560.1724784807608,580.6075509968352,603.3199575784342,628.4783440455451,656.4224640209164,687.8244388017246
Heat Pumps (Electricity),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Direct Heating Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7106827882725812,1.936450276435318,1.6325006625279246,1.5388480574551318,1.7003530006631749,2.0228312929548884,3.5859901271943766,0.3120248667648977,0.3422787049071727,0.3119468605482065,0.0,4.442623337012514,0.3307472681615299,0.6713287873327833,0.0,0.0,0.0,1.4014595666493368,0.3203794642941152,0.6807432204394631,0.7607217651107276,0.7607217651107276,0.7612318031698028,0.7607217651107276,0.7609767841402653,0.7607217651107276,0.7602117270516523,0.7607217651107276,0.7609767841402653,0.7609767841402653,0.7614868221993404,0.7614868221993404,0.7617418412288782,0.7617418412288781,0.7612318031698028,0.7609767841402653,0.7607217651107276,0.7602117270516523,0.7594466699630396,0.7586816128744266,0.7581715748153514,0.7576615367562762,0.7568964796676634,0.7563864416085881,0.7558764035495128,0.7553663654904376,0.7546013084018247,0.7540912703427495,0.7538362513132117,0.7533262132541366,0.7528161751950614,0.7523061371359862,0.7515410800473731,0.751031041988298,0.7505210039292228,0.7500109658701474,0.7497559468406099,0.7495009278110721,0.7487358707224593,0.7484808516929217,0.7479708136338465,0.7477157946043089,0.7474607755747713,0.7466957184861583,0.7464406994566206,0.7461856804270831
Direct Heating Oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.81422671758486,350.2220219578145,312.5258127325978,291.93895262293245,314.42538609319394,349.21897106951724,401.3249262780143,302.51987213240926,222.98067842556858,196.70065198765747,303.47912646544836,448.9467416122699,471.9590232779666,222.2228349892459,224.4065125454554,281.7983882211254,291.87667377504505,271.34318914655535,226.6431294339981,223.50609073628115,269.37680503478873,211.82753516180975,180.3496381764838,180.3330513238832,171.67155486587293,163.52030158786215,166.16708935284413,169.35413460253147,172.53565090135197,175.7637683574789,179.0606027743798,174.81594820887298,170.70951741503794,166.76263634621816,162.8955301399061,159.17849545712326,144.06945243822133,130.67675373841988,118.62522054889581,107.8635126115996,98.16652264123736,79.89965882723007,65.34903984588176,53.67110576493318,44.445656318502365,37.02896365566117,31.837278791672333,27.5460230688591,24.001175713073014,21.078730254871477,18.667317826793294,17.5939115084971,16.625555256671404,15.749611469334777,14.952652694381982,14.229939831069979,13.8215873170456,13.443249107727077,13.087026701876024,12.75055054912093,12.433030799337953,12.192916361691124,11.963859825778028,11.744281491350995,11.535761058657695,11.342247778317324
Direct Heating Gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,868.5331369245856,925.1194020428516,855.069239818044,794.5899962718506,832.4527005587962,912.4955608364944,802.432083511734,877.9160260035421,938.9463551898241,908.2760391964116,598.3262266180291,789.2434054994485,728.4709297411442,927.1216379237404,622.5065423517601,608.5076056923838,502.88216279848234,451.4127227588377,436.73391665786005,456.58749220011237,422.83478978010396,436.1624628216641,447.53473832976437,362.2433378319671,377.0441695951065,393.2426378674717,386.60391200671836,381.16954666589265,376.0285194899268,370.8990964826098,366.00442010008993,343.77787156308096,323.1477522605106,303.7708831720109,285.6301433930183,268.6479181561768,259.3242539952725,253.64315739645497,250.18112026138007,249.35094662230833,250.82600766661685,247.17640151043165,244.46178697570338,240.72372281260516,238.52406704070168,235.8956277256112,236.3628381879302,236.72465997104536,237.30600979712318,237.8019453326548,238.5436609648136,239.25703198830558,240.20438870750297,241.2721624554659,242.3581985016301,243.4366252568771,241.66898697680037,239.94947746177516,238.35342869188239,236.80626961613285,235.47806788652719,235.0255053092239,234.6374314724442,234.29006734207186,233.98208129219623,233.8234275765716
