,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
Indirect Heating Coal,-0.00031422869424858885,-0.0005697000940017813,-0.00022144423341728667,0.0033349005861155745,0.0001246710852631852,-0.0017297838460278991,0.0009802630208169023,0.001522673910351484,0.0034235352795834104,0.002788625221909327,0.0004946947446662353,-0.0029077610824990857,0.0006770662215642986,0.0009524626062147393,0.000487298387551946,0.002837079613164234,0.0011030423315127602,0.006801789655700205,0.0008795493789023612,0.0027867151181865672,-0.00234937595996363,-0.0050646717557066906,0.0014887393098994145,0.0047684486512015725,0.01031100381473634,-0.0007408668393841383,-0.00018316079540518784,-0.0043678101690500576,0.0032083237705526767,0.003810690308983046,-0.007360462526121429,0.01518187983342889,-0.007080720592327186,0.0024388219899620645,-0.0008531865008499229,0.010016736953527115,-0.015241076197896103,0.01025035958161368,-0.012524889316843877,-0.0027536825332145076,0.0045016352976623856,0.002730460476196947,0.005924178260207462,-0.009417351730372664,0.002620369775214168,0.0005804897667973305,0.0004995294097381517,0.0020342475232851547,0.000991714924405085,-0.005501412979268351,7.670769406385725e-05,0.0034156187173394192,0.0010305087458137227,0.0009930468929431335,0.0009636383462784877,0.0008108239606134383,0.0007789397656189773,0.0007931920191665692,0.0008019705857283121,0.0008195961874867402,0.0006882029750400197,0.0007103177101719925,0.0007215852384092475,0.0007229165729784602,0.0007259437742012652,0.0006265767657697291,0.0006458614639889421,0.0006398571450818569,0.0006287677620893384,0.0006595260284195797,0.0006096003481059764,0.0006033107432198287,0.0006117799329864032,0.0006166335984444106,0.0006184296321751215,0.0004827755151381175,0.0004915673950455224,0.0004816369070970577,0.0004937463459571134,0.0005040242488312946,0.0004982101205769364,0.0005100666058689142,0.0005100843569965097,0.0005023397936168295,0.0005170003230990095,0.0005342550530846035,0.0005404647778966265,0.0005662508265953936,0.0005661138893253982,0.0005763734071031479
Indirect Heating Oil,-0.00011884035905797914,-0.0002313424769843412,-6.022206534907441e-05,0.0018316534597476156,-0.0001907202787072245,-0.0011122845312561084,0.000583515602311993,0.0007362453019161139,0.002906098271601989,0.002337992498818965,0.00023175879400105274,-0.0022702210661293466,0.0007582870547941802,0.00019871980512812908,-0.00022045783589199787,0.0017308186100956293,0.0005297429288829233,0.004230968379286373,0.00097791996913396,0.00210304113829555,-0.0018451628263039433,-0.003544515259794265,0.00014077878789780411,0.0028300164008727736,0.007135990624241303,-0.0003047094817440815,-0.0005241160672926166,-0.0028865230248545748,0.0023723175358095283,0.0028821603230465053,0.004527166022433861,-0.007857339301489085,0.0037518795459149726,-0.008318374398324333,0.009081768820184384,-0.0024454847277504037,-0.010136220925036743,-0.010794040629882077,0.00024345798151741,-0.002652161244909849,-0.004313181812632677,-0.005199192999909617,0.0016075469677722715,-0.004944257340912315,0.0021633584370780974,9.648993883135244e-05,1.5589621066983313e-05,0.00035703154374405787,0.00017865094116555392,-0.0013843880443056814,6.590006810406518e-06,0.0007446671813240532,0.00019822837730015287,0.00019047070479268397,0.0001802188272078404,0.000164419779629581,0.00015570608904022919,0.00015847604835906074,0.00016055909710203407,0.00016482264979120006,0.0001484682295165721,0.00015291143017331162,0.00015494830442711765,0.00015678236975389618,0.00015826585821128057,0.00014202794897562928,0.00014765493740583798,0.0001463238438514959,0.00014196510956272172,0.00015320142843440986,0.00015847422317167583,0.0001564418522870942,0.00015611426241133483,0.00015928248025053786,0.00016106604204775923,0.00013019671755622707,0.0001309151702174906,0.00012580040616684074,0.00012676314964152772,0.00013652849867385733,0.00013631149557462438,0.00014253013683099215,0.00014362900331193118,0.00014048540179891367,0.00014286838399612764,0.00014521680701735972,0.00014710155251071834,0.00015068584895274687,0.00014972125950840891,0.00015309745822321527
Indirect Heating Gas,-0.002401997725666347,-0.004200786976091511,-0.0017174806153985914,0.02391332083429781,0.00010127619411730987,-0.013292344814321188,0.006882922646115872,0.01070341173824806,0.027473191875901668,0.0224517871328034,0.003507505509630234,-0.02323445179520427,0.005799036418376614,0.005876866755237278,0.0019299883022674488,0.020915636685429864,0.007576961331054149,0.05042632215213762,0.007480210372612958,0.02145880470875125,-0.01894956913688408,-0.03915640077265356,0.00867991410733552,0.03487182973190396,0.07856421897738343,-0.0052187323211700274,-0.0027483244074741914,-0.03347490704472118,0.024693583601508043,0.029377193019135217,0.040068493722311666,-0.010750806758006055,0.07111792255130933,-0.05538210282933727,0.001940863848898914,-0.004919566994057502,0.0017150340252844027,0.029888498810396832,0.007447249408091805,0.05501101860132796,-0.029779756582930438,-0.0250728673254508,0.034593082856545304,-0.04102718250166753,0.017985013210879724,0.005040122863477295,0.004039576276188279,0.018988407889760053,0.009256998902614257,-0.05322988128077548,0.0006238959562752725,0.032460860598803334,0.009667907779200829,0.009310066441404592,0.009022865909910156,0.007622594946912924,0.007317891846834219,0.00745599907672487,0.0075392808733163565,0.007710025857152626,0.0064930979668885655,0.006704088714771044,0.0068084666127634745,0.006827003758286463,0.0068586204734547,0.005929335196674794,0.006117183974401717,0.006059815748494792,0.0059479510770126965,0.006255579955712729,0.00582382545325861,0.005762930620787597,0.0058370870365900595,0.005888668474756656,0.0059086846227186214,0.004620967793222614,0.004700448238895314,0.004596440551461723,0.004707940878871197,0.00482530575737115,0.004772967737444383,0.00489335139691865,0.004897856007375525,0.004820538494192519,0.004958813627340106,0.005117314385250626,0.00518003945813184,0.005418956508099708,0.0054163098130057185,0.005515822250406182
Indirect Heating Biomass,0.001239782682545523,0.0016313166349238677,0.0021429469926616414,0.005419127348887518,0.0003231261958811022,-0.003327890042393646,0.006665328191159329,0.007320635299179597,0.011329398967224536,0.0067527096577776205,-0.005664449823770919,-0.010196782057270455,0.011221471143997958,-0.0025634562445210197,-0.000258169029653941,0.008182304996805678,0.0026925221748601213,0.019674401285916583,0.005874375452344532,0.013402426271113408,-0.007289289723577223,-0.017288808841694946,0.002442815689547652,0.014325242369625232,0.0334665335289716,-0.002433210691514897,-0.003403332125294891,-0.007681438471758537,0.009126086421846384,0.010986965068444866,0.041161657195894784,-0.05889641306073175,0.015964029525249456,0.025120730731376755,0.07232835989385161,0.006810714694011605,0.06808318297989918,-0.004097957705059029,0.016107179463489316,0.02548575035806693,-0.026867657011753757,-0.033244084189698715,0.06816518584260882,-0.0008041568800244263,-0.018017773324023326,0.007487321202658818,0.005709344466383185,0.012785694599344205,0.00650631432153747,-0.03880988255682983,0.0010865580414193851,0.023733928451826952,0.006972056632793539,0.006756045704992339,0.006408419009517507,0.005814944937579886,0.005507280852107786,0.0055570619663663345,0.005629718340886527,0.005741599591592589,0.005209099136825253,0.005331295032959654,0.005414399440945186,0.005450643515460202,0.0054892838887298755,0.00495543579641424,0.005123641416460028,0.005083965816001291,0.0049628173626545405,0.005277258805326878,0.005420222957482929,0.005349577240431135,0.00534892591673873,0.005448002960771485,0.00551074697037734,0.004474868333204087,0.004509586275513793,0.00437129048270634,0.00439522091765255,0.0046970675207720115,0.004686985335277853,0.004900472139960802,0.004917959802996875,0.004818579571244118,0.004883735693845899,0.004979959618205386,0.005013856589554869,0.0051395818479168295,0.0050979109513311785,0.005214774685610484
Indirect Heating Electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indirect Heating Steam Distributed,3.512397639726921e-06,-3.983918191726018e-05,4.860058015965598e-05,0.0009668878414472188,-1.764119725549589e-05,-0.0004901123293160115,0.00044291312657412,0.0005088190381032185,0.0013686251776446506,0.0010322635127319039,-1.4062477778542654e-05,-0.0010573024512022372,0.000529091840372401,0.00011298330870610915,2.3488742990375715e-05,0.000929087913168287,0.00033693808692672635,0.0022415290064773602,0.0005064008481905217,0.0011602098424488355,-0.0008155083376645122,-0.0017513453199190989,0.0002740280674650556,0.00156243376959235,0.0036446664743361844,-0.00018647050865348955,-0.00019030415281981634,-0.001287280768698877,0.0011716564272563432,0.0014307193391956314,0.001175120028864512,0.0011402792870440145,0.002715230339131784,0.00978450312517494,0.010628702150083623,0.0017033481218196578,0.0013268968119745294,0.0005217157851981699,-0.002679530512520479,-0.0016953182974118086,0.003303074976957853,0.007430536745129273,2.1271451594340705e-05,0.004909480741417127,-0.0048030776553452175,0.0015273319565892345,0.0010972165019466267,0.0016404077247512455,0.0008761529583587508,-0.005694966064135407,0.00022734693373048018,0.003411325168657987,0.0009714658098825189,0.0009463750142913516,0.0008766051658350776,0.000857108182975595,0.0008011007144335388,0.0008016580089262807,0.0008136817496939762,0.0008284491934253356,0.0008049555153481152,0.0008182682798746783,0.0008307606250644772,0.0008398766898351517,0.0008479393013603947,0.0007931197729871902,0.0008221322816035244,0.0008166960348936768,0.000793025992471425,0.0008525342020987973,0.0009414448712349623,0.0009275798267640717,0.0009191377125232355,0.0009424881426020233,0.0009584638826237444,0.0007969409334405858,0.0007981803379086499,0.0007684910621485764,0.0007635938959157937,0.000839118838703704,0.0008419113893635412,0.0008907435034338727,0.0008957919179311346,0.0008751593314613113,0.0008794859151444694,0.0008898775104435837,0.0008936372823889078,0.0009041900265098713,0.0008926055783856012,0.0009156846334672716
Heat Pumps (Electricity),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Direct Heating Coal,-9.378227603815776e-06,-1.7002830248332223e-05,-6.6090540442395465e-06,9.953087450361124e-05,3.7208371947339202e-06,-5.1625796467268346e-05,2.9256175165059614e-05,4.5444552833775015e-05,0.00010217619730242,8.322716070008893e-05,1.4764278357791254e-05,-8.678279784219973e-05,2.020719700302777e-05,2.8426465401465642e-05,1.4543532379697946e-05,8.467329314410248e-05,3.292055191301624e-05,0.00020300097563327933,2.625035337357044e-05,8.317015321545468e-05,-7.011766551797164e-05,-0.00015115629263970994,4.443176688357655e-05,0.00014231544600028733,0.0003077342787858486,-2.2111341106129893e-05,-5.466476037502364e-06,-0.00013035829841563174,9.575316035005859e-05,0.00011373092814059004,-0.00021967469585929615,0.00045310669311134414,-0.00021132573354785617,7.278720284201851e-05,-2.546354721871271e-05,0.0002989518166772228,-0.00045487342221487,0.00030592433770951346,-0.00037380820044726816,-8.218428812458227e-05,0.00013435234013813415,8.149122049541354e-05,0.00017680846182000572,-0.00028106302692634485,7.820553822075966e-05,1.7324850512870403e-05,1.490857004808697e-05,6.0712584894534814e-05,2.9597959859814588e-05,-0.00016419093483979502,2.289358760233914e-06,0.00010193992568266388,3.0755770376329284e-05,2.9637712766979442e-05,2.876000793235905e-05,2.4199227468527443e-05,2.3247636340488447e-05,2.36729981234272e-05,2.3934996460175852e-05,2.446103659581528e-05,2.0539575970240226e-05,2.1199595323221233e-05,2.1535877293248507e-05,2.1575611279466955e-05,2.1665958795752133e-05,1.8700327590077427e-05,1.927588384092755e-05,1.909668356307953e-05,1.8765718378826925e-05,1.968370590709487e-05,1.8193662502954087e-05,1.8005947799492727e-05,1.8258712714679534e-05,1.840357147586333e-05,1.845717451536737e-05,1.4408546212946875e-05,1.4670941889554244e-05,1.4374564194256574e-05,1.4735973180332422e-05,1.5042719553939267e-05,1.4869195559840275e-05,1.5223055088532667e-05,1.5223584875016013e-05,1.4992446600900055e-05,1.5429993472948406e-05,1.5944964855285886e-05,1.6130295519576742e-05,1.6899886069789496e-05,1.6895799145493978e-05,1.720199681167151e-05
Direct Heating Oil,0.0007621242716664518,0.000829001702737429,0.0007801676227073207,0.0007645609798669868,7.644469387206406e-05,0.0007424231369737326,0.0009195414733574387,2.664709116555398e-05,0.0010781758815095524,0.0004730535952002036,7.241910872948906e-06,0.00047191812918413067,0.0005631875958987763,0.0002453141286526494,0.0004248860608853868,0.0004290876808220045,0.0005306529933216921,0.0009197891447769148,0.0009773687018492679,0.00113622188213791,0.0007679165824971205,0.0005669634378479778,0.00026210832990473785,0.0008394244686694303,0.0014323315623494721,0.00044478271978909005,0.00048663162246158603,0.0009606401970979945,0.001045816405858186,0.001645910920252512,-0.00030692584388391077,-0.005182518297067213,0.019561384215136743,0.01985573083092296,-0.0031069233768329678,-0.000448026552983389,-0.004634371626630295,0.00307292429257664,-0.005005735936366355,-0.004716476712550875,0.002974971878296556,0.00021744630040529883,-0.0026719834365177765,0.0002605722524866652,0.0024271491532613532,0.0018721025134404933,0.0013348781291654466,0.0014114799112241332,0.0007923231595840061,-0.005407889876239515,0.00028498868031068844,0.003227068935091845,0.0009032790251062537,0.0008848080355762966,0.0008024611245685098,0.0008361056542771363,0.0007731513730193937,0.0007677931203026443,0.0007805361734165325,0.0007931063992370311,0.0008137234133561233,0.0008226005426238713,0.0008351156787067684,0.0008465963768925766,0.0008561366386163576,0.0008218126121549304,0.0008530229036961027,0.0008481345839825839,0.0008209187217424168,0.0008882058840973773,0.0010273805446196413,0.0010111742772063053,0.0009965571666354755,0.0010260045994105714,0.001046839594959141,0.0008830739628753332,0.0008813708820307469,0.0008456763579267228,0.000834191502265248,0.000931559622107566,0.0009375956082892123,0.0009987140341713883,0.0010053000248073198,0.0009806469504925583,0.0009805049854737363,0.0009878458084297452,0.0009901357614012186,0.000994184440803883,0.0009785378120625897,0.001005591793000667
Direct Heating Gas,0.0003998460742835608,0.0004298314195871392,0.00037249845155504533,0.0006430823108613148,-0.0007160904200707104,-0.00013764529724961472,0.00025746522145838214,-0.0005985732878385588,0.0033075792117447144,0.0026037817747047165,0.00048646059147980635,-0.0014216241054379975,0.0005955835333761065,-0.00038798982625660224,-0.00106598763447835,0.0006167302588179943,6.42211875732145e-05,0.0016512439298059563,0.0016485806421469695,0.0017029395565660438,-0.0010517131583539145,-0.0014623759681404802,-0.001732152036966866,0.0008206549289442327,0.004311278482118065,0.0005992478375146659,-0.0007091854223847402,-0.00113847078520885,0.002225675973476329,0.0030396458135678464,0.004646327378577876,-0.0005803427424525062,-0.005120997609957939,-0.00241586682655184,-0.00037986000285518623,0.0038931566651053853,0.006052520343800461,0.011769199857143092,-0.00614261053265751,0.009617640070336707,-0.00031922540853409655,-0.003770773429770715,0.004090192037069796,-0.015439999363789888,-0.0005400530690818084,0.001252717239479794,0.0007164735368874759,0.001572489715774293,0.0008389275653540054,-0.006428492016193221,0.00016760058203748544,0.0035652917433555134,0.0009550997308158297,0.0009267065824323222,0.0008537332322972914,0.000847491364563263,0.0007904578900737001,0.0007937853893020281,0.0008059533078761358,0.0008233650886884918,0.0008048413711990486,0.0008200515319732697,0.0008315668875466774,0.0008434114211299778,0.0008528334097406207,0.0007990525904147809,0.0008308099610827778,0.0008249129160727477,0.0007980227657166548,0.0008654040782458978,0.0009670265907607304,0.0009526970304992957,0.000942222453649214,0.0009676595606257906,0.000984501339742594,0.0008190428704108068,0.0008189462287476945,0.0007848184742020696,0.0007794990412756941,0.0008623120327014611,0.0008659113167129844,0.0009173342095916752,0.000924387492084234,0.0009021487881538287,0.0009071369483844543,0.0009157982170674843,0.0009219144722440524,0.0009312223620963596,0.0009195401419969489,0.0009434473458132617
