,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
Indirect Heating Coal,0.015504609825036403,0.01533131614555951,0.014372766874780212,0.013573675827389713,0.012490573463983108,0.0120187040789056,0.01171793586548097,0.011315256017605538,0.01059245337346488,0.01035124963402272,0.009906425017972507,0.00947909103581518,0.009133533985981322,0.00885312606767793,0.008203392630245119,0.007840159400700864,0.007500526736083974,0.007023394869745949,0.006530332930060325,0.006040227068583918,0.005618176546032851,0.0052391695295008756,0.00488496268432596,0.004558436143019962,0.0042146845236827254,0.003931221246857743,0.003971759409247978,0.0039780973608682,0.004063762236789982,0.0035767616751268758,0.0028956959639714398,0.002245899249844643,0.002198217023064484,0.0038631809267616326,0.004260286386914445,0.003321488418098675,0.0,0.002826507686241143,0.0015731347890017512,0.0008715089585847303,0.001249005880781549,0.0007536016286719052,0.00029519129575494244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indirect Heating Oil,0.029952004504438568,0.029760968332304107,0.028261411183492607,0.027032873174977427,0.025337973745990533,0.024670635139564214,0.024289724470646142,0.02374373738747303,0.02265712938810541,0.022384769117143957,0.021790956572475536,0.02122148058427249,0.02078377206717775,0.020463150863989026,0.019505720790534708,0.01904991757690613,0.018607833807514497,0.017967217741813674,0.017310157547713062,0.01666952353851081,0.016149271979387054,0.01562684733153731,0.015144742754345672,0.01468671457853912,0.014274042525827882,0.014108367739852534,0.014448935018734402,0.015121692672334031,0.015825541578516747,0.015398718837371896,0.014735037595088953,0.013554618034547036,0.013788322322085735,0.017245642568075627,0.016238299009243153,0.01409957678562932,0.017018672705135837,0.015172508357723515,0.011915404144846788,0.012303751766352164,0.01003522496542414,0.014347384598878415,0.007603654598907513,0.009871720394105695,0.009464297573084476,0.009730169699885364,0.00987046518635659,0.010223190855890466,0.010669893725790244,0.010873476173335023,0.00987765597837962,0.009691388589208332,0.010131266516763372,0.0102169428410313,0.01030088611666748,0.01037728889508713,0.010424991028356577,0.010516230584083993,0.010603856442772286,0.01069057655863826,0.011028347939909141,0.011166256489669329,0.011117482334120968,0.01077089714358332,0.010727290039541856,0.01128566856045099,0.01158692961234203,0.01103742000416306,0.01090165463571348,0.01105260730383158,0.01124085635995205,0.011405297253183243,0.011553375523506444,0.011693557700998804,0.011823932164063609,0.011949658631158374,0.012114227201300242,0.012272462823987751,0.0124069077996741,0.012532912263015318,0.012662271867397792,0.012794175255703413,0.0129219980804497,0.01304254053696656,0.013157492275206132,0.013269292662088308,0.01337944871776952,0.013487463075001193,0.013590945822884556,0.01368604958200765,0.013778025503089392
Indirect Heating Gas,0.011695893713037166,0.011853936514870909,0.011956761795457335,0.012071889535575251,0.012157366857982393,0.012308528500066723,0.01248125391187406,0.01264581281694839,0.01276055506291008,0.012954106074383777,0.013124596531888343,0.013295442455858338,0.013481057716115902,0.01368728317109614,0.013785194596697872,0.013970693350283194,0.014150107893824431,0.0142884969869468,0.014409986446336131,0.014517498463256069,0.014645446357024063,0.014745161747876703,0.01484228649178246,0.014930681569244509,0.015007906531628713,0.015199118804748148,0.01524502361630149,0.016034944213947355,0.016724986954175868,0.01637093831151488,0.01684434841932406,0.016595094889280012,0.014197391205716432,0.013836890683360798,0.012180573739085768,0.005877497522247292,0.0033886071506811872,0.0028968629626326503,0.0037164642523031524,0.002018587007287019,0.0026420100957600147,0.0032749843495331753,0.003007285855845273,0.0030481701565592627,0.002809567865485714,0.003266500068759598,0.0032921405301008146,0.003400495131985211,0.003580089724405036,0.003607216498922885,0.003256755783203882,0.003163751164392543,0.0032456215105064307,0.003234147511543872,0.0032309898436652263,0.003231174385862141,0.003230970421922879,0.003235911920273012,0.003241861674504176,0.0032481095858890004,0.003447383554438077,0.0035140968741977337,0.0034170124766922205,0.0030610729392288216,0.002949938070190464,0.003342571946363084,0.0035533616999282344,0.0030491465524746103,0.002873368875087952,0.0029357085868452954,0.003038341902809549,0.003138399876341284,0.0032406903836166264,0.003343634518928168,0.0034350159570873872,0.0035132519243906237,0.003592089364302393,0.003658118326694989,0.003707383235055702,0.003744740612225826,0.003774424127939253,0.0037965610757951375,0.003811135595785401,0.003817535709488742,0.0038165516333829117,0.0038086916326865406,0.003794491315463044,0.003772430167756929,0.0037402735925838406,0.0036958730476319077,0.0036475793212777077
Indirect Heating Biomass,0.01942956557295944,0.019811951820838,0.020126230878244968,0.020458020537628248,0.0207463090817609,0.021128384105463728,0.021548158104922305,0.0219588253815428,0.02230281857679724,0.022769532220383498,0.023191782033296696,0.02362526422504913,0.024094841122013853,0.024600963677029956,0.02494021302889566,0.02542191096384273,0.02592355893409884,0.02632621927612532,0.026691100011209376,0.027020346936604697,0.02738683918235983,0.02777403192024705,0.028160968468779107,0.028556663056985718,0.028850735007474444,0.0292407025486869,0.032794811395102666,0.04166624623443197,0.04516550195038944,0.0497641845027516,0.048085817338755374,0.055071568167912484,0.0550637139969718,0.032143607515353195,0.04235380794931686,0.05557928178047,0.05483270849009245,0.0485253183038437,0.04558796858716201,0.0439004746509088,0.0516889969535747,0.04810701078834896,0.04940527865909032,0.05188832905392598,0.05596966781858068,0.06127370640833427,0.061610728181754525,0.0637883865302248,0.0651559977528173,0.06735604215765154,0.06154673309066925,0.060737188547173374,0.06482421480241586,0.06605079422890278,0.06720466434422742,0.06825372888130778,0.06904950785291375,0.07028302052302128,0.07146818556574112,0.07263917140329333,0.0753188317706612,0.07664726430333624,0.07697961604935401,0.07570878663739143,0.07618293362608533,0.08001511631046959,0.08222014665163206,0.07969235511269791,0.07958565607527368,0.08108830799287976,0.08273795169544072,0.08409528710269823,0.08525711955890157,0.08632639269423263,0.08736063144992226,0.08842655443491568,0.08983713046803586,0.09125993760128157,0.09252908416001462,0.09378159803403162,0.09511951980072654,0.09653314962012906,0.09795001232064678,0.09933898528884401,0.1007134910641912,0.10209701819329324,0.10350263142482974,0.10493465496165946,0.10638125418531373,0.10781407985957993,0.10923703497541587
Indirect Heating Electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indirect Heating Steam Distributed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heat Pumps (Electricity),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Direct Heating Coal,0.003273101175718359,0.003236518007715994,0.0030341634318462127,0.002865471289558543,0.002636822928903575,0.0025372089265835213,0.0024737152428283057,0.002388707500073576,0.0022361202237056853,0.0021852009002228745,0.0020912961847729334,0.0020010838301759825,0.0019281349976124837,0.0018689394746398548,0.0017317774755980714,0.00165509711252557,0.0015833989475014596,0.001482674008898884,0.0013785861516294278,0.0012751223373492046,0.0011860253476691568,0.0011060150587670042,0.001031240210868709,0.0009623088144445236,0.0008897411173464026,0.0008299005928108774,0.0008384584029382032,0.0008397963764269848,0.0008578806629238037,0.000755072393064535,0.0006112959933305234,0.0005874836531825977,0.00021631304432013145,0.0008643574392202832,0.0005073943984519134,0.0,0.0,0.0,0.0,0.0004891800781357026,1.2517329053080052e-05,0.00040877370890175286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Direct Heating Oil,0.037043390528920084,0.0368728240124113,0.035097034204665915,0.03366330559089036,0.031678277108363066,0.03095480303367326,0.030578056201375083,0.030008842868925013,0.028782139082897014,0.028544188584281236,0.027953894701847885,0.027384264531692737,0.02696033026481633,0.02668491278267281,0.025646624412942336,0.025221670261398942,0.02476779569075893,0.02415481342756041,0.0235534842929274,0.023005785585722985,0.022607840348767852,0.02208238844794714,0.02160744876520935,0.02112567473377701,0.020855460968561938,0.02109925275356184,0.021911788160625903,0.023219261614975117,0.02461002774168856,0.024913610855212997,0.02472446178453493,0.023158965970246997,0.021609954658036654,0.018576129976793,0.01934975446912053,0.021739789427315498,0.024657473965039117,0.023381482517995968,0.026305719969013958,0.014527683029529262,0.020530376014961632,0.021529578777801445,0.018229620952556102,0.018263786452673868,0.01663901665921669,0.016047713826613675,0.016168503012686672,0.0167432088501732,0.01716899019834919,0.017707026779221847,0.016165391532764063,0.015941281727997005,0.01695836161999375,0.01725304881737876,0.01752995613855194,0.017781093608788982,0.017967633548074638,0.018262471401547648,0.01854548197220525,0.018825084005987473,0.019480317540630645,0.01980035907225197,0.019871909010236926,0.01954354031735088,0.019650005267789056,0.020593752177463284,0.021132124729704,0.02049057750797903,0.020452130441555527,0.020814957915357184,0.021214854458817187,0.021544321217339887,0.02182566656894664,0.02208425644803972,0.02233406742495195,0.02259152975286377,0.022936792960517483,0.023284872436849208,0.023594776182851683,0.02390039110105516,0.02422696377555115,0.024572103333526683,0.024917930627215028,0.02525675716097136,0.025591908483992874,0.025929186907785985,0.02627182497668082,0.026620862520147903,0.026973341015541972,0.02732222923839002,0.02766863609131734
Direct Heating Gas,0.0064224214768896426,0.006536061519037323,0.0065255093510802895,0.0065534936319193784,0.006561562014208475,0.006675231847940411,0.006812707651742377,0.006947300987851943,0.0070296475435360495,0.007189442608929369,0.0073712974395350565,0.0075428976067128985,0.007708517712034922,0.007896355197043547,0.00802281914639813,0.00821443709493442,0.008344431620963494,0.008557388693176314,0.008805883235687413,0.00909573259384579,0.00940430314687207,0.009538293706966565,0.009676051700933368,0.009764717200171856,0.010060624388946624,0.01069122781672356,0.011162768044226107,0.011900091534497784,0.012801737821499291,0.01361251229013264,0.014587777647672443,0.01046381723902012,0.010687647511131312,0.010349576313659356,0.012150499243964491,0.008996369778567938,0.006858369166399094,0.003963544220226527,0.006060749905277875,0.0045821275118132325,0.00406761107250416,0.005251667281418817,0.004965061589526923,0.0050611373620685,0.005342812105792098,0.006214402884697344,0.0062481843210024385,0.0064687387352857385,0.006609207846478273,0.006830484284035162,0.006240519477376479,0.006157219209562121,0.00656885093422652,0.006691557671210656,0.006807214961709646,0.006912466322732537,0.00699237143829376,0.007116272070025083,0.007235355950328638,0.007353026118507348,0.007627298793406505,0.007762442059389985,0.007793159992155526,0.007655942612484631,0.007700465559095155,0.008095655133363938,0.008322702217755903,0.008055373478072992,0.008039886085782958,0.008192362034924926,0.008360701656049758,0.00849965077324412,0.00861907528413868,0.008729243968233555,0.008835574553505213,0.00894470649795321,0.00908833178181297,0.009232819845397778,0.009361438996083549,0.00948805469502801,0.009623009563716742,0.009765335429032688,0.009907770928200088,0.010047180746593169,0.010184931952285604,0.010323392131025656,0.010463885312232295,0.010606801729691634,0.010750892551053529,0.010893256866823832,0.011034521811637216
Direct Heating Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Direct Heating Electric,0.0035664892332958453,0.003548205095318549,0.0033736328325786173,0.003232168589478316,0.003036632462956244,0.0029638341312680995,0.0029248682272975533,0.0028669644634807764,0.0027450292273758763,0.0027194297210776505,0.002658680048601332,0.0026001495815940324,0.002556121298540809,0.0025264077312127705,0.0024223191938500268,0.002377775281104064,0.0023314201003999113,0.002267903520016456,0.002204909624822448,0.0021464831975486144,0.0021025519130207664,0.0020489569783896998,0.00200028034434877,0.0019517510761412565,0.0019205487733135703,0.0019345941877771655,0.0020109546677370047,0.0021376404688976548,0.002263747587740135,0.002285583812577091,0.002248863041482689,0.0020721719988877232,0.0021062359970846515,0.0020305733834412487,0.0019796437286581773,0.002150996004383854,0.001949739736214204,0.002864134280634869,0.002509926051908321,0.0022759075447352627,0.002941464839627537,0.003453372316836275,0.0030951777369244496,0.0030397887526679864,0.0029887843737250127,0.003112176021661325,0.0031490854721777308,0.003262446368462307,0.003372078066324172,0.0034614666945356146,0.003154517429121607,0.003106545527369857,0.0032830020662510647,0.0033298953509852736,0.0033737369830495936,0.0034131859041327517,0.003440692260527648,0.003486748610733723,0.0035308212732496945,0.003574348880842807,0.0036813883922388593,0.0037318697757828976,0.003740509834470073,0.0036817714990147383,0.003696487065224672,0.003852506028452017,0.003939594669263481,0.003827673236158655,0.003817654420002542,0.003875393716356561,0.003939379092457035,0.003992122351930702,0.004036683328290147,0.00407739141653868,0.004116666102333198,0.004157313406562646,0.004214150115497103,0.0042715154195065354,0.004322431620814009,0.004372661971544407,0.004426498940763702,0.004483534349191378,0.004540719509076814,0.004596745138535541,0.004652176180650089,0.004708000100788967,0.004764766615835422,0.004822657437520553,0.004881174768230241,0.004939125982190935,0.0049966752502706565
Direct Heating Steam Distributed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
