,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
Indirect Heating Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031242813927250476,0.031032524849063776,0.03075575690372853,0.02990571387829209,0.02884870633291202,0.027960411836684674,0.02624315170641903,0.03537366960890095,0.06737548797818095,0.06469377839547072,0.065042934016577,0.05614618099836158,0.05732946259439287,0.05655024926669254,0.05373860368454904,0.059667464867378624,0.07090343069406987,0.0067105619240820655,0.00019994468717290297,0.0001998490062900768,0.0001995686933630511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indirect Heating Oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001955427665723514,0.002036652757578981,0.002105359764496394,0.0020595570433399333,0.0021225300987091802,0.001987428046242352,0.00219822347120716,0.002445055035208884,0.01859369860030444,0.016858884143221238,0.014595146721708328,0.012667844432389008,0.00758592286920747,0.011512046269966684,0.007926753602865991,0.006151362144827186,0.008466020716124883,0.0,0.007432397353313375,0.0026889000306443748,0.0014976387358019625,0.0017731621696544188,0.0010830103917474502,0.0011007954507425727,0.001226411778964532,0.001148604106586713,0.0011713801717003671,0.001066051374028094,0.001058217165714098,0.001138354147668851,0.0011687891584315337,0.0011965126058349966,0.0012207311155726386,0.001245730446951059,0.0012693409044663311,0.001294296539349847,0.0013204082784766087,0.0013486964650375947,0.0013661988970740141,0.0013844307679690287,0.0014034178606606626,0.0014221418382331687,0.0014403655298772262,0.001451650817233824,0.0014625916067604586,0.0014719572234159245,0.0014799005684341825,0.001488627276722774,0.0014883453698890205,0.0014892396155839812,0.0014911577779150446,0.0014945609419136012,0.001498658208019682,0.0015025269956598884,0.0015068703646071366,0.0015110180246417071,0.0015139776821826187,0.0015157868300720086,0.0015155714384886528,0.0015146923893207382,0.0015124171148019336,0.001509699710944448,0.001507312701659831,0.001506331073901781,0.0015067781449270546,0.0015093345893143805,0.001511900259198682,0.0015151719588536554
Indirect Heating Gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07189214701447236,0.07192075022919049,0.07213792036593973,0.07280148179074268,0.07182843748913795,0.07105987751915549,0.05830413087541383,0.08656444892327728,0.09207335949264804,0.09020732266043352,0.06999614103260918,0.09176927072010443,0.0866152948724338,0.12049447825064474,0.11246864435232934,0.11209661528091733,0.0790799828123957,0.10191555566833316,0.09515918025424176,0.06584860606548758,0.07084166389479157,0.061386760289178034,0.060783158264679886,0.05992461877634438,0.06580776493107889,0.06306866582125531,0.06415288240662273,0.05815957523645019,0.0573827564130752,0.06137221156791381,0.06275315825195207,0.06403242118556568,0.06519339281036912,0.06633120770388039,0.06745566847329157,0.06862479839850526,0.06986244783824754,0.07120393573910347,0.07202712338880897,0.07290197384291776,0.07383313667117575,0.07473137180034709,0.07555977152271133,0.07601769651001834,0.07649090579097054,0.07686110878764436,0.07713649208603349,0.07745316320392176,0.07736079075213448,0.07735008713805523,0.07741278884182615,0.07756703785355225,0.07776594293949105,0.07795635875061997,0.07817587128965699,0.07838755535151251,0.0785359477283123,0.07861085659562173,0.07856288158963065,0.07846688124533713,0.07828768959336267,0.07809010636126151,0.07791842676517334,0.07783599933697836,0.07784286004897759,0.07798997401491348,0.0781396893843299,0.07830770080149363
Indirect Heating Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027016743242795644,0.027280932611800385,0.028566137347922693,0.030996584754283407,0.032535228781201166,0.03332973900690752,0.03354916861295005,0.03319789399099777,0.053093111426811314,0.05665672695007476,0.06128186383011335,0.08142549016700085,0.07376999415811566,0.047358977503864884,0.09202358757645887,0.0804295848387628,0.13163590474948886,0.13659131272125896,0.1295728438002768,0.07598958638064182,0.07119441890899983,0.1197188756640114,0.15766308685514235,0.15829623016576996,0.1757041597012171,0.1629394325225987,0.16616423555270593,0.1508162858344487,0.14907887670287664,0.16031379013203167,0.16441388250151062,0.1682115053875677,0.17164091576359328,0.17503718312995228,0.17836167559893792,0.18183106317244546,0.18549370018349265,0.18946251503201586,0.1920226117836944,0.1947231419480232,0.19757552265334916,0.20034363762093346,0.20293566501224652,0.20452599167482965,0.20613826352059086,0.2074633321795156,0.20852474271138774,0.20970329001888224,0.2097242763131499,0.20996524994560292,0.21040258610165308,0.21109244677634828,0.2119027736203242,0.2126829596923054,0.2135410244041118,0.2143714269228132,0.2150160758904515,0.21545294514827334,0.21554145217576492,0.21549578912786055,0.2152124580611868,0.21486975831637106,0.2145934112122018,0.21456224414902145,0.21477713294512302,0.2153761053591962,0.21597824537774984,0.2166415735543139
Indirect Heating Electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indirect Heating Steam Distributed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002846665056671469,0.002954062273877355,0.003084599241241125,0.00319990381198338,0.003348932142523731,0.003279726250987625,0.0030633034089141715,0.0037455298836127572,0.002094311446241389,0.0070476805648428155,0.04766429008306805,0.018326789153153503,0.02499455968035904,0.016933362671632122,0.013887911788596802,0.017389000728813667,0.020807835871035036,0.020612607086266718,0.019208601405337863,0.06586549946778332,0.0532249853416627,0.04414524807109105,0.060225998699818185,0.05955685759432956,0.06576013439211299,0.060547223738118064,0.061724751302899214,0.05584770267303253,0.05493152602478027,0.05901130854648301,0.060422049147496486,0.0617561028411006,0.06300938310037513,0.06418967138222921,0.06539670169443039,0.06663730613576675,0.06796112014027945,0.06939601348289808,0.07036062466510769,0.07139240735979449,0.0724988394621213,0.0735545074172539,0.07450107397693212,0.07507012389653002,0.07567737604143304,0.07615244191034645,0.07650473483774073,0.07690259055005297,0.07692444000068596,0.0770496296121555,0.07726863926007968,0.07759811356361561,0.0779812340493152,0.07835444698654885,0.0787608487980706,0.07915733324391444,0.07947862463272694,0.07970504176562428,0.079778038547632,0.07978505689184144,0.07968835682684255,0.0795714920379889,0.07948736725292242,0.0795126729016741,0.07964669477453883,0.07995760279318788,0.08027060969704751,0.08058963551737594
Heat Pumps (Electricity),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Direct Heating Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04819511440196875,0.04780173305707842,0.047328010268243945,0.0459393406715802,0.04423152726062559,0.042866173113069804,0.0408170229310784,0.05415524390679267,0.00249454911250008,0.002336390198324743,0.0024563120750390717,0.0017718741686764711,0.0018041416221441114,0.0017743714877236656,0.0016786129032076312,0.001776473812347166,0.0021161291858798393,0.00020027826301487696,5.9673951450078676e-06,5.964539527068123e-06,5.956173523332452e-06,0.0,5.12434267503363e-05,5.569855397767997e-05,6.326384621110362e-05,6.226049391928426e-05,6.350530017452629e-05,5.85475687945192e-05,5.928137937210899e-05,6.38692217302662e-05,6.59199366754376e-05,6.767159905243213e-05,6.899460482524286e-05,7.062632830873576e-05,7.195095749542312e-05,7.3433463831098e-05,7.492443703251616e-05,7.653803508512795e-05,7.734251887808936e-05,7.811809215136941e-05,7.88517861301725e-05,7.965813311195142e-05,8.063199069427084e-05,8.126214853812242e-05,8.174255826121951e-05,8.225569098535246e-05,8.280639363239372e-05,8.338840036292785e-05,8.325946363074649e-05,8.309585819264735e-05,8.289309529431299e-05,8.269326351009401e-05,8.249030149690848e-05,8.227077348687145e-05,8.205741803722053e-05,8.183328885967679e-05,8.157672249761032e-05,8.134037197339095e-05,8.110762345476743e-05,8.09130416056633e-05,8.071617023474197e-05,8.048916196408003e-05,8.024398820038975e-05,7.99901191569227e-05,7.97333195972828e-05,7.943368283928735e-05,7.9131114369234e-05,7.893893206336626e-05
Direct Heating Oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002705196279907561,0.0027312419425005144,0.002858625526637947,0.0030992879234694533,0.003251253386220931,0.0033294958738244213,0.0033503166351412732,0.003321728190359469,0.0018527188136311988,0.0017906463909919425,0.0017135820451605612,0.0012451529819539338,0.0015304389123969528,0.002615528497047408,0.002769517126816534,0.0013416578986415481,0.0013738868366754535,0.0016745890197280686,0.0012187753937542244,0.0015124997085297289,0.0006744146117461945,0.0008038988995101508,0.0007642424755011527,0.0008284067190652682,0.0009402123003372037,0.000923559037508164,0.0009420186030578947,0.0008680628041097866,0.0008783101488563517,0.0009462308957903084,0.0009764299941193793,0.0010022767395097283,0.001021896293994217,0.0010459486270879704,0.0010655732216487044,0.001087492953210189,0.0011095681228505449,0.0011334597235460539,0.0011454726853599494,0.0011570944828965658,0.001168140650133356,0.0011802166815410068,0.0011946703681260439,0.0012040078465594874,0.0012111961619864686,0.0012188048549737526,0.001226907718416943,0.0012354810837998085,0.0012336310419266395,0.001231320922759952,0.0012284820690379135,0.001225729401202131,0.001222952739337161,0.001219932643140808,0.0012170148748072169,0.0012139373822556074,0.0012103611269123995,0.0012070392810685513,0.0012037084605218313,0.0012009029748891167,0.0011980231169066824,0.0011946996123011126,0.001191126507145012,0.0011874711495597394,0.001183816574688394,0.0011796131025554565,0.0011753680315488991,0.0011727206991092641
Direct Heating Gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022719763120957852,0.02290264511747384,0.023596735653951487,0.02547777067252665,0.026205906824974867,0.026868752197601316,0.02102702657472885,0.02920838940282512,0.029324167527201975,0.028902115241642594,0.030040892116993463,0.0294889700580311,0.027094237911151738,0.024574034398197598,0.02239262068473309,0.022509289961361745,0.0163206104735276,0.021487284404095,0.024195732382732333,0.0177445145351924,0.013232826833614562,0.015295258945595913,0.014982976139119685,0.01564487025007089,0.017454683732722073,0.01771834516703846,0.01801550872802594,0.016537803083709026,0.01663565965532345,0.017801880596008013,0.018288594649727225,0.018705354884239245,0.01902393188143767,0.019409546413527348,0.01972775451962699,0.02008145808306532,0.02043892285268433,0.0208259349227533,0.021006513050029454,0.021182372944084392,0.02135083425074885,0.021534231355825068,0.021752108101493417,0.02187600914637012,0.02196812545529132,0.022064707498154056,0.02216703872916411,0.02227760763723882,0.02221370422984217,0.02214511575102142,0.02207062395122755,0.021999861197646124,0.0219301702814222,0.021857129093451503,0.021786751278838067,0.02171430857186467,0.021633524979527176,0.021555530676802468,0.021475329165421247,0.021402528622210308,0.02132734836496187,0.02124557016412621,0.021161036293760527,0.021077585016889763,0.02099646093088718,0.020910438150539147,0.02082427665820982,0.020763001684097244
