,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
Indirect Heating Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,952.5398401434137,989.7182761536816,1045.1811251372592,1057.0064351089604,1082.332883739782,1098.5822072349906,1111.2159733606018,1161.9755988962772,185.29427537293148,433.26528399661765,210.68413101955792,186.83025894380185,492.17496656213984,458.2260627131244,484.1703638781891,363.6983799780608,385.2459519160283,320.48673292803494,264.81584466956,268.8649861633989,216.66800347927898,182.2544604524281,168.67634187144262,182.10123197857095,164.18639252279755,164.17874967320037,125.46232151086261,97.48499619132896,124.2907176255548,154.6602548690036,196.99220047019222,252.12681830542172,322.2139970084379,297.1207234633669,273.39641915496594,252.02791084004653,232.7220727575877,215.0859725224171,217.69802876709798,220.70076950001075,223.84692605771764,227.21337651557826,231.00917528904478,44.47778802044197,42.996423936754624,41.75648398446033,40.69772452555785,39.79092289982268,38.230432843835196,36.803917445492274,35.477658250688734,34.25345357697685,33.14524038538678,31.80279633261275,30.545772363571835,29.353487826412856,28.222346086031262,27.136611863844635,2.862022384447233,2.8489845821932316,2.8390938356557136,2.8314509860585404,2.8211106601329536,2.817963604416471,2.8125686517596424,2.8031274846101937,2.789640102968124,2.77795103887833
Indirect Heating Oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.38971667715526,290.6928188017674,310.1160255328769,324.2761935461376,342.32813004676046,347.7009684742516,351.7096548220345,369.7182549825718,570.4148461305093,497.7664137640793,435.1442167156048,487.3029023907812,173.03874723158998,397.9214101110047,466.48957353484,372.8845208045514,457.38573717359634,453.4585815888688,372.3102753500168,378.7356046006769,234.61813097079929,408.1892729921017,531.1717262778076,129.71186837960863,70.35153272416701,104.26856946161715,105.68487034620068,107.13090165718992,101.08458236702657,101.65484026017957,98.73644497481317,97.06106466012288,94.91226269828667,83.29247947126953,73.98345824327001,66.32490040116366,60.25819453289353,55.53332190973365,40.1969522350868,29.83264244314429,22.761897603116207,17.86232333145811,14.431148977323062,12.07621605907408,10.3396760100635,9.051074385565347,8.065439963487108,7.292165730020958,6.842811570917779,6.451785676953388,6.1105936405833,5.809325319672285,5.545432391956996,5.281539464241707,5.0524736074588015,4.856819087017532,4.684382613864515,4.534314747245306,4.490426974932141,4.453901022490863,4.415109894704388,4.378867089181258,4.339226520640334,4.278916227074503,4.225401459544256,4.17160354509586,4.120920246747109,4.0713695360709545
Indirect Heating Gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1327.2607325699119,1403.1156759692688,1497.8225559552955,1572.5324935670346,1669.4808240936745,1707.7072889193344,1716.5077794061035,1783.2810802073457,1871.9152025889985,1755.2176200488336,1289.7617226667876,927.4728285350619,814.5359041591182,712.5257068392548,630.9239095183848,678.0079153571918,569.3600425039398,705.7550402006447,816.9762027866873,745.4203991907883,734.9509554399016,725.7818755712989,777.7970828113039,835.1924449293355,899.3169534735629,852.0999075253762,859.1248034223802,866.3943524857394,848.759359726955,832.2809707338719,821.5710499660407,811.0353980511456,797.7831823471782,772.244843318142,749.6091804453919,731.3251631042158,715.7184567619365,702.6817930178142,715.5533243342996,729.5469440320213,744.735743513376,761.7460754905675,780.6033189227612,783.2890895747131,785.5160086449533,788.4156393261394,791.6012062805901,795.0222899760964,801.0431942485142,806.9751029707916,813.1987005304109,818.8507639296238,825.2158068883255,822.3950201736133,819.3478531431449,817.1537575267589,815.5528527826007,814.1600555035992,808.156408923414,802.3087583455658,796.3342129718906,790.6472958020904,785.3451236532389,785.7420505745871,785.866915053681,785.4324272727682,784.5651436415532,784.1597570671502
Indirect Heating Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8624205994525127,3.8958801554006386,4.096949909963686,4.206763782254508,4.298800361660722,4.335520823086863,4.347075073916138,4.526673642066449,200.56790676338352,290.9694370232036,469.6676976824201,578.132663736469,608.5758600074993,697.1469593079119,659.9677707056393,705.1145346980571,631.7326533177096,669.3444731441849,620.6975309963025,730.8856903601386,959.791681988567,1065.1422161823298,1170.5123945943255,1185.7991446417568,1101.1347395026949,1057.5110608151228,1054.9417274079813,1052.4204453406871,1055.4458810378253,1047.1938985358804,1049.8981354372465,1052.0894821015236,1049.2267014745642,1039.7274398088762,1030.6254368137995,1022.8763231465157,1015.4198858219396,1007.5782669014733,962.8206279853067,919.8198180024963,878.6472715652217,839.6812323753844,802.9268396137165,800.7342081542567,798.4431613837721,797.2166959019952,796.5450049802763,796.3163114376864,796.8767390965498,797.2159250248853,797.6375948039752,798.022262481792,798.9038889364282,749.893834923273,705.065789231073,664.5459187468078,627.287886273369,592.9787157041567,586.0621493155146,579.2619853704604,572.5314573243296,566.1331773125457,559.8870170504396,557.8770834660148,555.6854798427014,553.2811141370685,550.9047569664267,548.6823182587192
Indirect Heating Electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indirect Heating Steam Distributed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388.8706294343945,433.3560208929725,465.8486967261063,478.3697033993565,508.6213075698976,521.2313823996299,533.8197420065791,564.905506621555,644.4833032053987,645.6865981044039,698.9728163135233,747.9646376872922,545.1552859164124,542.716697507344,500.62193148637886,483.89850274095136,337.24514648512445,458.16870008125915,441.4028025985031,418.3935980963063,350.82390890299416,381.0567865117582,423.1029321603802,465.71597942057764,503.63218354863983,494.14446544006597,480.33793120978976,469.7792948744247,485.4033031862663,487.75789856029326,495.56681581223427,505.3741472097795,516.2922891316994,521.8586893694905,526.1480611763101,530.5856043741534,535.3893018748154,540.5116628478396,547.2957279785322,554.9512498480992,562.4671486761247,569.8538724453085,577.1764835933765,560.7536795132587,546.2423813590099,533.612194999138,522.845548826374,513.3136642454757,486.6005470220715,462.8475332610127,441.4633621231178,422.38819516201187,404.97283272535594,420.13760470668444,436.44595588540227,453.7715606524957,472.2716136567752,492.20588974083694,485.3852566706929,479.45982575465143,474.15082581793376,469.17283696949687,464.2622851003081,464.29600358993196,464.3520427698706,464.4736192958389,464.5733500397973,464.80653001733805
Heat Pumps (Electricity),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Direct Heating Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.58952650693345,232.90961761046228,253.2441700094104,262.76410677647357,288.74045595756803,304.4229436389171,308.2260709583902,316.41688766924705,315.8787675726221,69.75259983580412,299.4242634816232,131.9021207061057,24.431699594897594,24.384343306864356,20.88209463760325,33.53464628862043,36.5135858812536,14.80290682718698,11.696112541137605,13.879586702825074,10.389801919943775,14.63504372230608,13.314027319640308,14.37368602261184,12.959624872750497,12.959021604341853,9.903041278036666,7.694724038630141,9.810563779629252,12.207704030941324,15.54906580091206,19.90097312811532,25.433121867264934,23.45244973617904,21.579833622994364,19.89316612517993,18.369310124945397,16.97725052881107,17.183426379059373,17.420439890902472,17.668773557001895,17.934495547821047,18.2341070286552,3.5107382472917643,3.3938106351457806,3.2959392074375504,3.212368789651879,3.140792767285127,3.0176195527908307,2.905021278636293,2.8003364665480834,2.7037070620341197,2.616233142780752,2.5102708211212965,2.4110509110878615,2.3169410393394103,2.2276573148601106,2.1419577144556956,0.22590627584865738,0.2248771709162648,0.2240964706227256,0.2234932022140817,0.22267701554356345,0.22242861090471008,0.2220027743809614,0.2212575604644013,0.22019296915502967,0.21927032335357427
Direct Heating Oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.4506557027409,142.21843918439242,149.79766821322897,154.46015001539718,158.5073768805426,159.79220784940372,160.38703080020926,167.4043022770854,202.08586434498986,172.2156760303031,130.91330881104938,161.34078088090047,167.30702619959465,143.09586394333581,101.27788135259632,137.83372518131554,136.75983874996206,111.35823575267912,117.66984514200905,81.2066821063749,45.27736464290422,110.65768966715856,79.31757927036493,19.36931296137138,10.505290469324303,15.569975046740181,15.781465139540959,15.997394748484098,15.094524008446545,15.179678156167611,14.743886795412385,14.493709490513902,14.172838176186607,12.437706143328072,11.047630217496154,9.904010859224364,8.998095879546334,8.292551061760127,6.002437230000543,4.454779621667925,3.3989358396964997,2.667303579435665,2.154941135501269,1.803289175920284,1.5439791521003756,1.3515578381586824,1.2043773077629378,1.0889076069554746,1.0218074915466706,0.9634172839981148,0.9124685511262756,0.8674814542170335,0.8280754633153286,0.7886694724136238,0.7544640575643974,0.7252478132370607,0.6994986196113758,0.6770896333689901,0.6705360619207451,0.6650817992315609,0.6592892876934348,0.653877306110368,0.6479579512538887,0.6389520756508168,0.6309609465945698,0.6229275364322051,0.6153592184371353,0.6079600248665362
Direct Heating Gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,922.5066410864906,938.4261854609692,984.256118470154,984.3708107380637,989.496489758406,998.943120079556,1008.4750792637413,1053.4466699537843,905.8681436127896,868.1381014800992,806.1293316233383,776.2264526158935,588.7207491996134,655.5909655823065,646.9140007112483,630.2987769919588,547.2607882803217,699.8727611155232,574.8704702550551,648.6810691662457,686.5754491869677,548.037097584377,579.2790023457605,622.0252774884162,669.7832109601519,634.6174281679127,639.8493514763555,645.263484830656,632.1294923827033,619.8569023368824,611.8804874663518,604.0338626008235,594.1640257738223,575.1438675844441,558.2855320414928,544.6681663321917,533.0447783308097,523.3354778789277,532.9217928503414,543.3438042423137,554.6559482511174,567.3247128364794,581.3689994554386,583.3692776490374,585.0278174993681,587.1873719709502,589.5598828585071,592.1077992673876,596.5919809353607,601.0098814939831,605.6450227988425,609.8545032911798,614.5949887166042,612.494154771557,610.2247198297204,608.5906258638271,607.3983219537962,606.3610099914864,601.8896813142999,597.5345335930473,593.0848785865991,588.8494400932615,584.9005476886375,585.1961664767302,585.2891616453629,584.9655687008523,584.3196429089669,584.0177236351947
