,1 Carbon Costs ($/MWh),2 std ($/MWh),3 Investment ($/kW),4 std ($/MWh),5 Fuel ($/MWh),6 std ($/MWh),7 O&M ($/MWh),8 std ($/MWh),9 Lifetime (years),10 Lead Time (years),11 Decision Load Factor,12 Type (0;1;2;3),13 Efficiency (%),14 Resource (%),15 Emissions (tCO2/GWh),16 Learning exp,17 Discount Rate (%),18 Variable (0 or 1),19 Flexible (0 or 1),20 Baseload (0 or 1),21 Storage,22 Gamma,23 Value factor
1 Nuclear,0,0,7969.124,3187.65,5.793,2.317,25.714,10.286,40,6,0.95,1,1,1,0,-0.0862010350493039,0.05,0,0,1,0,-0.1,1
2 Oil,0,0,2084,833.6,43.495,17.398,17.16,6.864,40,4,0.85,1,0.45,0.272616577445414,751.849659257691,-0.014499569695115,0.05,0,1,0,0,0.04,1
3 Coal,0,0,3970.692,1588.277,22.662,9.065,26.745,10.698,40,2,0.85,1,0.435,0.416820041988634,760,-0.043943347587597,0.05,0,0,1,0,0.19,1
4 Coal + CCS,0,0,5936.791,2374.716,26.315,10.526,34.758,13.903,40,2,0.85,1,0.35,0.367198608418558,76,-0.0740005814437769,0.05,0,0,1,0,-0.01,1
5 Waste,0,0,2190.724,876.29,76.276,30.51,20.542,7.083,40,4,0.85,2,0.25,0.310115865758023,0,-0.0740005814437769,0.05,0,0,1,0,0.08,1
6 Waste + CCS,0,0,4676.529,1416.079,122.041,48.816,32.867,11.333,40,4,0.85,2,0.15,0.273197310310639,0,-0.104697378666693,0.05,0,0,1,0,0,1
7 CCGT,0,0,1157.926,463.17,16.606,6.642,6.08,2.432,20,3,0.85,1,0.59,0.513210825557584,370,-0.0588936890535685,0.05,0,1,0,0,-0.38,1.15
8 CCGT + CCS,0,0,2998.602,1199.441,17.934,7.174,16.312,6.525,30,3,0.85,1,0.448,0.423173838617657,37,-0.0740005814437769,0.05,0,1,0,0,0.05,1.15
9 OCGT,0,0,736.89,125.18,24.079,9.631,16.327,9.126,26,2,0,1,0.36,0.4,370,-0.0588936890535685,0.05,0,1,0,0,0,1.15
10 OCGT + CCS,0,0,1417.009,425.103,26.005,10.402,27.369,13.467,27,2,0,1,0.324,0.36,37,-0.0740005814437769,0.05,0,1,0,0,0,1.15
11 Biomass,0,0,2909.057,899.832,76.276,30.51,20.542,7.083,25,2,0.85,2,0.32,0.310115865758023,0,-0.0740005814437769,0.05,0,0,1,0,-0.04,1
12 Biomass + CCS,0,0,4676.529,1416.079,122.041,48.816,32.867,11.333,25,2,0.85,2,0.3,0.273197310310639,-980.756756756756,-0.104697378666693,0.05,0,0,1,0,0.04,1
13 Large Hydro,0,0,6047.748,2419.099,0,0,17.266,6.906,50,3,0.4,4,1,1,0,-0.0203404482841755,0.05,0,1,0,0,-0.11,1.15
14 Pumped Hydro,0,0,7073,2829.2,0,0,4.37,3.211,50,12,0,5,0.75,0.75,0,-0.2,0.05,0,0,0,1,0.03,1.15
15 Geothermal,0,0,4221.469,1279.739,0,0,16.296,8.391,40,2,0.85,3,1,1,0,-0.0740005814437769,0.05,0,0,1,0,0.08,1
16 Marine,0,0,9443,3777.2,0,0,60,20,25,2,0,3,1,1,0,-0.084,0.05,0,0,1,0,0,1
17 Onshore,0,0,1501,600.4,0,0,11.644,4.658,20,1,0.265,0,1,1,0,-0.194,0.044,1,0,0,0,-0.24,0.85
18 Offshore,0,0,3689,1475.6,0,0,20,8,25,3,0.39,0,1,1,0,-0.194,0.059,1,0,0,0,-0.01,0.9
19 Solar PV,0,0,1109,443.6,0,0,8.224,1.803,30,2,0.16,0,1,1,0,-0.319,0.06,1,0,0,0,-0.42,0.85
20 CSP,0,0,5875.847,1982.387,0,0,26.5,10.6,25,2,0.32,0,0.2,0.2,0,-0.194,0.05,0,0,1,0,-0.01,1
21 Fuel cells / Turbine,0,0,1309.164,163.624,9999,0,5.844,1.849,27,3,0.85,5,0.57,0.720295895519417,359.295311277135,-0.071,0.05,0,0,0,1,0,1
22 Lithium-ion,0,0,1313.925,525.57,0,0,28.074,8.422,15,2,0,5,0.863,1,0,-0.168,0.093,0,0,0,1,0,1
