,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1 Power own use & trans.,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 O.energy own use & tra,118.0,117.0669,121.0655,121.0638,114.0658,116.064,118.0689,119.0664,122.0674,123.6454,125.2441,127.0477,128.8401,130.6222,132.4846,134.4236,138.5354,142.7547,147.1228,151.6189,156.2569,159.008,161.7664,164.7986,167.6998,170.746,175.4198,180.1969,185.1192,190.1573,195.3487,199.339,203.447,207.6607,211.9678,216.4077,220.717,225.1276,229.6095,234.1968,238.8652,241.5502,244.2643,246.9807,249.7883,252.6725,255.1727,257.7729,260.527,263.4432,266.5633
3 Hydrogen production,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
4 Iron & steel,282.0,300.8893,287.8847,335.8458,343.846,373.8426,379.8515,362.856,369.8537,371.5123,373.1783,379.2686,385.0711,391.4891,397.8435,404.4628,411.7978,419.2261,426.8231,434.4526,442.2976,446.0323,449.8974,453.6744,457.5203,461.3929,463.1322,464.8414,466.5925,468.3455,470.1141,470.2094,470.4263,470.5788,470.7174,470.9548,473.2253,475.5799,477.7158,480.0359,482.2913,483.7706,485.3621,486.9891,488.7115,490.4131,492.1573,493.8441,495.544,497.3218,499.1608
5 Non-ferrous metals,164.0,152.4257,159.4171,163.3917,163.3888,158.4241,158.4293,162.4016,165.4184,165.6434,165.8688,166.9502,168.2971,169.5642,170.9169,172.1984,173.2271,174.2332,175.2376,176.2607,177.2977,176.4838,175.6193,174.7336,173.8882,173.0612,172.106,171.1317,170.1875,169.2599,168.3292,165.6227,162.9239,160.2762,157.672,155.1003,156.1242,157.1459,158.1894,159.2078,160.2341,160.288,160.3434,160.4269,160.5101,160.5818,160.7068,160.8426,160.97,161.0972,161.2505
6 Chemicals,395.0,407.6688,398.6704,408.6817,401.6561,403.6566,429.642,396.6443,419.6868,427.8544,436.1821,437.2318,439.0117,440.4096,442.0287,443.5995,438.7937,434.1536,429.5471,424.9934,420.2614,422.7278,424.8091,427.1258,429.224,431.463,433.6066,435.8521,438.1111,440.3395,442.4008,444.0179,445.4016,446.8944,448.4862,450.0302,452.1244,453.9909,456.1483,458.0962,460.1062,460.0055,459.8255,459.9543,459.9856,460.1267,459.1286,458.2758,457.3201,456.5364,455.8662
7 Non-metallics nes,67.0,73.8675,66.8694,65.8676,59.8779,56.8845,60.8831,70.8639,68.861,67.9384,67.0283,66.9153,66.909,66.9029,66.9068,66.8837,67.1184,67.3631,67.612,67.8581,68.1111,68.8732,69.6341,70.3919,71.1548,71.936,73.1696,74.4216,75.6964,77.0042,78.3318,79.4971,80.6756,81.8712,83.102,84.352,85.6855,87.0268,88.3945,89.7616,91.1388,91.5851,92.0342,92.5053,93.0033,93.5198,94.2753,95.0872,95.9371,96.8305,97.7729
8 Ore-extra.(non-energy),81.0,93.4576,114.436,121.403,125.3802,132.3636,160.3134,124.3199,123.2787,124.8824,126.5068,128.2629,130.1567,132.0239,133.9325,135.8617,140.0491,144.3619,148.8156,153.4122,158.1389,160.9727,163.8698,166.8054,169.7913,172.8328,177.5407,182.3698,187.3401,192.4415,197.685,201.7282,205.8631,210.0801,214.3947,218.7012,223.0931,227.3433,231.6952,236.1588,240.7091,243.2694,245.8508,248.4567,251.0782,253.7373,255.9107,258.1269,260.3798,262.6469,264.9307
"9 Food, drink & tob.",142.0,139.721,134.7172,142.6988,152.6889,144.7004,146.7127,165.669,175.6538,173.8652,172.0951,173.1846,174.5608,175.9908,177.6183,179.2162,182.5768,185.9117,189.1985,192.5175,195.8894,196.4864,196.952,197.467,197.9069,198.323,200.4224,202.7299,204.9023,207.0646,209.2728,211.1345,212.8812,214.6584,216.4779,218.4335,221.335,224.0154,227.0558,230.4939,234.0038,236.8922,239.7989,242.8024,245.5491,247.9064,249.8813,251.7369,253.3729,254.8762,256.2307
"10 Tex., cloth. & footw.",12.0,11.7064,17.6013,13.6547,9.7388,10.6749,10.6424,8.6764,9.6671,9.7012,9.7353,9.4633,9.2062,8.959,8.7191,8.4829,8.4009,8.3217,8.2426,8.1609,8.0759,7.9388,7.7965,7.6548,7.515,7.3782,7.2965,7.2193,7.145,7.0757,7.0065,6.9292,6.8495,6.7738,6.6982,6.618,6.5402,6.4611,6.3811,6.2947,6.2083,6.1143,6.0218,5.9405,5.868,5.8025,5.7341,5.6739,5.615,5.5589,5.5068
