,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1 Power own use & trans.,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 O.energy own use & tra,2382.0,566.0449,532.047,504.0491,503.0479,494.0491,547.0422,516.0455,560.0402,548.1091,536.433,531.8519,524.2822,516.7615,509.665,503.1382,530.0343,539.3487,543.1234,548.1635,553.9305,566.1773,577.5692,590.8377,605.9355,622.8112,628.7964,635.982,643.5206,651.5609,659.7281,666.1525,670.5023,674.7236,680.436,686.4559,693.4371,700.2606,707.2136,710.6421,708.9156,698.1473,688.374,682.5421,678.9401,678.2325,680.9554,686.079,691.2997,697.6439,702.4801
3 Hydrogen production,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
4 Iron & steel,879.0,1090.1,1082.1,1065.1,1084.1,1036.1,1058.1,1021.1,1076.0975,1071.4008,1029.3121,1022.1077,1028.451,1026.7634,1025.1995,1025.2626,1023.7119,1019.1475,1014.9205,1011.8079,1010.3255,1008.7524,1005.5839,1002.6851,1000.0792,997.8916,996.237,995.0255,994.0592,993.6818,998.887,1003.4464,1001.722,1000.6949,1000.2498,1000.291,1000.7642,1001.7106,1003.1241,1004.8466,1006.8527,1008.8682,1010.8115,1012.6594,1014.4062,1015.8502,1017.1386,1018.022,1018.6952,1019.1496,1019.9869
5 Non-ferrous metals,642.0,698.4219,684.4393,674.4251,712.4083,750.4124,759.447,767.4353,707.4161,707.8542,708.2924,707.2883,710.3042,711.5772,712.8529,711.9313,704.6952,697.396,690.6578,684.5189,679.4589,669.2012,657.9675,647.503,637.8914,629.116,631.2971,633.0679,633.728,634.3626,633.6627,633.4217,633.2855,633.7449,634.7731,636.2393,637.2466,639.9701,642.5746,644.4434,646.3401,646.8468,647.593,648.2891,649.0895,649.3187,648.5818,647.2846,645.9532,644.4887,644.4818
6 Chemicals,2377.0002,1739.6976,1695.7035,1683.7172,1741.6923,1715.6635,1716.6543,1751.6063,1725.6274,1699.4587,1673.6865,1642.4592,1608.9189,1578.0269,1547.3237,1516.8221,1457.8964,1399.8881,1345.3538,1292.2094,1241.8441,1229.1638,1216.6919,1204.4835,1192.0826,1180.2521,1167.6467,1155.476,1142.9401,1130.574,1118.566,1111.3549,1104.17,1097.5256,1090.7676,1083.938,1081.739,1079.6428,1077.6539,1075.3198,1073.2953,1068.4822,1063.4979,1058.8265,1053.6997,1048.7728,1042.3802,1036.3287,1029.9004,1023.93,1017.8212
7 Non-metallics nes,788.9999,744.9086,728.9073,716.9092,697.9089,683.9039,702.9034,707.887,708.9013,711.4828,714.074,701.213,689.1741,677.0272,665.033,653.1624,638.1868,623.5869,609.4075,595.4858,581.9357,584.4941,587.0559,589.6741,592.3975,595.0812,596.3676,597.6511,599.0296,600.4022,601.6564,607.5844,613.6533,619.6282,625.7634,631.8951,640.8538,649.7896,658.9946,668.2408,677.635,681.8151,686.0037,689.9554,693.9758,697.9305,702.1919,706.313,710.4567,714.4763,719.0859
8 Ore-extra.(non-energy),49.0,149.6609,149.629,149.5921,146.5672,140.7054,136.7166,139.7072,137.7077,134.7542,131.8638,130.4989,128.7088,126.9976,125.3446,123.7887,124.4643,125.1197,125.7534,126.3901,127.0191,131.2556,135.6628,140.204,144.8714,149.7004,151.776,153.92,156.0658,158.2227,160.4277,162.3429,164.2477,166.1909,168.192,170.192,172.4911,174.8441,177.254,179.7116,182.2131,183.1438,184.0349,184.961,185.8557,186.7561,187.8266,188.9491,190.0402,191.1841,192.3222
"9 Food, drink & tob.",1727.9998,1817.7074,1902.6906,1894.6826,1886.6665,1887.6892,1920.6912,1861.6893,1958.6831,1948.808,1938.9833,1913.2136,1888.4719,1865.2804,1843.1447,1821.5177,1836.4764,1849.6672,1861.557,1873.0668,1884.7628,1910.6188,1937.3916,1965.2406,1994.0862,2023.8849,2033.0895,2042.9998,2053.5044,2064.5291,2075.7327,2102.5923,2129.7761,2157.4568,2185.2388,2213.2236,2249.3206,2285.7141,2322.6387,2359.5469,2396.9092,2429.6531,2462.7471,2495.9365,2529.5977,2563.4153,2595.0149,2626.5664,2658.4451,2690.5723,2723.2473
"10 Tex., cloth. & footw.",151.0,153.6165,152.5771,147.6004,144.5691,137.5981,140.604,139.6347,139.6215,134.308,129.1974,125.7569,121.9902,118.3475,114.9141,111.5747,111.667,111.7112,111.6897,111.757,111.8327,108.5522,105.3682,102.3065,99.3572,96.531,94.1538,91.7729,89.3023,86.9309,84.6552,83.6448,82.6209,81.7038,80.7845,79.7869,79.4088,79.07,78.7153,78.4275,78.2713,77.8411,77.0949,76.6259,76.3433,76.1646,75.456,74.6943,73.8484,73.0748,71.3431
