,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 Oil,0.0,0.0,0.0,4.6032,4.6032,4.6032,4.6032,4.6032,4.6032,20.4978,14.4919,37.0887,72.443,67.7747,63.3598,59.759,56.9472,55.0698,54.0485,53.1814,52.3364,53.4025,54.1588,54.8272,55.4354,55.985,56.481,56.92,57.2057,57.4717,57.7681,59.1894,60.4996,61.7193,62.8887,63.945,64.9087,65.8519,66.6635,67.4113,68.0909,68.4071,68.7469,69.0174,69.3338,69.6123,69.8995,70.1509,70.4073,70.6598,70.8992,71.1086,71.3408,71.5712,71.7839,71.9722,72.1977,72.3828,72.5875,72.7775,72.9566
3 Coal,0.0,0.0,0.0,6.1123,6.1123,6.1123,6.1123,6.1123,6.1123,27.2176,19.2427,49.2474,96.1919,89.9931,84.131,79.3497,75.6161,73.1233,71.7671,70.6157,69.4937,70.9093,71.9136,72.8011,73.6087,74.3384,74.9971,75.5799,75.9593,76.3125,76.7061,78.5934,80.3331,81.9527,83.5055,84.908,86.1876,87.44,88.5177,89.5107,90.413,90.8329,91.2841,91.6433,92.0634,92.4333,92.8145,93.1484,93.4889,93.8241,94.142,94.42,94.7283,95.0342,95.3167,95.5667,95.8662,96.112,96.3837,96.636,96.8738
4 Coal + CCS,0.0,0.0,0.0,0.6112,0.6112,0.6112,0.6112,0.6112,0.6112,2.7218,1.9243,4.9247,9.6192,8.9993,8.4131,7.935,7.5616,7.3123,7.1767,7.0616,6.9494,7.0909,7.1914,7.2801,7.3609,7.4338,7.4997,7.558,7.5959,7.6313,7.6706,7.8593,8.0333,8.1953,8.3505,8.4908,8.6188,8.744,8.8518,8.9511,9.0413,9.0833,9.1284,9.1643,9.2063,9.2433,9.2815,9.3148,9.3489,9.3824,9.4142,9.442,9.4728,9.5034,9.5317,9.5567,9.5866,9.6112,9.6384,9.6636,9.6874
5 IGCC,0.0,0.0,0.0,6.1123,6.1123,6.1123,6.1123,6.1123,6.1123,27.2176,19.2427,49.2474,96.1919,89.9931,84.131,79.3497,75.6161,73.1233,71.7671,70.6157,69.4937,70.9093,71.9136,72.8011,73.6087,74.3384,74.9971,75.5799,75.9593,76.3125,76.7061,78.5934,80.3331,81.9527,83.5055,84.908,86.1876,87.44,88.5177,89.5107,90.413,90.8329,91.2841,91.6433,92.0634,92.4333,92.8145,93.1484,93.4889,93.8241,94.142,94.42,94.7283,95.0342,95.3167,95.5667,95.8662,96.112,96.3837,96.636,96.8738
6 IGCC + CCS,0.0,0.0,0.0,0.6112,0.6112,0.6112,0.6112,0.6112,0.6112,2.7218,1.9243,4.9247,9.6192,8.9993,8.4131,7.935,7.5616,7.3123,7.1767,7.0616,6.9494,7.0909,7.1914,7.2801,7.3609,7.4338,7.4997,7.558,7.5959,7.6313,7.6706,7.8593,8.0333,8.1953,8.3505,8.4908,8.6188,8.744,8.8518,8.9511,9.0413,9.0833,9.1284,9.1643,9.2063,9.2433,9.2815,9.3148,9.3489,9.3824,9.4142,9.442,9.4728,9.5034,9.5317,9.5567,9.5866,9.6112,9.6384,9.6636,9.6874
7 CCGT,0.0,0.0,0.0,3.0874,3.0874,3.0874,3.0874,3.0874,3.0874,13.7481,9.7199,24.8758,48.5883,45.4572,42.4962,40.081,38.1951,36.936,36.2509,35.6693,35.1026,35.8176,36.3249,36.7732,37.1811,37.5497,37.8824,38.1769,38.3685,38.5469,38.7457,39.699,40.5778,41.3958,42.1802,42.8886,43.535,44.1676,44.7119,45.2135,45.6693,45.8814,46.1093,46.2908,46.503,46.6898,46.8824,47.051,47.223,47.3923,47.5529,47.6933,47.8491,48.0036,48.1463,48.2726,48.4238,48.548,48.6852,48.8127,48.9328
8 CCGT + CCS,0.0,0.0,0.0,0.3087,0.3087,0.3087,0.3087,0.3087,0.3087,1.3748,0.972,2.4876,4.8588,4.5457,4.2496,4.0081,3.8195,3.6936,3.6251,3.5669,3.5103,3.5818,3.6325,3.6773,3.7181,3.755,3.7882,3.8177,3.8368,3.8547,3.8746,3.9699,4.0578,4.1396,4.218,4.2889,4.3535,4.4168,4.4712,4.5214,4.5669,4.5881,4.6109,4.6291,4.6503,4.669,4.6882,4.7051,4.7223,4.7392,4.7553,4.7693,4.7849,4.8004,4.8146,4.8273,4.8424,4.8548,4.8685,4.8813,4.8933
9 Solid Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10 S Biomass CCS,0.0,0.0,0.0,-6.0047,-6.0047,-6.0047,-6.0047,-6.0047,-6.0047,-26.7385,-18.904,-48.3806,-94.4989,-88.4093,-82.6503,-77.9531,-74.2852,-71.8363,-70.504,-69.3729,-68.2706,-69.6613,-70.6479,-71.5198,-72.3131,-73.03,-73.6771,-74.2497,-74.6224,-74.9694,-75.3561,-77.2102,-78.9192,-80.5103,-82.0358,-83.4136,-84.6707,-85.9011,-86.9597,-87.9353,-88.8217,-89.2342,-89.6774,-90.0304,-90.4431,-90.8064,-91.181,-91.509,-91.8435,-92.1727,-92.4851,-92.7582,-93.0611,-93.3616,-93.6391,-93.8848,-94.179,-94.4203,-94.6873,-94.9352,-95.1688
