,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 Oil,0.0,0.0,0.0,3.8421,3.8421,3.8421,3.8421,3.8421,3.8421,11.3182,13.8868,14.3601,14.9541,15.5597,16.1539,16.8124,17.4868,18.1854,18.9196,19.67,20.4674,21.0278,21.5002,21.9826,22.4733,22.9849,23.5034,24.0384,24.5875,25.1484,25.7193,26.3095,26.9169,27.5388,28.1608,28.8038,29.4768,30.1419,30.8502,31.5555,32.2862,31.4923,30.7168,29.9594,29.2198,28.498,27.7935,27.1061,26.4356,25.7815,25.1437,24.5217,23.9151,23.3237,22.7471,22.1849,21.6367,21.1024,20.5813,20.0734,19.5781
3 Coal,0.0,0.0,0.0,5.1016,5.1016,5.1016,5.1016,5.1016,5.1016,15.0287,18.4393,19.0678,19.8564,20.6606,21.4496,22.324,23.2195,24.1471,25.122,26.1183,27.1773,27.9214,28.5486,29.1892,29.8406,30.52,31.2085,31.9189,32.648,33.3927,34.1508,34.9344,35.741,36.5668,37.3928,38.2465,39.1401,40.0233,40.9637,41.9003,42.8705,41.8163,40.7867,39.7809,38.7989,37.8404,36.905,35.9923,35.1019,34.2335,33.3865,32.5606,31.7552,30.9699,30.2042,29.4577,28.7299,28.0203,27.3285,26.654,25.9963
4 Coal + CCS,0.0,0.0,0.0,0.5102,0.5102,0.5102,0.5102,0.5102,0.5102,1.5029,1.8439,1.9068,1.9856,2.0661,2.145,2.2324,2.322,2.4147,2.5122,2.6118,2.7177,2.7921,2.8549,2.9189,2.9841,3.052,3.1208,3.1919,3.2648,3.3393,3.4151,3.4934,3.5741,3.6567,3.7393,3.8246,3.914,4.0023,4.0964,4.19,4.2871,4.1816,4.0787,3.9781,3.8799,3.784,3.6905,3.5992,3.5102,3.4233,3.3387,3.2561,3.1755,3.097,3.0204,2.9458,2.873,2.802,2.7328,2.6654,2.5996
5 IGCC,0.0,0.0,0.0,5.1016,5.1016,5.1016,5.1016,5.1016,5.1016,15.0287,18.4393,19.0678,19.8564,20.6606,21.4496,22.324,23.2195,24.1471,25.122,26.1183,27.1773,27.9214,28.5486,29.1892,29.8406,30.52,31.2085,31.9189,32.648,33.3927,34.1508,34.9344,35.741,36.5668,37.3928,38.2465,39.1401,40.0233,40.9637,41.9003,42.8705,41.8163,40.7867,39.7809,38.7989,37.8404,36.905,35.9923,35.1019,34.2335,33.3865,32.5606,31.7552,30.9699,30.2042,29.4577,28.7299,28.0203,27.3285,26.654,25.9963
6 IGCC + CCS,0.0,0.0,0.0,0.5102,0.5102,0.5102,0.5102,0.5102,0.5102,1.5029,1.8439,1.9068,1.9856,2.0661,2.145,2.2324,2.322,2.4147,2.5122,2.6118,2.7177,2.7921,2.8549,2.9189,2.9841,3.052,3.1208,3.1919,3.2648,3.3393,3.4151,3.4934,3.5741,3.6567,3.7393,3.8246,3.914,4.0023,4.0964,4.19,4.2871,4.1816,4.0787,3.9781,3.8799,3.784,3.6905,3.5992,3.5102,3.4233,3.3387,3.2561,3.1755,3.097,3.0204,2.9458,2.873,2.802,2.7328,2.6654,2.5996
7 CCGT,0.0,0.0,0.0,2.5769,2.5769,2.5769,2.5769,2.5769,2.5769,7.5913,9.314,9.6315,10.0299,10.4361,10.8346,11.2763,11.7286,12.1971,12.6896,13.1929,13.7277,14.1036,14.4205,14.744,15.0731,15.4163,15.764,16.1229,16.4911,16.8673,17.2502,17.646,18.0535,18.4706,18.8878,19.319,19.7704,20.2165,20.6915,21.1646,21.6547,21.1222,20.6021,20.0941,19.5981,19.1139,18.6414,18.1804,17.7306,17.292,16.8642,16.447,16.0401,15.6435,15.2567,14.8797,14.512,14.1536,13.8041,13.4634,13.1312
8 CCGT + CCS,0.0,0.0,0.0,0.2577,0.2577,0.2577,0.2577,0.2577,0.2577,0.7591,0.9314,0.9631,1.003,1.0436,1.0835,1.1276,1.1729,1.2197,1.269,1.3193,1.3728,1.4104,1.442,1.4744,1.5073,1.5416,1.5764,1.6123,1.6491,1.6867,1.725,1.7646,1.8053,1.8471,1.8888,1.9319,1.977,2.0217,2.0692,2.1165,2.1655,2.1122,2.0602,2.0094,1.9598,1.9114,1.8641,1.818,1.7731,1.7292,1.6864,1.6447,1.604,1.5643,1.5257,1.488,1.4512,1.4154,1.3804,1.3463,1.3131
9 Solid Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10 S Biomass CCS,0.0,0.0,0.0,-5.0118,-5.0118,-5.0118,-5.0118,-5.0118,-5.0118,-14.7642,-18.1148,-18.7322,-19.5069,-20.297,-21.0721,-21.9311,-22.8109,-23.7221,-24.6798,-25.6587,-26.6989,-27.43,-28.0462,-28.6755,-29.3154,-29.9829,-30.6592,-31.3571,-32.0734,-32.805,-33.5497,-34.3196,-35.112,-35.9232,-36.7346,-37.5733,-38.4513,-39.3189,-40.2428,-41.1628,-42.116,-41.0804,-40.0688,-39.0808,-38.1161,-37.1744,-36.2555,-35.3588,-34.4841,-33.631,-32.7989,-31.9875,-31.1963,-30.4248,-29.6726,-28.9393,-28.2242,-27.5271,-26.8475,-26.1849,-25.5388
