,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 Oil,0.0,0.0,0.0,3.8421,3.8421,3.8421,3.8421,3.8421,3.8421,10.8888,13.418,14.035,14.6153,15.1843,15.744,16.3805,17.0371,17.7226,18.4449,19.1827,19.9688,20.5217,20.9883,21.4651,21.9503,22.4566,22.9702,23.5001,24.0441,24.5999,25.1655,25.7591,26.3695,26.9943,27.6196,28.2662,28.9465,29.6191,30.3365,31.0532,31.7972,31.0412,30.3029,29.5816,28.8772,28.1892,27.5173,26.861,26.2201,25.5943,24.9831,24.3863,23.8035,23.2344,22.6787,22.136,21.6061,21.0887,20.5834,20.09,19.6082
3 Coal,0.0,0.0,0.0,5.1016,5.1016,5.1016,5.1016,5.1016,5.1016,14.4585,17.8167,18.636,19.4066,20.1622,20.9054,21.7505,22.6224,23.5326,24.4916,25.4713,26.5151,27.2493,27.8688,28.5019,29.1462,29.8185,30.5005,31.2042,31.9265,32.6645,33.4155,34.2036,35.0141,35.8438,36.6741,37.5327,38.4359,39.3291,40.2817,41.2333,42.2213,41.2174,40.237,39.2793,38.344,37.4304,36.5382,35.6668,34.8159,33.9849,33.1733,32.3809,31.607,30.8513,30.1134,29.3929,28.6892,28.0022,27.3312,26.6761,26.0363
4 Coal + CCS,0.0,0.0,0.0,0.5102,0.5102,0.5102,0.5102,0.5102,0.5102,1.4458,1.7817,1.8636,1.9407,2.0162,2.0905,2.1751,2.2622,2.3533,2.4492,2.5471,2.6515,2.7249,2.7869,2.8502,2.9146,2.9818,3.0501,3.1204,3.1926,3.2665,3.3416,3.4204,3.5014,3.5844,3.6674,3.7533,3.8436,3.9329,4.0282,4.1233,4.2221,4.1217,4.0237,3.9279,3.8344,3.743,3.6538,3.5667,3.4816,3.3985,3.3173,3.2381,3.1607,3.0851,3.0113,2.9393,2.8689,2.8002,2.7331,2.6676,2.6036
5 IGCC,0.0,0.0,0.0,5.1016,5.1016,5.1016,5.1016,5.1016,5.1016,14.4585,17.8167,18.636,19.4066,20.1622,20.9054,21.7505,22.6224,23.5326,24.4916,25.4713,26.5151,27.2493,27.8688,28.5019,29.1462,29.8185,30.5005,31.2042,31.9265,32.6645,33.4155,34.2036,35.0141,35.8438,36.6741,37.5327,38.4359,39.3291,40.2817,41.2333,42.2213,41.2174,40.237,39.2793,38.344,37.4304,36.5382,35.6668,34.8159,33.9849,33.1733,32.3809,31.607,30.8513,30.1134,29.3929,28.6892,28.0022,27.3312,26.6761,26.0363
6 IGCC + CCS,0.0,0.0,0.0,0.5102,0.5102,0.5102,0.5102,0.5102,0.5102,1.4458,1.7817,1.8636,1.9407,2.0162,2.0905,2.1751,2.2622,2.3533,2.4492,2.5471,2.6515,2.7249,2.7869,2.8502,2.9146,2.9818,3.0501,3.1204,3.1926,3.2665,3.3416,3.4204,3.5014,3.5844,3.6674,3.7533,3.8436,3.9329,4.0282,4.1233,4.2221,4.1217,4.0237,3.9279,3.8344,3.743,3.6538,3.5667,3.4816,3.3985,3.3173,3.2381,3.1607,3.0851,3.0113,2.9393,2.8689,2.8002,2.7331,2.6676,2.6036
7 CCGT,0.0,0.0,0.0,2.5769,2.5769,2.5769,2.5769,2.5769,2.5769,7.3032,8.9996,9.4134,9.8026,10.1843,10.5597,10.9866,11.427,11.8868,12.3712,12.866,13.3933,13.7642,14.0771,14.3969,14.7223,15.0619,15.4064,15.7618,16.1267,16.4995,16.8788,17.2769,17.6863,18.1054,18.5248,18.9585,19.4147,19.8659,20.347,20.8277,21.3268,20.8197,20.3245,19.8407,19.3683,18.9068,18.4561,18.016,17.5862,17.1664,16.7565,16.3562,15.9653,15.5836,15.2109,14.8469,14.4915,14.1444,13.8055,13.4746,13.1514
8 CCGT + CCS,0.0,0.0,0.0,0.2577,0.2577,0.2577,0.2577,0.2577,0.2577,0.7303,0.9,0.9413,0.9803,1.0184,1.056,1.0987,1.1427,1.1887,1.2371,1.2866,1.3393,1.3764,1.4077,1.4397,1.4722,1.5062,1.5406,1.5762,1.6127,1.6499,1.6879,1.7277,1.7686,1.8105,1.8525,1.8958,1.9415,1.9866,2.0347,2.0828,2.1327,2.082,2.0324,1.9841,1.9368,1.8907,1.8456,1.8016,1.7586,1.7166,1.6756,1.6356,1.5965,1.5584,1.5211,1.4847,1.4491,1.4144,1.3806,1.3475,1.3151
9 Solid Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10 S Biomass CCS,0.0,0.0,0.0,-5.0118,-5.0118,-5.0118,-5.0118,-5.0118,-5.0118,-14.204,-17.5032,-18.308,-19.065,-19.8073,-20.5374,-21.3677,-22.2242,-23.1184,-24.0606,-25.023,-26.0484,-26.7697,-27.3783,-28.0003,-28.6332,-29.2937,-29.9637,-30.655,-31.3646,-32.0896,-32.8274,-33.6017,-34.3979,-35.2129,-36.0287,-36.8721,-37.7595,-38.6369,-39.5727,-40.5076,-41.4782,-40.492,-39.5289,-38.588,-37.6691,-36.7717,-35.8951,-35.0391,-34.2031,-33.3867,-32.5895,-31.8109,-31.0507,-30.3083,-29.5834,-28.8756,-28.1843,-27.5093,-26.8502,-26.2066,-25.5781
11 BIGCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12 BIGCC + CCS,0.0,0.0,0.0,-5.0118,-5.0118,-5.0118,-5.0118,-5.0118,-5.0118,-14.204,-17.5032,-18.308,-19.065,-19.8073,-20.5374,-21.3677,-22.2242,-23.1184,-24.0606,-25.023,-26.0484,-26.7697,-27.3783,-28.0003,-28.6332,-29.2937,-29.9637,-30.655,-31.3646,-32.0896,-32.8274,-33.6017,-34.3979,-35.2129,-36.0287,-36.8721,-37.7595,-38.6369,-39.5727,-40.5076,-41.4782,-40.492,-39.5289,-38.588,-37.6691,-36.7717,-35.8951,-35.0391,-34.2031,-33.3867,-32.5895,-31.8109,-31.0507,-30.3083,-29.5834,-28.8756,-28.1843,-27.5093,-26.8502,-26.2066,-25.5781
13 Biogas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14 Biogas + CCS,0.0,0.0,0.0,-1.9234,-1.9234,-1.9234,-1.9234,-1.9234,-1.9234,-5.4512,-6.7173,-7.0262,-7.3167,-7.6016,-7.8818,-8.2004,-8.5291,-8.8723,-9.2339,-9.6032,-9.9968,-10.2736,-10.5072,-10.7459,-10.9888,-11.2422,-11.4994,-11.7647,-12.037,-12.3152,-12.5984,-12.8955,-13.2011,-13.5139,-13.827,-14.1507,-14.4912,-14.8279,-15.1871,-15.5459,-15.9183,-15.5399,-15.1703,-14.8092,-14.4565,-14.1121,-13.7757,-13.4472,-13.1263,-12.813,-12.5071,-12.2083,-11.9165,-11.6316,-11.3534,-11.0818,-10.8165,-10.5574,-10.3045,-10.0575,-9.8163
15 Tidal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16 Large Hydro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17 Onshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18 Offshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19 Solar PV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20 CSP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21 Geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22 Wave,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23 Fuel Cells,0.0,0.0,0.0,1.8361,1.8361,1.8361,1.8361,1.8361,1.8361,5.2036,6.4122,6.7071,6.9844,7.2563,7.5238,7.8279,8.1417,8.4693,8.8145,9.1671,9.5427,9.807,10.0299,10.2578,10.4896,10.7316,10.9771,11.2303,11.4903,11.7559,12.0262,12.3098,12.6015,12.9001,13.1989,13.5079,13.833,14.1544,14.4973,14.8398,15.1953,14.834,14.4812,14.1365,13.7999,13.4711,13.15,12.8364,12.5301,12.2311,11.939,11.6538,11.3753,11.1033,10.8377,10.5784,10.3252,10.0779,9.8364,9.6006,9.3704
24 CHP,0.0,0.0,0.0,1.8361,1.8361,1.8361,1.8361,1.8361,1.8361,5.2036,6.4122,6.7071,6.9844,7.2563,7.5238,7.8279,8.1417,8.4693,8.8145,9.1671,9.5427,9.807,10.0299,10.2578,10.4896,10.7316,10.9771,11.2303,11.4903,11.7559,12.0262,12.3098,12.6015,12.9001,13.1989,13.5079,13.833,14.1544,14.4973,14.8398,15.1953,14.834,14.4812,14.1365,13.7999,13.4711,13.15,12.8364,12.5301,12.2311,11.939,11.6538,11.3753,11.1033,10.8377,10.5784,10.3252,10.0779,9.8364,9.6006,9.3704
