,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1 Nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 Oil,0.0,0.0,0.0,3.8421,3.8421,3.8421,3.8421,3.8421,3.8421,9.3693,11.7463,12.2459,12.7895,13.371,13.9489,14.5885,15.2607,15.9684,16.7202,17.5008,18.3388,18.9767,19.547,20.155,20.7418,21.364,21.9974,22.6127,23.3333,24.0165,24.7301,25.4427,26.177,26.9332,27.6962,28.4875,29.3128,30.1382,31.0149,31.8946,32.8016,32.1531,31.5101,30.87,30.2303,29.5958,28.9666,28.3474,27.7337,27.1309,26.5411
3 Coal,0.0,0.0,0.0,5.1016,5.1016,5.1016,5.1016,5.1016,5.1016,12.4409,15.597,16.2604,16.9822,17.7544,18.5217,19.371,20.2637,21.2033,22.2016,23.238,24.3508,25.1978,25.955,26.7624,27.5416,28.3677,29.2087,30.0258,30.9826,31.8898,32.8373,33.7836,34.7585,35.7626,36.7757,37.8265,38.9223,40.0184,41.1825,42.3505,43.5549,42.6939,41.84,40.9901,40.1407,39.2982,38.4627,37.6405,36.8257,36.0252,35.242
4 Coal + CCS,0.0,0.0,0.0,0.5102,0.5102,0.5102,0.5102,0.5102,0.5102,1.2441,1.5597,1.626,1.6982,1.7754,1.8522,1.9371,2.0264,2.1203,2.2202,2.3238,2.4351,2.5198,2.5955,2.6762,2.7542,2.8368,2.9209,3.0026,3.0983,3.189,3.2837,3.3784,3.4759,3.5763,3.6776,3.7827,3.8922,4.0018,4.1182,4.2351,4.3555,4.2694,4.184,4.099,4.0141,3.9298,3.8463,3.764,3.6826,3.6025,3.5242
5 IGCC,0.0,0.0,0.0,5.1016,5.1016,5.1016,5.1016,5.1016,5.1016,12.4409,15.597,16.2604,16.9822,17.7544,18.5217,19.371,20.2637,21.2033,22.2016,23.238,24.3508,25.1978,25.955,26.7624,27.5416,28.3677,29.2087,30.0258,30.9826,31.8898,32.8373,33.7836,34.7585,35.7626,36.7757,37.8265,38.9223,40.0184,41.1825,42.3505,43.5549,42.6939,41.84,40.9901,40.1407,39.2982,38.4627,37.6405,36.8257,36.0252,35.242
6 IGCC + CCS,0.0,0.0,0.0,0.5102,0.5102,0.5102,0.5102,0.5102,0.5102,1.2441,1.5597,1.626,1.6982,1.7754,1.8522,1.9371,2.0264,2.1203,2.2202,2.3238,2.4351,2.5198,2.5955,2.6762,2.7542,2.8368,2.9209,3.0026,3.0983,3.189,3.2837,3.3784,3.4759,3.5763,3.6776,3.7827,3.8922,4.0018,4.1182,4.2351,4.3555,4.2694,4.184,4.099,4.0141,3.9298,3.8463,3.764,3.6826,3.6025,3.5242
7 CCGT,0.0,0.0,0.0,2.5769,2.5769,2.5769,2.5769,2.5769,2.5769,6.2841,7.8784,8.2135,8.5781,8.9681,9.3557,9.7847,10.2356,10.7102,11.2144,11.738,12.3001,12.7279,13.1104,13.5182,13.9118,14.3291,14.7539,15.1666,15.6499,16.1081,16.5867,17.0647,17.5572,18.0644,18.5761,19.1069,19.6604,20.214,20.8021,21.392,22.0004,21.5655,21.1342,20.7049,20.2758,19.8503,19.4282,19.0129,18.6013,18.197,17.8014
8 CCGT + CCS,0.0,0.0,0.0,0.2577,0.2577,0.2577,0.2577,0.2577,0.2577,0.6284,0.7878,0.8213,0.8578,0.8968,0.9356,0.9785,1.0236,1.071,1.1214,1.1738,1.23,1.2728,1.311,1.3518,1.3912,1.4329,1.4754,1.5167,1.565,1.6108,1.6587,1.7065,1.7557,1.8064,1.8576,1.9107,1.966,2.0214,2.0802,2.1392,2.2,2.1565,2.1134,2.0705,2.0276,1.985,1.9428,1.9013,1.8601,1.8197,1.7801
9 Solid Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10 S Biomass CCS,0.0,0.0,0.0,-5.0118,-5.0118,-5.0118,-5.0118,-5.0118,-5.0118,-12.2219,-15.3225,-15.9742,-16.6834,-17.4419,-18.1957,-19.0301,-19.907,-20.8301,-21.8108,-22.829,-23.9223,-24.7543,-25.4982,-26.2914,-27.0569,-27.8685,-28.6946,-29.4974,-30.4373,-31.3285,-32.2593,-33.189,-34.1468,-35.1332,-36.1285,-37.1608,-38.2373,-39.314,-40.4577,-41.6051,-42.7883,-41.9424,-41.1036,-40.2687,-39.4342,-38.6066,-37.7858,-36.978,-36.1775,-35.3911,-34.6217
11 BIGCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12 BIGCC + CCS,0.0,0.0,0.0,-5.0118,-5.0118,-5.0118,-5.0118,-5.0118,-5.0118,-12.2219,-15.3225,-15.9742,-16.6834,-17.4419,-18.1957,-19.0301,-19.907,-20.8301,-21.8108,-22.829,-23.9223,-24.7543,-25.4982,-26.2914,-27.0569,-27.8685,-28.6946,-29.4974,-30.4373,-31.3285,-32.2593,-33.189,-34.1468,-35.1332,-36.1285,-37.1608,-38.2373,-39.314,-40.4577,-41.6051,-42.7883,-41.9424,-41.1036,-40.2687,-39.4342,-38.6066,-37.7858,-36.978,-36.1775,-35.3911,-34.6217
13 Biogas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
