,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1 Nuclear,0.0,0.0,0.0,0.255,0.255,0.255,0.255,0.2237,0.2293,0.232,0.2419,0.2421,0.2455,0.2521,0.2597,0.2678,0.2773,0.2872,0.2979,0.3096,0.3215,0.3329,0.3442,0.3555,0.3667,0.3778,0.3883,0.399,0.41,0.4218,0.4333,0.4461,0.4594,0.4736,0.4885,0.5042,0.5208,0.5388,0.5572,0.5766,0.597,0.6182,0.6406,0.6642,0.6891,0.7155,0.7442,0.774,0.8058,0.8389,0.8745
2 Oil,0.0,0.0,0.0,5.689,5.689,5.689,5.689,5.4012,5.4159,5.4479,5.3404,5.4345,5.4905,5.5501,5.5904,5.639,5.6674,5.6985,5.7291,5.7609,5.7942,5.8238,5.8513,5.8786,5.9062,5.9344,5.9549,5.9825,6.0033,6.0315,6.0517,6.0785,6.0992,6.1265,6.147,6.1697,6.1924,6.2141,6.2359,6.2576,6.2799,6.3075,6.3289,6.3573,6.3797,6.4095,6.4329,6.4642,6.4931,6.5223,6.5523
3 Coal,0.0,0.0,0.0,0.4246,0.4246,0.4246,0.4246,0.4277,0.4286,0.4276,0.4283,0.429,0.4289,0.4286,0.4281,0.4273,0.4263,0.4251,0.4239,0.4228,0.422,0.4211,0.4203,0.4202,0.4202,0.4203,0.4205,0.4208,0.4212,0.4216,0.4221,0.4225,0.423,0.4235,0.424,0.4244,0.4251,0.4258,0.4266,0.4275,0.4284,0.4296,0.4307,0.4318,0.433,0.4342,0.4354,0.4366,0.4375,0.4388,0.4401
4 Gas,0.0,0.0,0.0,3.374,3.374,3.374,3.374,3.5758,3.6107,3.6019,3.6059,3.616,3.6273,3.6375,3.647,3.6564,3.663,3.6673,3.6749,3.6794,3.6878,3.6907,3.6937,3.6966,3.6996,3.7031,3.7058,3.7089,3.7128,3.7199,3.7273,3.7357,3.7459,3.7577,3.7707,3.7847,3.7991,3.8139,3.8315,3.8455,3.8638,3.8816,3.8998,3.9179,3.9364,3.9552,3.9742,3.9935,4.0132,4.0332,4.0537
5 Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6 Biogas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7 Biogas + CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8 Tidal,0.0,0.0,0.0,0.0,2529.2834,2529.2834,2529.2834,2529.2834,2529.2834,2555.8726,2555.7842,2553.78,2559.3892,2566.1331,2573.7607,2585.0337,2598.1704,2613.9302,2631.3567,2649.8647,2668.3921,2684.5605,2698.8613,2711.0964,2720.3516,2728.7705,2736.083,2743.4316,2753.0095,2762.3584,2771.2891,2779.8291,2788.0117,2795.9143,2803.6238,2811.1504,2818.5195,2825.8203,2833.0828,2840.2839,2847.3987,2854.5754,2861.7473,2868.8572,2876.0586,2883.3296,2890.6255,2897.9834,2905.2991,2912.8237,2920.4832
9 Large Hydro,0.0,0.0,0.0,0.0,3102.6799,3163.0771,3211.0496,3205.481,3248.8945,3166.623,3186.2864,3138.1753,3174.2207,3211.5251,3247.9636,3283.4004,3307.9109,3323.7734,3327.5288,3316.1409,3298.7844,3277.4045,3256.031,3235.406,3211.0515,3187.3193,3163.6189,3140.7236,3119.384,3100.0386,3081.9956,3065.2976,3050.1519,3035.7739,3022.2905,3009.5332,2997.4392,2986.2126,2975.5808,2965.7029,2956.0215,2947.0776,2938.6348,2930.4751,2922.8223,2915.5908,2908.623,2901.9739,2895.4551,2889.4517,2883.8469
10 Onshore,0.0,0.0,0.0,0.0,0.2366,0.2296,0.2233,0.2181,0.215,0.2125,0.2029,0.2003,0.1947,0.1897,0.1853,0.1821,0.1807,0.1807,0.1825,0.1854,0.1893,0.1935,0.1976,0.2013,0.2043,0.207,0.2095,0.2115,0.2132,0.2149,0.2164,0.2176,0.2187,0.2195,0.2205,0.2213,0.2221,0.2225,0.2231,0.2237,0.224,0.2245,0.2249,0.2252,0.2254,0.2256,0.2259,0.2261,0.2262,0.2264,0.2265
