,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1 Nuclear,0.0,0.0,0.0,84.0926,84.0926,84.0926,84.0926,84.0926,84.0926,54161.8398,53866.4297,53703.4492,53572.0703,53432.832,53293.5664,53153.2852,53013.1406,52872.5078,52731.0273,52587.9844,52443.0156,52305.918,52168.0742,52028.8086,51887.6016,51744.4609,51603.7773,51460.9453,51315.9102,51168.4219,51018.5977,50868.8672,50722.7227,50580.1172,50436.0039,50301.2773,50170.6289,50043.9766,49921.9766,49805.8125,49696.8125,49596.0234,49503.4531,49420.1836,49345.7969,49279.6172,49221.4727,49170.0,49125.4492,49082.8984,49040.4844
2 Oil,0.0,0.0,0.0,282.1417,285.4847,281.1424,280.3748,276.3938,278.7462,280.9785,281.3698,284.4433,287.066,289.7271,291.1372,292.1391,292.6003,293.0143,293.101,293.4173,293.5842,293.7777,294.051,294.2628,294.5089,294.7909,294.9926,295.2794,295.4676,295.7694,295.9841,296.2153,296.4471,296.7576,296.9355,297.1624,297.4122,297.5898,297.8043,298.0267,298.2032,298.4844,298.7091,299.0088,299.2477,299.6327,299.9884,300.2063,300.5792,300.8668,301.3204
3 Coal,0.0,0.0,0.0,126.5811,126.0966,126.1012,126.1969,126.2617,125.9798,126.1741,126.404,126.6952,127.057,127.4782,127.9027,128.3324,128.7709,129.2242,129.7108,130.1031,130.5401,130.971,131.3265,131.7324,132.1063,132.439,132.731,132.8856,133.1097,133.3052,133.4807,133.6385,133.78,133.9057,134.0208,134.1227,134.2167,134.3013,134.3782,134.4478,134.5106,134.5845,134.6502,134.7099,134.7647,134.7997,134.8353,134.8676,134.8947,134.9202,134.9438
4 Coal + CCS,0.0,0.0,0.0,182.4832,182.4832,209.4476,205.463,203.8485,200.5382,198.0635,196.3552,195.2912,194.6676,194.2531,193.7816,193.3455,193.0411,192.8349,193.1153,192.9756,193.2821,193.577,193.4641,193.7254,193.9105,194.022,194.1294,193.9156,193.9743,193.9961,193.9785,193.933,193.8533,193.7605,193.6506,193.5247,193.4077,193.2624,193.1199,192.9759,192.8146,192.6628,192.4945,192.3324,192.1574,191.9911,191.803,191.6051,191.4061,191.2049,191.0019
5 IGCC,0.0,0.0,0.0,271.2493,271.2493,232.1735,231.855,228.4995,227.6486,229.9534,232.7755,236.1945,240.1617,244.4545,246.3275,246.8213,246.5888,246.1224,244.0153,243.4099,241.4901,239.929,239.4644,238.0842,236.9214,235.9378,235.063,234.843,234.0231,233.2998,232.6488,232.0417,231.4792,230.9586,230.4721,230.0021,229.5678,229.1417,228.7422,228.3599,227.9812,227.7093,227.4335,227.1751,226.9152,226.6124,226.3789,226.1426,225.9133,225.6791,225.4563
6 IGCC + CCS,0.0,0.0,0.0,480.5643,480.5643,480.5643,480.5643,480.595,480.6039,112790.0547,112223.9844,111834.7266,111549.1562,111248.9062,110952.9375,110657.4531,110373.7969,110089.7734,109806.3828,109521.4453,109234.625,108975.2969,108720.1172,108465.8906,108212.6641,107961.4609,107724.9375,107490.2969,107257.4453,107025.7812,106795.9141,106568.1406,106344.4922,106124.6641,105907.6641,105695.5781,105485.8203,105277.6953,105071.9297,104870.1094,104676.1875,104490.7266,104310.3594,104134.6406,103960.6328,103787.9141,103616.5234,103445.9453,103276.4844,103106.4531,102935.9141
7 CCGT,0.0,0.0,0.0,89.9289,90.5194,90.545,90.5759,91.9631,92.7799,92.4938,92.3511,92.3155,92.3109,92.3112,92.3669,92.4612,92.5508,92.682,92.7415,92.8949,92.9888,93.0628,93.2035,93.3131,93.4057,93.5322,93.6215,93.7467,93.8429,93.9415,94.0591,94.1402,94.2602,94.3529,94.482,94.6029,94.7227,94.846,94.9735,95.105,95.2416,95.3864,95.5371,95.6912,95.8516,96.0056,96.1724,96.3467,96.528,96.7162,96.912
8 CCGT + CCS,0.0,0.0,0.0,151.1483,151.1483,170.9899,169.663,169.9666,170.289,170.7144,171.6282,173.2273,175.2611,177.6439,178.9348,179.5616,179.7979,179.9269,179.1603,179.124,178.4203,177.8501,177.776,177.2962,176.8792,176.5853,176.2852,176.2119,175.917,175.6703,175.4827,175.2475,175.0738,174.9017,174.7642,174.6253,174.5132,174.3741,174.2699,174.1801,174.0676,174.0398,173.9873,173.9751,173.9384,173.8708,173.8843,173.883,173.9119,173.9229,173.965
9 Solid Biomass,0.0,0.0,0.0,175.5039,175.5039,175.5039,175.5039,175.5039,175.5039,45850.0273,45250.6562,44838.6328,44560.2695,44277.1602,44019.9102,43779.7461,43570.9297,43372.8203,43184.9609,43004.6172,42830.125,42679.082,42535.4609,42396.625,42261.9727,42130.8828,42013.1719,41898.543,41786.7773,41677.1641,41569.9922,41465.3555,41363.207,41262.9805,41164.75,41069.8438,40976.7383,40884.5391,40793.9102,40704.3594,40615.7344,40527.9805,40440.875,40353.6719,40265.6367,40176.9922,40087.8086,39997.7852,39907.1523,39814.7969,39721.625
10 S Biomass CCS,0.0,0.0,0.0,206.5784,206.5784,206.5784,206.5784,206.5784,206.5784,68194.5156,67333.2266,66836.5938,66450.6484,66070.2812,65712.375,65366.7031,65038.1562,64717.1406,64403.9922,64096.6133,63793.8438,63525.1914,63265.5039,63011.2422,62761.8398,62517.8281,62288.4375,62063.2227,61840.8828,61621.4336,61405.3047,61192.1641,60983.9766,60781.2109,60582.375,60389.5312,60199.9023,60013.8203,59831.5898,59653.0508,59477.625,59309.3633,59144.7852,58983.6562,58824.6992,58667.9219,58513.7617,58361.0195,58209.9883,58059.0547,57908.8477
