,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Nuclear,0.0,0.0,0.0,86.2717,86.2717,86.2717,86.2717,86.159,86.1791,85.6445,84.7147,84.1777,83.7976,83.3917,82.9788,82.5872,82.2156,81.8563,81.5101,81.1834,80.8767,80.6137,80.3788,80.1684,79.9738,79.7902,79.6224,79.4614,79.3058,79.1539,79.0051,78.8598,78.718,78.5791,78.442,78.308,78.1789,78.0567,77.9382,77.8246,77.7169,77.6149,77.5148,77.4227,77.3388,77.2674,77.2029,77.1474,77.103,77.07,77.0572,77.0529,77.06,77.0841,77.1337,77.1988,77.2842,77.4003,77.5631,77.7288,77.9301
2 Oil,0.0,0.0,0.0,596.067,596.067,596.067,596.067,592.8005,593.0961,600.6012,601.2993,602.9579,604.104,605.2603,606.2421,607.3571,608.1255,609.0842,609.9927,610.9232,611.9111,612.6695,613.3198,613.9806,614.6585,615.3634,615.9731,616.6921,617.3301,618.075,618.7185,619.4661,620.145,620.9231,621.6069,622.3347,623.0871,623.8171,624.5868,625.3502,626.1454,625.5098,624.9557,624.3316,623.8185,623.2389,622.7774,622.3001,621.8434,621.411,621.0031,620.6221,620.2659,619.9355,619.6302,619.3513,619.0982,618.8716,618.6701,618.4943,618.3441
3 Coal,0.0,0.0,0.0,127.1502,127.1502,127.1502,127.1502,127.1174,127.1247,136.2962,138.8336,139.1837,139.7128,140.1983,140.7056,141.4159,141.9862,142.7755,143.5223,144.2946,145.1295,145.721,146.2083,146.7155,147.2383,147.7885,148.3491,148.9242,149.5113,150.108,150.7111,151.3353,151.9782,152.6364,153.2931,153.9745,154.6916,155.3984,156.1614,156.921,157.7147,156.5906,155.4838,154.4072,153.3565,152.329,151.3242,150.3409,149.3792,148.4404,147.5168,146.6177,145.7397,144.8816,144.0423,143.2232,142.4229,141.6406,140.8711,140.1217,139.3895
4 Coal + CCS,0.0,0.0,0.0,152.3919,152.3919,152.3919,152.3919,152.3546,152.363,151.5311,149.5244,147.9866,146.3057,144.7133,143.2308,141.8738,140.61,139.4503,138.3561,137.339,136.3985,135.558,134.781,134.0721,133.4255,132.8179,132.259,131.7237,131.2079,130.7097,130.2258,129.7563,129.3026,128.8622,128.4342,128.0202,127.6225,127.2317,126.8594,126.4939,126.1445,125.6143,125.0745,124.5642,124.0674,123.5787,123.1,122.6275,122.1652,121.7134,121.2538,120.8119,120.3808,119.9572,119.5389,119.1312,118.7315,118.3372,117.9382,117.5535,117.1767
5 IGCC,0.0,0.0,0.0,242.0021,242.0021,242.0021,242.0021,241.9694,241.9768,249.694,250.3686,249.4568,248.4044,247.3839,246.4959,245.8849,245.264,244.9406,244.6459,244.4542,244.3998,244.2361,244.0506,243.9509,243.9139,243.9342,244.0116,244.128,244.2781,244.4574,244.6595,244.896,245.1648,245.4597,245.7641,246.1027,246.4874,246.8681,247.3131,247.7596,248.2484,246.8247,245.3976,244.0256,242.6865,241.3754,240.0932,238.8332,237.6024,236.3999,235.1963,234.0339,232.8991,231.7886,230.6981,229.6346,228.5943,227.5749,226.5569,225.5722,224.6093
6 IGCC + CCS,0.0,0.0,0.0,460.572,460.572,460.572,460.572,460.535,460.5432,457.6901,449.3669,446.256,440.4469,435.8854,431.6996,427.7901,424.144,420.7298,417.4819,414.3889,411.4415,408.914,406.5157,404.2408,402.0891,400.0381,398.1335,396.3036,394.5327,392.8114,391.1253,389.425,387.767,386.1406,384.5446,382.9819,381.4282,379.8981,378.4158,376.9648,375.5491,374.0452,372.5809,371.155,369.765,368.407,367.0767,365.7647,364.4742,363.2148,361.9827,360.7729,359.5877,358.4135,357.245,356.1034,354.9795,353.8707,352.7697,351.6794,350.6086
7 CCGT,0.0,0.0,0.0,118.0107,118.0107,118.0107,118.0107,119.3976,119.6678,124.0556,125.1364,125.2804,125.5303,125.7578,126.012,126.3701,126.6378,127.0174,127.3839,127.772,128.2024,128.5046,128.7562,129.0236,129.3061,129.6105,129.9126,130.226,130.5505,130.8842,131.2251,131.5765,131.9413,132.3189,132.7008,133.102,133.5247,133.949,134.4079,134.8704,135.3542,134.895,134.4209,133.9892,133.5431,133.1425,132.7419,132.3536,131.9783,131.6176,131.2695,130.9356,130.6146,130.3075,130.0152,129.739,129.4769,129.2262,128.9863,128.7605,128.5478
8 CCGT + CCS,0.0,0.0,0.0,189.1944,189.1944,189.1944,189.1944,190.8764,191.2041,189.9444,188.0441,186.8536,185.6087,184.4247,183.333,182.3291,181.338,180.4114,179.5356,178.7166,177.9561,177.2579,176.6011,175.9949,175.4377,174.9166,174.4199,173.9429,173.4837,173.0416,172.6147,172.1982,171.7992,171.4184,171.0575,170.7197,170.4015,170.1001,169.8246,169.5635,169.3236,169.0293,168.7073,168.4361,168.1423,167.894,167.6402,167.3943,167.1602,166.938,166.722,166.5168,166.3242,166.1412,165.9698,165.8138,165.6698,165.5317,165.4006,165.282,165.1754
9 Solid Biomass,0.0,0.0,0.0,205.4198,205.4198,205.4198,205.4198,205.4198,205.4198,203.9534,201.8145,200.5979,199.397,198.2452,197.1177,196.0917,195.1416,194.2535,193.4226,192.6548,191.9457,191.3508,190.8183,190.3271,189.8667,189.4319,189.0339,188.6516,188.2798,187.917,187.5615,187.2107,186.8678,186.5307,186.2001,185.8761,185.5574,185.2417,184.9345,184.6283,184.3321,184.0453,183.7518,183.4753,183.2049,182.9351,182.6715,182.4118,182.159,181.9109,181.6573,181.4108,181.1721,180.936,180.7032,180.476,180.2532,180.0303,179.8057,179.588,179.3752
10 S Biomass CCS,0.0,0.0,0.0,210.0645,210.0645,210.0645,210.0645,210.0645,210.0645,198.58,192.4383,190.0046,187.1102,184.3987,181.784,179.1383,176.7703,174.2976,171.9583,169.6905,167.4496,165.6228,163.9867,162.4037,160.8721,159.3658,157.9139,156.4733,155.0393,153.6127,152.1919,150.7584,149.3222,147.8825,146.4575,145.0196,143.5577,142.1127,140.6291,139.1513,137.6598,138.073,138.4578,138.8462,139.2247,139.5845,139.9343,140.2677,140.5932,140.9072,141.1959,141.4766,141.7518,142.0129,142.2596,142.4998,142.7303,142.9454,143.1434,143.3368,143.5234
