,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1 Nuclear,0.0,0.0,0.0,54.0926,54.0926,54.0926,54.0926,53.9799,54.0001,53.8144,53.5191,53.342,53.2104,53.0825,52.9568,52.8345,52.7169,52.6051,52.4989,52.3978,52.3051,52.2293,52.1639,52.1084,52.0677,52.0431,52.04,52.059,52.1059,52.1847,52.3066,52.4837,52.7292,53.0587,53.4974,54.0636,54.7849,55.6937,56.8189,58.1796,59.7788,61.5902,63.573,65.6663,67.8113,69.9514,72.0404,74.0501,75.9554,77.7283,79.3943
2 Oil,0.0,0.0,0.0,368.5367,797.0161,443.5228,752.3109,376.798,738.0179,754.6664,766.3015,771.6917,779.8049,787.1293,793.383,798.9334,802.7469,806.0287,808.3998,810.2782,812.0734,813.8028,815.079,816.2439,817.3335,818.3867,819.158,820.069,820.8984,821.8583,822.757,823.6914,824.6034,825.6089,826.42,827.2432,827.9816,828.67,829.3732,830.0301,830.6768,829.5724,828.3761,827.0699,825.6743,824.149,822.5671,820.8029,819.0298,817.0329,815.021
3 Coal,0.0,0.0,0.0,83.3455,85.821,83.2553,85.5127,82.8877,85.0772,94.9275,98.6009,99.5642,101.3268,103.3075,105.2263,107.3723,109.6171,111.9649,114.3771,116.6834,118.9237,120.8207,122.3056,123.6393,124.8324,125.8895,126.7899,127.6705,128.5245,129.3578,130.1701,130.9841,131.7948,132.602,133.3836,134.1658,134.958,135.7084,136.4886,137.227,137.9597,136.4748,134.9566,133.4169,131.9288,130.4839,129.0542,127.6481,126.2714,124.9339,123.6476
4 Coal + CCS,0.0,0.0,0.0,134.5931,134.5931,211.2949,204.1975,191.0702,197.8606,189.0314,185.7752,184.8949,184.3778,184.3048,184.7116,185.575,186.7461,188.2419,189.6192,190.9142,191.7724,192.4333,192.8221,192.9569,192.9644,192.8692,192.7218,192.5313,192.3042,192.0536,191.7854,191.512,191.2278,190.9315,190.6297,190.33,190.0259,189.7167,189.4045,189.0796,188.7418,188.2983,187.829,187.3607,186.8955,186.4117,185.9444,185.476,185.0126,184.5494,183.9387
5 IGCC,0.0,0.0,0.0,229.205,229.205,450.0768,574.3519,300.2453,469.0331,510.7996,537.9061,549.3532,563.3964,578.1016,592.807,609.0808,624.2534,640.4445,655.7014,669.3414,681.3246,691.0958,698.2704,704.6207,710.2591,714.4965,717.713,721.3558,725.0075,728.8098,732.5996,736.2932,739.7021,742.9482,745.8486,748.4681,750.7983,752.5696,754.042,754.8158,754.9113,744.6063,733.2659,721.1256,708.5894,695.8449,683.0783,669.9974,656.3578,642.413,628.441
6 IGCC + CCS,0.0,0.0,0.0,439.2492,439.2492,735.7274,3424.4368,714.8616,3259.6423,3308.3733,3381.6829,3399.0713,3416.4275,3427.9961,3434.7847,3438.5627,3434.1396,3429.2136,3419.4297,3406.8481,3392.7651,3380.2754,3366.2217,3352.0903,3338.6836,3326.0493,3313.238,3301.4536,3290.1904,3279.9727,3270.3452,3261.2744,3252.2793,3243.6553,3234.5991,3225.2551,3215.1797,3204.5518,3193.3513,3181.4141,3168.6709,3154.6814,3138.6553,3120.0576,3099.1433,3075.4343,3048.1501,3016.8064,2980.801,2938.5737,2889.1853
7 CCGT,0.0,0.0,0.0,106.7169,175.1402,116.3298,140.9749,118.3352,137.9537,144.203,147.9458,149.999,152.673,155.3669,158.0234,161.1886,164.2256,167.1526,169.8302,172.6353,175.2037,177.1135,178.1445,179.0371,179.7636,180.2466,180.5386,180.8212,181.0977,181.3772,181.6586,181.8696,182.0727,182.2401,182.357,182.4559,182.4942,182.4409,182.3235,182.0932,181.7509,180.2054,178.5318,176.7606,174.9342,173.0872,171.259,169.4873,167.7896,166.1976,164.7643
8 CCGT + CCS,0.0,0.0,0.0,200.5646,200.5646,295.7636,975.8096,276.9934,891.7728,903.653,917.9423,922.1488,926.4503,929.9847,933.3243,936.3909,937.1663,937.723,936.7432,934.3221,930.9846,927.7042,923.3081,918.9077,914.813,910.7728,906.7853,903.1775,899.8806,896.9894,894.3702,891.8417,889.3597,887.0054,884.4707,881.8853,879.024,875.9204,872.5466,868.8088,864.6024,860.3444,855.1733,848.9603,842.0763,834.2786,825.3296,815.1964,803.6758,790.5416,775.5447
9 Solid Biomass,0.0,0.0,0.0,225.8014,219.8986,228.3135,224.0604,218.5931,211.2872,205.7053,203.6667,203.1987,203.2537,203.5535,204.1892,205.1293,206.4259,207.7907,209.1388,210.3525,211.3902,212.2836,212.9343,213.417,213.7227,213.8538,213.9007,213.8843,213.8101,213.6927,213.5415,213.3661,213.1705,212.958,212.7312,212.4966,212.2485,211.9724,211.6835,211.3926,211.0989,210.8355,210.5994,210.3722,210.1421,209.919,209.7252,209.566,209.4536,209.3847,209.2406
10 S Biomass CCS,0.0,0.0,0.0,206.2197,206.2197,288.2458,284.8337,286.1909,279.9569,260.4314,253.3633,252.7468,251.4467,250.3558,250.2984,250.4481,250.8355,251.3101,251.4938,251.3249,250.7128,250.0958,249.4084,248.5542,247.5768,246.5014,245.3942,244.2309,243.0287,241.7997,240.5518,239.276,237.9817,236.6756,235.3745,234.061,232.7163,231.3933,230.0219,228.6584,227.2667,227.8417,228.4205,228.9834,229.538,230.0977,230.6512,231.211,231.775,232.3371,232.6829
