,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
Nuclear,0.0,0.0,0.0,74.1606,74.1606,74.1606,74.1606,74.1606,74.1606,74.1606,74.1606,74.1606,74.1606,74.1606,74.1434,74.1041,74.0461,73.9861,73.9258,73.8581,73.7831,73.7033,73.6338,73.5601,73.4852,73.4087,73.3319,73.2617,73.19,73.1184,73.0472,72.9772,72.907,72.8385,72.7713,72.7046,72.6401,72.5788,72.52,72.4629,72.4088,72.3562,72.3043,72.2536,72.2054,72.1594,72.1145,72.0715,72.0285,71.9854,71.9421,71.9017,71.8642,71.8276,71.7921,71.7574,71.7244,71.692,71.661,71.6304,71.6003
Oil,0.0,0.0,0.0,119.2774,119.2774,119.2774,119.2774,117.6872,118.3154,119.0264,117.5971,118.9477,119.693,120.6672,121.1679,121.7085,122.1079,122.4788,122.8474,123.2198,123.6044,123.8645,124.2034,124.4549,124.7391,125.0495,125.2925,125.5377,125.766,125.9979,126.2009,126.3972,126.5862,126.7693,126.9409,127.0997,127.1919,127.2884,127.4501,127.5326,127.7005,127.8678,128.0518,128.2538,128.4777,128.7257,128.9996,129.297,129.671,129.9694,130.379,130.7669,131.1656,131.5788,132.006,132.4466,132.9,133.3646,133.8422,134.3331,134.8375
Coal,0.0,0.0,0.0,66.7152,66.7152,66.7152,66.7152,66.6951,66.7023,66.7044,66.7048,66.7382,66.7516,66.7511,66.7566,66.7525,66.7489,66.7444,66.7403,66.7328,66.7235,66.7101,66.6987,66.6864,66.674,66.6614,66.6477,66.6346,66.6208,66.6067,66.5917,66.5765,66.5603,66.5442,66.5264,66.5076,66.4885,66.4686,66.4504,66.4318,66.4145,66.3975,66.38,66.3633,66.3474,66.3321,66.3172,66.3024,66.2866,66.2704,66.2545,66.2389,66.2236,66.2085,66.1937,66.1791,66.1648,66.1507,66.137,66.1235,66.1101
Coal + CCS,0.0,0.0,0.0,108.9062,108.9062,108.9062,108.9062,108.8834,108.8915,108.8939,108.8944,108.9323,108.9476,108.947,108.8779,108.7904,108.6849,108.57,108.4459,108.3059,108.1505,107.9798,107.819,107.6456,107.465,107.2798,107.089,106.8899,106.6901,106.4904,106.2833,106.0608,105.8223,105.5879,105.3577,105.1174,104.8648,104.6163,104.3571,104.0902,103.8224,103.5527,103.2681,102.98,102.6919,102.398,102.0986,101.793,101.4837,101.1671,100.8437,100.5162,100.1869,99.8517,99.5108,99.167,98.8208,98.4715,98.1225,97.7735,97.4239
Waste,0.0,0.0,0.0,141.1963,141.1963,141.1963,141.1963,141.1963,141.1963,141.1963,141.1963,141.1963,141.1963,141.1963,141.1624,141.0443,140.864,140.6945,140.5323,140.3591,140.1745,139.9889,139.8398,139.6885,139.5394,139.3935,139.2526,139.1289,139.0057,138.8861,138.7707,138.6601,138.5492,138.4436,138.3417,138.2397,138.1404,138.0433,137.9477,137.8541,137.7612,137.6682,137.5782,137.4858,137.3941,137.3036,137.213,137.1243,137.0342,136.9408,136.8433,136.7466,136.6513,136.5542,136.456,136.3582,136.2613,136.1649,136.0717,135.9804,135.8898
Waste + CCS,0.0,0.0,0.0,249.642,249.642,249.642,249.642,249.642,249.642,249.642,249.642,249.642,249.642,249.642,249.642,249.642,249.642,249.642,249.642,249.642,249.642,249.642,249.642,249.642,249.642,249.642,249.642,249.642,249.642,249.642,249.642,249.642,249.642,249.642,249.642,249.642,249.642,249.642,249.642,249.642,249.642,249.642,249.642,249.642,249.642,249.642,249.642,249.642,249.642,249.642,249.642,249.642,249.642,249.642,249.642,249.642,249.642,249.642,249.642,249.642,249.642
CCGT,0.0,0.0,0.0,65.7389,65.7389,65.7389,65.7389,66.9647,67.2753,67.3929,67.3719,67.5868,67.7273,67.8604,67.9434,68.0681,68.1942,68.3316,68.475,68.6236,68.7791,68.9146,69.0533,69.1945,69.3418,69.4927,69.6321,69.7714,69.9118,70.0567,70.206,70.3572,70.5127,70.6714,70.8343,71.0018,71.1685,71.3366,71.5075,71.6818,71.8608,72.0463,72.234,72.421,72.6334,72.8058,72.9922,73.2106,73.3875,73.6094,73.7923,74.0193,74.2316,74.4449,74.6627,74.8869,75.1173,75.3563,75.6048,75.8614,76.1284
CCGT + CCS,0.0,0.0,0.0,122.1018,122.1018,122.1018,122.1018,123.5884,123.9651,124.1077,124.0822,124.343,124.5133,124.6747,124.7347,124.8566,124.9673,125.0858,125.2095,125.3342,125.4608,125.5576,125.6667,125.773,125.8826,125.9939,126.0899,126.1852,126.2826,126.3861,126.4957,126.6042,126.7171,126.8358,126.9656,127.1003,127.2315,127.3654,127.5013,127.6421,127.7893,127.9441,128.105,128.264,128.4532,128.5943,128.7535,128.9562,129.1137,129.3285,129.496,129.7156,129.9159,130.1169,130.3225,130.5347,130.7533,130.9814,131.2191,131.4654,131.7234
OCGT,0.0,0.0,0.0,113.7735,113.7735,113.7735,113.7735,115.3462,115.7448,115.8956,115.8687,116.1444,116.3247,116.4954,116.6208,116.8002,116.9869,117.1897,117.4003,117.6191,117.8486,118.0534,118.2582,118.4672,118.6843,118.9061,119.113,119.318,119.5249,119.738,119.9575,120.1797,120.4087,120.642,120.8814,121.1272,121.3722,121.6188,121.868,122.1211,122.3794,122.6445,122.9109,123.1752,123.4708,123.714,123.974,124.2738,124.5199,124.8228,125.0752,125.3829,125.671,125.9602,126.2547,126.5568,126.8666,127.1873,127.5198,127.8621,128.218
OCGT + CCS,0.0,0.0,0.0,162.5383,162.5383,162.5383,162.5383,164.2857,164.7285,164.8961,164.8662,165.1726,165.3729,165.5626,165.7019,165.9012,166.1087,166.3341,166.568,166.8112,167.0662,167.2937,167.5213,167.7535,167.9946,168.2411,168.4711,168.6989,168.9287,169.1654,169.4093,169.6562,169.9106,170.1699,170.4359,170.7091,170.9812,171.2552,171.5322,171.8134,172.1004,172.3949,172.691,172.9846,173.313,173.5833,173.8722,174.2052,174.4787,174.8153,175.0957,175.4376,175.7577,176.079,176.4062,176.742,177.0862,177.4425,177.8119,178.1923,178.5877
