,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Nuclear,0.0,0.0,0.0,86.2717,86.2717,86.2717,86.2717,86.159,86.1791,86.0584,85.8097,85.7962,85.6248,85.554,85.4644,85.3678,85.2731,85.184,85.0971,85.0129,84.9361,84.8639,84.8244,84.8,84.7868,84.782,84.7804,84.7861,84.791,84.774,84.743,84.7164,84.6817,84.6434,84.6101,84.5784,84.5451,84.5086,84.4686,84.4245,84.3762,84.3253,84.2766,84.2293,84.1835,84.1376,84.0925,84.0513,84.0143,83.9829,83.9549,83.8978,83.8446,83.7951,83.7653,83.7388,83.7096,83.6848,83.6559,83.631,83.6021
2 Oil,0.0,0.0,0.0,301.3456,301.3456,301.3456,301.3456,298.2269,298.597,315.7174,308.9593,336.1032,376.1312,371.7166,370.2075,369.5426,368.7781,367.8361,367.2508,366.931,366.6684,368.506,370.0657,371.349,372.5578,373.6864,374.6714,375.5793,376.405,377.106,377.7381,379.7854,381.6902,383.4653,385.155,386.6832,388.0748,389.4101,390.5808,391.6684,392.6733,393.2458,393.862,394.4044,395.0274,395.6803,396.2629,396.9071,397.4833,398.1651,398.7537,399.4272,400.1015,400.7807,401.4559,402.1172,402.8392,403.5313,404.2626,404.9953,405.722
3 Coal,0.0,0.0,0.0,89.386,89.386,89.386,89.386,89.3533,89.3607,111.4431,104.1681,138.4487,190.5014,183.4642,180.5669,178.7976,177.1865,175.2737,173.8399,172.7324,171.6693,173.4603,174.9238,176.0163,177.0067,177.8964,178.687,179.3863,180.009,180.4618,180.9393,183.2613,185.3899,187.3484,189.21,190.8675,192.3603,193.7982,195.0164,196.1243,197.1018,197.4798,197.8952,198.2064,198.6131,198.9769,199.3669,199.7124,200.0747,200.4426,200.8048,201.1382,201.5172,201.9011,202.27,202.6093,203.0183,203.3754,203.7714,204.1576,204.5216
4 Coal + CCS,0.0,0.0,0.0,143.2748,143.2748,143.2748,143.2748,143.2376,143.246,145.2265,144.1283,147.5527,152.3798,151.5111,150.9791,150.5434,150.1222,149.7021,149.3434,149.042,148.7759,148.8172,148.9151,148.9801,149.0381,149.0898,149.1323,149.1695,149.1992,149.2119,149.2271,149.4271,149.6055,149.766,149.9146,150.0428,150.1503,150.2476,150.3203,150.3798,150.4228,150.4055,150.3923,150.3725,150.3597,150.3376,150.3252,150.3077,150.2881,150.2692,150.2485,150.2231,150.2026,150.1833,150.1651,150.1449,150.1315,150.1122,150.0961,150.0786,150.0581
5 IGCC,0.0,0.0,0.0,241.1354,241.1354,241.1354,241.1354,241.1027,241.1101,262.8307,255.074,289.3186,340.8549,333.5163,330.2359,328.0749,326.0794,323.851,322.1367,320.7986,319.5634,321.23,322.6715,323.7507,324.73,325.6104,326.3922,327.0838,327.6983,328.142,328.6106,330.9239,333.0431,334.9923,336.8433,338.4891,339.9654,341.3805,342.5713,343.6479,344.5925,344.9344,345.3161,345.5945,345.9691,346.2976,346.6559,346.9725,347.3064,347.6483,347.9835,348.2911,348.6457,349.006,349.3533,349.672,350.0601,350.3954,350.7689,351.1317,351.4718
6 IGCC + CCS,0.0,0.0,0.0,456.7467,456.7467,456.7467,456.7467,456.7096,456.7179,458.654,456.6417,460.0662,464.757,463.9596,463.4991,463.1336,462.8282,462.4884,462.1943,461.9448,461.7073,461.6949,461.7544,461.7783,461.7958,461.8001,461.7748,461.7301,461.6611,461.5589,461.4451,461.5126,461.5035,461.4534,461.3819,461.2724,461.1364,460.9662,460.767,460.5513,460.3163,459.9984,459.6924,459.3822,459.0717,458.6747,458.3609,458.0345,457.7045,457.377,457.0552,456.7192,456.3995,456.094,455.8143,455.5471,455.3033,455.0711,454.8593,454.6653,454.4857
7 CCGT,0.0,0.0,0.0,113.5283,113.5283,113.5283,113.5283,114.9174,115.1901,126.1948,122.4729,139.8273,166.1489,162.6436,161.2239,160.3904,159.628,158.7097,158.0364,157.5314,157.0517,157.9818,158.7687,159.3475,159.896,160.3735,160.7981,161.1755,161.5116,161.7622,162.0263,163.2225,164.3243,165.3441,166.3185,167.2109,167.9972,168.7818,169.4528,170.0709,170.6286,170.8919,171.1799,171.4179,171.7078,171.9798,172.2678,172.5372,172.8178,173.1047,173.4085,173.6714,173.9877,174.2815,174.6013,174.9015,175.2411,175.5558,175.8935,176.2303,176.5602
8 CCGT + CCS,0.0,0.0,0.0,193.7941,193.7941,193.7941,193.7941,195.4788,195.8094,196.6517,196.0273,197.8167,200.352,200.0298,199.8855,199.8144,199.7465,199.6505,199.582,199.5327,199.4903,199.549,199.6425,199.6942,199.7669,199.8096,199.8428,199.874,199.8988,199.9171,199.9406,200.0582,200.1683,200.2747,200.3812,200.5072,200.5998,200.723,200.8346,200.9464,201.0581,201.1515,201.2527,201.3523,201.4595,201.5685,201.6823,201.7961,201.9101,202.027,202.166,202.2691,202.4094,202.5175,202.6643,202.8015,202.9469,203.0899,203.2379,203.3893,203.5436
9 Solid Biomass,0.0,0.0,0.0,191.1383,191.1383,191.1383,191.1383,191.1383,191.1383,191.0759,190.8357,190.8335,190.6734,190.6207,190.5196,190.4032,190.2924,190.1881,190.0884,189.9987,189.9224,189.8487,189.823,189.7962,189.7684,189.7394,189.7063,189.6755,189.6416,189.6055,189.5673,189.5293,189.4865,189.4409,189.3916,189.3394,189.2801,189.2147,189.1473,189.0749,188.9976,188.9102,188.8213,188.7307,188.6365,188.5245,188.4262,188.3235,188.2166,188.1072,187.9946,187.8696,187.7433,187.6157,187.494,187.3711,187.2485,187.1248,187.0006,186.877,186.7539
10 S Biomass CCS,0.0,0.0,0.0,201.8837,201.8837,201.8837,201.8837,201.8837,201.8837,179.8489,186.2583,152.5692,100.8129,107.4006,109.8135,111.0929,112.2377,113.6922,114.6895,115.3891,116.0761,113.9605,112.3073,111.0463,109.8999,108.8604,107.9107,107.0743,106.3057,105.6963,105.054,102.594,100.2969,98.1519,96.0849,94.2087,92.4788,90.7894,89.3136,87.9349,86.6663,85.9566,85.2057,84.548,83.7724,82.9774,82.2011,81.4366,80.6216,79.7738,78.9009,78.0034,77.038,76.0519,75.0837,74.1279,73.0873,72.0797,71.0166,69.9512,68.8942
