,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Nuclear,0.0,0.0,0.0,86.3635,86.3635,86.3635,86.3635,86.2508,86.271,85.6653,84.6085,84.0006,83.5686,83.106,82.6352,82.1883,81.7634,81.3522,80.9554,80.5801,80.2271,79.9236,79.6517,79.4072,79.1805,78.966,78.7695,78.5805,78.3974,78.2184,78.0426,77.8705,77.702,77.5364,77.3725,77.2115,77.0558,76.907,76.7622,76.6223,76.4885,76.3607,76.2327,76.1147,76.0053,75.9086,75.8193,75.7388,75.67,75.6128,75.5739,75.5454,75.5286,75.5291,75.5552,75.5972,75.6598,75.7533,75.8923,76.0354,76.2143
2 Oil,0.0,0.0,0.0,417.1074,417.1074,417.1074,417.1074,413.8409,414.1365,422.3889,423.1196,425.3314,426.6289,428.0051,429.1444,430.3576,431.3585,432.4189,433.5049,434.6177,435.7962,436.702,437.4901,438.2891,439.1053,439.9507,440.6986,441.5589,442.3414,443.2339,444.0276,444.9301,445.7672,446.7062,447.5518,448.4449,449.3657,450.2648,451.2091,452.1489,453.1235,452.513,451.9892,451.3944,450.9119,450.365,449.9375,449.4957,449.0749,448.6798,448.3132,447.9738,447.6596,447.372,447.1119,446.8784,446.6726,446.4943,446.3444,446.2199,446.1213
3 Coal,0.0,0.0,0.0,135.6888,135.6888,135.6888,135.6888,135.656,135.6634,145.6521,147.9866,148.8909,149.4893,150.1292,150.6924,151.3879,152.1195,152.8954,153.7279,154.5932,155.5315,156.1833,156.7229,157.2851,157.8648,158.475,159.0957,159.7328,160.3832,161.044,161.7122,162.4049,163.1186,163.8497,164.5796,165.3373,166.1348,166.9209,167.7694,168.6141,169.4967,168.2549,167.0293,165.8365,164.6707,163.529,162.4109,161.3146,160.2412,159.1924,158.1575,157.1503,156.1652,155.2014,154.2572,153.3354,152.4348,151.5524,150.6829,149.836,149.0077
4 Coal + CCS,0.0,0.0,0.0,151.9129,151.9129,151.9129,151.9129,151.8757,151.884,151.1481,149.1407,147.6731,146.0097,144.4431,142.9767,141.6274,140.3882,139.2351,138.1569,137.1561,136.2325,135.4038,134.6374,133.9391,133.303,132.7059,132.1574,131.6328,131.1277,130.6405,130.1678,129.7098,129.2678,128.8393,128.4234,128.0217,127.6367,127.2585,126.8992,126.5468,126.2108,125.6733,125.1263,124.6089,124.105,123.6093,123.1237,122.6442,122.1751,121.7166,121.2504,120.8019,120.3645,119.9344,119.5099,119.0961,118.6904,118.2902,117.8855,117.4951,117.1127
5 IGCC,0.0,0.0,0.0,243.3706,243.3706,243.3706,243.3706,243.3379,243.3453,251.9448,252.5124,252.2316,251.2789,250.4444,249.6497,249.0527,248.6202,248.3088,248.1239,248.0473,248.1176,248.0337,247.919,247.8919,247.9291,248.0269,248.1815,248.3786,248.6118,248.8766,249.1663,249.4946,249.8583,250.2507,250.6534,251.0936,251.5841,252.0699,252.6263,253.1839,253.7875,252.2721,250.754,249.2923,247.8645,246.4656,245.0967,243.7505,242.4347,241.1484,239.8614,238.6177,237.4026,236.2129,235.0443,233.9043,232.7899,231.6964,230.6055,229.5494,228.5166
6 IGCC + CCS,0.0,0.0,0.0,463.4362,463.4362,463.4362,463.4362,463.3992,463.4074,460.619,452.2306,449.1629,443.3264,438.7546,434.5515,430.6183,426.9677,423.5327,420.2748,417.1735,414.2194,411.6835,409.2769,406.9945,404.8363,402.7799,400.8705,399.0368,397.2626,395.5385,393.8501,392.1478,390.4883,388.8607,387.2642,385.701,384.1474,382.6177,381.1367,379.687,378.2733,376.7513,375.2691,373.8258,372.4189,371.0439,369.6971,368.3686,367.0622,365.7868,364.5393,363.3141,362.1137,360.9245,359.7414,358.5854,357.4472,356.3246,355.2095,354.1056,353.0214
7 CCGT,0.0,0.0,0.0,156.3205,156.3205,156.3205,156.3205,157.7074,157.9776,162.5841,163.3033,163.5723,163.7524,163.9555,164.1416,164.4032,164.6642,164.9535,165.2842,165.6444,166.0563,166.3271,166.5473,166.7879,167.0476,167.3336,167.6214,167.9238,168.2398,168.5665,168.9016,169.2499,169.6139,169.9921,170.375,170.7786,171.2057,171.6336,172.0989,172.5666,173.0569,172.4996,171.9258,171.396,170.8521,170.3537,169.8558,169.3702,168.8985,168.4418,167.9969,167.5677,167.1523,166.7515,166.366,165.9977,165.6449,165.3036,164.9728,164.6576,164.3564
8 CCGT + CCS,0.0,0.0,0.0,201.0881,201.0881,201.0881,201.0881,202.77,203.0977,201.717,199.6021,198.3115,196.9336,195.6278,194.4189,193.3016,192.21,191.1797,190.2103,189.3027,188.4588,187.6846,186.9559,186.2827,185.6627,185.0821,184.5295,183.9989,183.4879,182.9953,182.5195,182.0556,181.6107,181.1855,180.7817,180.4026,180.0445,179.7042,179.3916,179.0939,178.8191,178.4804,178.1141,177.8002,177.4644,177.1746,176.88,176.5938,176.3202,176.0594,175.8046,175.5615,175.3319,175.1123,174.9046,174.7134,174.5345,174.3619,174.1964,174.0442,173.9044
9 Solid Biomass,0.0,0.0,0.0,234.3087,234.3087,234.3087,234.3087,234.3087,234.3087,232.4646,229.7749,228.245,226.7348,225.2864,223.8685,222.5783,221.3835,220.2668,219.2219,218.2563,217.3647,216.6166,215.9469,215.3292,214.7502,214.2035,213.703,213.2223,212.7547,212.2984,211.8514,211.4103,210.979,210.5551,210.1394,209.732,209.3312,208.9342,208.5479,208.1629,207.7904,207.4298,207.0606,206.7129,206.373,206.0336,205.7022,205.3756,205.0576,204.7458,204.4268,204.1167,203.8166,203.5197,203.2269,202.9413,202.661,202.3808,202.0984,201.8245,201.557
10 S Biomass CCS,0.0,0.0,0.0,211.1742,211.1742,211.1742,211.1742,211.1742,211.1742,198.7924,192.7123,189.6329,186.6095,183.686,180.9525,178.2676,175.6912,173.1846,170.717,168.3166,165.9353,164.0145,162.2947,160.6267,159.0098,157.4157,155.877,154.3469,152.8208,151.3003,149.7838,148.2505,146.7118,145.1673,143.6366,142.0901,140.5157,138.9589,137.3577,135.7623,134.15,134.6454,135.1116,135.5805,136.0387,136.4773,136.9052,137.316,137.7181,138.1074,138.471,138.8247,139.1723,139.5045,139.8215,140.1303,140.4275,140.709,140.9722,141.2296,141.4789
