,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1 Nuclear,0.0,0.0,0.0,90.3658,90.3658,90.3658,90.3658,90.2531,90.2733,90.0666,89.7372,89.5413,89.3945,89.2505,89.1087,88.9702,88.8364,88.7084,88.5859,88.4682,88.3588,88.2672,88.1858,88.1143,88.0573,88.0162,87.9968,87.9993,88.0294,88.0912,88.1958,88.3556,88.5843,88.8973,89.3193,89.87,90.5762,91.4704,92.5815,93.9288,95.5154,97.3152,99.2873,101.371,103.5074,105.6398,107.7221,109.7259,111.626,113.394,115.0551
2 Oil,0.0,0.0,0.0,289.4985,291.6302,292.8179,295.8155,294.3843,302.1108,317.5973,316.837,318.1489,318.8448,319.3426,319.1973,319.3431,318.8512,318.464,318.3812,318.0654,317.7954,317.8022,317.6378,317.4547,317.4028,317.4078,317.2578,317.1679,317.1608,317.2404,317.2277,317.1895,317.4156,317.6167,317.8052,317.9226,318.2935,318.7393,319.1297,319.6425,320.2916,321.1035,322.0355,323.0614,324.0914,325.1967,326.4812,327.7433,329.3554,330.5884,331.8935
3 Coal,0.0,0.0,0.0,83.0686,83.1067,83.3629,83.8305,84.0509,84.548,84.7827,84.4556,84.1912,84.007,83.8457,83.714,83.6093,83.5208,83.4526,83.3989,83.3571,83.3242,83.3054,83.2953,83.2916,83.2911,83.2953,83.3036,83.3178,83.3354,83.3568,83.3806,83.4068,83.4363,83.4671,83.5019,83.5333,83.5659,83.6005,83.6368,83.6744,83.7132,83.7543,83.7955,83.837,83.8793,83.9166,83.9533,83.9902,84.0221,84.0543,84.0864
4 Coal + CCS,0.0,0.0,0.0,137.7487,137.7487,166.7519,164.285,163.0346,163.2803,167.07,164.7258,163.051,161.8918,160.8236,159.8283,158.9828,158.1894,157.4813,156.8646,156.2328,155.6492,155.203,154.7412,154.2942,153.8983,153.5199,153.1376,152.781,152.4538,152.1332,151.7876,151.4581,151.1541,150.8712,150.5801,150.2976,150.0429,149.8142,149.6071,149.3958,149.1999,149.024,148.8651,148.7191,148.5569,148.39,148.2185,148.0417,147.8589,147.6571,147.4399
5 IGCC,0.0,0.0,0.0,202.3719,202.3719,216.6668,218.5483,220.7645,229.0416,244.8975,243.8314,242.5454,241.6033,240.3008,238.5581,236.8987,234.8039,232.6983,230.8489,228.8385,226.832,225.2125,223.5462,221.8548,220.3425,218.9186,217.4506,216.0725,214.8204,213.6056,212.3746,211.1989,210.1268,209.0965,208.0887,207.0945,206.1875,205.3317,204.515,203.6997,202.9304,202.2078,201.5113,200.833,200.1488,199.4816,198.8436,198.2188,197.602,196.9761,196.3587
6 IGCC + CCS,0.0,0.0,0.0,391.1561,391.1561,426.6502,427.7636,433.9279,445.4758,463.6129,451.7698,444.3482,436.3367,430.2668,426.9249,424.7805,422.9526,422.8406,423.0723,423.0128,423.9916,424.1848,424.1484,425.0464,424.9569,424.8936,425.7646,425.4993,425.4598,425.365,426.2418,426.0052,427.0763,427.0904,428.1669,428.125,429.4003,430.8366,431.2598,432.8279,434.6616,436.8359,439.2923,441.9963,444.7785,447.7683,451.0692,454.6447,459.8815,463.571,467.1911
7 CCGT,0.0,0.0,0.0,83.1236,83.3839,83.8654,83.8839,85.8884,86.8464,86.6579,86.4993,86.4756,86.5035,86.5272,86.5609,86.5898,86.5798,86.5966,86.5836,86.6042,86.6185,86.5989,86.5922,86.6098,86.6,86.62,86.605,86.5972,86.5905,86.5856,86.6019,86.5824,86.6019,86.5963,86.6292,86.6572,86.6862,86.7202,86.7606,86.8088,86.8637,86.9316,87.0088,87.0923,87.1857,87.2887,87.4,87.5206,87.6503,87.7901,87.939
8 CCGT + CCS,0.0,0.0,0.0,106.8542,106.8542,171.3318,172.7978,177.4566,185.3804,198.876,198.2588,197.753,197.5964,197.227,196.5148,195.8877,194.7909,193.678,192.7889,191.6924,190.5511,189.7631,188.866,187.9152,187.1294,186.4416,185.6096,184.8426,184.2359,183.6444,183.0179,182.3894,181.9428,181.5031,181.0963,180.6845,180.3842,180.1504,179.9671,179.7716,179.6558,179.6305,179.6581,179.7167,179.7494,179.8046,179.9157,180.0428,180.1665,180.2337,180.2877
9 Solid Biomass,0.0,0.0,0.0,186.1995,185.8615,186.4969,187.3145,187.2482,188.2146,189.7737,188.8633,188.2586,187.9524,187.6481,187.3418,187.0821,186.8232,186.5847,186.3742,186.1374,185.915,185.7643,185.5925,185.4178,185.2669,185.1151,184.9598,184.8097,184.6703,184.5301,184.3691,184.2146,184.0708,183.933,183.7897,183.6509,183.5236,183.4135,183.3157,183.2118,183.1182,183.0374,182.9676,182.9095,182.843,182.7747,182.7039,182.6273,182.5514,182.4638,182.3652
10 S Biomass CCS,0.0,0.0,0.0,205.593,205.593,237.7785,237.1714,236.4098,236.4657,241.6424,239.1566,237.6079,236.3119,235.2061,234.1865,233.3091,232.4517,231.6647,230.9562,230.2304,229.5397,228.9922,228.4311,227.8813,227.3899,226.9191,226.4339,225.9826,225.5661,225.1592,224.7238,224.3127,223.9377,223.6021,223.2591,222.9375,222.6594,222.4324,222.2534,222.09,221.9743,221.9257,221.9397,222.0134,222.0942,222.199,222.3296,222.4787,222.6459,222.7833,222.8935
