,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
Nuclear,0.0,0.0,0.0,93.6023,93.6023,93.6023,93.6023,93.6023,93.6023,93.6023,93.6023,93.6023,93.6023,93.6023,93.5793,93.5268,93.4494,93.3693,93.2889,93.1986,93.0984,92.992,92.8992,92.801,92.701,92.5989,92.4965,92.4028,92.3071,92.2116,92.1167,92.0232,91.9296,91.8382,91.7485,91.6595,91.5734,91.4917,91.4132,91.3371,91.2648,91.1946,91.1254,91.0577,90.9934,90.9321,90.8722,90.8148,90.7575,90.6999,90.6422,90.5882,90.5381,90.4893,90.4419,90.3957,90.3517,90.3084,90.267,90.2262,90.186
Oil,0.0,0.0,0.0,113.3687,113.8753,115.9146,113.0138,112.5464,122.0169,131.2562,123.5185,150.4378,174.4921,180.8083,153.6113,151.7562,150.6034,149.9281,149.6411,149.4679,149.3255,150.3342,151.1847,151.891,152.5867,153.2689,153.8457,154.3857,154.8722,155.2904,155.6829,156.8608,157.9353,158.9368,159.8857,160.7346,161.4521,162.1509,162.8251,163.374,163.9577,164.2904,164.6593,165.0036,165.4111,165.8254,166.2789,166.738,167.2849,167.7601,168.3491,168.902,169.487,170.0905,170.7007,171.3115,171.9643,172.6043,173.2738,173.9491,174.6299
Coal,0.0,0.0,0.0,72.3279,72.84,74.9014,71.9692,73.0839,82.0294,90.6522,84.276,110.155,133.7303,139.1296,111.1355,108.7085,107.1324,106.0668,105.397,104.8347,104.2889,105.0281,105.5305,105.9742,106.374,106.733,107.0524,107.3333,107.5761,107.7459,107.9174,108.8893,109.7627,110.568,111.3296,112.0019,112.6082,113.1902,113.6836,114.1297,114.5264,114.6699,114.8328,114.9536,115.1166,115.263,115.423,115.5652,115.7175,115.8732,116.0315,116.1756,116.3416,116.5116,116.6744,116.8244,117.0043,117.1599,117.3323,117.4975,117.6544
Coal + CCS,0.0,0.0,0.0,98.6422,98.6934,98.8996,98.6063,98.697,99.599,100.4634,99.8263,102.4487,104.8202,105.3596,102.5015,102.1835,101.9364,101.7322,101.559,101.3829,101.1951,101.1226,101.0346,100.9299,100.8146,100.6915,100.5595,100.4165,100.2693,100.1149,99.9546,99.861,99.744,99.6239,99.5033,99.3651,99.2098,99.0557,98.8833,98.6996,98.5101,98.2937,98.0663,97.8317,97.6013,97.3643,97.124,96.8765,96.6269,96.3713,96.1102,95.8442,95.5789,95.3089,95.0333,94.754,94.4756,94.1922,93.911,93.629,93.3459
Waste,0.0,0.0,0.0,126.4147,126.4147,126.4147,126.4147,126.4147,126.4147,126.4147,126.4147,126.4147,126.4147,126.4147,126.3885,126.2973,126.1581,126.0271,125.9019,125.7682,125.6255,125.4822,125.3671,125.2502,125.1351,125.0224,124.9135,124.818,124.7229,124.6305,124.5415,124.4559,124.3703,124.2888,124.2101,124.1313,124.0546,123.9796,123.9057,123.8335,123.7617,123.6899,123.6204,123.549,123.4782,123.4083,123.3384,123.2699,123.2002,123.1281,123.0528,122.9782,122.9046,122.8296,122.7537,122.6782,122.6034,122.5289,122.4569,122.3864,122.3164
Waste + CCS,0.0,0.0,0.0,218.0879,218.0879,218.0879,218.0879,218.0879,218.0879,218.0879,218.0879,218.0879,218.0879,218.0879,218.0879,218.0879,218.0879,218.0879,218.0879,218.0879,218.0879,218.0879,218.0879,218.0879,218.0879,218.0879,218.0879,218.0879,218.0879,218.0879,218.0879,218.0879,218.0879,218.0879,218.0879,218.0879,218.0879,218.0879,218.0879,218.0879,218.0879,218.0879,218.0879,218.0879,218.0879,218.0879,218.0879,218.0879,218.0879,218.0879,218.0879,218.0879,218.0879,218.0879,218.0879,218.0879,218.0879,218.0879,218.0879,218.0879,218.0879
CCGT,0.0,0.0,0.0,41.4929,41.7422,42.7458,41.3183,43.0965,47.7587,52.0732,48.9477,61.7455,73.3569,76.1187,62.5723,61.5192,60.8827,60.5068,60.3289,60.2105,60.1081,60.6135,61.0052,61.3716,61.7227,62.0579,62.3628,62.6485,62.9172,63.1551,63.3989,64.0345,64.6272,65.19,65.7368,66.2454,66.7213,67.1872,67.6117,68.0169,68.402,68.6701,68.95,69.2082,69.5119,69.7671,70.0428,70.3416,70.6044,70.9141,71.186,71.4947,71.7993,72.1068,72.4152,72.7236,73.0526,73.3783,73.7216,74.0693,74.4235
CCGT + CCS,0.0,0.0,0.0,144.0141,144.039,144.1394,143.9966,145.5385,146.3503,146.9126,146.5767,148.0956,149.4131,149.8373,148.5125,148.4986,148.5083,148.548,148.6113,148.6785,148.7453,148.8428,148.9454,149.0401,149.1342,149.227,149.3023,149.3753,149.4487,149.5247,149.607,149.7259,149.8436,149.9646,150.0966,150.2287,150.3532,150.4796,150.6034,150.7305,150.8618,150.989,151.125,151.2571,151.4216,151.5378,151.6735,151.8538,151.9919,152.1886,152.3383,152.5394,152.7219,152.9052,153.0925,153.2857,153.4865,153.6951,153.9136,154.1401,154.3775
OCGT,0.0,0.0,0.0,122.8627,123.112,124.1156,122.6881,124.8133,129.5633,133.911,130.7797,143.6383,155.2894,158.089,144.5837,143.584,143.0066,142.6944,142.582,142.532,142.5018,143.0745,143.5307,143.963,144.3822,144.7865,145.1572,145.5068,145.8403,146.1446,146.4569,147.1617,147.826,148.4617,149.0831,149.668,150.2201,150.7626,151.2636,151.7457,152.2082,152.5542,152.9112,153.2451,153.6306,153.9553,154.3032,154.6821,155.0129,155.4025,155.7427,156.1311,156.5106,156.8929,157.277,157.6625,158.0699,158.4765,158.9029,159.3356,159.7778
OCGT + CCS,0.0,0.0,0.0,175.9595,175.9845,176.0848,175.942,177.7448,178.6227,179.21,178.8696,180.4344,181.7818,182.2343,181.0106,181.092,181.223,181.3969,181.5985,181.8148,182.0439,182.3082,182.5609,182.8154,183.0768,183.3416,183.5878,183.8301,184.0726,184.3184,184.5716,184.8668,185.1647,185.4642,185.7684,186.0755,186.3784,186.682,186.9841,187.2882,187.5956,187.8982,188.2033,188.5039,188.8414,189.1198,189.4174,189.7584,190.0403,190.3856,190.6748,191.0247,191.3541,191.6846,192.0208,192.3649,192.7189,193.0838,193.4625,193.852,194.2561
Biomass,0.0,0.0,0.0,142.8398,142.8398,142.8398,142.8398,142.8398,142.8398,142.8398,142.8398,142.8398,142.8398,142.8398,142.8147,142.7392,142.6134,142.4821,142.3674,142.2585,142.1407,142.0161,141.9205,141.8189,141.7145,141.6083,141.5014,141.4022,141.2997,141.1965,141.0914,140.9868,140.8781,140.7681,140.6561,140.5413,140.426,140.3095,140.1986,140.0875,139.9807,139.8737,139.7667,139.6625,139.5609,139.4617,139.3641,139.2687,139.1734,139.0773,138.9806,138.8857,138.7923,138.6991,138.6068,138.5159,138.4264,138.3371,138.2492,138.1619,138.0747
Biomass + CCS,0.0,0.0,0.0,221.2103,220.5493,217.8893,221.6732,220.2087,208.6741,197.5494,205.7782,172.4251,142.0193,135.051,171.0639,174.0467,175.8767,177.0423,177.7032,178.21,178.6804,177.4818,176.6267,175.8392,175.1065,174.4208,173.7793,173.171,172.6185,172.1652,171.702,170.1911,168.7789,167.4601,166.2047,165.0531,163.973,162.9145,161.9677,161.0768,160.2481,159.7411,159.2115,158.7309,158.1926,157.6712,157.1257,156.5981,156.0473,155.4789,154.8941,154.3147,153.6954,153.0528,152.4008,151.746,151.033,150.3304,149.5849,148.8259,148.0534
