,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1 Nuclear,0.0,0.0,0.0,84.0926,84.0926,84.0926,84.0926,83.9799,84.0001,83.8144,83.5191,83.342,83.2104,83.0825,82.9568,82.8345,82.7169,82.6051,82.4989,82.3978,82.3051,82.2293,82.1639,82.1084,82.0677,82.0432,82.04,82.059,82.1059,82.1847,82.3066,82.4837,82.7292,83.0587,83.4974,84.0636,84.7849,85.6937,86.8189,88.1796,89.7788,91.5902,93.573,95.6663,97.8113,99.9514,102.0404,104.0501,105.9554,107.7283,109.3943
2 Oil,0.0,0.0,0.0,332.6522,343.4896,373.7518,339.0073,339.4792,332.2908,338.9453,339.2611,340.6035,341.3337,342.8558,346.0306,352.5812,366.9532,410.1577,500.1732,495.8991,421.6925,363.8183,356.5109,360.6722,367.5899,372.7172,373.9847,374.7617,375.3662,375.9781,376.6123,377.2292,378.1045,379.2583,380.1859,381.2539,382.2104,383.6002,384.8307,386.0363,387.3915,386.6814,385.3317,383.6684,381.6725,379.5225,377.4029,375.1088,372.6527,370.642,368.6158
3 Coal,0.0,0.0,0.0,83.3758,82.4526,81.7755,82.6155,83.0432,83.8093,94.4666,98.2761,99.8342,101.2645,102.7602,104.3619,106.2242,108.3536,110.7381,113.4402,116.2521,119.2412,121.9551,124.7721,128.5886,133.3406,137.3565,139.6104,141.132,142.3927,143.5306,144.5723,145.5552,146.4913,147.4046,148.2793,149.1509,150.0473,150.8966,151.7952,152.6696,153.5702,152.3827,151.2196,150.0579,148.8955,147.7426,146.5807,145.4373,144.3029,143.1755,142.0809
4 Coal + CCS,0.0,0.0,0.0,132.7229,132.7229,166.6494,162.1208,161.9107,160.8098,156.7732,155.5976,154.5794,153.9039,153.3864,153.2363,153.4813,154.0297,154.8468,155.9367,157.3615,159.2639,161.8557,165.7214,170.9802,179.9587,190.3595,193.0712,193.9261,194.137,194.1422,193.9826,193.7508,193.4677,193.1543,192.8054,192.4376,192.0758,191.6889,191.2994,190.896,190.4967,189.8861,189.3056,188.7086,188.0963,187.4807,186.8383,186.1996,185.541,184.8669,184.1955
5 IGCC,0.0,0.0,0.0,219.3043,219.3043,319.1715,259.4344,247.8289,243.3222,253.1423,254.5491,252.8404,251.7965,251.3739,251.8349,253.5223,256.5296,260.9908,267.1518,273.9554,281.2729,288.781,299.2006,314.8288,339.718,364.6572,372.1558,374.4087,375.3431,375.3859,375.2187,375.0175,375.0033,375.1679,375.0757,375.0526,375.0193,375.5258,375.7803,376.0143,376.6538,373.0071,369.1144,365.287,361.4995,357.7428,354.1345,350.574,346.6608,343.4912,340.0652
6 IGCC + CCS,0.0,0.0,0.0,418.5313,418.5313,607.1416,536.0784,625.7693,588.5338,583.0038,593.8414,594.7349,596.2612,599.7667,608.6321,626.287,660.9869,728.0192,849.9344,917.2653,899.4728,798.3154,720.0172,718.4158,783.829,905.5681,921.4326,920.4016,916.7124,911.9308,907.3654,902.064,898.9083,907.2205,903.2086,899.5653,894.982,902.4317,898.4044,893.6734,898.6176,890.7455,879.967,868.2798,855.7613,843.0238,830.6292,818.2109,798.1985,787.4244,771.2042
7 CCGT,0.0,0.0,0.0,96.9206,98.3923,100.6529,98.7396,100.4683,100.5276,105.52,107.355,108.3588,109.6661,111.1382,112.8631,114.9478,117.3949,120.3118,123.7244,127.4273,131.4898,135.5022,139.4827,143.5059,147.0627,149.5583,150.5038,150.7825,150.9632,151.051,151.1767,151.2465,151.4189,151.583,151.7592,151.9762,152.1987,152.4872,152.7852,153.1019,153.4478,152.7022,151.9262,151.1773,150.4564,149.7663,149.136,148.5407,147.9488,147.484,147.0167
8 CCGT + CCS,0.0,0.0,0.0,171.8879,171.8879,268.9638,223.8346,218.872,213.5031,210.9953,210.0023,208.4994,207.4247,206.7118,206.6257,207.3474,208.9866,211.7202,215.6839,219.5975,223.1005,227.172,233.0049,244.767,263.1282,278.0458,281.29,281.6976,281.5294,280.8998,280.2884,279.5381,279.0782,278.8325,278.3328,277.9413,277.4142,277.3548,277.0096,276.6095,276.4568,275.8256,274.8503,273.7656,272.5569,271.284,270.0446,268.6808,266.9156,265.7663,264.1741
9 Solid Biomass,0.0,0.0,0.0,187.5623,189.3609,190.7537,189.9353,189.9516,189.5304,187.6935,186.6699,186.182,186.1018,186.0895,186.2387,186.6042,187.3506,188.5265,190.1216,191.9448,194.3502,197.5597,201.9546,207.054,212.4566,216.1689,217.2563,217.5587,217.6068,217.5496,217.4174,217.2346,217.0118,216.7903,216.5574,216.3108,216.0557,215.7785,215.505,215.2358,214.9818,214.7095,214.4639,214.2116,213.9511,213.6948,213.4223,213.1551,212.8765,212.5851,212.3007
10 S Biomass CCS,0.0,0.0,0.0,202.8827,202.8827,237.4827,234.9837,235.0458,234.2355,220.1956,216.3137,214.819,213.427,212.18,211.3414,210.8857,210.6993,210.641,210.3054,210.5169,210.8943,212.1669,214.8819,219.4456,230.2877,243.4775,244.3633,243.6746,242.6258,241.4531,240.2087,238.9069,237.573,236.2385,234.9044,233.5087,232.0979,230.7022,229.259,227.792,226.3098,226.8112,227.3221,227.8112,228.2876,228.7548,229.2024,229.636,230.0161,230.4025,230.7238
11 BIGCC,0.0,0.0,0.0,250.8475,250.8475,337.5682,307.3309,324.5085,311.2435,306.4358,309.3729,308.5353,307.8142,307.7813,309.3644,313.4654,321.8464,336.9673,362.1444,380.7163,388.0854,377.5067,359.7351,368.6535,397.3163,423.8211,427.45,427.4604,426.6357,425.4944,424.6157,423.3854,422.8403,423.4294,423.1492,422.9463,422.2791,422.9921,422.7086,422.1393,422.4335,420.7796,417.5714,413.6727,409.0403,404.0787,399.1404,393.7355,387.3534,382.3633,377.0703
12 BIGCC + CCS,0.0,0.0,0.0,275.286,275.286,358.9967,331.0118,359.3673,346.0833,334.0881,335.0033,333.2359,331.6673,330.8323,332.0154,336.2402,345.8596,364.1341,394.5744,411.6579,408.3718,389.2788,371.3354,378.3392,410.1635,446.1148,449.6127,447.346,443.7836,439.8649,436.3601,432.3032,428.2683,426.0428,422.0077,417.8708,412.8731,410.3447,405.3268,400.086,396.4317,395.3272,393.5656,391.6022,389.4311,386.9953,384.5562,381.9089,377.5592,375.039,371.105
13 Biogas,0.0,0.0,0.0,211.3314,219.5985,223.0471,212.2339,207.6823,207.5423,203.8837,200.5473,197.846,196.043,194.876,194.5994,195.2629,196.9596,199.722,203.6234,208.0937,213.104,218.4206,224.6293,232.207,243.3326,253.3858,257.058,257.4854,256.9779,255.9821,254.8225,253.4855,252.1407,250.7846,249.3164,247.8548,246.3132,244.874,243.3052,241.7012,240.0459,238.808,237.4195,235.959,234.4049,232.7974,231.1961,229.5692,227.8645,226.3349,224.7805
14 Biogas + CCS,0.0,0.0,0.0,260.3962,260.3962,260.3962,260.3962,260.3962,260.3962,55309.7656,54810.4648,54504.3164,54204.1016,53903.4766,53621.6875,53344.6914,53074.7344,52810.625,52553.1641,52299.9219,52049.8867,51823.4766,51603.6172,51387.2461,51173.2188,50962.4805,50760.4297,50560.7695,50362.3008,50165.4141,49970.7617,49776.5391,49585.6758,49398.5586,49214.8164,49035.6875,48858.4961,48684.4688,48513.7188,48346.2188,48181.4219,48025.3242,47873.3672,47725.0586,47579.6367,47437.1992,47298.3711,47161.9141,47027.7148,46894.8711,46763.1719
15 Tidal,0.0,0.0,0.0,428.9084,428.9084,428.9084,428.9084,428.9084,428.9084,41810.0078,41750.25,41729.3008,41707.793,41681.832,41655.6484,41629.6055,41602.5234,41576.1914,41550.1641,41524.1328,41497.7969,41474.332,41450.6953,41426.707,41402.2539,41377.4492,41353.9961,41330.1758,41305.8477,41281.0352,41255.6641,41230.2383,41204.6445,41178.7305,41152.625,41126.4648,41100.0898,41073.8047,41047.8086,41022.125,40996.6641,40972.1758,40947.832,40923.6992,40899.5781,40875.4531,40851.2188,40826.8086,40802.3594,40777.5469,40752.5703
