,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
Nuclear,0.0,0.0,0.0,93.6023,93.6023,93.6023,93.6023,93.6023,93.6023,93.6023,93.6023,93.6023,93.6023,93.6023,93.5793,93.5268,93.4494,93.3693,93.2889,93.1986,93.0984,92.992,92.8992,92.801,92.701,92.5989,92.4965,92.4028,92.3071,92.2116,92.1167,92.0232,91.9296,91.8382,91.7485,91.6595,91.5734,91.4917,91.4132,91.3371,91.2648,91.1946,91.1254,91.0577,90.9934,90.9321,90.8722,90.8148,90.7575,90.6999,90.6422,90.5882,90.5381,90.4893,90.4419,90.3957,90.3517,90.3084,90.267,90.2262,90.186
Oil,0.0,0.0,0.0,107.6674,108.344,110.4088,107.9797,107.4351,116.4072,124.8816,117.5487,142.9622,168.499,176.2063,150.8569,150.8197,150.6097,150.4599,150.3609,150.3321,150.317,151.4291,152.3271,153.0694,153.7905,154.4861,155.0654,155.5995,156.0721,156.4646,156.83,158.0714,159.1942,160.2329,161.2127,162.0803,162.8045,163.5099,164.1755,164.7107,165.2744,165.5567,165.8741,166.1609,166.5138,166.87,167.2647,167.6612,168.1445,168.5544,169.0766,169.5595,170.0755,170.609,171.1476,171.6847,172.266,172.8313,173.4271,174.0276,174.6327
Coal,0.0,0.0,0.0,74.6959,75.3797,77.4669,75.0115,76.0483,84.4899,92.3395,86.3724,110.7295,135.8032,142.6088,116.4824,115.893,115.2702,114.736,114.2564,113.84,113.423,114.2667,114.8172,115.2973,115.7228,116.0955,116.4174,116.6925,116.9213,117.0652,117.2094,118.2458,119.1683,120.0116,120.8046,121.496,122.1093,122.6986,123.1835,123.6162,123.993,124.0861,124.1974,124.2602,124.3687,124.4568,124.5579,124.637,124.7254,124.8156,124.907,124.9808,125.0775,125.1773,125.2683,125.3443,125.4524,125.5329,125.6315,125.7216,125.8026
Coal + CCS,0.0,0.0,0.0,98.5229,98.5913,98.8,98.5545,98.6373,99.4889,100.2761,99.6798,102.15,104.6713,105.3513,102.6801,102.5458,102.394,102.2429,102.0886,101.927,101.7522,101.69,101.6069,101.5058,101.393,101.2712,101.1394,100.9957,100.8472,100.6901,100.527,100.4398,100.3276,100.2113,100.0937,99.9574,99.8027,99.6493,99.476,99.2908,99.0992,98.8777,98.6451,98.4047,98.1687,97.9258,97.6795,97.4257,97.1695,96.9073,96.6395,96.3663,96.094,95.8169,95.534,95.2473,94.9616,94.6706,94.3818,94.0923,93.8015
Waste,0.0,0.0,0.0,118.4913,118.4913,118.4913,118.4913,118.4913,118.4913,118.4913,118.4913,118.4913,118.4913,118.4913,118.4692,118.3924,118.2752,118.165,118.0595,117.9469,117.8268,117.7062,117.6092,117.5108,117.4139,117.319,117.2274,117.1469,117.0668,116.9891,116.9141,116.8421,116.77,116.7014,116.635,116.5687,116.5042,116.441,116.3788,116.318,116.2576,116.1971,116.1386,116.0785,116.0189,115.96,115.9011,115.8434,115.7848,115.7241,115.6607,115.5978,115.5359,115.4727,115.4089,115.3452,115.2823,115.2196,115.1589,115.0996,115.0407
Waste + CCS,0.0,0.0,0.0,244.4772,244.4772,244.4772,244.4772,244.4772,244.4772,244.4772,244.4772,244.4772,244.4772,244.4772,244.4772,244.4772,244.4772,244.4772,244.4772,244.4772,244.4772,244.4772,244.4772,244.4772,244.4772,244.4772,244.4772,244.4772,244.4772,244.4772,244.4772,244.4772,244.4772,244.4772,244.4772,244.4772,244.4772,244.4772,244.4772,244.4772,244.4772,244.4772,244.4772,244.4772,244.4772,244.4772,244.4772,244.4772,244.4772,244.4772,244.4772,244.4772,244.4772,244.4772,244.4772,244.4772,244.4772,244.4772,244.4772,244.4772,244.4772
CCGT,0.0,0.0,0.0,75.1782,75.5111,76.5272,75.3319,77.0722,81.489,85.4271,82.5008,94.5576,106.8985,110.345,97.705,97.5436,97.3674,97.246,97.1567,97.1049,97.0606,97.6122,98.0232,98.403,98.7624,99.0999,99.4016,99.6804,99.9381,100.1592,100.3853,101.0478,101.6598,102.2365,102.7938,103.3067,103.7811,104.2456,104.6612,105.0552,105.4261,105.6652,105.9159,106.1419,106.4153,106.6385,106.882,107.1469,107.3755,107.6501,107.8864,108.1581,108.4262,108.6968,108.9676,109.2374,109.5289,109.8156,110.1205,110.4292,110.744
CCGT + CCS,0.0,0.0,0.0,180.9885,181.0217,181.1234,181.0038,182.5418,183.3292,183.8538,183.5379,184.9827,186.3732,186.8659,185.5945,185.6396,185.6538,185.6725,185.6969,185.7188,185.7342,185.7749,185.826,185.864,185.8985,185.929,185.9409,185.9507,185.9608,185.973,185.9914,186.0485,186.1026,186.1603,186.2322,186.3027,186.3637,186.4269,186.4867,186.5503,186.6185,186.6822,186.7575,186.8289,186.9332,186.9897,187.0673,187.1929,187.28,187.4277,187.5287,187.6808,187.8139,187.9476,188.085,188.2276,188.3774,188.5344,188.7004,188.8739,189.0575
OCGT,0.0,0.0,0.0,131.5322,131.8652,132.8813,131.6859,133.7732,138.2779,142.2493,139.3171,151.4347,163.8154,167.2995,154.7035,154.5983,154.4849,154.4311,154.4111,154.432,154.4643,155.0877,155.5671,156.017,156.4485,156.8592,157.2309,157.5775,157.9039,158.1954,158.4941,159.2301,159.9179,160.5717,161.2081,161.802,162.3572,162.9028,163.3993,163.8746,164.327,164.648,164.9795,165.2849,165.6433,165.9393,166.2581,166.606,166.9053,167.2626,167.5698,167.9236,168.2689,168.6166,168.9653,169.3144,169.6864,170.056,170.446,170.8417,171.2464
OCGT + CCS,0.0,0.0,0.0,200.4918,200.5252,200.6267,200.5072,202.3061,203.1595,203.7092,203.3887,204.8793,206.2997,206.8206,205.6879,205.8587,206.0362,206.2359,206.4468,206.6701,206.9054,207.1748,207.4299,207.6861,207.9488,208.2142,208.4605,208.7025,208.9444,209.1889,209.4407,209.739,210.0393,210.3406,210.6463,210.9542,211.2574,211.5614,211.863,212.1665,212.4728,212.7729,213.0755,213.3733,213.708,213.9836,214.2783,214.6161,214.895,215.237,215.5229,215.8693,216.1952,216.5223,216.855,217.1954,217.5459,217.9071,218.2822,218.668,219.0682
