,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1 Nuclear,0.0,0.0,0.0,84.0926,84.0926,84.0926,84.0926,84.0926,84.0926,54161.8398,53866.4297,53703.4492,53572.0703,53432.832,53293.5664,53153.2852,53013.1406,52872.5078,52731.0273,52587.9844,52443.0156,52305.918,52168.0742,52028.8086,51887.6016,51744.4609,51603.7773,51460.9453,51315.9102,51168.4219,51018.5977,50868.8672,50722.7227,50580.1172,50436.0039,50301.2773,50170.6289,50043.9766,49921.9766,49805.8125,49696.8125,49596.0234,49503.4531,49420.1836,49345.7969,49279.6172,49221.4727,49170.0,49125.4492,49082.8984,49040.4844
2 Oil,0.0,0.0,0.0,276.471,276.6661,277.0366,277.8809,278.2027,278.2336,279.1291,278.3003,280.2392,281.7789,283.3708,284.6323,285.8928,286.8275,287.849,288.7396,289.6586,290.577,291.3702,292.2265,292.9761,293.8052,294.5285,295.1813,295.8748,296.5008,297.2267,297.7341,298.4217,298.9166,299.6703,300.1096,300.7755,301.2871,301.8724,302.4928,303.1261,303.809,304.5943,305.6321,306.9919,305.8168,303.4883,302.6217,302.4051,302.4998,302.6064,302.8554
3 Coal,0.0,0.0,0.0,81.1134,81.1134,81.1134,81.1134,81.1404,81.1483,32363.75,32296.1172,32242.7051,32204.1426,32162.0996,32121.582,32081.7148,32045.5918,32009.8867,31974.7344,31939.7715,31904.7793,31873.5664,31843.0684,31812.8262,31782.7832,31752.8242,31725.4258,31698.2266,31671.2148,31644.2402,31617.4219,31590.7949,31564.375,31538.0254,31511.8008,31486.1055,31460.5371,31434.8691,31409.2891,31383.666,31357.9629,31332.1289,31306.1348,31279.752,31252.7637,31225.2285,31197.1445,31168.4512,31139.1816,31109.0,31078.1875
4 Coal + CCS,0.0,0.0,0.0,139.1357,139.1357,139.1357,139.1357,139.1664,139.1754,66476.5547,65454.0039,64750.4648,64286.3398,63817.8281,63396.7852,63007.8047,62673.5078,62358.8477,62062.5781,61779.8789,61507.8281,61273.3125,61051.0664,60836.9375,60629.8789,60428.7852,60249.2188,60074.7656,59905.1562,59739.1602,59577.2344,59419.5586,59265.8984,59115.2539,58967.8125,58825.6562,58686.3945,58548.5547,58413.1445,58279.3828,58147.0117,58015.6719,57885.207,57754.4492,57622.3555,57489.2422,57355.2695,57220.0391,57083.8359,56945.0234,56805.0625
5 IGCC,0.0,0.0,0.0,254.7988,254.7988,254.7988,254.7988,254.8259,254.8338,53927.7383,53660.3984,53495.4102,53357.6172,53226.7148,53104.2109,52988.6406,52874.1172,52764.668,52659.3867,52557.8398,52459.2695,52370.1719,52284.4531,52200.9023,52119.2695,52039.2422,51963.4609,51889.4609,51816.7266,51745.3828,51675.6445,51607.25,51540.5781,51476.3125,51413.3164,51351.5352,51290.9688,51231.4023,51172.7461,51114.9141,51057.9102,51001.7344,50945.9727,50890.668,50835.7031,50781.0859,50726.7305,50672.4961,50618.543,50564.5508,50510.4922
6 IGCC + CCS,0.0,0.0,0.0,502.9573,502.9573,502.9573,502.9573,502.988,502.9969,112738.0547,112171.9844,111782.7266,111497.1562,111196.9062,110900.9375,110605.4531,110321.7969,110037.7734,109754.3828,109469.4453,109182.625,108923.2969,108668.1172,108413.8906,108160.6641,107909.4609,107672.9375,107438.2969,107205.4453,106973.7812,106743.9141,106516.1406,106292.4922,106072.6641,105855.6641,105643.5781,105433.8203,105225.6953,105019.9297,104818.1094,104624.1875,104438.7266,104258.3594,104082.6406,103908.6328,103735.9141,103564.5234,103393.9453,103224.4844,103054.4531,102883.9141
7 CCGT,0.0,0.0,0.0,92.5937,93.1696,92.1939,92.1126,93.6892,94.3016,93.8941,93.6301,93.4801,93.3645,93.2734,93.2238,93.2153,93.1903,93.1912,93.1846,93.2154,93.2509,93.2633,93.293,93.3551,93.3954,93.4761,93.5245,93.5923,93.6835,93.7871,93.9244,94.0481,94.2304,94.3981,94.6219,94.8518,95.0999,95.3684,95.6619,95.986,96.3438,96.7298,97.1415,97.5699,98.0149,98.9716,99.4581,99.9392,100.4056,100.8579,101.2947
8 CCGT + CCS,0.0,0.0,0.0,150.7297,150.7297,172.1191,169.2418,169.461,169.0516,168.2585,167.5157,167.261,167.0699,166.9324,166.8162,166.6486,166.4047,166.3153,166.1355,166.0713,166.0005,165.8542,165.8921,165.8896,165.948,165.9828,166.0526,166.1216,166.2337,166.3911,166.4789,166.7086,166.8012,167.0815,167.2206,167.5236,167.7021,167.9454,168.2032,168.4537,168.6983,168.9492,169.235,169.5493,169.7823,169.5582,168.8233,168.4476,168.2488,168.132,168.0739
9 Solid Biomass,0.0,0.0,0.0,196.3524,196.424,196.4643,196.3434,196.4429,196.5244,195.114,193.9852,193.2326,192.7077,192.1873,191.7098,191.2369,190.828,190.4522,190.086,189.7359,189.4015,189.1163,188.8418,188.59,188.3861,188.1206,187.9727,187.7815,187.6258,187.5338,187.3435,187.3298,187.1737,187.1569,187.0295,187.0126,186.9,186.8651,186.8174,186.7536,186.6753,186.5872,186.5047,186.4016,186.2395,186.0706,185.8376,185.6265,185.43,185.2448,185.055
10 S Biomass CCS,0.0,0.0,0.0,206.7093,206.7093,239.809,239.7247,239.7604,239.7465,238.2488,236.6435,235.7241,235.0072,234.3035,233.6813,233.0311,232.4136,231.8127,231.2615,230.6811,230.1104,229.6378,229.1435,228.6634,228.2298,227.7574,227.3351,226.9048,226.5137,226.1157,225.6941,225.3307,224.9304,224.5701,224.1965,223.8797,223.5297,223.2104,222.9119,222.6155,222.3111,222.0188,221.746,221.4582,221.1951,220.8666,220.5027,220.1588,219.8495,219.5496,219.2387
11 BIGCC,0.0,0.0,0.0,270.361,270.361,237.5801,237.2096,236.8194,236.7235,236.2601,235.6183,235.2026,234.8316,234.4539,234.1844,233.7831,233.3844,233.0026,232.6801,232.2827,231.8807,231.5437,231.1863,230.8208,230.4976,230.1402,229.8196,229.5001,229.2232,228.9549,228.6755,228.487,228.2483,228.145,227.9789,227.9592,227.9051,227.9721,228.1142,228.3523,228.8006,229.5643,231.0284,234.6836,240.7342,232.8561,228.3781,226.5698,225.6298,224.9651,224.3283
12 BIGCC + CCS,0.0,0.0,0.0,303.329,303.329,264.6691,264.2559,263.8217,263.7303,262.7023,261.3023,260.4168,259.6027,258.7874,258.1207,257.3066,256.4912,255.7038,254.9996,254.2115,253.4263,252.749,252.0472,251.3442,250.6931,250.0088,249.3766,248.7512,248.174,247.6098,247.0424,246.5702,246.0609,245.6929,245.2751,245.0133,244.7265,244.5717,244.5012,244.5358,244.7976,245.4138,246.8137,250.7626,257.6273,248.4839,243.2903,241.0909,239.8579,238.9311,238.0388
13 Biogas,0.0,0.0,0.0,172.0467,172.0467,172.0467,172.0467,172.0467,172.0467,40535.7891,40316.1758,40188.6484,40038.3906,39888.4414,39750.3125,39613.457,39479.6055,39348.6328,39221.1836,39095.793,38971.8086,38858.7227,38749.1875,38641.168,38533.8711,38427.8125,38324.457,38221.832,38119.0,38016.3633,37914.4062,37811.4531,37709.5195,37608.9414,37509.8125,37412.4805,37315.6055,37220.2969,37126.6328,37034.6602,36944.0859,36858.7617,36776.125,36695.7578,36617.3594,36540.9648,36467.0078,36394.7266,36323.8984,36254.207,36185.3125
14 Biogas + CCS,0.0,0.0,0.0,226.6953,226.6953,226.6953,226.6953,226.6953,226.6953,55315.3828,54817.1758,54511.3359,54211.3906,53911.0664,53629.543,53352.8555,53083.2305,52819.4414,52562.3164,52309.4258,52059.7656,51833.6211,51614.0117,51397.875,51184.0977,50973.5938,50771.793,50572.3828,50374.1875,50177.5742,49983.1992,49789.2617,49598.6992,49411.8633,49228.4336,49049.5977,48872.7383,48699.0195,48528.6133,48361.4453,48197.0,48040.5156,47888.1953,47739.5156,47593.7344,47450.9492,47311.7852,47174.9922,47040.457,46907.3047,46775.2891
