,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
Nuclear,0.0,0.0,0.0,93.6023,93.6023,93.6023,93.6023,93.6023,93.6023,93.6023,93.6023,93.6023,93.6023,93.6023,93.5793,93.5268,93.4494,93.3693,93.2889,93.1986,93.0984,92.992,92.8992,92.801,92.701,92.5989,92.4965,92.4028,92.3071,92.2116,92.1167,92.0232,91.9296,91.8382,91.7485,91.6595,91.5734,91.4917,91.4132,91.3371,91.2648,91.1946,91.1254,91.0577,90.9934,90.9321,90.8722,90.8148,90.7575,90.6999,90.6422,90.5882,90.5381,90.4893,90.4419,90.3957,90.3517,90.3084,90.267,90.2262,90.186
Oil,0.0,0.0,0.0,305.9991,306.5311,308.6224,306.1,305.5091,315.2501,325.0019,317.3223,344.6686,366.0152,373.6431,347.4594,346.6461,345.807,345.2754,345.0283,344.9366,344.8319,345.8609,346.744,347.4614,348.1613,348.8407,349.4016,349.9206,350.3805,350.7652,351.124,352.3315,353.4359,354.4614,355.4306,356.2946,357.0092,357.7018,358.3601,358.8881,359.4468,359.7374,360.0609,360.3547,360.7115,361.071,361.4672,361.8649,362.3479,362.756,363.2745,363.7532,364.2627,364.7888,365.3192,365.8467,366.4163,366.9709,367.5537,368.1406,368.7319
Coal,0.0,0.0,0.0,99.7118,100.2497,102.3636,99.8138,100.8038,110.0227,119.1636,112.846,139.1568,159.9949,166.7203,139.7504,138.3775,137.1161,136.1976,135.5726,135.0981,134.5968,135.364,135.9058,136.3685,136.7809,137.146,137.4585,137.7259,137.9489,138.0911,138.2338,139.2405,140.1482,140.9816,141.7679,142.4591,143.0659,143.6445,144.1235,144.55,144.9222,145.0239,145.141,145.2103,145.322,145.4126,145.514,145.5931,145.6793,145.7659,145.8514,145.9191,146.0074,146.0976,146.178,146.2428,146.337,146.4039,146.487,146.5608,146.6252
Coal + CCS,0.0,0.0,0.0,110.8963,110.9501,111.1615,110.9065,110.9847,111.914,112.8303,112.1989,114.8645,116.9623,117.6343,114.8668,114.6412,114.4089,114.2016,114.0138,113.8255,113.6192,113.5246,113.4173,113.2892,113.1489,112.9993,112.8389,112.6653,112.487,112.3006,112.107,111.9842,111.8354,111.6835,111.5314,111.3597,111.1671,110.9761,110.7639,110.5387,110.3069,110.0462,109.7719,109.4892,109.2106,108.9239,108.6327,108.3329,108.0302,107.7202,107.4032,107.0802,106.7575,106.4288,106.0935,105.7536,105.4141,105.0687,104.7254,104.3811,104.0352
Waste,0.0,0.0,0.0,126.0252,126.0252,126.0252,126.0252,126.0252,126.0252,126.0252,126.0252,126.0252,126.0252,126.0252,125.9992,125.9087,125.7706,125.6406,125.5164,125.3836,125.2422,125.0999,124.9857,124.8697,124.7555,124.6437,124.5357,124.4409,124.3465,124.2549,124.1665,124.0816,123.9967,123.9158,123.8377,123.7595,123.6834,123.6089,123.5357,123.464,123.3928,123.3216,123.2526,123.1818,123.1115,123.0421,122.9728,122.9048,122.8357,122.7641,122.6894,122.6153,122.5423,122.4679,122.3927,122.3177,122.2435,122.1695,122.0981,122.0282,121.9588
Waste + CCS,0.0,0.0,0.0,221.9099,221.9099,221.9099,221.9099,221.9099,221.9099,221.9099,221.9099,221.9099,221.9099,221.9099,221.9099,221.9099,221.9099,221.9099,221.9099,221.9099,221.9099,221.9099,221.9099,221.9099,221.9099,221.9099,221.9099,221.9099,221.9099,221.9099,221.9099,221.9099,221.9099,221.9099,221.9099,221.9099,221.9099,221.9099,221.9099,221.9099,221.9099,221.9099,221.9099,221.9099,221.9099,221.9099,221.9099,221.9099,221.9099,221.9099,221.9099,221.9099,221.9099,221.9099,221.9099,221.9099,221.9099,221.9099,221.9099,221.9099,221.9099
CCGT,0.0,0.0,0.0,195.9123,196.1741,197.2033,195.9619,197.6795,202.4747,207.0415,203.9446,216.9525,227.2314,230.6388,217.5137,216.8939,216.3098,215.898,215.6336,215.4432,215.2402,215.6336,215.9349,216.1977,216.4408,216.6649,216.8529,217.0258,217.1774,217.2926,217.4103,217.9498,218.4419,218.8999,219.3383,219.7333,220.0867,220.429,220.7277,221.0074,221.2682,221.4097,221.5675,221.7056,221.8951,222.0379,222.2056,222.3992,222.5576,222.7653,222.9355,223.1463,223.3551,223.5675,223.7812,223.9959,224.2325,224.4652,224.717,224.9738,225.2368
CCGT + CCS,0.0,0.0,0.0,112.1038,112.1299,112.2329,112.1087,113.6445,114.4696,115.0571,114.7241,116.2641,117.4483,117.9371,116.6959,116.7609,116.8241,116.9134,117.0224,117.1414,117.2627,117.4175,117.571,117.7193,117.8693,118.0193,118.1518,118.2812,118.4105,118.5419,118.6795,118.8589,119.0384,119.2199,119.4092,119.599,119.782,119.966,120.1471,120.3305,120.517,120.6979,120.8847,121.0672,121.2817,121.4469,121.6302,121.8546,122.0334,122.2686,122.4564,122.6955,122.9165,123.1383,123.3643,123.5964,123.8364,124.0847,124.3437,124.6111,124.89
OCGT,0.0,0.0,0.0,114.342,114.6039,115.633,114.3916,116.4561,121.3393,125.9393,122.8365,135.9052,146.2238,149.6689,136.6642,136.1792,135.7592,135.5226,135.4351,135.4315,135.4269,136.0177,136.4965,136.9419,137.3712,137.7827,138.1544,138.5018,138.8303,139.1262,139.4298,140.1573,140.8445,141.5004,142.1409,142.7425,143.3025,143.8513,144.3529,144.8332,145.2913,145.6244,145.9669,146.2834,146.6514,146.9566,147.2837,147.6398,147.9464,148.3104,148.6235,148.9831,149.3332,149.6853,150.0379,150.3907,150.7654,151.1378,151.5298,151.9274,152.334
OCGT + CCS,0.0,0.0,0.0,154.1434,154.1696,154.2725,154.1484,155.945,156.8363,157.4488,157.1113,158.697,159.9111,160.4282,159.2546,159.3874,159.5342,159.7156,159.9198,160.1407,160.3723,160.6385,160.8934,161.1493,161.4117,161.6772,161.9235,162.1655,162.4076,162.6526,162.9049,163.2023,163.5025,163.8041,164.1102,164.4189,164.7226,165.0268,165.329,165.633,165.9399,166.2412,166.5449,166.8437,167.1794,167.4559,167.7514,168.0901,168.3697,168.7123,168.9988,169.3459,169.6723,169.9998,170.3329,170.6737,171.0244,171.3859,171.7612,172.1472,172.5476
