,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1 Nuclear,0.0,0.0,0.0,86.2701,86.2701,86.2701,86.2701,86.2701,86.2701,85.7299,84.7535,84.2264,83.8203,83.3541,82.8881,82.4235,81.9793,81.5487,81.1411,80.7617,80.415,80.1207,79.8466,79.5975,79.367,79.1527,78.9619,78.7847,78.62,78.4616,78.3088,78.1642,78.0282,77.8939,77.7651,77.6419,77.5234,77.4091,77.2997,77.1928,77.0874,76.9863,76.8856,76.7876,76.6897,76.593,76.4986,76.404,76.3096,76.2176,76.1296
2 Oil,0.0,0.0,0.0,313.5361,313.5361,313.5361,313.5361,309.7351,309.9299,317.9444,318.8813,320.8394,322.129,323.4861,324.625,325.834,326.8444,327.9105,329.0039,330.1259,331.3136,332.2327,333.0368,333.8452,334.6669,335.5155,336.2676,337.1304,337.9206,338.8175,339.6183,340.528,341.3782,342.3318,343.1971,344.1145,345.0631,345.9946,346.9724,347.9478,348.9573,348.4936,347.9675,347.5504,347.067,346.6946,346.2543,345.9322,345.5937,345.2753,344.9817
3 Coal,0.0,0.0,0.0,94.2918,94.2918,94.2918,94.2918,94.3188,94.3266,104.1789,107.0012,107.7064,108.3395,108.9752,109.6019,110.3261,111.085,111.8823,112.7348,113.6159,114.5686,115.2348,115.7905,116.3547,116.9258,117.5257,118.1376,118.7712,119.4285,120.1022,120.7899,121.5078,122.2522,123.0182,123.7866,124.5851,125.4279,126.265,127.164,128.0611,128.993,127.88,126.791,125.7247,124.6775,123.6495,122.641,121.6533,120.6823,119.7355,118.8105
4 Coal + CCS,0.0,0.0,0.0,155.6913,155.6913,155.6913,155.6913,155.722,155.7307,154.9745,152.9185,151.3952,149.6523,148.0175,146.4964,145.0744,143.7635,142.5416,141.4117,140.3732,139.4259,138.5912,137.8069,137.0757,136.3988,135.7786,135.2308,134.7326,134.2765,133.8556,133.4642,133.1009,132.7662,132.4537,132.1601,131.8821,131.6245,131.3787,131.1504,130.9329,130.7278,130.3315,129.9444,129.5671,129.1982,128.8368,128.4823,128.1341,127.7892,127.4539,127.1253
5 IGCC,0.0,0.0,0.0,240.5943,240.5943,240.5943,240.5943,240.6214,240.6292,248.9969,249.8363,249.2224,248.2028,247.2905,246.4686,245.8231,245.3423,244.9857,244.779,244.7014,244.7912,244.7379,244.628,244.5981,244.6369,244.7579,244.9547,245.2124,245.5256,245.869,246.2441,246.6578,247.1113,247.5969,248.0952,248.6316,249.2198,249.8085,250.4654,251.1268,251.8276,250.4908,249.1819,247.9009,246.6429,245.4076,244.1961,243.008,241.8404,240.6994,239.5833
6 IGCC + CCS,0.0,0.0,0.0,444.6157,444.6157,444.6157,444.6157,444.6465,444.6553,441.9213,433.594,430.6929,424.9414,420.5882,416.5934,412.9272,409.5162,406.3007,403.2513,400.31,397.4903,395.0723,392.7759,390.6383,388.607,386.6721,384.8673,383.1612,381.5261,379.9654,378.4595,376.9576,375.5175,374.1206,372.7769,371.469,370.1907,368.9561,367.7657,366.6228,365.5282,364.3521,363.2267,362.1648,361.1393,360.1581,359.2191,358.3119,357.4354,356.5904,355.7733
7 CCGT,0.0,0.0,0.0,99.8608,99.8608,99.8608,99.8608,101.2762,101.521,106.2841,107.5069,107.8272,108.1328,108.4398,108.7479,109.1118,109.461,109.8454,110.2716,110.6965,111.187,111.5022,111.7637,112.0334,112.3135,112.6142,112.9174,113.2344,113.5704,113.9399,114.3201,114.7257,115.1585,115.6139,116.0787,116.5665,117.0925,117.6047,118.1516,118.6876,119.2723,118.8199,118.3817,117.9553,117.5404,117.1376,116.7462,116.3677,116.0014,115.6488,115.3094
8 CCGT + CCS,0.0,0.0,0.0,203.647,203.647,203.647,203.647,205.3635,205.6604,204.3374,202.1305,200.8174,199.4329,198.1251,196.9079,195.7647,194.6214,193.5537,192.5538,191.585,190.7014,189.8652,189.068,188.309,187.5941,186.9313,186.3254,185.7663,185.251,184.7999,184.3867,184.0164,183.6947,183.4151,183.1668,182.9472,182.7668,182.5865,182.4267,182.2657,182.1537,181.9469,181.7518,181.5671,181.392,181.2277,181.0724,180.9261,180.7888,180.6613,180.5427
9 Solid Biomass,0.0,0.0,0.0,188.7698,188.7698,188.7698,188.7698,188.7698,188.7698,187.5,185.6045,184.5573,183.5169,182.5067,181.561,180.6716,179.8549,179.0992,178.4093,177.7826,177.2225,176.7554,176.3331,175.9554,175.6143,175.3039,175.0291,174.7664,174.5184,174.2819,174.0525,173.8316,173.6217,173.4193,173.2253,173.0376,172.8548,172.6771,172.5044,172.337,172.1733,172.0179,171.8668,171.7207,171.5774,171.4373,171.301,171.1669,171.0353,170.9064,170.7807
10 S Biomass CCS,0.0,0.0,0.0,217.1287,217.1287,217.1287,217.1287,217.1287,217.1287,204.9186,198.3102,195.5217,192.3502,189.3215,186.4687,183.6568,180.959,178.3413,175.7832,173.3118,170.8799,168.9117,167.1449,165.4344,163.7745,162.146,160.5911,159.0647,157.5588,156.0774,154.6163,153.1537,151.6957,150.2411,148.8089,147.3656,145.8989,144.4561,142.9691,141.5007,140.011,140.5563,141.0903,141.6172,142.1377,142.6507,143.1562,143.6505,144.1346,144.606,145.0645
