,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1 Nuclear,0.0,0.0,0.0,86.2717,86.2717,86.2717,86.2717,86.159,86.1793,85.6485,84.7081,84.1813,83.7876,83.3451,82.9065,82.4712,82.0608,81.6661,81.297,80.9594,80.6558,80.4026,80.1693,79.9605,79.7702,79.5962,79.4428,79.3042,79.1791,79.0616,78.9515,78.8522,78.763,78.68,78.6052,78.5387,78.4801,78.4285,78.3855,78.3504,78.3184,78.2938,78.2737,78.2607,78.2525,78.2509,78.2599,78.2728,78.2934,78.3216,78.3606
2 Oil,0.0,0.0,0.0,535.2879,535.2879,535.2879,535.2879,531.4867,531.6814,539.2217,539.8212,541.7463,542.9072,544.2855,545.3414,546.4783,547.4099,548.4069,549.4249,550.4773,551.5857,552.418,553.1328,553.8532,554.5867,555.35,556.0232,556.8096,557.5258,558.3506,559.0835,559.929,560.7171,561.6085,562.4125,563.2654,564.1469,565.0089,565.9158,566.8198,567.7598,567.2275,566.6317,566.1452,565.5951,565.1587,564.6545,564.27,563.8706,563.4915,563.1384
3 Coal,0.0,0.0,0.0,113.3685,113.3685,113.3685,113.3685,113.3955,113.4034,122.6125,124.9833,125.6214,126.1307,126.8378,127.4088,128.1037,128.835,129.6281,130.4764,131.3665,132.3201,132.9712,133.5105,134.0574,134.6072,135.1886,135.7856,136.4052,137.0519,137.7172,138.3991,139.1131,139.8541,140.6142,141.3769,142.1651,142.9939,143.8136,144.6933,145.5702,146.4848,145.3566,144.2514,143.17,142.1121,141.0768,140.0617,139.0702,138.098,137.1505,136.227
4 Coal + CCS,0.0,0.0,0.0,195.9115,195.9115,195.9115,195.9115,195.9422,195.9509,194.6096,191.804,189.7937,187.4937,185.3546,183.3521,181.4787,179.7494,178.1378,176.6443,175.2698,174.0104,172.9047,171.8675,170.8975,169.9976,169.1703,168.4371,167.7677,167.1528,166.5829,166.0515,165.5557,165.0965,164.6652,164.2584,163.8708,163.5074,163.159,162.8312,162.5173,162.2186,161.7323,161.2572,160.7945,160.3421,159.8993,159.4651,159.0386,158.6171,158.2064,157.804
5 IGCC,0.0,0.0,0.0,548.0772,548.0772,548.0772,548.0772,548.1042,548.112,553.4655,550.6558,547.8073,544.1705,540.9609,537.8661,535.0991,532.6957,530.5737,528.7466,527.2133,525.984,524.8105,523.6592,522.6833,521.8557,521.192,520.7045,520.3352,520.0734,519.8658,519.7208,519.6299,519.5997,519.6141,519.6564,519.7442,519.8911,520.0444,520.2733,520.5144,520.8043,519.0693,517.3669,515.7018,514.0692,512.4681,510.8974,509.357,507.8452,506.3639,504.9145
6 IGCC + CCS,0.0,0.0,0.0,1186.7241,1186.7241,1186.7241,1186.7241,1186.755,1186.7642,1177.4412,1153.9447,1145.7891,1129.8353,1117.744,1106.6327,1096.4163,1086.8993,1077.9222,1069.3928,1061.156,1053.2373,1046.474,1040.0625,1034.0757,1028.377,1022.9362,1017.8515,1013.0327,1008.4054,1003.9785,999.7009,995.4297,991.3232,987.3314,983.4839,979.7319,976.0485,972.4865,969.0325,965.709,962.5112,959.4439,956.5122,953.7526,951.0873,948.5407,946.1077,943.7583,941.4952,939.3098,937.1968
7 CCGT,0.0,0.0,0.0,159.1194,159.1194,159.1194,159.1194,160.5349,160.7796,165.0011,165.6803,165.7929,165.9118,166.1299,166.2961,166.5408,166.7742,167.0611,167.3971,167.7458,168.1621,168.4049,168.5963,168.8006,169.0191,169.2634,169.5155,169.7826,170.0731,170.4004,170.7428,171.115,171.5166,171.9404,172.3737,172.8272,173.3172,173.7924,174.3017,174.8,175.3486,174.8617,174.3885,173.928,173.4812,173.0484,172.6276,172.221,171.8282,171.4495,171.0852
8 CCGT + CCS,0.0,0.0,0.0,413.2121,413.2121,413.2121,413.2121,414.9288,415.2256,411.087,405.0577,401.4517,397.6587,394.0838,390.7463,387.5966,384.5067,381.5895,378.8262,376.182,373.702,371.4409,369.2889,367.2351,365.2943,363.4801,361.8219,360.2782,358.8366,357.5137,356.2857,355.1526,354.1201,353.1733,352.2904,351.4651,350.7037,349.9657,349.2687,348.5887,347.9724,347.282,346.6163,345.9755,345.3541,344.7543,344.1747,343.6113,343.0651,342.5377,342.0277
9 Solid Biomass,0.0,0.0,0.0,218.4321,218.4321,218.4321,218.4321,218.4321,218.4321,216.7679,214.284,212.9115,211.5481,210.2243,208.9848,207.8193,206.7489,205.7587,204.8545,204.0333,203.2993,202.6871,202.1337,201.6387,201.1917,200.7849,200.4247,200.0805,199.7556,199.4456,199.145,198.8554,198.5804,198.3152,198.0609,197.815,197.5753,197.3425,197.1162,196.8968,196.6823,196.4786,196.2806,196.0892,195.9013,195.7177,195.5391,195.3634,195.1908,195.022,194.8572
10 S Biomass CCS,0.0,0.0,0.0,251.9028,251.9028,251.9028,251.9028,251.9028,251.9028,239.5964,232.3251,228.9816,225.2184,221.4413,218.0127,214.6386,211.4194,208.292,205.2568,202.3276,199.4763,197.1557,195.0629,193.0426,191.0909,189.1842,187.3714,185.5997,183.8573,182.1487,180.4673,178.7905,177.1265,175.4747,173.8517,172.2278,170.5889,168.9819,167.3371,165.7163,164.0742,164.472,164.8627,165.2496,165.6287,166.0,166.3666,166.7215,167.066,167.3995,167.7205
11 BIGCC,0.0,0.0,0.0,445.543,445.543,445.543,445.543,445.543,445.543,441.5786,435.4569,431.8884,427.2783,422.8665,418.709,414.7607,411.1253,407.7003,404.4927,401.5036,398.7232,396.3058,394.0658,391.9491,389.9526,388.0773,386.3713,384.7676,383.2568,381.8245,380.4572,379.1467,377.8976,376.6972,375.5442,374.4311,373.3535,372.3094,371.2966,370.3152,369.3568,368.4398,367.5458,366.6789,365.8319,365.0031,364.1949,363.4018,362.6249,361.8598,361.1076
12 BIGCC + CCS,0.0,0.0,0.0,519.7388,519.7388,519.7388,519.7388,519.7388,519.7388,503.5883,490.2103,483.1547,474.6222,466.2698,458.5256,451.0588,444.124,437.5166,431.247,425.3227,419.704,415.004,410.713,406.6206,402.7231,398.9988,395.5458,392.2399,389.0636,386.0023,383.0351,380.1297,377.2997,374.5299,371.8363,369.1812,366.5462,363.975,361.3962,358.8716,356.348,355.9044,355.4768,355.073,354.6805,354.2977,353.9297,353.5647,353.206,352.8465,352.4862
13 Biogas,0.0,0.0,0.0,571.0176,571.0176,571.0176,571.0176,571.0176,571.0176,561.0269,546.332,540.0292,532.309,526.2586,520.5044,515.2245,510.3038,505.76,501.4983,497.5114,493.7696,490.5591,487.5237,484.7266,482.0982,479.6371,477.3524,475.1604,473.0449,471.0026,469.0248,467.0831,465.2003,463.3604,461.5694,459.8144,458.0883,456.398,454.7374,453.1076,451.5023,449.968,448.4723,447.0175,445.5872,444.1892,442.8203,441.4756,440.1479,438.8481,437.5726
