,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1 Nuclear,0.0,0.0,0.0,86.2701,86.2701,86.2701,86.2701,86.2701,86.2701,85.7299,84.7535,84.2264,83.8203,83.3541,82.8881,82.4235,81.9793,81.5487,81.1411,80.7617,80.415,80.1207,79.8466,79.5975,79.367,79.1527,78.9619,78.7847,78.62,78.4616,78.3088,78.1642,78.0282,77.8939,77.7651,77.6419,77.5234,77.4091,77.2997,77.1928,77.0874,76.9863,76.8856,76.7876,76.6897,76.593,76.4986,76.404,76.3096,76.2176,76.1296
2 Oil,0.0,0.0,0.0,294.4653,294.4653,294.4653,294.4653,290.6641,290.8589,291.2564,289.7958,291.0118,291.7246,292.4837,293.0377,293.5961,293.9382,294.3148,294.6843,295.0684,295.4724,295.8301,296.1596,296.4867,296.8191,297.1595,297.399,297.7337,297.9804,298.3243,298.5629,298.8891,299.1366,299.4714,299.7173,299.9914,300.2658,300.5276,300.7898,301.0512,301.3208,301.6592,301.9167,302.2664,302.536,302.903,303.1869,303.5736,303.9294,304.2892,304.6582
3 Coal,0.0,0.0,0.0,81.7698,81.7698,81.7698,81.7698,81.7969,81.8046,81.566,81.2372,80.9839,80.8596,80.7125,80.5717,80.4397,80.317,80.2026,80.0966,79.9994,79.9118,79.8328,79.7577,79.6833,79.6056,79.5313,79.4633,79.3964,79.3325,79.272,79.2136,79.1567,79.1014,79.0462,78.9924,78.9373,78.8854,78.8338,78.783,78.7324,78.6822,78.6347,78.5866,78.5386,78.4918,78.4454,78.3987,78.3522,78.3031,78.257,78.2116
4 Coal + CCS,0.0,0.0,0.0,141.0493,141.0493,141.0493,141.0493,141.0799,141.0887,139.5075,137.3856,135.9364,134.3098,132.777,131.3472,129.9978,128.7453,127.5695,126.472,125.4544,124.5132,123.6989,122.9401,122.2287,121.565,120.9499,120.399,119.8907,119.4184,118.9763,118.5598,118.1656,117.7948,117.4421,117.1062,116.7811,116.4712,116.1721,115.8835,115.6047,115.3338,115.0756,114.8231,114.5774,114.3378,114.1032,113.873,113.6465,113.421,113.2025,112.9881
5 IGCC,0.0,0.0,0.0,219.2196,219.2196,219.2196,219.2196,219.2467,219.2544,217.6325,215.4551,213.9702,212.3123,210.7273,209.241,207.8369,206.5627,205.3768,204.2873,203.2996,202.4105,201.6631,200.9696,200.3424,199.7689,199.2485,198.7935,198.3758,197.9907,197.6217,197.2715,196.9306,196.6036,196.2865,195.9803,195.6799,195.3899,195.1061,194.8288,194.5576,194.2911,194.0339,193.7798,193.5307,193.2863,193.0457,192.8086,192.5741,192.3407,192.1124,191.8877
6 IGCC + CCS,0.0,0.0,0.0,423.0509,423.0509,423.0509,423.0509,423.0817,423.0905,419.5297,411.3124,408.4615,402.9217,398.7084,394.8369,391.2694,387.942,384.7977,381.8067,378.9168,376.1367,373.7666,371.523,369.4299,367.4369,365.5331,363.7525,362.0637,360.4407,358.8868,357.3844,355.883,354.4377,353.0316,351.6761,350.3513,349.0511,347.7932,346.571,345.3945,344.2608,343.2441,342.2732,341.3606,340.4808,339.6416,338.8405,338.0679,337.3221,336.6044,335.9114
7 CCGT,0.0,0.0,0.0,96.7957,96.7957,96.7957,96.7957,98.2111,98.4559,98.1804,97.8969,97.7804,97.7369,97.6824,97.6337,97.5934,97.5247,97.4744,97.4404,97.393,97.3782,97.3345,97.2941,97.2566,97.2228,97.1957,97.1674,97.1423,97.1249,97.1338,97.1466,97.1696,97.2064,97.2548,97.3122,97.3767,97.4587,97.5297,97.6045,97.6693,97.7654,97.8585,97.9534,98.0487,98.1464,98.2466,98.3481,98.4522,98.5588,98.6682,98.78
8 CCGT + CCS,0.0,0.0,0.0,169.6687,169.6687,169.6687,169.6687,171.3853,171.6821,170.2967,168.5413,167.5475,166.5109,165.5286,164.613,163.7489,162.8737,162.0573,161.2924,160.5437,159.8642,159.2193,158.608,158.0247,157.474,156.9621,156.4908,156.0544,155.6515,155.3035,154.9834,154.6967,154.4486,154.2347,154.0469,153.8814,153.749,153.6133,153.4916,153.366,153.2852,153.2098,153.1427,153.0825,153.0296,152.9848,152.9462,152.9144,152.8892,152.8714,152.8601
9 Solid Biomass,0.0,0.0,0.0,175.1362,175.1362,175.1362,175.1362,175.1362,175.1362,174.0475,172.4226,171.5248,170.6329,169.7669,168.9561,168.1936,167.4935,166.8457,166.2542,165.717,165.2369,164.8364,164.4743,164.1505,163.8582,163.592,163.3564,163.1313,162.9187,162.7159,162.5193,162.3299,162.1499,161.9765,161.8101,161.6492,161.4925,161.3401,161.1921,161.0485,160.9083,160.775,160.6455,160.5202,160.3973,160.2773,160.1604,160.0455,159.9326,159.8221,159.7144
10 S Biomass CCS,0.0,0.0,0.0,206.5821,206.5821,206.5821,206.5821,206.5821,206.5821,204.5889,201.5383,199.944,197.8235,195.8531,194.0232,192.3047,190.7072,189.2047,187.7942,186.4763,185.2457,184.1669,183.166,182.2222,181.3319,180.4909,179.719,178.9899,178.2964,177.6354,177.0022,176.3924,175.8081,175.245,174.7026,174.1777,173.6676,173.173,172.6926,172.2267,171.7718,171.3375,170.9145,170.5047,170.1047,169.7144,169.3346,168.9628,168.5986,168.2414,167.8913
