,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1 Nuclear,0.0,0.0,0.0,84.0926,84.0926,84.0926,84.0926,84.0926,84.0926,54161.8398,53866.4297,53703.4492,53572.0703,53432.832,53293.5664,53153.2852,53013.1406,52872.5078,52731.0273,52587.9844,52443.0156,52305.918,52168.0742,52028.8086,51887.6016,51744.4609,51603.7773,51460.9453,51315.9102,51168.4219,51018.5977,50868.8672,50722.7227,50580.1172,50436.0039,50301.2773,50170.6289,50043.9766,49921.9766,49805.8125,49696.8125,49596.0234,49503.4531,49420.1836,49345.7969,49279.6172,49221.4727,49170.0,49125.4492,49082.8984,49040.4844
2 Oil,0.0,0.0,0.0,313.9388,297.5499,298.6394,292.5216,287.2457,289.9573,290.0818,288.2404,289.0168,289.2047,289.653,290.0012,290.6734,291.2066,291.9636,292.802,293.7947,294.9738,296.0361,296.9171,297.7446,298.6463,299.4573,300.2194,301.0901,301.815,302.781,303.5013,304.4454,305.2807,306.34,307.1504,308.0096,308.9669,309.8572,310.764,311.6397,312.5698,313.2629,313.8552,314.5053,315.214,315.8999,316.553,317.0774,317.7848,318.4859,319.2073
3 Coal,0.0,0.0,0.0,130.0889,129.5177,129.0487,128.4861,128.1713,127.9181,127.7309,127.5602,127.4193,127.3014,127.1952,127.1074,127.0402,126.9977,126.9788,126.9859,127.0215,127.0891,127.1866,127.309,127.4576,127.6409,127.8503,128.0981,128.3654,128.6599,128.9776,129.2976,129.5993,129.8728,130.1446,130.398,130.6504,130.9018,131.1383,131.3682,131.5857,131.7919,131.9867,132.1645,132.325,132.4681,132.5967,132.7187,132.8335,132.9381,133.0376,133.1301
4 Coal + CCS,0.0,0.0,0.0,202.3633,202.3633,209.6403,206.6568,205.6008,204.0408,201.4056,199.3573,197.9158,196.7702,195.6678,194.6871,193.8122,193.0973,192.4937,191.988,191.5659,191.2656,191.0631,190.8471,190.6489,190.5433,190.4287,190.3908,190.3853,190.4064,190.4416,190.5065,190.5665,190.6114,190.6718,190.6943,190.7389,190.7511,190.7563,190.769,190.7357,190.7147,190.665,190.5878,190.5075,190.4283,190.3311,190.2242,190.1157,190.0029,189.8855,189.7428
5 IGCC,0.0,0.0,0.0,299.0625,299.0625,257.2766,248.3084,245.7281,249.71,248.6859,247.126,245.5828,243.9075,242.6234,241.6132,241.0186,240.6857,240.7595,241.0064,241.5385,242.3874,243.0494,243.301,243.3253,243.4014,243.1829,243.0192,242.7276,242.2771,241.9377,241.3828,240.9721,240.5075,240.1846,239.6689,239.1678,238.7437,238.359,238.0211,237.6324,237.2757,236.9369,236.5913,236.2425,235.9199,235.6042,235.2652,234.9468,234.6255,234.3319,234.023
6 IGCC + CCS,0.0,0.0,0.0,538.7718,538.7718,538.7718,538.7718,538.8025,538.8114,112790.0547,112223.9844,111834.7266,111549.1562,111248.9062,110952.9375,110657.4531,110373.7969,110089.7734,109806.3828,109521.4453,109234.625,108975.2969,108720.1172,108465.8906,108212.6641,107961.4609,107724.9375,107490.2969,107257.4453,107025.7812,106795.9141,106568.1406,106344.4922,106124.6641,105907.6641,105695.5781,105485.8203,105277.6953,105071.9297,104870.1094,104676.1875,104490.7266,104310.3594,104134.6406,103960.6328,103787.9141,103616.5234,103445.9453,103276.4844,103106.4531,102935.9141
7 CCGT,0.0,0.0,0.0,115.5929,103.3827,103.0499,99.787,101.6741,103.1785,102.5283,101.9425,101.4277,100.9151,100.2594,99.5568,98.8316,98.0887,97.398,96.7466,96.1949,95.7021,95.2608,94.9091,94.6399,94.404,94.2473,94.0825,93.9609,93.8711,93.8029,93.7818,93.753,93.7958,93.8205,93.9004,93.981,94.0764,94.1988,94.3244,94.4544,94.5886,94.7306,94.8798,95.0331,95.193,95.3599,95.533,95.7127,95.8986,96.0913,96.2913
8 CCGT + CCS,0.0,0.0,0.0,154.6696,154.6696,177.4115,176.8095,178.5547,179.9809,179.2091,178.3517,177.8921,177.3718,176.9892,176.7019,176.5892,176.5478,176.749,177.0279,177.5302,178.244,178.9292,179.5522,180.1745,180.8529,181.4803,182.1501,182.8294,183.4217,184.1786,184.7583,185.4959,186.0901,186.8371,187.43,187.9899,188.6086,189.1369,189.707,190.1704,190.6621,190.9172,191.1249,191.3212,191.5648,191.7852,191.9124,192.0889,192.2575,192.4979,192.6604
9 Solid Biomass,0.0,0.0,0.0,192.9418,189.9176,190.2243,188.6435,188.5463,188.4939,186.9935,185.7402,184.8435,184.0985,183.3957,182.7704,182.2231,181.7859,181.4327,181.1471,180.9259,180.7911,180.7171,180.628,180.5467,180.5229,180.4854,180.5001,180.5299,180.5747,180.6312,180.7021,180.771,180.8327,180.8784,180.8825,180.9043,180.9008,180.8855,180.8794,180.8477,180.8246,180.7976,180.7604,180.722,180.6796,180.6281,180.5746,180.5124,180.4453,180.375,180.2879
10 S Biomass CCS,0.0,0.0,0.0,235.209,235.209,238.5996,238.1643,238.0032,237.7496,236.1198,234.535,233.5296,232.7982,231.9741,231.2977,230.5444,229.9343,229.2478,228.6867,228.0472,227.4382,226.9921,226.4598,225.937,225.4471,225.0462,224.6029,224.178,223.7725,223.3742,223.0039,222.6404,222.2847,221.9591,221.6884,221.3913,221.0903,220.8043,220.5922,220.3134,220.0593,219.8154,219.5946,219.3481,219.1156,218.8777,218.6432,218.4445,218.2324,218.0221,217.7889
