,1 Nuclear,2 Oil,3 Coal,4 Coal + CCS,5 Waste,6 Waste + CCS,7 CCGT,8 CCGT + CCS,9 OCGT,10 OCGT + CCS,11 Biomass,12 Biomass + CCS,13 Large Hydro,14 Pumped Hydro,15 Geothermal,16 Marine,17 Onshore,18 Offshore,19 Solar PV,20 CSP,21 Fuel cells / Turbine,22 Lithium-ion
1 Nuclear,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 Oil,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 Coal,0,0,1,0.75,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
4 Coal + CCS,0,0,0.75,1,0,1,0,1,0,0.75,0,1,0,1,0,0,0,0,0,0,0,0
5 Waste,0,0,0,0,1,0.75,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6 Waste + CCS,0,0,0,1,0.75,1,0,0.75,0,1,0,1,0,1,0,0,0,0,0,0,0,0
7 CCGT,0,0,0,0,0.5,0,1,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8 CCGT + CCS,0,0,0,1,0,0.75,0.75,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
9 OCGT,0,0,0,0,0,0,0,0,1,0.75,0,0,0,0,0,0,0,0,0,0,0,0
10 OCGT + CCS,0,0,0,0,0,1,0,1,0.75,1,0,1,0,1,0,0,0,0,0,0,0,0
11 Biomass,0,0,0.5,0,1,0,0,0,0,0,1,0.75,0,0,0,0,0,0,0,0,0,0
12 Biomass + CCS,0,0,0,0.75,0,1,0,1,0,1,0.75,1,0,1,0,0,0,0,0,0,0,0
13 Large Hydro,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0
14 Pumped Hydro,0,0,0,1,0,1,0,1,0,1,0,1,0.5,1,0,0,0,0,0,0,0,0
15 Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16 Marine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17 Onshore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0
18 Offshore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0
19 Solar PV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0
20 CSP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1,0,0
21 Fuel cells / Turbine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22 Lithium-ion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
