,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1 Nuclear,14523.0,15659.0,16038.0,15450.0,15378.0,14734.0,15864.0,15739.1963,15673.8867,15321.6992,15937.0459,15507.9014,16192.4219,16954.9805,17760.4395,18618.3477,19594.5449,20622.9141,21715.6035,22855.9512,24047.498,25163.3125,26279.6934,27376.8105,28449.3457,29486.1543,30504.8926,31482.5039,32487.2637,33505.5391,34475.9219,35400.6367,36274.9844,37114.6758,37944.1211,38749.3633,39542.9375,40333.8594,41126.8086,41917.8516,42716.7031,43523.1953,44330.2734,45141.7188,45970.6406,46813.6523,47675.1367,48564.9102,49468.0742,50390.7383,51354.2773
2 Oil,16065.0,14596.0,19184.0,26193.0,34729.0,28696.0,14985.0,15634.3389,12525.8447,20939.9668,20799.2012,18950.5586,18143.7871,17459.334,16884.1875,16338.7021,15881.542,15514.0762,15299.4834,15251.5127,15426.4678,15812.623,16549.7051,17580.1211,18948.9844,20491.2129,22134.1797,23639.2363,24494.3066,24781.3926,25025.0137,25172.623,25301.752,25425.8184,25568.2188,25712.1094,25873.3848,26054.0977,26256.2324,26486.7617,26779.6504,27130.8145,27531.7363,27977.8066,28479.8203,29031.0527,29634.0449,30290.8613,31035.0176,31834.9004,32701.8672
3 Coal,11338.0,12379.0,14322.0,21776.0,26754.0,27330.6602,25487.5508,24956.7891,22819.4316,22582.5996,23226.2949,22186.6133,22432.3066,22644.9551,22848.8145,23021.9004,23242.7266,23436.6816,23633.4746,23821.4707,24025.0742,24126.3262,24194.0508,24240.5547,24276.2129,24254.8613,24241.1855,24223.2559,24231.4141,24242.9531,24234.9746,24178.9434,24112.2773,24046.2051,23997.7461,23953.5508,23921.9277,23907.4551,23910.1094,23926.9531,23961.4141,24013.1504,24075.1895,24149.1875,24242.2617,24350.8535,24476.2715,24623.6523,24791.9727,24976.5566,25187.9746
4 Coal + CCS,0.0,0.0,0.0,0.0,0.0,34.335,64.3625,95.0132,116.4257,118.5338,122.8848,118.648,124.3317,130.8177,137.9961,145.729,154.5305,163.986,174.3516,185.508,197.6276,209.6661,221.9677,234.5424,247.4775,260.0536,273.1025,286.4997,300.1767,313.9822,327.7158,340.7823,353.769,366.821,380.1876,393.6686,407.4492,421.6077,436.1482,451.0299,466.3333,482.0827,498.1609,514.6133,531.6024,549.09,567.1139,585.834,605.2788,625.3398,646.352
5 IGCC,0.0,0.0,0.0,0.0,0.0,68.67,128.725,190.0263,232.8513,312.3842,320.4686,303.2678,313.3152,325.7938,340.2762,356.2143,375.0304,396.4841,421.9345,451.92,487.9944,529.4068,580.1334,639.9694,710.7973,790.5262,880.0388,974.4915,1054.2773,1115.4663,1175.6709,1233.4268,1290.2314,1346.6342,1403.7506,1460.8212,1518.5864,1577.3322,1637.296,1698.3264,1760.7896,1824.8021,1889.9917,1956.4406,2024.9464,2095.2883,2167.6753,2242.5813,2320.5259,2400.8323,2484.6526
6 IGCC + CCS,0.0,0.0,0.0,0.0,0.0,0.8525,1.885,3.8514,5.5284,7.8685,8.0801,7.6891,7.9351,8.232,8.5611,8.9122,9.3156,9.7591,10.2706,10.8624,11.5705,12.3818,13.4007,14.6376,16.1503,17.9164,19.9982,22.2938,24.2196,25.6452,27.0636,28.439,29.8042,31.1717,32.5676,33.9717,35.4056,36.8747,38.384,39.931,41.5221,43.1631,44.8447,46.5657,48.347,50.184,52.0812,54.0488,56.1005,58.2197,60.4389
7 CCGT,36475.0,25095.0,46760.0,69002.0,81075.0,79390.6406,56342.7891,65347.3398,54348.625,54566.793,55240.707,51478.9141,47471.6562,43174.3555,39185.5977,35573.4453,32480.166,29827.5859,27653.1641,25899.5547,24561.625,23509.3242,22839.1484,22472.2012,22401.9316,22484.875,22690.0371,22874.9492,22728.5117,22284.9453,21853.4512,21419.1484,21003.2441,20613.4082,20265.334,19945.7207,19640.7344,19360.2754,19107.7773,18884.6738,18691.8301,18527.2441,18383.5215,18260.9414,18166.623,18093.8105,18043.9863,18018.2383,18017.7266,18035.6113,18079.8242
8 CCGT + CCS,0.0,0.0,0.0,0.0,0.0,99.3625,141.21,245.9749,273.1087,377.008,387.5932,367.9447,379.6893,394.0603,410.4091,428.0518,448.588,471.6902,498.9444,531.0164,569.7705,614.509,670.1953,736.6381,816.1999,906.4706,1008.7457,1117.204,1206.7028,1272.6182,1337.0314,1398.1471,1457.783,1516.5763,1575.7946,1634.527,1693.7512,1753.7562,1814.7722,1876.6191,1939.7039,2004.1445,2069.5601,2135.9563,2204.2275,2274.1409,2345.8816,2419.9236,2496.8042,2575.7649,2658.1445
9 Solid Biomass,31357.0,31795.0,34897.0,39987.0,45434.0,47879.3984,49389.1211,50461.0234,51365.7656,49477.6367,49827.3555,46639.0156,45599.9297,44537.7734,43545.4609,42561.4375,41730.1055,40897.3828,40103.5117,39357.9453,38731.3828,38038.3828,37362.5312,36798.7383,36300.8203,35736.3203,35268.9961,34858.6484,34440.0391,34013.8164,33599.0547,33126.1953,32677.7109,32268.168,31917.8672,31603.7246,31337.5723,31120.6582,30949.0918,30816.4082,30752.9531,30769.418,30849.1934,30990.043,31196.6934,31460.8457,31781.5801,32163.752,32607.4922,33103.625,33665.6836
10 S Biomass CCS,0.0,0.0,0.0,0.0,0.0,60.15,124.72,192.1105,262.0702,268.6361,280.3059,272.2783,287.5825,304.8586,323.925,344.4962,367.8229,392.956,420.5334,450.3029,482.7045,515.209,548.6755,583.1028,618.6541,653.538,689.8404,727.2401,765.4611,804.2224,843.0411,880.4278,917.8468,955.6969,994.633,1034.1573,1074.7692,1116.6948,1159.9585,1204.4677,1250.4429,1297.9657,1346.735,1396.8846,1448.8563,1502.5808,1558.1577,1616.057,1676.3484,1738.7721,1804.3107
