,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1 Nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 Oil,19782.0,17283.0,24959.0,29616.0,34043.0,38237.0,29424.0,22045.7852,23103.3145,14051.4814,9334.457,7246.9995,6339.1714,5771.8145,5380.751,5099.2505,4902.9722,4763.1479,4655.8677,4582.2603,4534.0,4491.8857,4471.6914,4455.7402,4458.6104,4463.4834,4479.8745,4498.3369,4527.4468,4556.6196,4594.1318,4631.8491,4672.9941,4720.4092,4767.7598,4817.4341,4869.3008,4922.7056,4980.1777,5107.1426,5181.415,5457.979,5748.3706,6049.8232,6364.2876,6693.9741,7038.7993,7399.3574,7779.2319,8174.3569,8588.1963
3 Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4 Coal + CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5 IGCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6 IGCC + CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7 CCGT,112264.0,112078.0,110514.0,109179.0,110952.0,118670.4766,131862.5156,146781.7031,154387.9688,165180.9531,175142.9375,177445.7188,185004.5312,192427.1562,199948.9531,207486.1562,217565.0781,227902.1562,238655.5938,249931.6094,261784.7969,273337.1562,285299.6562,297787.125,310784.875,324342.8438,338108.125,352590.5625,367505.5625,383191.4688,399478.25,416558.7812,434374.9062,453018.3438,472498.625,492862.0,513943.8125,536039.875,559092.5625,583053.0625,608104.75,634144.9375,661190.875,689334.4375,718641.6875,749278.0625,781180.9375,814335.6875,848805.9375,884573.0625,921673.9375
8 CCGT + CCS,0.0,0.0,0.0,0.0,0.0,148.5237,330.4825,552.5033,775.819,840.0765,888.4268,892.2419,921.4193,948.4922,975.2827,1001.9695,1039.6251,1078.5594,1118.5089,1160.634,1204.994,1246.9739,1290.9062,1335.9249,1383.1951,1431.7228,1480.8628,1531.8751,1584.8563,1639.3204,1695.6019,1753.7534,1813.9213,1876.5115,1941.1434,2008.2122,2076.9998,2148.6201,2222.8276,2300.2332,2379.998,2462.8623,2548.6877,2637.7004,2730.1101,2826.6965,2926.9368,3031.0681,3139.6165,3252.4326,3369.562
9 Solid Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10 S Biomass CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11 BIGCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12 BIGCC + CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13 Biogas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14 Biogas + CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15 Tidal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16 Large Hydro,13046.0,12934.0,13121.0,13352.0,13822.0,13545.0,12850.0,12726.0,12899.0918,12564.9014,12266.1807,11368.9141,10841.1592,10348.6562,9913.5469,9524.1416,9285.5723,9085.415,8920.7051,8792.2578,8697.5576,8602.5254,8528.2588,8476.4014,8443.5459,8427.0566,8417.6816,8424.8604,8443.7344,8475.9414,8518.3975,8573.5391,8639.4863,8717.8115,8806.0234,8906.5957,9014.418,9134.4209,9264.9453,9405.248,9556.8115,9680.3086,9812.46,9954.5254,10106.7178,10270.6641,10445.5146,10630.9131,10827.291,11034.6416,11252.9014
17 Onshore,1284.0,1307.1428,962.5714,1141.7142,1237.7142,1764.0,1885.7142,2000.5714,2022.7903,2605.8174,2936.1753,3064.6038,3284.552,3493.7324,3678.7085,3883.519,4133.96,4358.8511,4613.1606,4872.9487,5112.5791,5367.0298,5624.5894,5883.9985,6114.9209,6379.4062,6635.0034,6830.8442,7091.4731,7355.603,7619.1665,7822.3267,8096.9287,8378.5615,8635.0957,8936.7354,9246.9434,9569.0303,9865.9014,10209.041,10523.0791,10807.9092,11181.3096,11573.3301,11979.0273,12319.9922,12720.5156,13179.6113,13619.0869,14121.542,14597.9199
18 Offshore,183.4286,186.7347,137.5102,163.102,176.8163,252.0,269.3878,285.7959,288.97,363.1718,414.985,444.6075,486.7905,530.0975,565.6462,598.4184,408.7469,435.8909,464.41,494.6335,526.7476,558.8574,592.5284,627.9621,665.1692,704.1687,744.2178,786.5038,830.7039,876.7389,924.6837,975.0368,1027.5105,1082.4901,1139.6497,1186.3917,1247.6974,1312.0951,1379.489,1449.6974,1523.4095,1599.9146,1679.5231,1762.4076,1832.0347,1922.4308,2017.1938,2116.4614,2220.5544,2329.1934,2423.0356
19 Solar PV,206.0,223.0,237.0,114.0,244.0,168.0,580.0,537.0,542.964,735.3691,894.3101,1020.2256,1194.4836,1395.5475,1630.4656,1903.6005,2245.9287,2643.3047,3106.1831,3644.2986,4265.9248,4959.4971,5740.2422,6613.7632,7580.8286,8643.9941,9792.3076,11053.957,12550.4766,14018.9883,15586.7178,17257.1172,19032.3242,20921.2422,22925.8906,25063.2227,27327.8398,29745.9785,32320.627,35053.4531,37981.4727,41081.9961,44374.1367,47905.2344,51690.1562,55747.0078,60111.5977,64805.2617,69847.8984,75300.875,81173.1875
20 CSP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21 Geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22 Wave,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23 Fuel Cells,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24 CHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
