,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 Oil,34150.0,42178.0,29919.0,26752.0,26152.0,19650.0,15704.0,19412.6699,14879.4463,15642.0537,15481.3975,15307.4424,15393.2412,15484.1973,15629.9736,15785.1016,15980.292,16186.7275,16407.8906,16642.8711,16897.625,17028.6738,17182.1699,17358.834,17560.8633,17798.873,18018.3496,18290.9453,18629.2988,19056.7363,19583.3652,20239.3711,21067.9473,22115.5781,23410.9121,25163.7266,27385.8125,30096.668,33236.0312,36673.2227,40201.9375,43349.3945,46148.9297,48325.7812,50183.3867,51552.2305,52732.2383,53898.5078,55041.043,56213.6484,57426.2891,58675.0352,59980.0117,61313.9688,62663.8789,64090.4414,65617.7266,67262.3906,69008.0625,70859.4766,72818.5078
3 Coal,68445.0,81090.0,102166.0,111252.0,119532.0,129855.4609,134004.4219,145657.2812,156820.2656,167295.7969,173240.7969,179046.0625,188096.2969,197522.8125,207479.5469,217869.2031,229165.7969,241010.3438,253424.7656,266427.9062,280035.125,291615.7812,303539.3438,315776.7188,328287.4688,341005.9375,352468.8125,363804.9062,374840.5312,385329.8125,394970.7812,403361.0312,409974.875,414169.9375,415323.3125,412212.9375,404640.1562,392332.5312,375738.5938,355729.0938,334013.3125,312922.375,293480.1562,277185.9062,263721.4375,253316.5312,245517.5469,239778.9844,235627.8906,232787.2188,231027.8438,230171.8438,230165.5156,230803.3906,231964.6719,233706.7031,235888.0938,238496.9688,241412.7031,244650.5938,248226.0781
4 Coal + CCS,0.0,0.0,0.0,0.0,0.0,163.135,338.395,554.5328,800.1033,855.1096,891.3901,927.4572,983.1102,1042.9102,1107.5643,1177.1074,1254.5634,1338.2977,1429.1692,1527.9567,1635.6102,1737.6465,1848.5624,1969.4807,2101.6057,2247.1377,2399.1438,2567.8542,2756.5693,2969.5552,3210.9653,3485.593,3801.0159,4161.9512,4571.9619,5049.6343,5593.7075,6203.6396,6876.4756,7596.0132,8343.5977,9068.1836,9780.6006,10448.5332,11098.6963,11746.417,12390.4697,13030.335,13663.4883,14300.4873,14944.958,15594.2363,16256.5371,16926.6035,17601.7793,18292.9941,18995.2773,19712.6621,20442.1836,21187.7773,21952.0059
5 IGCC,0.0,0.0,0.0,0.0,0.0,326.27,676.79,1109.0656,1600.2067,1710.8335,1755.8788,1798.5748,1875.1326,1955.024,2039.822,2128.7673,2226.5681,2329.9688,2439.761,2556.364,2681.1152,2790.9573,2909.0471,3036.4214,3174.6084,3326.1682,3481.2239,3654.416,3849.9021,4073.3789,4330.418,4628.8975,4979.6304,5395.2393,5889.7573,6498.0161,7231.772,8105.7695,9117.6807,10254.6016,11489.2705,12747.1084,14007.7646,15254.8311,16489.9395,17559.293,18533.8047,19480.4004,20398.8418,21300.4004,22193.4434,23073.9473,23957.8516,24838.2637,25712.748,26598.8398,27490.8633,28394.0742,29304.6777,30228.9844,31171.2168
6 IGCC + CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3918,2.5759,2.6499,2.7164,2.8405,2.9689,3.1085,3.2545,3.4151,3.5848,3.7655,3.9584,4.1655,4.3508,4.5508,4.7681,5.0062,5.2695,5.5427,5.8513,6.2037,6.6104,7.0839,7.6413,8.3033,9.0979,10.0549,11.2393,12.6965,14.4773,16.6166,19.1337,22.0161,25.1398,28.4647,31.8145,35.2281,38.3219,41.2673,44.2519,47.2681,50.3636,53.5588,56.8628,60.3047,63.8605,67.5161,71.3118,75.2303,79.2857,83.4732,87.8082,92.3005
7 CCGT,40247.0,38137.0,45453.0,51490.0,56025.0,58820.3828,65534.7539,55112.4102,59124.0273,62553.2734,64020.0898,65364.4258,67768.5078,70181.1094,72463.9297,74757.0781,77201.0312,79659.1328,82122.2812,84565.7969,86982.375,88571.7734,90053.5312,91388.8516,92541.3516,93480.6172,93817.3281,93850.5469,93544.5781,92876.7109,91815.5859,90357.7969,88564.1016,86537.3672,84435.875,82563.4141,80872.2188,79458.2344,78244.3359,77135.2891,76034.6016,74617.7812,73017.0859,71126.8828,69259.0391,67263.2266,65392.2656,63776.2891,62387.7188,61207.0977,60218.3633,59391.6758,58705.3867,58129.9141,57661.1445,57324.2031,57086.2617,56955.168,56911.1992,56956.9766,57089.3828
8 CCGT + CCS,0.0,0.0,0.0,0.0,0.0,73.6175,164.2475,207.4495,297.1057,323.2278,335.1877,346.3722,364.6588,383.6382,402.8531,422.9865,445.0393,468.3471,493.1417,519.5331,547.8347,573.3326,600.8008,630.5297,662.9081,698.5594,735.505,777.0271,824.2147,878.5308,941.5276,1015.4734,1103.2714,1208.6785,1335.594,1493.8613,1688.6211,1925.4648,2206.438,2530.7527,2892.9312,3272.8242,3664.6731,4047.0732,4426.2153,4763.5601,5079.6846,5393.9761,5705.3887,6019.0259,6336.731,6658.7847,6988.4561,7323.3945,7662.0762,8009.1465,8363.126,8728.9297,9103.623,9488.0537,9882.4365
9 Solid Biomass,95.0,216.0,268.0,184.0,241.0,478.595,584.1,581.544,11708.5791,11389.6094,11003.085,10660.1182,10551.833,10490.2305,10479.6611,10503.4854,10580.7471,10690.2773,10832.585,11008.083,11217.2021,11359.8926,11535.9277,11746.9141,11995.1855,12287.7676,12583.6094,12933.4053,13345.7549,13833.4795,14407.0928,15078.5781,15869.8564,16789.25,17839.709,19081.0586,20493.4141,22062.0859,23765.8262,25540.3496,27318.1621,28931.4805,30426.291,31711.6523,32888.0703,34010.2734,35083.2891,36114.3242,37102.3984,38083.1875,39068.8984,40006.9375,40948.1875,41895.7383,42847.8672,43832.7656,44844.6133,45890.7773,46962.9727,48074.3164,49226.2891
10 S Biomass CCS,0.0,0.0,0.0,0.0,0.0,0.6012,1.475,2.214,59.7377,63.5924,66.0435,68.418,72.2149,76.2333,80.5717,85.1859,90.2883,95.751,101.6283,107.9663,114.8251,121.1886,128.078,135.5748,143.7713,152.8193,162.2597,172.8107,184.7322,198.3283,213.9417,231.9584,252.9632,277.3873,305.6709,339.0252,377.6893,421.8878,471.7765,526.6354,585.4339,644.7357,704.9987,763.5601,822.1598,881.7719,942.4849,1004.4922,1067.6838,1133.1322,1201.26,1272.2294,1346.7655,1424.359,1504.6879,1588.7437,1676.1036,1767.1498,1861.7375,1960.2455,2063.0076
11 BIGCC,0.0,0.0,0.0,0.0,0.0,1.2025,2.95,4.428,119.4753,129.0649,133.463,137.5554,144.5771,151.9003,159.7942,168.1086,177.2538,186.9651,197.3484,208.4593,220.4304,231.362,243.1823,256.0312,270.0906,285.6289,301.8509,320.1338,340.9708,365.0005,392.943,425.8242,464.9335,511.9922,568.8339,639.7633,727.444,834.814,963.5302,1114.1161,1284.9979,1467.8856,1660.4512,1852.6957,2047.493,2225.5408,2396.4641,2569.8457,2745.1968,2925.1067,3110.6204,3302.1177,3501.2959,3706.9407,3918.3171,4137.8477,4364.5723,4599.3911,4841.9907,5093.3359,5354.0415
12 BIGCC + CCS,0.0,0.0,0.0,0.0,0.0,0.6012,1.475,2.214,59.7377,64.3428,66.4106,68.3151,71.678,75.1828,78.9663,82.9477,87.3302,91.9821,96.9551,102.277,108.011,113.2232,118.8605,124.9924,131.7081,139.1349,146.8808,155.6169,165.5804,177.072,190.4391,206.1687,224.8658,247.342,274.4641,308.2122,349.8688,400.8531,462.0316,533.7643,615.4365,703.2416,796.0735,889.0791,983.5659,1069.8815,1152.6766,1236.7458,1321.8651,1409.3257,1499.6681,1593.1198,1690.5123,1791.2306,1894.9156,2002.7301,2114.2029,2229.7629,2349.2781,2473.2139,2601.8743
13 Biogas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478.37,543.2574,589.5797,638.0303,703.3781,775.2632,853.4896,939.5907,1036.493,1143.5931,1262.2158,1393.5272,1539.3307,1686.7908,1849.5376,2029.3707,2228.5046,2450.1479,2688.1663,2954.7224,3255.0198,3596.0002,3984.8604,4431.4395,4948.9048,5553.0796,6261.6162,7116.7705,8137.5684,9345.9668,10743.8164,12318.8867,14039.4463,15814.459,17717.1074,19644.1855,21543.7246,23215.7207,24771.8965,26302.5898,27807.9453,29310.0371,30818.5527,32331.1797,33869.5703,35425.0156,36995.0586,38605.6914,40248.0039,41931.8867,43652.5234,45420.2539,47242.6953
14 Biogas + CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15 Tidal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16 Large Hydro,17456.0,12419.0,12799.0,16923.0,15162.0,13741.0,18677.0,18632.0,21636.2207,21980.3516,21690.2402,21377.9629,21434.2031,21509.3945,21499.6738,21487.5566,21475.6348,21468.7168,21460.168,21463.5469,21473.7871,21470.0879,21469.623,21478.1191,21498.4746,21532.2461,21565.8516,21609.9062,21670.5215,21755.959,21868.668,22022.8594,22234.8457,22526.1797,22918.5234,23491.0508,24263.8203,25232.084,26415.2773,27776.2949,29246.5391,30698.4766,32114.8691,33382.8867,34592.1875,35527.0352,36369.4961,37270.2617,38243.5703,39300.5234,40446.2734,41684.2578,43021.8633,44465.8828,46019.7891,47692.8242,49489.1797,51416.7031,53482.9805,55697.582,58068.1328
17 Onshore,3.9184,4.898,4.898,0.0,0.0,3.9184,5.8776,5.8776,186.2008,199.8889,216.9708,237.4526,265.6645,302.2742,346.546,400.7191,470.2406,557.6296,666.6332,801.7565,958.1015,1151.0579,1372.9043,1640.7605,1967.0765,2342.04,2771.248,3280.1323,3859.9783,4509.9629,5250.9326,6080.7158,6975.5054,7915.6577,8875.5645,9876.001,10834.4805,11769.835,12634.4854,13415.9707,14083.9766,14647.1064,15068.377,15398.0938,15648.1699,15844.3027,16020.9238,16169.9805,16289.3164,16380.2822,16492.0898,16601.3848,16704.2793,16798.6914,16938.875,17051.8066,17188.0645,17322.9961,17481.1133,17637.3242,17821.5488
18 Offshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
