,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1 Nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 Oil,31.0,28.0,35.0,37.0,29.0,23.0,30.0,28.0,29.862,31.0566,33.3607,33.8462,33.779,33.8657,33.634,25.4337,22.1975,22.0636,22.6921,24.4309,27.198,30.1181,32.4013,34.8756,37.726,40.0177,42.2349,43.9409,41.2549,37.7917,68.2555,70.0248,76.7667,80.3699,84.5697,88.6183,93.4005,97.9908,102.4555,107.4441,112.6985,118.1462,124.5162,131.1983,138.5855,146.7117,156.0023,165.713,175.6847,186.7873,199.3358
3 Coal,135.0,141.0,167.0,150.0,157.0,150.245,144.54,183.21,174.5645,182.0811,180.5742,167.0236,168.5545,170.526,173.4528,176.4197,179.7559,183.9285,189.164,192.9919,200.3907,209.3506,218.9064,229.707,243.2306,256.5189,270.7816,286.4453,303.4344,318.6326,333.3907,346.1331,355.2795,357.3981,359.3643,359.7551,359.5761,356.6482,350.2697,344.9505,340.1013,331.4942,326.8101,323.5658,318.3063,314.4006,313.389,311.6966,307.8875,305.5919,304.9276
4 Coal + CCS,0.0,0.0,0.0,0.0,0.0,0.1887,0.365,0.6975,0.8906,0.9483,1.0273,1.0166,1.0484,1.0848,1.126,1.1722,1.2263,1.292,1.3614,1.4532,1.5488,1.6581,1.7816,1.9261,2.0952,2.2856,2.5025,2.749,3.0252,3.32,3.646,3.9811,4.3235,4.5874,4.8993,5.2048,5.5322,5.8361,6.1266,6.4207,6.7237,7.0178,7.3336,7.6655,8.0015,8.3575,8.7496,9.1589,9.5611,9.9996,10.4743
5 IGCC,0.0,0.0,0.0,0.0,0.0,0.3775,0.73,1.395,1.7813,1.9394,2.0935,2.0602,2.111,2.1676,2.2312,2.2956,2.3582,2.4567,2.5588,2.6986,2.8386,2.9963,3.1655,3.3585,3.5776,3.8127,4.0704,4.347,4.6415,4.9322,5.266,5.5537,5.8359,5.9903,6.1974,6.3569,6.5606,6.7293,6.8329,6.9717,7.1155,7.2451,7.4448,7.6538,7.9058,8.169,8.5085,8.8325,9.1464,9.5026,9.9108
6 IGCC + CCS,0.0,0.0,0.0,0.0,0.0,0.0262,0.0325,0.0787,0.0851,0.0939,0.1004,0.0979,0.0995,0.101,0.1026,0.1027,0.0955,0.0968,0.0996,0.105,0.1115,0.1186,0.1249,0.1319,0.1397,0.1471,0.1549,0.1624,0.1682,0.1744,0.2061,0.2141,0.2241,0.2277,0.2329,0.2371,0.2425,0.2467,0.25,0.2538,0.2576,0.2614,0.2661,0.2708,0.2763,0.2822,0.289,0.2958,0.3021,0.3095,0.3177
7 CCGT,4865.0,4057.0,2633.0,2451.0,2601.0,2595.7512,2593.5,2511.5461,2573.1497,2868.8367,3251.7947,3351.5759,3582.2676,3826.2773,4089.2266,4354.5117,4635.8989,4959.583,5260.0386,5621.2612,5977.6333,6342.3608,6716.3936,7125.0273,7612.02,8100.0435,8633.2188,9224.5156,9867.6172,10453.5205,11040.0381,11557.1875,12050.4102,12214.4492,12454.0371,12722.4482,13179.4414,13651.0303,13957.585,14474.9248,15000.2031,15436.7637,16184.1924,16930.834,17746.1094,18639.1543,19796.5508,20838.1719,21784.3672,22788.4551,24025.1953
8 CCGT + CCS,0.0,0.0,0.0,0.0,0.0,3.2487,6.5,9.4537,12.9304,14.0443,15.1243,14.8797,15.254,15.6514,16.0756,16.3535,15.8667,16.331,16.9822,18.0246,19.2527,20.6813,22.1139,23.7786,25.7393,27.7876,30.0663,32.4732,34.4713,36.5296,45.8816,49.821,54.2563,57.3821,61.0139,64.4423,68.1053,71.2896,74.1601,76.9565,79.6667,82.2071,85.0002,87.6466,90.3395,93.1579,96.1737,99.1274,101.7774,104.7833,107.996
9 Solid Biomass,449.0,407.0,431.0,589.0,442.0,450.735,407.88,427.49,350.9899,374.6749,406.8517,403.1844,416.3092,431.2458,448.2331,466.9408,488.5797,515.1907,543.16,580.0128,618.4169,662.3423,710.9568,767.9112,834.3102,907.9575,991.0541,1084.962,1187.6279,1294.6642,1415.9163,1535.5482,1655.7303,1740.67,1840.6078,1932.8962,2030.4658,2115.0144,2185.5095,2258.6453,2333.0632,2388.4873,2462.5903,2540.168,2603.1616,2671.3425,2758.0674,2836.6299,2896.5625,2964.0789,3048.0747
10 S Biomass CCS,0.0,0.0,0.0,0.0,0.0,0.5663,1.03,1.6275,1.7908,1.9072,2.0652,2.042,2.1039,2.1751,2.2557,2.3463,2.4521,2.581,2.7179,2.8995,3.0887,3.3051,3.5505,3.8373,4.1707,4.5462,4.9717,5.4516,5.9828,6.5526,7.1878,7.8268,8.48,8.9776,9.5653,10.1389,10.751,11.3168,11.8645,12.4141,12.9783,13.5399,14.1233,14.7307,15.3528,16.0015,16.6975,17.4223,18.1329,18.8986,19.7101
