,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1 Nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 Oil,3008.0,2684.0,2190.0,1698.0,1357.0,1312.0,1300.0,1279.9611,1121.866,945.4317,962.9897,882.3376,811.7703,688.4888,547.1046,248.9998,202.9171,180.7981,162.6411,147.81,135.2776,125.5229,117.8096,110.8623,104.8505,99.647,95.1305,91.3966,88.3721,86.0557,83.8883,82.654,81.8867,81.167,80.5611,69.3263,69.5097,69.9491,69.638,69.3806,70.136,69.5999,69.0783,68.5849,67.9095,67.2602,66.5951,66.8973,66.137,65.2622,64.4067
3 Coal,7100.0,9848.0,13087.0,11838.0,11952.0,14653.3652,12503.7002,14446.0098,11766.2363,10831.5273,11246.9893,10400.833,10086.8359,9608.1924,8988.9287,8190.7778,7311.9287,6519.5347,5843.2656,5280.3755,4804.0015,4434.4697,4143.665,3896.2781,3690.5388,3525.5432,3387.2068,3276.4658,3193.864,3126.6746,3067.397,3029.7974,3007.2625,2976.772,2954.6582,2934.3464,2905.25,2878.2246,2849.1299,2820.4324,2787.9177,2758.3552,2732.1184,2709.6755,2681.8889,2657.5925,2635.5398,2609.1367,2587.6038,2563.0574,2541.041
4 Coal + CCS,0.0,0.0,0.0,0.0,0.0,18.4088,31.575,54.9975,60.0318,64.065,75.1797,78.796,86.5432,93.5168,100.3521,106.8685,110.3412,111.7694,111.8211,111.1573,109.3833,107.7976,106.1364,103.8376,100.8881,97.0139,91.3681,87.0733,85.5287,85.0935,85.1262,85.9139,87.2933,88.35,89.6839,91.114,92.2613,93.4879,94.6733,95.8897,96.9875,98.1216,99.2593,100.4331,101.3057,102.1962,103.0571,103.6489,104.3296,104.7894,105.2507
5 IGCC,0.0,0.0,0.0,0.0,0.0,36.8175,63.15,109.995,120.0636,120.5481,134.6028,134.8365,139.6864,140.0646,137.6528,131.3138,120.7729,109.4437,98.4963,88.6805,80.1292,73.7111,68.5661,63.9528,59.8208,55.037,51.0886,48.767,47.5176,46.6859,46.063,45.8346,45.7592,45.6247,45.6492,46.0653,46.0548,46.106,46.0736,46.0589,46.0706,46.3994,46.7144,47.0268,47.188,47.3389,47.4547,47.5162,47.5206,47.4139,47.2956
6 IGCC + CCS,0.0,0.0,0.0,0.0,0.0,0.3675,0.7125,1.0745,1.3569,1.1456,1.2539,1.2331,1.2416,1.1781,1.0278,0.6605,0.4935,0.4442,0.4088,0.3804,0.358,0.3432,0.3324,0.3229,0.3148,0.3079,0.301,0.2958,0.2935,0.293,0.2933,0.2958,0.3003,0.3041,0.309,0.3236,0.3302,0.3375,0.3429,0.3486,0.3566,0.3608,0.3649,0.3691,0.3722,0.3752,0.378,0.3829,0.3849,0.386,0.3871
7 CCGT,14900.0,14916.0,10670.0,7228.0,6834.0,10548.7979,12550.5449,18823.7266,15533.5596,13506.4697,12845.2891,10679.9551,8851.7246,6929.6079,5331.7983,4084.9846,3084.6396,2360.8955,1850.465,1494.6636,1240.6359,1065.5193,939.2407,842.3301,767.3268,710.3701,664.3452,628.1323,599.6407,576.0074,555.7627,541.0373,529.2483,517.035,507.1115,499.1108,488.9467,479.668,470.4362,461.6268,452.924,441.4733,430.4817,419.9875,408.7198,397.8942,387.243,376.3791,365.808,354.7791,344.1418
8 CCGT + CCS,0.0,0.0,0.0,0.0,0.0,13.2025,31.455,70.8547,78.0581,76.5716,85.6894,85.9158,88.4224,87.1492,83.2367,75.8523,67.3586,59.6693,52.6892,46.6547,41.678,37.9897,35.0392,32.3737,29.8915,27.6199,25.6662,24.4699,23.8287,23.405,23.0942,22.9913,22.9954,22.9593,23.0141,23.451,23.5358,23.6616,23.7293,23.8109,23.9596,23.7762,23.5879,23.4008,23.1444,22.8892,22.6212,22.3931,22.0848,21.7304,21.3792
9 Solid Biomass,2842.0,3084.0,2995.0,3097.0,3019.0,3094.45,3074.9399,3168.8022,3080.8594,3006.7734,3270.6052,3172.6965,3222.5876,3233.208,3180.4207,3084.3313,2907.3645,2693.8486,2467.4648,2250.9324,2039.623,1862.379,1713.6532,1586.0682,1477.8318,1388.8695,1314.6954,1262.6881,1230.3694,1207.0898,1188.4536,1179.7828,1179.8705,1176.5627,1177.3658,1179.7365,1178.8317,1179.3121,1179.6228,1180.6885,1180.6787,1181.488,1182.6533,1184.4875,1183.0775,1182.2052,1181.2173,1177.4415,1174.939,1170.2357,1165.7501
10 S Biomass CCS,0.0,0.0,0.0,0.0,0.0,3.8875,7.765,12.064,15.7187,17.0541,20.0265,20.9917,23.0935,25.0076,26.9283,28.8935,30.0961,30.8015,31.1862,31.4739,31.6083,31.8341,32.0737,32.1366,31.9456,31.32,29.9084,28.7307,28.77,29.2743,29.9487,30.9253,32.1692,33.3356,34.6548,36.0653,37.4195,38.8614,40.3458,41.9054,43.4781,45.1147,46.7956,48.5367,50.1734,51.8569,53.5626,55.1634,56.8433,58.4339,60.0528
11 BIGCC,0.0,0.0,0.0,0.0,0.0,7.775,15.53,24.1279,31.4373,29.2006,32.4697,32.5199,33.2901,32.2157,29.3218,23.4988,19.393,16.9727,15.0357,13.4608,12.2764,11.471,10.8646,10.3387,9.872,9.461,9.0829,8.8553,8.7646,8.7356,8.7391,8.8154,8.9435,9.0513,9.1914,9.6179,9.8043,10.0145,10.1745,10.3422,10.575,10.6634,10.7477,10.8324,10.8841,10.935,10.9787,11.0791,11.1003,11.097,11.0921
12 BIGCC + CCS,0.0,0.0,0.0,0.0,0.0,3.8875,7.765,12.064,15.7187,13.9814,15.4138,15.3462,15.6144,14.9947,13.485,10.5252,8.6621,7.679,6.9134,6.2932,5.8229,5.4996,5.2566,5.0446,4.8579,4.6913,4.5182,4.4071,4.3757,4.3807,4.4064,4.4789,4.5814,4.6786,4.7964,5.0339,5.1774,5.3351,5.4829,5.6404,5.827,5.8326,5.8375,5.8428,5.8306,5.8185,5.803,5.8048,5.7796,5.7422,5.7049
13 Biogas,100.0,161.0,209.0,249.0,278.0,294.0,285.0,286.533,271.373,300.39,366.7562,397.8893,443.7164,476.8561,499.2796,506.2877,491.2911,466.5578,437.976,409.5386,382.3332,352.5439,327.7739,307.4893,291.9465,281.5351,274.4242,270.4268,269.9599,271.7533,275.0656,281.2529,289.2076,297.5097,307.3853,318.7974,329.5671,341.3374,353.7643,367.0693,380.9333,390.7636,401.0256,411.8021,421.7528,432.1688,442.7915,452.767,463.3529,473.3179,483.6519
14 Biogas + CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15 Tidal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16 Large Hydro,16147.8975,11539.2129,5622.7148,13730.418,15568.9131,8660.5059,15723.3232,5896.8828,12393.3486,13607.084,12751.2393,10467.0869,8899.6426,7527.1758,6107.6348,4968.1279,4052.1016,3353.9797,2836.2183,2471.4514,2202.1692,2014.5262,1877.8794,1768.3424,1683.1537,1617.8484,1562.0546,1514.1581,1476.0914,1445.0178,1418.1434,1402.2086,1383.4523,1367.8081,1357.1656,1348.4446,1335.7594,1324.8558,1313.8209,1303.4584,1291.8712,1276.0383,1260.9589,1246.9075,1229.5693,1213.1389,1196.9994,1178.2985,1161.2393,1142.2898,1124.0696
