,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1 Nuclear,11623.0,11747.0,11466.0,11618.0,11676.0,11640.0,11286.0,11508.8652,11377.4346,12037.1631,13413.1504,13719.7861,14678.6836,15682.5977,16705.0742,17753.8672,18622.3633,19503.2422,20411.3301,21354.8965,22375.1836,22951.1055,23559.8105,24238.7754,24967.2031,25777.4883,26770.2598,27872.3242,29093.1836,30442.5449,31919.6582,33575.082,35383.5859,37345.7578,39429.5234,41650.4961,44017.6289,46440.8711,48888.7344,51305.832,53644.207,55347.3789,56718.2852,57738.1914,58392.0,58677.1875,58722.7812,58449.1484,57900.7266,57093.4766,56082.4883
2 Oil,692.0,769.0,751.0,560.0,486.0,474.0,704.0,632.818,598.781,608.9025,671.2271,680.2543,710.2795,720.5043,717.0309,705.259,670.2274,636.7179,604.1703,590.3693,572.2985,543.7452,527.633,496.2331,486.8326,483.2075,501.4584,524.5061,542.9818,531.5057,565.9373,609.618,667.02,709.4257,787.3362,855.8206,901.6149,948.613,974.576,988.0834,991.7303,969.9875,936.9135,896.4086,853.2429,809.9222,777.4203,753.1577,738.8036,732.5098,733.6199
3 Coal,20742.0,24803.0,22912.0,16954.0,17808.0,18128.9004,15821.1904,16604.543,15436.5654,14105.6523,13710.8086,12205.4658,11395.3213,10610.5459,9851.3975,9150.832,8429.1416,7769.2798,7175.4819,6644.3164,6185.1763,5679.812,5246.709,4880.2729,4560.3179,4284.7339,4060.2751,3867.4712,3702.7756,3560.9783,3438.5005,3336.0432,3248.0271,3171.3589,3101.554,3038.7517,2981.5066,2924.8311,2865.6292,2802.5042,2735.5715,2642.3813,2548.8943,2457.541,2369.9004,2284.9043,2207.9595,2140.5618,2088.324,2049.7373,2024.0463
4 Coal + CCS,0.0,0.0,0.0,0.0,0.0,22.775,39.9525,63.2153,78.758,83.0031,93.5104,95.9235,102.392,108.7036,114.6235,120.3639,124.5688,128.6031,132.574,136.503,140.6551,141.7238,142.8202,144.1572,145.6632,147.4616,150.1028,153.0866,156.4691,160.2426,164.3952,169.1289,174.2799,179.8065,185.5281,191.5029,197.7264,203.8242,209.6118,214.8689,219.4797,220.8829,221.1472,220.4301,218.8865,216.5468,214.4976,212.3428,210.7905,210.4961,211.7347
5 IGCC,0.0,0.0,0.0,0.0,0.0,45.55,79.905,126.4305,157.516,162.5564,183.3371,189.4866,202.9117,215.7026,226.509,236.5723,243.2949,249.2425,254.711,259.8535,265.1835,264.5694,263.8571,263.51,263.2728,263.4247,265.0118,267.0409,269.5907,272.4216,275.8284,279.9417,284.537,289.3076,294.2794,299.2934,304.1474,308.7123,312.0414,314.0604,314.7568,310.3456,304.1424,296.5923,288.1743,278.9511,270.9488,263.6053,258.4496,256.2673,256.8442
6 IGCC + CCS,0.0,0.0,0.0,0.0,0.0,0.0763,0.1625,0.25,0.3508,0.309,0.3386,0.3432,0.3586,0.3695,0.3766,0.3815,0.3776,0.3735,0.3697,0.3715,0.3723,0.3654,0.3634,0.3533,0.3529,0.3525,0.3577,0.365,0.3688,0.3681,0.3779,0.3931,0.413,0.4286,0.4641,0.5005,0.5333,0.5787,0.6154,0.6464,0.6737,0.6865,0.6907,0.6862,0.6733,0.6505,0.6255,0.5972,0.5718,0.5536,0.5526
7 CCGT,7262.0,8365.0,8719.0,9255.0,8104.0,9374.2676,9630.8623,10616.1787,10468.3604,10196.6123,12658.9141,14415.5322,16848.7734,19482.6406,21986.4902,24463.666,26641.0078,28720.5527,30655.8789,32441.0605,34120.3086,34876.6836,35409.7969,35846.7383,36068.1406,36168.25,36271.6836,36292.4844,36279.3281,36133.8477,35902.6055,35596.2109,35205.2031,34684.0898,34025.1914,33267.0352,32404.1504,31486.0098,30446.8691,29367.5938,28353.3809,27305.1934,26570.4668,26144.2793,25996.2324,26060.7988,26430.6934,26967.7617,27659.3047,28458.3789,29366.8867
8 CCGT + CCS,0.0,0.0,0.0,0.0,0.0,11.7325,24.1375,39.9605,52.6048,55.7934,65.0615,69.1057,75.5905,81.6971,87.0348,92.0151,95.5932,98.8491,101.9504,104.9366,108.0123,108.5682,109.0974,109.6259,110.3177,111.155,112.6618,114.3737,116.2678,118.1818,120.5815,123.4083,126.5891,129.8404,133.5913,137.4268,141.0383,144.6799,147.9919,150.6591,152.617,151.7075,149.4221,145.8211,140.9456,134.7265,128.6236,122.9874,119.1388,117.3606,117.2929
9 Solid Biomass,110.0,189.0,193.0,202.0,454.0,460.685,461.34,451.6205,359.6257,388.3454,452.0154,476.8007,520.2455,562.4231,602.0815,640.9728,671.4205,699.8606,727.1491,753.595,780.9061,790.488,799.7739,810.0256,820.9326,833.1635,849.9724,868.5171,889.2251,911.8895,936.5673,964.3187,994.2849,1026.1703,1059.0059,1092.9659,1127.9666,1161.6761,1192.8546,1219.7838,1241.6321,1241.2278,1230.7823,1210.8733,1184.2172,1153.9575,1130.7343,1113.5956,1104.9874,1103.5989,1108.5261
10 S Biomass CCS,0.0,0.0,0.0,0.0,0.0,0.5788,1.165,1.7194,1.8348,1.9134,2.1484,2.2059,2.3627,2.5217,2.6798,2.8394,2.9671,3.0984,3.2358,3.3818,3.5398,3.6266,3.7218,3.8227,3.9371,4.0632,4.2177,4.3893,4.5781,4.7908,5.0253,5.2896,5.5795,5.896,6.236,6.6042,7.0038,7.4228,7.8593,8.3047,8.752,9.0903,9.3815,9.6179,9.7804,9.8587,9.8779,9.8084,9.6944,9.6723,9.8463
