,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1 Nuclear,5657.0,6215.0,5528.0,5300.0,6370.0,5648.0,5715.0,6285.272,5776.439,5944.8906,6727.8706,6705.293,7180.7471,7699.1855,8255.4248,8851.1924,9358.1348,9873.582,10397.7002,10926.7266,11447.7676,11855.9482,12227.8408,12574.1016,12900.1367,13207.4814,13459.5342,13694.376,13920.8213,14141.9131,14357.1191,14551.6104,14729.0625,14891.2959,15040.873,15173.1582,15310.9443,15428.4033,15524.0186,15600.3311,15659.9971,15646.7021,15627.8027,15604.3682,15582.9385,15563.0117,15559.9053,15558.3818,15557.416,15558.665,15560.9629
2 Oil,8.0,16.0,9.0,7.0,42.0,17.0,11.0,14.397,18.473,16.1851,17.9733,17.605,18.3571,19.117,19.8597,20.582,20.9902,21.317,21.5626,21.7039,21.7435,21.5969,21.402,21.1864,20.9405,20.6735,20.3394,19.9961,19.7634,19.6298,19.5684,19.5419,19.542,19.5592,19.5911,19.6243,19.685,19.7379,19.7772,19.8045,19.8202,19.7664,19.7171,19.677,19.6592,19.6686,19.9042,20.7664,22.1265,23.806,25.6627
3 Coal,5288.0,5307.0,5145.0,4876.0,3759.0,4363.0752,4959.8999,4751.7651,4529.8247,3899.6255,3922.0967,3476.3418,3350.9438,3220.3552,3081.0671,2931.7629,2756.1465,2577.6604,2405.729,2246.9905,2104.9502,1973.8511,1871.7737,1793.5576,1735.8693,1694.2987,1662.2499,1639.618,1624.974,1616.4202,1612.2574,1609.9259,1608.9757,1608.9286,1609.6825,1610.5149,1613.0472,1615.2821,1616.8518,1618.1932,1619.3627,1623.0531,1628.4819,1635.892,1645.5192,1654.9435,1667.583,1682.0342,1698.0956,1715.7062,1734.3365
4 Coal + CCS,0.0,0.0,0.0,0.0,0.0,5.4812,12.525,18.0905,23.1113,22.8345,26.1144,26.0302,27.6059,29.2416,30.8238,32.3609,33.389,34.3283,35.2408,36.1669,37.0813,37.633,38.084,38.4672,38.8027,39.1371,39.3106,39.4294,39.5284,39.6162,39.6977,39.7328,39.7382,39.7208,39.6931,39.6408,39.6333,39.6024,39.5505,39.4821,39.4065,39.2326,39.0874,38.9767,38.9299,38.9266,39.035,39.2529,39.5397,39.8238,40.1191
5 IGCC,0.0,0.0,0.0,0.0,0.0,10.9625,25.05,36.181,46.2227,24.2132,27.1533,26.8992,28.0365,29.0563,29.8907,30.5251,30.5043,30.3525,30.1686,29.993,29.8687,29.5759,29.3458,29.1083,28.8452,28.5634,28.1436,27.6721,27.186,26.6971,26.2247,25.8037,25.4483,25.1279,24.8472,24.5825,24.374,24.1754,23.9738,23.785,23.6031,23.7107,23.8623,24.0615,24.3377,24.6241,24.9765,25.3618,25.7528,26.1367,26.4977
6 IGCC + CCS,0.0,0.0,0.0,0.0,0.0,0.165,0.355,0.4879,0.5942,0.2324,0.2636,0.2627,0.2776,0.2928,0.3074,0.3219,0.3313,0.3404,0.3499,0.3595,0.3695,0.3773,0.3861,0.3953,0.4042,0.4133,0.4202,0.4251,0.4286,0.431,0.4325,0.4329,0.4326,0.4318,0.4309,0.4298,0.4293,0.4289,0.4284,0.4283,0.4285,0.4309,0.4349,0.4406,0.449,0.4588,0.4724,0.4895,0.5086,0.5279,0.5471
7 CCGT,548.0,489.0,531.0,509.0,374.0,403.495,418.95,471.3239,475.6239,299.954,340.1466,336.0115,345.3349,351.1835,352.1489,349.5275,338.0785,324.6513,310.2211,292.6605,277.0368,259.1033,242.5581,229.2836,220.0235,213.8674,209.2499,206.2274,204.4626,203.7313,203.7423,204.0316,204.6067,205.2981,206.2445,207.1792,208.5604,209.9427,211.3205,212.7729,214.2745,215.6925,217.4681,219.6958,222.6486,225.9272,229.8781,234.2289,238.8819,243.4213,247.861
8 CCGT + CCS,0.0,0.0,0.0,0.0,0.0,0.505,1.05,1.7741,2.3901,0.9676,1.123,1.1458,1.2298,1.315,1.3976,1.4785,1.5346,1.5879,1.6411,1.6933,1.7456,1.7849,1.828,1.8706,1.91,1.949,1.9757,1.9923,2.0021,2.007,2.0084,2.0042,1.9973,1.9878,1.9783,1.9677,1.9605,1.9534,1.9466,1.9413,1.9377,1.9439,1.9577,1.9798,2.0141,2.0547,2.1145,2.1912,2.2771,2.3638,2.449
9 Solid Biomass,125.0,133.0,120.0,127.0,132.0,138.305,142.56,161.2849,153.3004,178.9727,217.9742,231.4182,255.3041,279.4172,302.5936,323.6578,338.7507,350.6624,359.9264,366.7989,370.7794,369.2327,364.9291,358.8174,351.5027,343.9287,336.2971,331.339,328.5764,327.4652,327.5835,328.2311,329.3057,330.6505,332.2438,333.8144,335.9581,337.9705,339.7885,341.4485,343.0263,343.6701,344.2985,344.9993,346.1227,347.2553,349.4894,351.6493,353.4017,355.2222,357.1826
10 S Biomass CCS,0.0,0.0,0.0,0.0,0.0,0.1737,0.36,0.614,0.7821,0.7588,0.8679,0.8625,0.9135,0.9671,1.0199,1.0734,1.1145,1.1568,1.2011,1.2472,1.2934,1.3277,1.3583,1.3871,1.4146,1.4424,1.4648,1.4857,1.5063,1.5271,1.5479,1.5673,1.5856,1.6032,1.6204,1.6365,1.6544,1.6712,1.6869,1.7018,1.7165,1.7258,1.7354,1.7454,1.7567,1.7688,1.7959,1.8368,1.88,1.9184,1.9553
