,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1 Nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 Oil,2258.0,2167.0,2210.0,2170.0,2300.0,2471.0,2493.0,2405.4199,952.965,1018.7213,1070.6841,1050.7821,1085.5863,1123.399,1165.9027,1216.1399,1316.077,1439.0342,1591.3582,1786.7173,2041.8655,2355.0298,2734.0933,3172.8699,3628.7371,4023.1143,4363.2075,4641.8789,4880.9404,5061.2109,5203.165,5316.8887,5403.1416,5463.0757,5503.4961,5524.8872,5534.0786,5531.6802,5521.1631,5504.2388,5480.8604,5727.3882,5970.0308,6220.4751,6475.0396,6733.0386,7002.3135,7286.1431,7582.9546,7889.8989,8210.418
3 Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4 Coal + CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5 IGCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6 IGCC + CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7 CCGT,91674.0,96952.0,103993.0,107732.0,113936.0,124445.25,126476.0156,130919.5938,133070.5469,133028.2031,137926.3125,133201.375,135021.2812,136643.2344,138018.5469,139000.75,143721.3125,147786.0469,150677.1562,151728.6875,150115.5,143448.8281,133417.875,121408.8906,109997.5781,101014.7734,94364.8125,89991.3047,87226.7734,85573.0312,84696.1719,84428.5234,84636.2969,85208.2969,86111.5547,87252.8281,88635.4609,90209.9062,91978.4766,93920.25,96002.5703,98167.6719,100399.4844,102774.2422,105287.625,107880.0938,110607.6875,113438.2734,116410.5938,119466.8438,122651.4297
8 CCGT + CCS,0.0,0.0,0.0,0.0,0.0,155.7513,316.9825,492.7965,668.6962,667.4135,689.8992,665.6577,678.1307,691.5925,707.5401,727.6403,777.3547,839.1858,918.1763,1021.6442,1157.9386,1321.5015,1524.1104,1760.1993,2000.8472,2210.8967,2390.6262,2548.7683,2692.6492,2821.1221,2939.5686,3052.96,3162.0183,3267.2095,3371.1504,3472.9431,3575.0608,3677.0461,3780.2107,3884.6985,3989.9797,4096.3774,4201.4521,4310.5093,4423.3062,4538.0781,4657.3184,4780.4092,4908.1411,5038.0215,5172.0142
9 Solid Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10 S Biomass CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
