,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1 Nuclear,838931.0,821405.0,801129.0,822004.0,830584.0,830288.0,839918.0,838861.375,841328.625,820995.3125,859820.625,827550.125,826497.3125,825866.6875,824898.875,823429.4375,822428.5,819985.1875,816198.5625,810196.1875,803147.25,792444.0,778451.0625,760702.25,739481.8125,716246.1875,691939.625,667759.75,643955.375,621200.1875,599671.8125,579420.75,560296.375,542469.375,525766.3125,510180.3125,495600.4062,481969.375,469223.75,457424.75,446268.4062,435754.375,425907.0625,416638.3125,407899.4688,399662.1562,392076.4062,384714.9062,377751.0625,371139.75,364862.8438
2 Oil,48086.0,39524.0,33070.0,36858.0,39877.0,38837.0,34759.0,32411.5703,42927.7422,40678.125,43094.5195,42292.8398,42642.8008,43190.9102,43781.668,44506.2695,45397.0234,46498.9414,47993.3555,49752.7109,51795.832,54102.293,56441.5664,58955.1289,61606.1836,64270.9844,66901.8906,69307.2344,71219.4453,72753.4453,74012.9531,75143.8672,76121.2422,77039.5547,77880.3438,78688.9453,79480.2188,80264.9453,81026.2188,81815.6094,82604.9453,83388.25,84201.4219,85026.7578,85863.8594,86706.1016,87594.5938,88471.375,89373.8125,90296.3438,91242.4141
3 Coal,1994194.0,1875413.0,1643430.0,1712408.0,1712577.0,1463642.0,1340493.625,1301599.375,1246707.125,1184762.0,1214743.625,1138256.625,1083456.875,1026970.5625,968295.8125,908099.0,848742.3125,787679.625,726108.75,665643.9375,613227.75,568376.875,532537.3125,504841.1875,483111.0625,466405.0625,453568.8125,443662.5938,435642.3125,429276.9375,424129.4375,419762.875,415833.9062,412537.2188,409543.375,406956.9688,404763.5938,402906.6875,401338.625,400182.0625,399085.0,398139.4688,397395.25,396792.8438,396362.0,396119.75,396246.875,396165.0,396191.5625,396296.2812,396477.9688
4 Coal + CCS,0.0,0.0,0.0,0.0,0.0,1838.7462,3385.085,4955.3276,6360.7505,6318.9937,6745.1191,6611.2632,6834.9268,7087.2935,7361.8906,7663.9312,8005.9258,8373.7227,8771.7666,9178.9814,9589.0879,9959.5361,10280.7217,10541.1885,10751.7129,10935.2705,11095.0654,11277.6924,11481.3711,11699.0322,11918.4521,12134.2695,12342.4658,12545.5479,12741.4121,12931.4473,13114.2705,13290.791,13461.6123,13632.6201,13794.9951,13951.5186,14105.417,14255.4238,14402.8555,14549.1953,14702.1182,14842.502,14980.8496,15116.4561,15250.0801
5 IGCC,0.0,0.0,0.0,0.0,0.0,3677.4924,6770.1699,9910.6553,12721.501,12379.9229,13120.6396,12796.6953,13082.9844,13420.1338,13798.1182,14237.8379,14774.4355,15404.332,16167.9404,17039.6113,18016.5879,18988.1855,19882.6309,20663.8438,21331.8633,21904.1406,22388.3574,22837.0781,23233.6172,23605.4238,23944.2051,24255.6289,24532.082,24789.4688,25021.2441,25234.9492,25427.8281,25603.043,25761.4336,25918.7188,26054.6582,26176.3496,26291.7441,26398.0801,26499.6367,26599.6328,26710.9531,26797.3711,26879.5801,26956.8613,27030.4238
6 IGCC + CCS,0.0,0.0,0.0,0.0,0.0,17.0925,33.665,51.4578,66.2983,62.8434,66.6576,65.2346,66.7975,68.7342,70.8865,73.3808,76.3276,79.7556,83.8807,88.5279,93.6618,98.9265,103.8115,108.1933,111.9822,115.2114,118.0094,122.9977,128.4213,133.7095,138.6651,143.3433,147.6927,151.8506,155.7864,159.5805,163.2499,166.8232,170.2839,173.7335,177.093,180.3678,183.6201,186.8316,190.0001,193.1339,196.3277,199.4174,202.4938,205.5553,208.609
7 CCGT,1017869.0,1045254.0,1264552.0,1158454.0,1161333.0,1370854.25,1414554.75,1332687.0,1511621.375,1429358.125,1523000.875,1475421.125,1456763.625,1426328.875,1383849.5,1330923.875,1270405.625,1201600.875,1128734.0,1051858.375,977635.6875,908085.625,848092.6875,798796.0625,759082.4375,727620.0,702505.8125,683085.875,667443.25,655019.625,644817.8125,636618.625,629688.75,624073.625,619291.0625,615299.875,611853.5625,608880.0625,606293.5,604254.875,602336.875,600562.5,599084.75,597788.8125,596687.1875,595791.8125,595288.8125,594527.5625,593887.5,593325.5625,592843.6875
8 CCGT + CCS,0.0,0.0,0.0,0.0,0.0,1715.7125,3545.25,5016.3877,7596.0874,7391.8506,7864.2666,7704.0044,7882.0288,8089.9946,8317.2285,8574.6172,8878.8252,9226.8516,9641.3916,10101.8008,10606.9863,11104.7129,11550.8477,11929.2783,12237.5762,12485.4453,12587.209,12800.6572,13042.1748,13287.0137,13512.2461,13715.0,13891.0381,14049.8066,14187.6445,14310.0557,14418.1465,14514.583,14599.0537,14679.9668,14750.5469,14811.1465,14868.0049,14919.5488,14966.8408,15011.3096,15060.1836,15097.3604,15131.9238,15163.6387,15193.5029
9 Solid Biomass,62706.0,63519.0,64093.0,65187.0,67975.0,66236.1562,64816.2891,63610.2227,62852.8672,61566.9688,65029.6797,63059.6133,64094.3477,65286.25,66558.9922,67942.8516,69528.8516,71172.8828,72896.8047,74511.3594,75962.7266,76632.3516,76489.0703,75729.0781,74758.2266,73940.6328,73432.8594,73313.9297,73238.1797,73172.4453,73078.1484,72950.4375,72771.2578,72574.3906,72347.0391,72104.4531,71844.6641,71574.3281,71297.7188,71063.2422,70850.3672,70663.1484,70513.9062,70392.5234,70297.625,70230.1094,70217.2344,70187.1641,70178.8516,70187.5312,70214.1562
10 S Biomass CCS,0.0,0.0,0.0,0.0,0.0,83.2113,163.6775,242.1709,320.6779,317.8745,339.215,332.6202,344.3839,357.8374,372.6477,389.1648,408.0641,428.6977,451.3257,474.8032,498.439,520.2756,539.4236,554.8795,566.8619,576.4644,583.6215,605.3995,628.2805,650.9125,673.1389,694.9898,716.3279,737.5248,758.4702,779.3287,800.1035,820.8544,841.6241,862.7141,883.7253,904.7298,925.9568,947.3227,968.8384,990.5363,1012.952,1035.0758,1057.4479,1080.0248,1102.847
