,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
1 Nuclear,0,0.0,0.0,1604.0,14756.0,12833.0,14339.0,14418.0,14100.0,14949.0,16737.0,17472.0,25127.0,43342.0,50469.0,53088.0,54843.0,62130.0,68394.0,70134.0,73880.0,86350.0,97394.0,111613.0,132538.0,170789.0,213287.0,248070.0,295000.0,274303.17120483355,303310.4758053301,335385.27582153823,370851.95603360236,410069.2046097176,453433.64065743255,501383.82538511994,554404.6974400324,584347.56248792,615907.6129085434,649172.191330125,684233.3576723202,721188.1439225965,748935.6614565891,777750.7571749811,807674.5058578283,838749.562626169,871020.2237452129,898523.9304283109,926896.1059031636,956164.1733113475,986356.4217192729,1017502.0334609961,1053134.7821653169,1090015.3836880801,1128187.5376234264,1167696.4739178745,1208589.0064630017,1250913.5885649319,1294720.3703563542,1340061.2582191022,1386989.976287701,1435562.130106758,1443660.0926196256,1451686.0210837952,1459689.0988846964,1467737.2233850635,1475819.7366990417,1483770.1462699748,1491839.600470287,1499826.5744452272,1507676.8762158568,1515432.0732083975,1522981.8287263464,1530328.3211457462,1537412.5699602708,1544095.5100947397,1550216.5350648465,1555639.6245077052,1560969.5674823958,1569528.2509569477,1577373.3296392402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 Oil,48953,50605.0,52118.0,63691.0,46906.0,53952.0,49467.0,45920.0,51949.0,48960.0,46127.0,47343.0,49393.0,57417.0,72210.0,61252.0,51984.0,34258.0,23411.0,16494.0,14963.0,12245.0,11766.0,10171.0,9705.0,9909.0,10730.0,10277.682,11036.414,9994.415883313968,9296.263271162265,8646.87959914122,8042.8581486049825,7481.030174747214,6958.448283112576,6472.370967329842,6020.248226950356,5751.545764982467,5494.8363322628375,5249.584642477022,5015.279300808918,4791.431737588655,4639.17186636451,4491.750437938854,4349.013698545013,4210.812780331419,4077.003546099293,3681.619995493903,3324.5803291460807,3002.1659971624213,2711.0190707388406,2448.107269503547,2289.111553564182,2140.442034520674,2001.4280632193515,1871.4425467443202,1749.8991195972974,1636.249498599089,1529.981009580654,1430.6142747066388,1337.7010499988896,1250.822203304993,1257.878053483956,1264.871139547305,1271.844315558433,1278.85674128972,1285.8991303996086,1292.8264159612252,1299.8574265114635,1306.816571069234,1313.6566315245886,1320.4138260659026,1326.992017029099,1333.3931024588978,1339.5656919450007,1345.3886164484009,1350.7219376464352,1355.4471393938038,1360.0911815256457,1367.5484633085196,1374.3839728254475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3 Coal,442764,499432.0,566892.0,617071.0,695532.0,744477.0,824009.0,867489.0,883712.0,964380.0,1062144.0,1122051.0,1271371.0,1515510.0,1713761.0,1971747.0,2301006.0,2655748.0,2733284.0,2940869.0,3263494.0,3738840.0,3798702.0,4121897.0,4145697.0,4113169.805,4223890.44,4440883.611785,4700203.721080001,4312838.299403069,4361711.372683037,4411138.2755123675,4461125.283886187,4511678.744919184,4562805.077651535,4614510.7738639675,4666802.3989020465,4749743.854567102,4834159.399872091,4920075.233299414,5007518.018947987,5096514.894808479,5174799.199191326,5254285.978684951,5334993.703740144,5416941.1285204785,5500147.295260233,5554899.34725146,5610196.436863741,5666043.9897568915,5722447.485601283,5779412.458615496,5852544.560133447,5926602.067877503,6001596.691844582,6077540.290208718,6154444.871196083,6232322.59498373,6311185.775622366,6391046.882983448,6471918.54473093,6553813.548317945,6590783.412120813,6627424.416785929,6663961.100653375,6700703.437528151,6737602.770653965,6773899.006719194,6810738.720693541,6847201.88529592,6883041.096308619,6918446.122711628,6952913.241175071,6986452.396702459,7018794.323872713,7049304.14485317,7077248.638189516,7102006.826162686,7126339.769855405,7165412.976465495,7201228.342361086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4 Coal + CCS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5167.29875,10666.39,16906.91730375,23980.63123,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,44212.04987499487,44457.84370926726,44702.93774261748,44949.411329876326,45196.93807358821,45440.419143871804,45687.54595259366,45932.14680672517,46172.56207843019,46410.06476897174,46641.27582011183,46866.26194455571,47083.216865950184,47287.88172026544,47475.337938420904,47641.419900615445,47804.64925483296,48066.75869636677,48307.01401113786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5 IGCC,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10334.5975,21332.78,33813.8346075,47961.26246000001,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,44212.04987499487,44457.84370926726,44702.93774261748,44949.411329876326,45196.93807358821,45440.419143871804,45687.54595259366,45932.14680672517,46172.56207843019,46410.06476897174,46641.27582011183,46866.26194455571,47083.216865950184,47287.88172026544,47475.337938420904,47641.419900615445,47804.64925483296,48066.75869636677,48307.01401113786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6 IGCC + CCS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05375,0.1,0.15489,0.21674,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,43964.05,44212.04987499487,44457.84370926726,44702.93774261748,44949.411329876326,45196.93807358821,45440.419143871804,45687.54595259366,45932.14680672517,46172.56207843019,46410.06476897174,46641.27582011183,46866.26194455571,47083.216865950184,47287.88172026544,47475.337938420904,47641.419900615445,47804.64925483296,48066.75869636677,48307.01401113786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7 CCGT,2763,2423.0,2460.0,3115.0,3146.0,2990.0,2820.0,8055.0,6075.0,4800.0,5757.0,4921.0,4183.0,5012.0,7203.0,11931.0,14217.0,30539.0,31028.0,50813.0,92460.0,107067.0,109392.0,116229.0,123676.0,157998.255,183051.225,195663.80983375,235687.72557,194417.87486071428,222821.56868538095,255374.93148191247,292684.21371485596,335444.2366789272,384451.33235211705,440618.1737109064,504990.77169673744,533060.7629941418,562691.0291630828,593968.2983271626,626984.1194063446,661835.1300816757,682071.4071549654,702926.4288236598,724419.1138282443,746568.9593687889,769396.0587919338,790387.1500728546,811950.9319831709,834103.0289872142,856859.4918246435,880236.8091403258,905700.2687865855,931900.3345034207,958858.314805493,986596.1346194313,1015136.3531153757,1044502.1820543515,1074717.5046663957,1105806.8950747887,1137795.6382821905,1170709.750734935,1177313.688994434,1183858.8830439635,1190385.4422369872,1196948.7372906173,1203540.0766333567,1210023.6845607515,1216604.3741159376,1223117.8005397965,1229519.769940037,1235844.1808085255,1242001.0528903145,1247992.162664471,1253769.4111651536,1259219.3899678255,1264211.123496254,1268633.6863075134,1272980.287600811,1279959.9466395786,1286357.6565791403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8 CCGT + CCS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.745,458.775,736.5011662499999,1184.36043,7068.12,7068.12,7068.12,7068.12,7068.12,7068.12,7068.12,7068.12,7068.12,7068.12,7068.12,7068.12,7068.12,7068.12,7068.12,7068.12,7068.12,7068.12,7068.12,7068.12,7068.12,7068.12,7068.12,7068.12,7068.12,7068.12,7068.12,7068.12,7068.12,7068.12,7068.12,7068.12,7068.12,7107.99105092567,7147.507435696804,7186.911313160399,7226.536982123472,7266.331967520968,7305.476528190262,7345.207215860372,7384.531804680192,7423.183475539533,7461.366889421342,7498.538793619983,7534.709913566945,7569.589853404306,7602.493913655414,7632.631333767279,7659.332405179638,7685.574861530495,7727.714313785096,7766.340268296561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9 Solid Biomass,0,0.0,0.0,0.0,343.0,2897.0,1417.0,2606.0,2364.0,2404.0,2421.0,2438.0,2430.0,2422.0,2414.0,2406.0,2396.0,2388.0,2355.0,20700.0,33863.0,38269.0,40967.0,49303.0,57356.0,63438.215,75401.37,91470.32686,101957.76822,60909.97484887787,67185.16062018066,74106.8407721175,81741.61970484859,90162.96366645358,99451.90768755988,109697.83534716375,120999.33887300079,125495.55493712501,130158.84595458023,134995.42026580928,140011.71690706117,145214.4141828197,148746.64460350983,152364.79384854715,156070.95182812941,159867.25928793396,163755.90904565205,167246.66827854363,170811.83948284457,174453.008886971,178171.7965327233,181969.85699608104,186122.3067594192,190369.51309025535,194713.63828015127,199156.8939629457,203701.54224071736,208349.89683544182,213104.32426692842,217967.2450576372,222941.13496498897,228028.5262417963,229314.8282545369,230589.6881864234,231860.9184578726,233139.30406748233,234423.15208817308,235686.01639718335,236967.7900733502,238236.46237003562,239483.4252884409,240715.2815096637,241914.50485788324,243081.44135217325,244206.72237124422,245268.25844681048,246240.53841557706,247101.95643949814,247948.57882941942,249308.06299129745,250554.1962603891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10 S Biomass CCS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.69625,190.4075,348.237285,520.192695,7888.7,7888.7,7888.7,7888.7,7888.7,7888.7,7888.7,7888.7,7888.7,7888.7,7888.7,7888.7,7888.7,7888.7,7888.7,7888.7,7888.7,7888.7,7888.7,7888.7,7888.7,7888.7,7888.7,7888.7,7888.7,7888.7,7888.7,7888.7,7888.7,7888.7,7888.7,7888.7,7888.7,7933.199917861798,7977.303994270241,8021.282501730083,8065.508549780906,8109.923571215917,8153.6126562557665,8197.955915258613,8241.845928985447,8284.984901712012,8327.601254729423,8369.08866590125,8409.459105837981,8448.38846490305,8485.112552793877,8518.748804871722,8548.549762134851,8577.838860992115,8624.870532356053,8667.98080317129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
