,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
1 Nuclear,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 Oil,2912,1895.0,3180.0,2698.0,1399.0,2459.0,1872.0,2701.0,3547.0,3803.0,1594.0,2057.0,2172.0,3108.0,1617.0,1855.0,1961.0,2315.0,1985.0,2013.0,560.0,752.0,582.0,230.0,129.0,221.0,69.0,210.3,68.5,188.48454316998536,172.45836414562172,157.79483486325483,144.37809399895082,132.1021315104148,120.86995101709643,110.59280340017439,101.18948556684407,94.76254870683844,88.74381154437168,83.10734773277188,77.82887760824276,72.88566360264474,70.60078746715229,68.3875393953488,66.24367393531321,64.1670160272874,62.15545879696823,58.902228550294865,55.819273083065106,52.89768017624859,50.12900407829949,47.50524109014676,45.51467729880548,43.60752207705508,41.78028044045374,40.02960385133732,38.352284082409035,36.74524733745686,35.20554861842453,33.73036632851345,32.31699710142532,30.962850847269774,31.12239977485177,31.316971637756634,31.53719410117967,31.734013132078648,31.987504643609643,32.18076109110332,32.366892371786406,32.60958651515056,32.773684587696245,33.00031970124881,33.186341363980965,33.398452099035005,33.59521632095852,33.81346566126477,34.03160538362009,34.25719912663881,34.47939471317862,34.71923878981855,34.958425158752874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3 Coal,625,0.0,0.0,454.0,100.0,242.0,120.0,511.0,538.0,516.0,1551.0,1638.0,2109.0,2403.0,2139.0,2328.0,2257.0,2423.0,2495.0,1658.0,2385.0,2582.0,2238.0,2421.0,2368.0,2298.45,2570.04,1346.5935,1423.548,1292.2974841778603,1254.8711998530455,1218.5288197960263,1183.2389530075907,1148.971117604637,1115.695714491221,1083.3840017921202,1052.0080700268252,1021.246634048591,991.3846835119645,962.3959168470113,934.2548015597032,906.9365517436117,863.7946568634244,822.7049706964871,783.5698721110799,746.2963836968049,710.7959508682765,698.7167024212141,686.8427284173554,675.1705404279941,663.6967093066933,652.4178641818442,631.2781215063459,610.8233519821372,591.0313610051878,571.8806731243961,553.3505087394877,535.4207615539502,518.0719767585433,501.285329921709,485.04260656397827,469.3261823942113,471.74458015275457,474.69384571195366,478.0319158575486,481.0152433570089,484.85759637427543,487.78692323673624,490.6082488251983,494.286938373405,496.7742907915014,500.2095620836953,503.0292261140959,506.2443409631383,509.22683768356785,512.5349997840555,515.8415003264815,519.260986817091,522.6289650077933,526.2644540464006,529.8899737366386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4 Coal + CCS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8875,6.49,5.126625000000001,7.263000000000001,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.790697988929466,13.876915048599544,13.974498188248665,14.061710994241693,14.174036036769614,14.25967022054333,14.342147159878424,14.449687762757046,14.522401530828093,14.622826190471974,14.705254556815708,14.799243295103935,14.88643181460128,14.983140640405859,15.079800893219073,15.179764109445,15.278221562938661,15.384499268041836,15.490485535196829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5 IGCC,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.775,12.98,10.25325,14.526,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.790697988929466,13.876915048599544,13.974498188248665,14.061710994241693,14.174036036769614,14.25967022054333,14.342147159878424,14.449687762757046,14.522401530828093,14.622826190471974,14.705254556815708,14.799243295103935,14.88643181460128,14.983140640405859,15.079800893219073,15.179764109445,15.278221562938661,15.384499268041836,15.490485535196829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6 IGCC + CCS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22125,0.5925,1.161375,1.7745,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.790697988929466,13.876915048599544,13.974498188248665,14.061710994241693,14.174036036769614,14.25967022054333,14.342147159878424,14.449687762757046,14.522401530828093,14.622826190471974,14.705254556815708,14.799243295103935,14.88643181460128,14.983140640405859,15.079800893219073,15.179764109445,15.278221562938661,15.384499268041836,15.490485535196829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7 CCGT,1866,1155.0,1367.0,1825.0,1839.0,892.0,1318.0,1172.0,1342.0,1235.0,1571.0,1819.0,2527.0,2173.0,2459.0,1814.0,2058.0,3064.0,2459.0,2211.0,2553.0,2621.0,2511.0,2021.0,1002.0,1195.50375,1582.035,3078.512125,2234.0735,2961.964363560892,2966.1747034934133,2970.3910282927905,2974.613346466325,2978.8416665334107,2983.0759970255526,2987.3163464863824,2991.562723471678,3069.619108922315,3149.712155433679,3231.895003927584,3316.2221818882063,3402.7496395405133,3483.1769724575624,3565.5052844548777,3649.7795070418424,3736.045633728235,3824.3507451256546,3801.844426837198,3779.4705583151617,3757.22836009218,3735.117057288056,3713.135879582765,3745.690821372502,3778.5311888157307,3811.6594843836333,3845.0782324878237,3878.7899796727106,3912.7972948095457,3947.102769292176,3981.70901723451,4016.6186756697157,4051.834404751165,4072.7131615945414,4098.175060184024,4126.993625967839,4152.749591555116,4185.921783379444,4211.21154518973,4235.568899446036,4267.328135207792,4288.802198412556,4318.459930994954,4342.802940519661,4370.559996165098,4396.308789386575,4424.869150001596,4453.415165885016,4482.9366235172165,4512.013394469826,4543.399667209989,4574.699871560554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8 CCGT + CCS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49625,3.965,11.587875,11.2265,123.24000000000001,123.24000000000001,123.24000000000001,123.24000000000001,123.24000000000001,123.24000000000001,123.24000000000001,123.24000000000001,123.24000000000001,123.24000000000001,123.24000000000001,123.24000000000001,123.24000000000001,123.24000000000001,123.24000000000001,123.24000000000001,123.24000000000001,123.24000000000001,123.24000000000001,123.24000000000001,123.24000000000001,123.24000000000001,123.24000000000001,123.24000000000001,123.24000000000001,123.24000000000001,123.24000000000001,123.24000000000001,123.24000000000001,123.24000000000001,123.24000000000001,123.24000000000001,123.24000000000001,123.87504520085038,124.64949056774108,125.52603183088668,126.30942149638092,127.31838200958363,128.08759168948689,128.82844139820827,129.79442564738915,130.44757759907105,131.34964283628037,132.0900562377528,132.93431076447592,133.71748227634566,134.58617000901015,135.45442143442565,136.35234175276995,137.2367365463967,138.19137680710483,139.1433992243192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9 Solid Biomass,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,5.0,3.0,2.0,3.0,3.0,19.0,37.0,48.0,50.0,88.555,192.06,212.6615,306.936,138.33196912165616,140.91114639966742,143.53841202250342,146.21466258960606,148.9408114173694,151.71778885082443,154.54654258113547,157.42803796901586,159.22641230766624,161.0453303201351,162.88502668644696,164.74573876748644,166.6277066356228,168.20521500016665,169.79765805168694,171.40517718079695,173.02791511669207,174.66601593982264,176.03321125401487,177.41110826662904,178.79979074503032,180.19934311227146,181.60985045222523,183.18023809804797,184.76420494869913,186.3618684241064,187.97334695953225,189.5987600143536,191.2382280809174,192.89187269347272,194.55981643718022,196.24218295719925,197.93909696785383,198.9590602394385,200.20291788771243,201.6107545160969,202.86897784425236,204.4894966113699,205.72494508117666,206.91484383428607,208.46633726148528,209.51538227526902,210.96421364868112,212.1534116369183,213.50939166475501,214.7672646104743,216.162487471158,217.55700956696936,218.9991836740949,220.41963407018017,221.95290761070044,223.4819765619871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10 S Biomass CCS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11125,0.485,0.809625,1.566,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.49996654411309,19.6218769637632,19.759858954229156,19.883177353373817,20.042004308551782,20.163090545083133,20.279712456387863,20.431774241799328,20.5345910858648,20.67659096903472,20.793144198412882,20.926043726313146,21.049327784494526,21.186073500282344,21.322750534143594,21.46409793901116,21.603316204155263,21.753592259476076,21.90345622323751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
