,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
1 Nuclear,2937,4242.0,3919.0,4931.0,4239.0,8443.0,7878.0,10456.0,9265.0,10002.0,8221.0,8726.0,9747.0,10502.0,9194.0,10805.0,10866.0,10421.0,9804.0,10501.0,5879.0,10089.0,8770.0,11800.0,9677.0,11577.0,10567.0,10883.0,13674.91,11321.636078623487,11777.951253954701,12252.658076729052,12746.497816827447,13260.2416207929,13794.691716000521,14350.682663361209,14929.082660515181,16248.43416639449,17684.38281595965,19247.23283356263,20948.199075120985,22799.487504805842,23050.793511995365,23304.869524836824,23561.74607555425,23821.454032911308,24084.024605920804,24809.681013403857,25557.201591445504,26327.245111813325,27120.490195198083,27937.63590926567,28511.240272590407,29096.621651217858,29694.021846114527,30303.687622807618,30925.870813315418,31560.82842017046,32208.82272257845,32870.12138475682,33544.99756649763,34233.73003600052,34504.68300349122,34792.61434031592,35091.181653254185,35420.096733634,35773.806061861884,36059.424793038175,36351.1459893095,36751.73928310802,37056.140241147434,37382.55931532226,37706.12688769269,38047.66645843998,38394.1490510376,38730.97171020977,39065.5546214889,39410.74964168586,39762.60612182498,40131.21862952745,40491.06685172805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 Oil,62062,65604.0,64784.0,63890.0,77260.0,67846.0,70250.0,81343.0,89475.0,87100.0,94328.0,89592.0,74119.0,53789.0,68098.0,66785.0,55263.0,53278.0,49458.0,45745.0,44587.0,49247.0,56181.0,48122.0,33006.0,31577.0,33926.0,38498.0,35159.327,35469.85190550062,34139.54179415353,32859.12546294026,31626.731626906425,30440.55918434233,29298.874584534064,28200.009294238014,27142.357359176254,26201.375697103846,25293.016348437726,24416.14835029639,23569.67994845358,22752.557238037556,22433.20737997069,22118.339845836923,21807.89172272951,21501.800980773332,21200.00646073088,20783.145723038182,20374.481816556436,19973.8535650562,19581.10296155434,19196.075105996377,18872.553403308255,18554.484184606168,18241.775556266384,17934.337173397464,17632.080213738664,17334.917351998225,17042.762734624153,16755.5319550002,16473.14202905989,16195.511371311526,16323.695529493283,16459.911922939093,16601.16005180815,16756.765296077043,16924.100361272376,17059.222692486674,17197.232016813778,17386.747247498908,17530.75519440335,17685.17961213557,17838.25502320536,17999.832741904833,18163.7489369112,18323.095148995068,18481.381766859064,18644.68882890112,18811.147336903905,18985.53289330763,19155.772185621594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3 Coal,7774,9213.0,9519.0,11522.0,14239.0,15432.0,18475.0,18333.0,18628.0,19112.0,19432.0,23631.0,26546.0,31218.0,24200.0,33055.0,31930.0,31737.0,21398.0,29549.0,32282.0,33756.0,34158.0,31960.0,33881.0,33638.96,34245.09,30587.789105,28561.12,31022.797561528158,31308.909719595355,31597.66058768964,31889.074501689127,32183.176021913034,32479.989935191603,32779.54125695514,33081.85523334232,33225.71268491017,33370.19570497246,33515.30701383277,33661.049343624014,33807.42543835986,33999.27386972011,34192.210991512664,34386.24298177529,34581.37605360456,34777.616455354735,34952.47379106453,35128.210286733156,35304.830362662644,35482.33846137971,35660.73904774751,35851.56872745046,36043.41958527893,36236.29708581665,36430.20672288975,36625.154019723195,36821.144529098136,37018.18383351007,37216.27754532785,37415.431306953535,37615.650790983105,37913.370969158044,38229.746795174935,38557.80931624049,38919.217634599154,39307.869603231884,39621.70436327682,39942.24444569642,40382.41200654616,40716.88447349645,41075.55020734327,41431.08274197426,41806.36271324885,42187.0740232522,42557.17110331292,42924.80717271204,43304.103712144366,43690.71979141879,44095.74721181217,44491.14453047476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4 Coal + CCS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.26,86.4775,116.45097375,145.72,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,319.4081986481609,322.07356524840554,324.837388570335,327.8821397225686,331.1564100401045,333.8003689605781,336.50081810828027,340.2090910505291,343.02691614587354,346.048561888164,349.0438114147671,352.20542686993355,355.412799641721,358.53075087225926,361.62796886377964,364.82342263949675,368.0805412309804,371.49276956742136,374.8238673325626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5 IGCC,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.52,172.955,232.9019475,291.44,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,319.4081986481609,322.07356524840554,324.837388570335,327.8821397225686,331.1564100401045,333.8003689605781,336.50081810828027,340.2090910505291,343.02691614587354,346.048561888164,349.0438114147671,352.20542686993355,355.412799641721,358.53075087225926,361.62796886377964,364.82342263949675,368.0805412309804,371.49276956742136,374.8238673325626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6 IGCC + CCS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20047,0.395995,0.78375,1.160265,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,316.9,319.4081986481609,322.07356524840554,324.837388570335,327.8821397225686,331.1564100401045,333.8003689605781,336.50081810828027,340.2090910505291,343.02691614587354,346.048561888164,349.0438114147671,352.20542686993355,355.412799641721,358.53075087225926,361.62796886377964,364.82342263949675,368.0805412309804,371.49276956742136,374.8238673325626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7 CCGT,14460,20726.0,20555.0,20874.0,23406.0,24520.0,26670.0,27673.0,31657.0,33721.0,41464.0,53334.0,72609.0,89576.0,96825.0,95118.0,111965.0,124495.0,132221.0,138471.0,146994.0,164485.0,165492.0,165759.0,171962.0,186018.18625,191778.3525,189297.4625,201412.25412,187796.28282441545,191635.5628498694,195553.3325604873,199551.19658803247,203630.7923691278,207793.7908159134,212041.89700041545,216376.8508529058,226508.00268228923,237113.51319184309,248215.59270485956,259837.49147176064,272003.5483613495,286111.4115151435,300950.9996922515,316560.26488468715,332979.12752021797,350249.57855817396,365850.3201962929,382145.94672381337,399167.40955450275,416947.0387333647,435518.6043433365,456509.61178635416,478512.33810677135,501575.5458563457,525750.3478310648,551090.3203475797,577651.6219793042,605493.1180153262,634676.510917954,665266.4770680214,697330.8101010047,702850.0407580457,708715.1157046055,714796.842293615,721496.7438005351,728701.6966974017,734519.6645607265,740461.9378071883,748621.9030166991,754822.4592062212,761471.5178155921,768062.4921887092,775019.5507768412,782077.2972370697,788938.2737515748,795753.6272734628,802785.1462701847,809952.3572073709,817460.8833989141,824790.8837242267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8 CCGT + CCS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.81375,480.6475,712.5375,1012.12188,7668.08,7668.08,7668.08,7668.08,7668.08,7668.08,7668.08,7668.08,7668.08,7668.08,7668.08,7668.08,7668.08,7668.08,7668.08,7668.08,7668.08,7668.08,7668.08,7668.08,7668.08,7668.08,7668.08,7668.08,7668.08,7668.08,7668.08,7668.08,7668.08,7668.08,7668.08,7668.08,7668.08,7728.771283969675,7793.265586020808,7860.142261118381,7933.816591870728,8013.044634586067,8077.020931584821,8142.364131649548,8232.093805310005,8300.277169958503,8373.392415409884,8445.868947407218,8522.371062394448,8599.980374492547,8675.425939250721,8750.369818507326,8827.690724750624,8906.503744406615,8989.069979376942,9069.67308493366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9 Solid Biomass,0,1493.0,2109.0,2339.0,2331.0,2798.0,1711.0,1492.0,1738.0,1600.0,1655.0,2492.0,2458.0,2434.0,2494.0,3046.0,2301.0,2313.0,2403.0,2627.0,658.021,615.04,1020.653,1161.21,1265.686,1202.73411,1361.65293,1925.29479,2251.42848,999.3335428171563,1013.2584515011049,1027.3773925811938,1041.6930697427117,1056.2082243446257,1070.9256359445337,1085.8481228309322,1100.9785425628993,1124.0201890445571,1147.5440587958437,1171.5602439463278,1196.0790478370348,1221.110989440751,1248.7878878955862,1277.0920927252746,1306.0378220434739,1335.6396162222538,1365.9123451961934,1393.5038962904684,1421.652799175629,1450.370312407519,1479.6679219658129,1509.557345847999,1541.9101364943099,1574.9563112412534,1608.7107306774033,1643.1885738830501,1678.4053452561077,1714.37688148431,1751.1193586668376,1788.649299588575,1826.9835811502685,1866.139441957927,1880.9095537458684,1896.6051856171018,1912.8806028201807,1930.8103289676399,1950.0916321648185,1965.6611999288207,1981.5634235499272,2003.400452262694,2019.9938714831455,2037.7875360439295,2055.4257603421306,2074.0436691499244,2092.9310305714907,2111.2918124250996,2129.5305017729,2148.347675410701,2167.5279766751437,2187.62167779095,2207.237622645945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10 S Biomass CCS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5109725,3.438517500000001,7.3298025,11.48688,140.8,140.8,140.8,140.8,140.8,140.8,140.8,140.8,140.8,140.8,140.8,140.8,140.8,140.8,140.8,140.8,140.8,140.8,140.8,140.8,140.8,140.8,140.8,140.8,140.8,140.8,140.8,140.8,140.8,140.8,140.8,140.8,140.8,141.91440318605575,143.09863675284163,144.32661505428584,145.67941076976228,147.1341828136533,148.30890485847084,149.5087257483303,151.15632697985012,152.40829849586305,153.7508283807305,155.0816303161856,156.48634933192378,157.9113985154759,159.29671733295706,160.67282428532715,162.09257780890232,163.53972926892405,165.05579663961163,166.5358173569732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
