,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1 Nuclear,0.0,0.0,3.3921,3.4653,3.6743,3.0785,2.8195,2.7169,3.4017,3.2205,3.5321,3.6661,3.8175,3.982,4.1413,4.3013,4.4606,4.6138,4.7586,4.8907,5.0104,5.1064,5.1901,5.2655,5.3349,5.4028,5.4671,5.5304,5.5961,5.6633,5.7345,5.8095,5.8881,5.9698,6.0558,6.14,6.2246,6.3055,6.3794,6.4441,6.4945,6.5291,6.547,6.5427,6.5189,6.473,6.4043,6.3144,6.2047,6.0737,5.929
2 Oil,0.0,0.0,0.0763,0.0229,0.0174,0.0124,0.0106,0.0131,0.0106,0.0103,0.0115,0.0122,0.0129,0.0138,0.0146,0.0154,0.0163,0.0172,0.0181,0.019,0.0198,0.0207,0.0215,0.0223,0.0231,0.024,0.0249,0.0259,0.0269,0.0279,0.0291,0.0303,0.0316,0.033,0.0345,0.0361,0.0378,0.0396,0.0416,0.0436,0.0457,0.048,0.0505,0.0532,0.0561,0.0592,0.0626,0.0663,0.0703,0.0746,0.0792
3 Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4 Coal + CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5 IGCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6 IGCC + CCS,0.0,0.0,0.0,0.0,0.0,0.0002,0.0019,0.0022,0.003,0.0028,0.0031,0.0032,0.0033,0.0034,0.0035,0.0036,0.0037,0.0038,0.0039,0.004,0.004,0.0041,0.0042,0.0043,0.0043,0.0044,0.0045,0.0046,0.0047,0.0048,0.0049,0.005,0.0051,0.0052,0.0054,0.0055,0.0057,0.0059,0.0061,0.0063,0.0065,0.0067,0.0069,0.0071,0.0074,0.0077,0.008,0.0083,0.0087,0.009,0.0094
7 CCGT,0.0,0.0,0.2723,0.427,0.2427,0.3176,0.4048,0.334,0.3035,0.3069,0.3589,0.3961,0.437,0.4811,0.5257,0.5705,0.6143,0.6551,0.6921,0.7285,0.7703,0.8158,0.8665,0.9221,0.9829,1.0495,1.1214,1.1994,1.284,1.3752,1.4741,1.581,1.6962,1.8205,1.955,2.0997,2.2564,2.4253,2.6068,2.8022,3.0117,3.2375,3.4814,3.7435,4.0272,4.3327,4.6596,5.0061,5.3707,5.7482,6.1408
8 CCGT + CCS,0.0,0.0,0.0,0.0,0.0,0.0004,0.0049,0.0053,0.006,0.0059,0.0067,0.0072,0.0077,0.0082,0.0087,0.0091,0.0096,0.0101,0.0105,0.0109,0.0113,0.0116,0.0119,0.0122,0.0125,0.0127,0.013,0.0133,0.0136,0.0139,0.0142,0.0145,0.0149,0.0153,0.0157,0.0162,0.0167,0.0172,0.0177,0.0183,0.0189,0.0195,0.0202,0.021,0.0217,0.0226,0.0235,0.0244,0.0255,0.0266,0.0277
9 Solid Biomass,0.0,0.0,0.4364,0.7501,0.7826,0.7204,0.7677,0.7788,0.7629,0.7128,0.7673,0.7771,0.7853,0.7914,0.7917,0.7877,0.7798,0.7677,0.7522,0.7395,0.7323,0.7282,0.7277,0.7301,0.7349,0.7418,0.7499,0.7593,0.7697,0.781,0.7934,0.8066,0.8205,0.835,0.8501,0.8652,0.8805,0.8954,0.9095,0.9227,0.9342,0.944,0.9519,0.9571,0.9596,0.9588,0.9541,0.945,0.9321,0.9223,0.9157
10 S Biomass CCS,0.0,0.0,0.0,0.0,0.0,0.0006,0.002,0.0031,0.0041,0.004,0.0045,0.0047,0.005,0.0053,0.0056,0.0059,0.0062,0.0066,0.0069,0.0072,0.0075,0.0077,0.008,0.0082,0.0085,0.0088,0.0091,0.0093,0.0097,0.01,0.0103,0.0107,0.0111,0.0116,0.012,0.0125,0.0131,0.0136,0.0143,0.0149,0.0156,0.0164,0.0172,0.0181,0.019,0.0201,0.0212,0.0224,0.0238,0.0252,0.0268
