,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1 Nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 Oil,0.0,0.0,1.7816,2.0758,1.8615,2.254,1.7329,1.8325,1.8511,1.5777,1.494,1.2681,1.1525,1.0544,0.972,0.9033,0.8249,0.7582,0.7021,0.6543,0.6141,0.5808,0.5523,0.5278,0.5067,0.4885,0.4729,0.4607,0.4457,0.4361,0.428,0.4236,0.4201,0.4173,0.4148,0.4113,0.4104,0.4105,0.4107,0.4116,0.4122,0.407,0.4009,0.3945,0.3881,0.3818,0.3681,0.3551,0.3424,0.3305,0.3189
3 Coal,0.0,0.0,4.574,4.0226,3.9562,3.3518,2.9105,2.9183,2.6668,2.3995,2.3695,2.0777,1.9331,1.7889,1.65,1.5212,1.373,1.2412,1.1268,1.0278,0.9432,0.8724,0.8125,0.7614,0.7179,0.6808,0.649,0.6228,0.5938,0.5731,0.5554,0.5433,0.5331,0.5244,0.5172,0.5089,0.5032,0.4986,0.494,0.4904,0.4865,0.477,0.4677,0.4593,0.4516,0.4449,0.4306,0.4176,0.4053,0.3942,0.3837
4 Coal + CCS,0.0,0.0,0.0,0.0,0.0,0.0043,0.0097,0.0142,0.0172,0.0173,0.0193,0.0193,0.0204,0.0216,0.0228,0.0241,0.0247,0.0253,0.0259,0.0265,0.0271,0.0278,0.0285,0.0293,0.0301,0.0309,0.0318,0.0329,0.0336,0.0347,0.0359,0.0373,0.0389,0.0406,0.0423,0.044,0.0459,0.0479,0.05,0.0522,0.0543,0.0557,0.057,0.0581,0.0592,0.0602,0.06,0.0597,0.0594,0.0591,0.0587
5 IGCC,0.0,0.0,0.0,0.0,0.0,0.022,0.0328,0.0504,0.061,0.0603,0.0662,0.0648,0.0674,0.0701,0.0726,0.0752,0.0758,0.0762,0.0766,0.077,0.0773,0.0779,0.0784,0.079,0.0797,0.0804,0.0811,0.0822,0.0824,0.0834,0.0845,0.0862,0.0879,0.0897,0.0916,0.093,0.0948,0.0967,0.0985,0.1003,0.102,0.1022,0.1019,0.1015,0.101,0.1004,0.0977,0.0951,0.0925,0.09,0.0875
6 IGCC + CCS,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0004,0.0005,0.0005,0.0006,0.0006,0.0006,0.0006,0.0006,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0009,0.0009,0.0009,0.0009,0.001,0.001,0.001,0.0011,0.0011,0.0011,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0011,0.0011,0.0011
7 CCGT,0.0,0.0,2.2731,3.6219,1.8682,3.1565,4.0788,4.3156,3.5507,3.7111,4.3387,4.5152,4.9648,5.4134,5.8551,6.2868,6.5326,6.7347,6.9008,7.0289,7.1269,7.2109,7.2743,7.3173,7.344,7.3573,7.3584,7.3509,7.2309,7.1498,7.0579,6.9992,6.9314,6.8588,6.7837,6.6799,6.6057,6.5421,6.4827,6.4406,6.4047,6.317,6.2584,6.2341,6.2413,6.2791,6.215,6.1731,6.1419,6.1267,6.1167
8 CCGT + CCS,0.0,0.0,0.0,0.0,0.0,0.0042,0.013,0.0228,0.0247,0.0252,0.0285,0.0287,0.0306,0.0325,0.0344,0.0362,0.0371,0.0379,0.0387,0.0394,0.0401,0.0409,0.0417,0.0426,0.0434,0.0443,0.0452,0.0464,0.047,0.0481,0.0493,0.0509,0.0526,0.0543,0.0562,0.0578,0.0598,0.0619,0.064,0.0663,0.0686,0.07,0.0712,0.0722,0.0732,0.0742,0.0735,0.0729,0.0722,0.0714,0.0706
9 Solid Biomass,0.0,0.0,0.0094,0.0174,0.0204,0.0229,0.0421,0.0019,0.061,0.065,0.0767,0.0803,0.0889,0.0978,0.1068,0.1159,0.122,0.1277,0.1332,0.1385,0.1438,0.1494,0.155,0.1607,0.1666,0.1726,0.1788,0.1858,0.191,0.1981,0.2055,0.2146,0.2241,0.2341,0.2444,0.2541,0.265,0.2764,0.2878,0.2998,0.3116,0.3187,0.3247,0.33,0.3346,0.3388,0.3358,0.3325,0.3287,0.3249,0.3206
10 S Biomass CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0003,0.0003,0.0004,0.0004,0.0004,0.0004,0.0005,0.0005,0.0005,0.0006,0.0006,0.0006,0.0006,0.0007,0.0007,0.0008,0.0008,0.0008,0.0009,0.001,0.001,0.0011,0.0012,0.0013,0.0014,0.0015,0.0016,0.0017,0.0019,0.002,0.0022,0.0024,0.0026,0.0028,0.003,0.0031,0.0033,0.0035,0.0037,0.0038,0.0039,0.0041,0.0042
