,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1 Nuclear,0.0,0.0,9.3873,9.4143,8.4997,9.3793,9.5635,9.3782,8.6752,9.084,9.9511,9.4442,9.684,9.9648,10.2761,10.6185,10.9228,11.2373,11.5481,11.8577,12.1495,12.3921,12.6261,12.8538,13.0763,13.2758,13.3769,13.4629,13.5513,13.6298,13.708,13.8208,13.9219,14.0294,14.125,14.2079,14.3564,14.489,14.6011,14.6922,14.7637,14.6129,14.4137,14.171,13.9038,13.5968,13.2599,12.8933,12.5295,12.1603,11.8066
2 Oil,0.0,0.0,1.4999,6.0933,1.1614,5.2128,1.4337,3.5406,0.7894,0.8362,0.9177,0.8725,0.8972,0.9261,0.9582,0.9939,1.0266,1.0614,1.097,1.1342,1.1715,1.2062,1.2413,1.2764,1.3112,1.3436,1.3663,1.3873,1.4086,1.4287,1.4488,1.4727,1.4957,1.5198,1.5437,1.5674,1.6003,1.6342,1.6693,1.7066,1.747,1.7676,1.7892,1.8119,1.8382,1.8649,1.8925,1.9196,1.9498,1.9806,2.0144
3 Coal,0.0,0.0,22.5516,20.7414,16.3993,12.1659,5.2189,4.1703,3.225,3.273,3.4294,3.1047,3.0364,2.9813,2.9358,2.8997,2.855,2.815,2.7758,2.7386,2.6996,2.653,2.608,2.5645,2.5215,2.4754,2.4145,2.3554,2.3009,2.2484,2.1997,2.1597,2.1211,2.0868,2.0543,2.0238,2.0061,1.9909,1.9779,1.9683,1.9627,1.9374,1.9151,1.896,1.8821,1.87,1.8604,1.8514,1.8464,1.8429,1.8431
4 Coal + CCS,0.0,0.0,0.0,0.0,0.0,0.0155,0.0172,0.0189,0.0192,0.0205,0.0227,0.0218,0.0226,0.0235,0.0245,0.0256,0.0266,0.0277,0.0289,0.0301,0.0313,0.0324,0.0336,0.0347,0.0359,0.037,0.0378,0.0385,0.0393,0.0401,0.0409,0.0418,0.0427,0.0436,0.0445,0.0455,0.0467,0.0479,0.0492,0.0506,0.0521,0.053,0.0539,0.0549,0.0559,0.057,0.0581,0.0592,0.0604,0.0616,0.0628
5 IGCC,0.0,0.0,0.0,0.0,0.0,0.0763,0.0991,0.1125,0.1013,0.1078,0.1189,0.1134,0.1169,0.121,0.1255,0.1305,0.1351,0.14,0.145,0.1501,0.1552,0.1599,0.1647,0.1695,0.1743,0.1789,0.1822,0.1854,0.1886,0.1917,0.1948,0.1984,0.202,0.2057,0.2094,0.2131,0.2181,0.2232,0.2285,0.2341,0.2402,0.2435,0.247,0.2506,0.2546,0.2586,0.2628,0.2669,0.2713,0.2759,0.2808
6 IGCC + CCS,0.0,0.0,0.0,0.0,0.0,0.0039,0.0109,0.0384,0.026,0.0276,0.0305,0.029,0.0299,0.0309,0.032,0.0333,0.0344,0.0356,0.0369,0.0382,0.0395,0.0407,0.0419,0.0432,0.0444,0.0457,0.0465,0.0474,0.0483,0.0491,0.05,0.051,0.052,0.053,0.0541,0.0551,0.0565,0.0579,0.0594,0.0609,0.0626,0.0636,0.0646,0.0657,0.0668,0.068,0.0692,0.0704,0.0717,0.073,0.0744
7 CCGT,0.0,0.0,16.3165,50.109,24.7201,32.1021,38.1615,34.8314,34.1517,36.2504,39.8293,37.4307,37.6426,37.7187,37.6304,37.3908,36.8163,36.1459,35.4372,34.7779,34.1887,33.6364,33.2646,33.0669,33.0228,33.051,32.9024,32.7607,32.6403,32.5023,32.3649,32.3038,32.212,32.1327,32.0294,31.9092,31.9514,31.9884,32.0162,32.0477,32.0887,31.7816,31.5075,31.2552,31.0428,30.8135,30.5622,30.2651,29.9727,29.6475,29.3199
8 CCGT + CCS,0.0,0.0,0.0,0.0,0.0,0.042,0.212,0.3434,0.3572,0.3766,0.4109,0.3873,0.3945,0.4033,0.4133,0.4246,0.4344,0.4447,0.455,0.4655,0.4754,0.4837,0.4917,0.4993,0.5063,0.5119,0.5137,0.5149,0.5162,0.517,0.5178,0.52,0.5219,0.5241,0.5262,0.5283,0.5333,0.5386,0.5442,0.5504,0.5575,0.5581,0.5589,0.5599,0.5619,0.5638,0.566,0.5678,0.5704,0.573,0.5764
9 Solid Biomass,0.0,0.0,1.6274,3.3946,3.6454,5.0553,4.9901,5.345,5.982,5.6163,5.5367,4.763,4.4671,4.2389,4.0602,3.9215,3.7913,3.6844,3.5923,3.5136,3.4413,3.3654,3.2961,3.2322,3.1732,3.115,3.042,2.9742,2.9146,2.8595,2.8105,2.7742,2.7407,2.7136,2.6897,2.6689,2.6664,2.6678,2.6732,2.6837,2.7006,2.6882,2.6788,2.6726,2.6727,2.6744,2.6786,2.6829,2.6923,2.7032,2.7189
10 S Biomass CCS,0.0,0.0,0.0,0.0,0.0,0.0051,0.0148,0.0231,0.0349,0.0381,0.0431,0.0422,0.0446,0.0474,0.0505,0.054,0.0575,0.0612,0.0652,0.0694,0.0739,0.0782,0.0828,0.0875,0.0924,0.0971,0.1012,0.1054,0.1097,0.1142,0.1188,0.1239,0.1292,0.1348,0.1406,0.1467,0.1539,0.1616,0.1697,0.1785,0.188,0.1957,0.2037,0.212,0.2211,0.2304,0.2402,0.2502,0.2609,0.272,0.2838
