,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1 Nuclear,0.0,0.0,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556
2 Oil,0.0,0.0,0.4917,0.5696,0.5502,0.5728,0.5343,0.547,0.5428,0.5299,0.5246,0.517,0.508,0.4984,0.488,0.4767,0.4643,0.4507,0.4362,0.4223,0.4093,0.3987,0.3892,0.3813,0.3773,0.3758,0.3772,0.3814,0.3881,0.3964,0.4056,0.406,0.4038,0.4016,0.3998,0.3982,0.3972,0.3969,0.3967,0.3965,0.3965,0.3973,0.398,0.3986,0.3992,0.3998,0.4004,0.401,0.4017,0.4023,0.403
3 Coal,0.0,0.0,0.6986,0.6922,0.687,0.6827,0.6749,0.6751,0.6701,0.6624,0.6626,0.6601,0.6581,0.6554,0.6519,0.6474,0.6418,0.6349,0.6268,0.6185,0.61,0.6023,0.5943,0.5861,0.5788,0.5716,0.5642,0.5566,0.5493,0.5427,0.537,0.5307,0.5248,0.5197,0.5151,0.5109,0.5072,0.5035,0.4994,0.4957,0.4923,0.4892,0.4863,0.4836,0.4812,0.4789,0.4768,0.4749,0.4731,0.4714,0.4698
4 Coal + CCS,0.0,0.0,0.6025,0.6025,0.6025,0.5535,0.5602,0.5633,0.5654,0.5647,0.5655,0.5657,0.5663,0.5668,0.5672,0.5674,0.5672,0.5666,0.5654,0.564,0.5623,0.5608,0.559,0.5568,0.5552,0.5533,0.5508,0.5475,0.5439,0.5403,0.537,0.5324,0.5279,0.5235,0.5196,0.516,0.5129,0.5105,0.5086,0.5068,0.5053,0.5038,0.5024,0.5011,0.4998,0.4987,0.4976,0.4965,0.4955,0.4945,0.4936
5 IGCC,0.0,0.0,0.294,0.294,0.294,0.3365,0.3442,0.3477,0.3522,0.3512,0.352,0.3519,0.3526,0.3529,0.3528,0.3521,0.3507,0.3483,0.3449,0.3409,0.3364,0.3324,0.3283,0.3247,0.3229,0.3228,0.3247,0.3289,0.3352,0.343,0.352,0.3535,0.3528,0.3519,0.3512,0.3505,0.35,0.3498,0.3497,0.3495,0.3493,0.3495,0.3496,0.3497,0.3496,0.3496,0.3496,0.3496,0.3495,0.3495,0.3495
6 IGCC + CCS,0.0,0.0,0.2864,0.2864,0.2864,0.3235,0.3254,0.3228,0.3239,0.3248,0.3255,0.3259,0.3269,0.3276,0.3281,0.3285,0.3285,0.3282,0.3275,0.3264,0.325,0.3235,0.3218,0.32,0.3188,0.3181,0.3184,0.32,0.3232,0.328,0.3345,0.3353,0.3341,0.3326,0.3311,0.3296,0.3284,0.3275,0.3267,0.3258,0.325,0.3252,0.3254,0.3256,0.3257,0.3258,0.3261,0.3264,0.3267,0.327,0.3274
7 CCGT,0.0,0.0,0.4926,0.5966,0.5705,0.5943,0.5739,0.5765,0.5729,0.5692,0.5729,0.5736,0.5735,0.572,0.5687,0.5631,0.5549,0.544,0.5305,0.5159,0.5009,0.4866,0.4725,0.4595,0.4493,0.4415,0.4365,0.4341,0.4336,0.4344,0.4361,0.4323,0.4272,0.4227,0.4182,0.4141,0.4106,0.4076,0.4051,0.4028,0.4005,0.3988,0.3971,0.3956,0.3941,0.3927,0.3914,0.3901,0.3889,0.3878,0.3867
8 CCGT + CCS,0.0,0.0,0.3642,0.3642,0.3642,0.3335,0.3419,0.3442,0.3491,0.3482,0.3492,0.3492,0.35,0.3503,0.3503,0.3497,0.3485,0.3464,0.3433,0.3397,0.3357,0.3319,0.3281,0.3247,0.3228,0.3225,0.324,0.3276,0.3333,0.3405,0.3491,0.3504,0.3492,0.348,0.3469,0.3458,0.345,0.3446,0.3441,0.3437,0.3432,0.3434,0.3435,0.3435,0.3434,0.3434,0.3434,0.3434,0.3434,0.3434,0.3435
9 Solid Biomass,0.0,0.0,0.6771,0.6672,0.6719,0.6629,0.6542,0.6525,0.6483,0.6407,0.6402,0.6372,0.6349,0.6319,0.6284,0.6241,0.6189,0.6127,0.6055,0.5982,0.5909,0.5846,0.5782,0.572,0.567,0.5622,0.5573,0.5517,0.5462,0.5413,0.537,0.5316,0.5266,0.522,0.5179,0.5138,0.5095,0.5058,0.5026,0.4997,0.4971,0.495,0.493,0.4912,0.4896,0.488,0.4867,0.4855,0.4844,0.4834,0.4824
10 S Biomass CCS,0.0,0.0,0.6229,0.6229,0.6229,0.5511,0.5555,0.5576,0.5591,0.5587,0.5593,0.5593,0.5597,0.56,0.5601,0.5601,0.5599,0.5593,0.5583,0.5572,0.5559,0.5548,0.5535,0.5519,0.5507,0.5494,0.5476,0.5452,0.5424,0.5396,0.537,0.5332,0.5292,0.5253,0.5216,0.5182,0.5152,0.5128,0.5107,0.5089,0.5073,0.5058,0.5044,0.503,0.5017,0.5005,0.4994,0.4983,0.4973,0.4963,0.4953
