,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Nuclear,0.0,0.0,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556
2 Oil,0.0,0.0,0.1146,0.146,0.0528,0.1891,0.0676,0.118,0.0851,0.0998,0.1009,0.1019,0.1116,0.1204,0.129,0.1382,0.1403,0.1424,0.1455,0.1497,0.1554,0.1611,0.1666,0.1721,0.1776,0.1827,0.1864,0.1893,0.1918,0.1939,0.1957,0.1972,0.1984,0.1996,0.201,0.2023,0.2036,0.2052,0.2069,0.2086,0.2103,0.2096,0.209,0.2084,0.2079,0.2074,0.2071,0.2065,0.2061,0.2057,0.2051,0.2047,0.204,0.2035,0.2031,0.2027,0.2023,0.2021,0.2016,0.2016,0.2012
3 Coal,0.0,0.0,0.6854,0.5859,0.5574,0.5884,0.5345,0.5615,0.5754,0.5587,0.5521,0.5494,0.5587,0.5642,0.5664,0.5677,0.559,0.5502,0.5426,0.5362,0.531,0.5264,0.5224,0.519,0.516,0.5133,0.5106,0.5077,0.5052,0.5028,0.5006,0.4984,0.4964,0.4944,0.4926,0.491,0.4895,0.4881,0.4869,0.4856,0.4845,0.4832,0.4818,0.4806,0.4794,0.4783,0.4771,0.476,0.475,0.4739,0.4729,0.472,0.471,0.4701,0.4692,0.4684,0.4676,0.4669,0.4662,0.4656,0.465
4 Coal + CCS,0.0,0.0,0.6529,0.6529,0.6529,0.5405,0.5343,0.5374,0.5379,0.5377,0.5372,0.537,0.5385,0.5397,0.5405,0.5413,0.5403,0.539,0.5376,0.5362,0.5349,0.5334,0.5319,0.5304,0.5289,0.5274,0.5258,0.524,0.5222,0.5204,0.5186,0.5166,0.5146,0.5127,0.5109,0.5091,0.5074,0.5057,0.5042,0.5026,0.5011,0.5002,0.4992,0.4983,0.4974,0.4966,0.4957,0.4949,0.4941,0.4934,0.4926,0.4919,0.4911,0.4904,0.4898,0.4892,0.4886,0.488,0.4874,0.4869,0.4864
5 IGCC,0.0,0.0,0.2617,0.2617,0.2617,0.198,0.1622,0.2072,0.2026,0.2038,0.2027,0.204,0.2102,0.2158,0.2213,0.2271,0.2288,0.2302,0.2319,0.2341,0.2368,0.2396,0.2425,0.2452,0.2478,0.2502,0.2518,0.253,0.2539,0.2545,0.255,0.2553,0.2554,0.2554,0.2554,0.2554,0.2553,0.2552,0.2552,0.2551,0.255,0.2553,0.2556,0.2559,0.2563,0.2566,0.257,0.2572,0.2575,0.2578,0.258,0.2582,0.2584,0.2585,0.2587,0.2589,0.2591,0.2593,0.2594,0.2597,0.2598
6 IGCC + CCS,0.0,0.0,0.2617,0.2617,0.2617,0.1907,0.1086,0.1711,0.1511,0.1676,0.1691,0.1712,0.1777,0.1838,0.19,0.1966,0.1997,0.2025,0.2056,0.209,0.2129,0.2167,0.2205,0.2241,0.2275,0.2307,0.2331,0.235,0.2366,0.238,0.2391,0.2401,0.2408,0.2414,0.2421,0.2426,0.2431,0.2437,0.2442,0.2447,0.2451,0.2452,0.2453,0.2453,0.2454,0.2455,0.2456,0.2456,0.2457,0.2457,0.2457,0.2457,0.2456,0.2455,0.2454,0.2454,0.2454,0.2454,0.2453,0.2454,0.2453
7 CCGT,0.0,0.0,0.6483,0.4361,0.3572,0.4439,0.3331,0.392,0.4234,0.3714,0.355,0.352,0.3705,0.3835,0.3907,0.3973,0.378,0.3615,0.35,0.3425,0.3383,0.3358,0.3342,0.3332,0.3324,0.3317,0.33,0.3281,0.3261,0.3242,0.3222,0.3203,0.3184,0.3165,0.3148,0.3132,0.3116,0.3103,0.309,0.3078,0.3066,0.3059,0.3052,0.3046,0.3041,0.3036,0.3032,0.3026,0.3022,0.3018,0.3013,0.3008,0.3002,0.2995,0.2991,0.2986,0.2981,0.2977,0.2972,0.2969,0.2964
8 CCGT + CCS,0.0,0.0,0.3089,0.3089,0.3089,0.2079,0.1759,0.2306,0.2283,0.2338,0.2334,0.2343,0.2409,0.2465,0.2517,0.2571,0.2576,0.2579,0.2586,0.2599,0.2618,0.2638,0.2659,0.2679,0.2699,0.2716,0.2726,0.2733,0.2738,0.2741,0.2742,0.2742,0.2741,0.2739,0.2737,0.2736,0.2733,0.2732,0.2731,0.273,0.2729,0.2724,0.2719,0.2714,0.271,0.2706,0.2702,0.2697,0.2693,0.2689,0.2684,0.2679,0.2674,0.2669,0.2664,0.266,0.2655,0.2651,0.2646,0.2643,0.2638
9 Solid Biomass,0.0,0.0,0.6924,0.5711,0.5551,0.5833,0.5367,0.5621,0.5718,0.5609,0.5545,0.5515,0.5607,0.5659,0.5679,0.5688,0.5604,0.5516,0.5437,0.5366,0.5303,0.5247,0.5196,0.515,0.5108,0.507,0.503,0.499,0.4954,0.4919,0.4888,0.4858,0.483,0.4802,0.4776,0.4753,0.4731,0.4709,0.469,0.4671,0.4653,0.4635,0.4617,0.4601,0.4586,0.4572,0.4558,0.4545,0.4533,0.4521,0.4509,0.4499,0.4488,0.4478,0.4469,0.4461,0.4453,0.4446,0.4439,0.4432,0.4427
10 S Biomass CCS,0.0,0.0,0.6672,0.6672,0.6672,0.5402,0.536,0.5379,0.538,0.5379,0.5375,0.5373,0.5385,0.5394,0.5401,0.5409,0.54,0.5388,0.5376,0.5362,0.5349,0.5335,0.5321,0.5306,0.5291,0.5276,0.526,0.5242,0.5224,0.5205,0.5186,0.5165,0.5144,0.5124,0.5103,0.5084,0.5065,0.5046,0.5028,0.5009,0.499,0.4981,0.4973,0.4965,0.4958,0.4952,0.4944,0.4938,0.4932,0.4926,0.492,0.4915,0.4909,0.4904,0.4899,0.4895,0.489,0.4886,0.4883,0.4879,0.4876
