,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1 Nuclear,0.0,0.0,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556
2 Oil,0.0,0.0,0.2992,0.3572,0.4152,0.3499,0.2206,0.3392,0.1769,0.3103,0.3034,0.2901,0.2794,0.2694,0.2608,0.2524,0.2441,0.237,0.2319,0.2292,0.2295,0.2338,0.2433,0.257,0.2757,0.2969,0.3194,0.3399,0.3504,0.3522,0.3536,0.3537,0.3539,0.3539,0.3541,0.3542,0.3543,0.3546,0.3548,0.3551,0.3554,0.3557,0.3561,0.3564,0.3567,0.357,0.3574,0.3577,0.3585,0.3594,0.3602
3 Coal,0.0,0.0,0.6287,0.6103,0.6288,0.6171,0.5945,0.6095,0.5831,0.5915,0.5862,0.5767,0.5715,0.5655,0.56,0.5541,0.5478,0.5413,0.5349,0.5286,0.5228,0.5174,0.5121,0.5071,0.5028,0.498,0.4939,0.4902,0.4867,0.4829,0.4793,0.4753,0.4717,0.4682,0.4651,0.4622,0.4595,0.457,0.4547,0.4525,0.4504,0.4485,0.4466,0.4449,0.4433,0.4417,0.4402,0.4388,0.4377,0.4366,0.4355
4 Coal + CCS,0.0,0.0,0.6094,0.6094,0.6094,0.546,0.5296,0.5504,0.5239,0.5453,0.5431,0.5386,0.5357,0.532,0.5288,0.5251,0.5208,0.5162,0.5118,0.5076,0.5038,0.5003,0.4964,0.4927,0.4892,0.485,0.4813,0.4782,0.4746,0.4705,0.4666,0.4621,0.4578,0.4539,0.4502,0.4468,0.4437,0.4408,0.4381,0.4356,0.4332,0.431,0.4289,0.4269,0.425,0.4232,0.4215,0.4199,0.4185,0.4172,0.416
5 IGCC,0.0,0.0,0.2671,0.2671,0.2671,0.286,0.2118,0.2837,0.1977,0.2714,0.2678,0.2606,0.2559,0.2516,0.248,0.2444,0.2411,0.2385,0.2371,0.2371,0.239,0.2431,0.2501,0.2596,0.2719,0.2859,0.3013,0.3166,0.3251,0.3267,0.3279,0.3282,0.3284,0.3284,0.3283,0.3281,0.3279,0.3277,0.3275,0.3273,0.3271,0.3269,0.3267,0.3265,0.3264,0.3263,0.3262,0.3261,0.3262,0.3263,0.3264
6 IGCC + CCS,0.0,0.0,0.286,0.286,0.286,0.2956,0.2341,0.2846,0.186,0.2719,0.2694,0.2643,0.2599,0.2553,0.2508,0.2461,0.2411,0.2364,0.2324,0.2294,0.2279,0.2284,0.2319,0.238,0.2472,0.2588,0.273,0.2882,0.2966,0.2976,0.2983,0.2984,0.2983,0.2982,0.298,0.2978,0.2976,0.2974,0.2972,0.2971,0.297,0.2969,0.2968,0.2967,0.2967,0.2967,0.2967,0.2967,0.2968,0.297,0.2972
7 CCGT,0.0,0.0,0.4262,0.4959,0.5266,0.5007,0.4367,0.4821,0.4224,0.4399,0.434,0.421,0.407,0.3917,0.3773,0.3636,0.3509,0.3398,0.3309,0.3243,0.3202,0.3192,0.3218,0.3276,0.337,0.3482,0.3607,0.3726,0.3779,0.377,0.3758,0.374,0.3721,0.3701,0.3682,0.3663,0.3641,0.3618,0.3594,0.3572,0.3551,0.3531,0.3512,0.3494,0.3477,0.3461,0.3446,0.3432,0.3421,0.341,0.3401
8 CCGT + CCS,0.0,0.0,0.2848,0.2848,0.2848,0.2932,0.2221,0.2872,0.1943,0.2739,0.2704,0.2635,0.2584,0.2535,0.2492,0.2449,0.2405,0.2368,0.2342,0.2329,0.2336,0.2365,0.2426,0.2514,0.2631,0.2768,0.2922,0.3078,0.3162,0.3174,0.3182,0.3183,0.3181,0.3179,0.3175,0.3171,0.3166,0.3162,0.3158,0.3154,0.315,0.3146,0.3143,0.314,0.3137,0.3134,0.3132,0.3129,0.3129,0.3128,0.3129
9 Solid Biomass,0.0,0.0,0.6425,0.6162,0.633,0.6253,0.6107,0.62,0.5972,0.6014,0.5941,0.5818,0.575,0.5673,0.5605,0.5533,0.5456,0.5376,0.5291,0.5207,0.5131,0.5063,0.4996,0.4943,0.49,0.4848,0.4807,0.4773,0.4727,0.4673,0.4621,0.4562,0.4507,0.4456,0.441,0.4368,0.4329,0.4293,0.4261,0.4231,0.4203,0.4177,0.4154,0.4132,0.4112,0.4094,0.4077,0.4061,0.4048,0.4037,0.4027
10 S Biomass CCS,0.0,0.0,0.6115,0.6115,0.6115,0.5452,0.5295,0.5495,0.5235,0.5448,0.5427,0.5383,0.5354,0.5319,0.5288,0.5251,0.5209,0.5165,0.5123,0.5082,0.5045,0.5011,0.4974,0.4937,0.4904,0.4862,0.4826,0.4795,0.4759,0.4717,0.4676,0.463,0.4586,0.4545,0.4507,0.4472,0.4439,0.4409,0.4381,0.4355,0.433,0.4307,0.4285,0.4264,0.4245,0.4226,0.4208,0.4191,0.4177,0.4163,0.415
11 BIGCC,0.0,0.0,0.2929,0.2929,0.2929,0.2955,0.2245,0.2895,0.201,0.2773,0.2737,0.2666,0.2616,0.2568,0.2526,0.2484,0.2443,0.2407,0.2384,0.2373,0.2382,0.2414,0.2476,0.2564,0.2682,0.2818,0.2971,0.3124,0.3207,0.3218,0.3225,0.3225,0.3223,0.3219,0.3215,0.321,0.3205,0.32,0.3195,0.3191,0.3186,0.3182,0.3178,0.3175,0.3172,0.3169,0.3166,0.3164,0.3163,0.3162,0.316
12 BIGCC + CCS,0.0,0.0,0.2971,0.2971,0.2971,0.2986,0.2299,0.289,0.1958,0.2757,0.2723,0.2658,0.2608,0.2558,0.2514,0.2468,0.2422,0.2382,0.2353,0.2337,0.2339,0.2366,0.2423,0.2508,0.2623,0.2757,0.291,0.3066,0.315,0.3162,0.317,0.317,0.3168,0.3166,0.3162,0.3158,0.3154,0.315,0.3146,0.3142,0.3139,0.3136,0.3133,0.313,0.3128,0.3125,0.3123,0.3121,0.3121,0.3121,0.3122
13 Biogas,0.0,0.0,0.2688,0.2914,0.3169,0.2929,0.2336,0.3014,0.2292,0.2895,0.2872,0.2808,0.2779,0.2753,0.2735,0.2717,0.2699,0.2687,0.2685,0.2695,0.272,0.2765,0.2834,0.2925,0.3038,0.3165,0.3303,0.3437,0.3512,0.3524,0.3533,0.3535,0.3534,0.3533,0.3531,0.3529,0.3526,0.3522,0.3519,0.3516,0.3514,0.3511,0.3509,0.3506,0.3505,0.3503,0.3502,0.3501,0.3503,0.3506,0.3509
14 Biogas + CCS,0.0,0.0,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908
